Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.556152,-0.127441,0.827637,-1.0625,2.5,-0.8125,85,125,101,0,0,0,0,0,0,0,0,0.495605,0.0883789,0.883301,-0.125,0.1875,0.0625,92,60,131
2,0,0,0,0,0,0,0,0,-0.562988,-0.179199,0.839844,2.0625,9.1875,-0.5,85,125,101,0,0,0,0,0,0,0,0,0.496582,0.0854492,0.895996,1.3125,0.375,-0.25,92,60,131
3,-3,-3,-4,-2,-3,-2,-3,-1,-0.611816,-0.136719,0.800781,14.6875,10.8125,2.3125,85,126,100,-24,23,8,1,8,-4,-3,-6,0.572266,0.125977,0.874023,22.5625,4.4375,3.875,93,60,131
4,-2,-2,-5,0,-1,-2,0,-1,-0.629395,-0.114746,0.793457,13.6875,4.8125,0.75,86,126,100,-1,4,-12,-21,-21,-9,-5,-3,0.692871,0.105957,0.941406,25.4375,45.9375,4.875,93,61,131
5,0,1,-9,-3,-1,1,-2,-1,-0.631836,-0.0898438,0.792969,12.875,-0.0625,-0.375,86,126,100,-5,3,-19,-43,-3,3,0,-1,0.728516,0.26709,1.02881,7.4375,130.188,5.9375,94,67,131
6,1,1,0,2,-1,-1,-1,0,-0.597656,-0.097168,0.81543,7.25,-1.125,-0.625,86,126,100,-1,-6,-16,-46,-37,-16,-3,1,0.637695,-0.287109,1.20117,-33.875,189.375,59.4375,92,77,133
7,-2,-1,0,-2,0,-4,-2,1,-0.599609,-0.102051,0.810547,8.375,0.125,0.5625,86,126,100,1,-10,-18,-19,-17,3,-1,-3,0.00830078,0.251953,1.33398,2.375,255.875,54.6875,92,86,135
8,0,2,13,3,-1,1,0,0,-0.597168,-0.0830078,0.809082,9.8125,0.9375,1.25,86,126,100,-2,8,-7,5,20,2,1,1,-0.288086,0.012207,1.12939,17.5,268,90.6875,92,102,138
9,-1,-3,-13,-2,-1,-1,-2,-1,-0.605469,-0.0585938,0.812012,8.1875,2.875,1.25,87,126,100,2,-2,7,19,10,6,3,-1,-0.465332,0.254395,0.925781,43.875,266.125,98.875,94,112,140
10,-1,2,-3,3,-1,-1,1,-3,-0.599609,-0.0527344,0.809082,2.9375,2.375,-1.125,87,126,100,13,-20,-10,-7,3,-17,8,2,-0.641602,0.234863,0.78418,40,210.625,114.5,97,124,146
11,-3,-3,-6,0,0,-1,-1,-2,-0.612305,-0.0722656,0.804688,-0.625,2.875,-1,87,127,100,3,25,4,1,-7,19,12,-1,-0.618164,0.291992,0.553711,32.8125,145.062,121,102,131,152
12,-2,-2,13,0,0,-1,-3,-2,-0.608398,-0.0766602,0.804688,-0.75,2.125,-1.3125,87,127,100,-30,-21,-8,-9,-16,14,-1,-7,-0.617188,0.361328,0.530762,40.25,101.375,107.875,106,133,156
13,1,-4,-19,-5,-2,0,2,-1,-0.626953,-0.0698242,0.791016,-1.3125,-0.8125,-1.625,87,127,100,-1,16,4,3,-11,-14,-7,-1,-0.599609,0.355469,0.416504,26,83.6875,78.9375,109,134,160
14,0,-2,-10,-3,-1,-2,-2,1,-0.615234,-0.0698242,0.806641,-2.8125,-2.5625,-2.6875,87,127,100,15,-4,-28,-5,13,-8,-2,-2,-0.623535,0.462402,0.412109,18.25,46.25,45.1875,112,134,163
15,-2,-2,-22,-4,-1,-2,0,1,-0.606934,-0.0864258,0.813965,-5.75,-1,-2.0625,87,126,100,-2,-28,-10,-11,-9,-15,-6,-6,-0.608887,0.417969,0.4375,-6.3125,23.625,9.875,113,134,165
16,-1,-1,2,-2,-2,-1,-1,-2,-0.603027,-0.112305,0.816406,-3.9375,1.5,-0.75,86,126,100,15,46,15,13,18,34,19,-8,-0.638672,0.527344,0.443359,-4.5625,22.6875,3.1875,114,135,166
17,0,0,26,2,1,0,-1,-2,-0.616699,-0.0942383,0.797363,5.3125,1.625,1.8125,86,127,100,13,-25,3,9,9,17,-44,-45,-0.651855,0.543457,0.557129,7.6875,-7.25,-16,114,135,165
18,0,5,8,0,-1,-2,-1,1,-0.617676,-0.0639648,0.796875,4.25,-0.75,0.3125,87,127,100,-43,-74,2,-6,-7,-15,-15,-17,-0.823242,0.46875,0.440918,16.5625,14.5625,-4.4375,114,136,165
19,-4,-4,-6,-4,-1,-2,-2,-1,-0.619629,-0.0703125,0.813477,-0.625,-1.4375,-0.1875,87,127,100,2,-8,-3,-5,-1,-13,27,46,-0.681152,0.485352,0.598145,-3.375,-43.1875,-36.875,113,136,163
20,0,0,-2,-1,-2,0,-2,-1,-0.595703,-0.0917969,0.812988,-1.625,0.5,-0.125,87,127,100,25,-33,24,8,-10,-24,-6,6,-0.748047,0.435547,0.55957,7.25,5.6875,-12.0625,112,136,163
21,1,0,4,-2,-2,0,1,0,-0.614746,-0.0976562,0.801758,3.0625,1.0625,0.5625,87,127,100,6,34,6,120,34,-1,13,3,-0.780762,0.495117,0.473145,-0.8125,1.25,-5.1875,112,137,163
22,-1,-1,-10,1,0,0,-2,-2,-0.612305,-0.0722656,0.8125,5.0625,0,0.375,87,127,100,-3,-17,4,-1,-3,-1,9,11,-0.745605,0.432129,0.552246,-4.75,-4.0625,-0.125,112,137,162
23,-1,3,47,4,0,-1,-2,-7,-0.612305,-0.0649414,0.802246,1.5625,0.0625,-0.0625,87,127,100,-10,62,10,-21,-4,19,-2,-4,-0.621094,0.371582,0.714844,-8.625,-8.75,4.875,112,136,162
24,-2,-5,-10,-2,0,-2,0,-1,-0.612793,-0.0834961,0.802734,-1.5625,0.1875,-0.8125,87,127,100,21,20,3,-4,4,1,1,0,-0.79541,0.46875,0.470215,-5.3125,2,-2.6875,112,136,163
