Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,0.175781,0.377441,0.614746,14.25,-17.9375,-11.25,103,73,54,0,0,0,0,0,0,0,0,-0.199707,0.0742188,0.736328,44.9375,61.9375,46.6875,94,104,133
2,0,0,0,0,0,0,0,0,0.249512,0.381836,0.700684,-47.5,-1,-5.5,103,73,54,0,0,0,0,0,0,0,0,-0.261719,0.140137,0.756348,33.1875,37.375,37.5625,95,105,134
3,21,18,-6,-5,1,-2,2,37,0.229492,0.725098,0.650879,-84.5,-64.6875,27.625,100,71,54,1,-3,0,-1,-3,-1,17,5,-0.29541,0.157227,0.811523,26.0625,11.5,22.4375,96,106,134
4,7,22,-4,-9,-6,-6,-18,14,0.372559,0.133301,0.705078,-142.5,54.25,107.875,96,70,57,6,1,-2,0,-2,-1,2,3,-0.273926,0.227539,0.925781,24.125,10.9375,12.875,97,107,135
5,16,24,-1,6,0,0,-17,9,0.30127,-0.0600586,0.730957,-108.562,78.625,96.25,95,71,58,-5,0,6,0,4,15,23,1,-0.274902,0.235352,1.02686,30.5625,27.875,5.9375,98,107,135
6,7,29,-2,-2,-6,-6,-14,-4,0.143066,-0.205078,0.890625,-85.75,80.875,82.9375,89,78,62,3,4,-11,10,-2,48,10,3,-0.325684,0.258301,1.01855,53.875,80.8125,0.6875,99,111,136
7,-7,-13,-1,7,7,7,15,-6,0.0952148,-0.200684,1.06787,-57.25,75.75,35.1875,87,83,63,4,-1,-22,-22,-8,-36,41,7,-0.393066,0.146973,0.967773,71.875,143.625,9,101,117,137
8,2,-9,1,6,8,12,4,4,0.065918,-0.274902,1.21582,-24.8125,46.8125,18.4375,86,85,64,-9,-9,0,-20,0,5,-6,4,-0.447754,0.375,0.718262,63.1875,138.75,21.8125,105,124,140
9,5,6,-4,0,-4,-8,-17,24,0.0366211,-0.213379,1.20752,-18.9375,17.6875,2.9375,85,86,64,-8,-3,-6,-2,-14,-11,-43,-12,-0.541504,0.466309,0.46582,43.5,120.188,25.5625,107,128,143
10,5,13,-3,-2,-2,-5,-16,-7,0.0361328,-0.193848,1.15967,-4.5,-14.6875,-4.6875,85,86,64,-5,5,-5,10,42,66,45,5,-0.783691,0.643555,0.345215,-0.6875,23.9375,0.5625,109,130,145
11,-1,2,-2,-3,-3,-3,0,-4,0.0366211,-0.16748,1.08789,6.125,-21.3125,-4.5625,85,85,64,4,0,-12,-8,-10,-9,7,6,-0.735352,0.447754,0.556641,-24.125,-17.875,-14.5625,108,131,144
12,2,6,-3,0,-2,-2,-5,-2,0.0600586,-0.152344,0.946777,12,-18.3125,-2.75,85,84,64,4,4,-3,25,-3,-1,6,5,-0.76123,0.478516,0.681152,-0.5,-24.0625,-6.375,108,130,143
13,2,-4,-3,-3,-1,-1,-1,-2,0.0864258,-0.120117,0.855957,7.125,-21.875,4,86,83,64,-1,-12,-8,3,-6,-4,-9,-2,-0.716797,0.406738,0.684082,8.4375,-11.6875,-1.125,107,130,143
14,1,3,0,0,-1,-3,-1,0,0.188477,-0.0996094,0.805664,-7.5625,-13.8125,31.125,85,82,64,0,-4,5,13,1,-17,-6,-4,-0.666016,0.421875,0.606934,-0.9375,7.8125,-0.8125,108,130,143
15,-3,3,1,-2,-1,0,0,-1,0.143555,-0.182129,0.845703,-46.875,4.75,44.125,84,83,66,-4,-6,-7,-6,-3,2,-6,-3,-0.646484,0.40918,0.529297,-6.1875,3.625,-2.9375,108,130,143
16,-2,6,1,-1,0,-1,1,-1,0.224121,-0.165039,0.869141,-14.0625,15.375,71.75,84,83,67,3,-2,-4,-6,-2,-1,-1,-2,-0.600586,0.306152,0.506348,-38.625,-19.125,-14.125,106,130,143
17,2,-6,-7,-1,-3,-14,-4,-2,0.117676,-0.180664,0.881836,-49.5,29.875,84.25,83,85,68,-2,-1,-1,-4,-1,-1,-2,-2,-0.626953,0.302246,0.564453,-45.4375,-37,-18.75,105,130,142
