Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.643066,-0.430176,0.671875,-0.375,-0.375,0,73,128,80,0,0,0,0,0,0,0,0,-0.504395,0.503906,0.725098,-0.9375,-0.625,-0.0625,107,119,177
2,0,0,0,0,0,0,0,0,-0.640625,-0.428711,0.672363,0.125,-0.5,-0.125,73,128,80,0,0,0,0,0,0,0,0,-0.509277,0.507324,0.724121,0.125,-0.5625,-0.1875,107,119,177
3,-1,-3,-1,-1,-2,-3,-1,-1,-0.640137,-0.413574,0.672852,-0.4375,-0.0625,-0.125,73,128,80,0,1,0,1,2,2,0,-3,-0.51123,0.514648,0.731934,0.3125,-0.5,-0.125,107,119,177
4,-2,-3,-1,-2,0,0,0,-1,-0.63916,-0.428711,0.670898,1.375,-0.4375,0,73,128,80,-1,0,0,1,4,13,2,1,-0.504883,0.509766,0.723633,-0.25,-0.3125,-0.0625,107,119,177
5,-2,-5,-1,-1,0,-2,0,-2,-0.637695,-0.408203,0.672852,1.125,-0.75,0.0625,73,128,80,-1,-1,0,0,-5,-3,3,4,-0.504395,0.507324,0.726074,0.3125,-0.25,0.1875,107,119,177
6,3,-4,-5,-2,-2,-2,-1,1,-0.643066,-0.420898,0.675293,-1.875,-0.0625,-0.3125,73,128,80,-1,-1,-1,-2,-1,5,-1,-2,-0.504883,0.509277,0.725098,0.625,-0.625,0.3125,107,119,177
7,-2,-3,0,-1,-2,-2,0,0,-0.640625,-0.427734,0.674316,-0.25,0.1875,-0.75,73,128,80,-1,0,-2,0,0,-4,-4,-1,-0.506836,0.518555,0.727539,0.5625,-0.8125,0.0625,107,119,177
8,-2,5,0,-2,0,-1,-2,-1,-0.632324,-0.416992,0.675293,-0.375,0,-0.75,73,128,80,-1,0,2,-3,-2,3,-2,0,-0.498047,0.505859,0.726074,-0.1875,0,0.3125,107,119,177
9,1,-3,-1,0,-1,-1,-2,0,-0.637207,-0.428223,0.672852,-2.4375,-0.8125,0,73,128,80,-2,-1,-1,0,-1,-6,-1,-1,-0.501953,0.506348,0.719238,1.0625,0.125,0.6875,107,119,177
10,-2,3,0,-1,-2,-2,0,-1,-0.645996,-0.438965,0.67627,-2.9375,-0.875,-0.25,73,128,80,0,-1,-1,-2,0,-5,-3,-1,-0.508789,0.519531,0.731445,-0.75,0,0.0625,107,119,177
11,-1,1,0,0,0,-1,-2,0,-0.628418,-0.404297,0.669922,-0.1875,-1,0.125,73,128,80,-1,-2,-2,-1,-1,-5,-8,-5,-0.506348,0.514648,0.72168,-1.0625,-0.625,-0.125,107,119,177
12,-3,-4,-2,0,-2,-1,-1,0,-0.658203,-0.45459,0.6875,-1.4375,0.375,0.5625,73,128,80,-1,-1,1,-2,3,1,6,3,-0.501465,0.513184,0.737793,-2.3125,0.0625,-0.625,107,119,177
