Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,0.147461,-0.630371,0.699707,-140.438,-106.125,-96.5,63,96,82,0,0,0,0,0,0,0,0,-0.587402,0.412109,0.661621,10.6875,-2.0625,-2.6875,106,120,178
2,0,0,0,0,0,0,0,0,0.0488281,-0.870605,0.616211,-166.688,-79.875,-99.8125,62,93,82,0,0,0,0,0,0,0,0,-0.662109,0.506836,0.706543,17.4375,-10.8125,4.1875,107,120,178
3,-1,-10,-9,-12,-7,-14,-4,-3,-0.03125,-0.942383,0.336914,26.4375,-18.4375,-99.5625,60,85,81,-5,-13,5,-4,-8,7,-4,2,-0.556152,0.856445,0.757324,-19.6875,-54.375,55.9375,107,116,179
4,21,16,-21,-31,4,2,3,10,-0.0268555,-0.776855,0.400879,16.25,12.0625,-100.5,60,82,80,-24,-5,6,-21,-19,-18,45,2,-0.368164,0.791016,0.996582,-123.875,-81.3125,96.75,106,112,179
5,7,-8,-8,-18,5,-15,18,6,0.0161133,-0.9375,0.45459,-19.0625,58.3125,-104.938,60,78,77,5,15,27,27,3,37,-2,8,-0.265137,0.181152,1.13916,-133.375,-122.562,171.312,102,102,2
6,-8,-40,-17,-12,-33,-18,-4,-12,0.0107422,-0.818848,0.577148,38.375,51.25,-107.312,61,76,75,-3,-19,-16,-18,-5,-43,-16,-2,0.151855,0.201172,1.02441,3.9375,-144,176.438,101,90,5
7,0,6,-21,-50,0,5,2,-1,0.328613,-0.60498,0.690918,-7,8.4375,-97.625,62,71,73,-4,-7,-3,-10,0,10,-7,5,0.337891,0.300781,0.913086,44.4375,-135.875,190.875,102,81,7
8,1,-25,-9,23,-30,-19,-7,-5,0.295898,-0.769043,0.757812,10.1875,-42.5625,-60.125,63,69,72,-13,2,0,-4,1,3,-45,-11,0.317871,0.23877,0.886719,-102.938,-106.875,112,100,72,10
9,6,16,-13,-16,-3,0,-5,-2,0.533691,-0.819336,0.619141,-21.5625,-92.875,-47.875,62,63,73,7,5,-6,-6,-9,-6,54,12,0.449707,-0.0673828,0.849609,-102.938,-86.875,40.25,97,67,11
10,2,13,-4,22,11,8,3,-3,0.545898,-0.602539,0.436523,50.8125,-113.812,-23.625,62,58,76,-12,-12,2,-1,-1,-7,-28,-13,0.115723,0.205078,0.92627,-23.4375,-36.9375,-27.375,96,65,10
