Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.18457,-0.101562,0.824219,-148.625,67.6875,-36.125,76,101,94,0,0,0,0,0,0,0,0,0.304688,-0.330566,0.937988,-0.375,-2.3125,-1.375,80,73,1
2,0,0,0,0,0,0,0,0,-0.0952148,-0.0703125,0.501465,-110.938,12.6875,-36.125,73,102,93,0,0,0,3,-1,0,1,-2,0.299316,-0.315918,0.934082,5.75,-2,-3.3125,80,73,1
3,-3,-14,1,-11,42,19,29,0,0.0175781,-0.280273,0.387695,-68.125,-55,-52,69,96,92,-3,-2,-1,-3,-1,-3,-1,0,0.303223,-0.298828,0.93457,-2.875,-1.4375,-1,80,73,1
4,2,16,-2,-11,-36,-29,51,-1,0.0859375,-0.313965,0.34668,-58.3125,-53.5625,-72.9375,68,93,92,1,-1,-4,-7,-7,-5,-1,1,0.303223,-0.288574,0.941406,-0.25,-0.25,1.125,80,73,1
5,-11,-7,-12,-16,-26,-40,-4,-3,-0.0327148,-0.462402,0.524902,-8.8125,-47.4375,-69.4375,67,88,91,1,5,2,8,5,2,1,2,0.313965,-0.304199,0.91748,-2.8125,8.6875,-12.9375,80,73,1
6,3,9,35,94,-6,-27,7,-5,0.126953,-0.691895,0.787109,23.375,-20.125,-49.1875,68,84,91,1,5,6,6,7,8,-2,-4,0.287109,-0.22168,0.944824,-9.5625,5.75,-20.9375,80,73,0
7,3,1,-4,6,25,21,-43,3,0.194336,-0.811523,0.898438,33.6875,-16.25,-41.25,68,82,90,16,1,5,8,8,18,1,3,0.262207,-0.289062,0.961914,-23.9375,9.25,-11.1875,80,73,0
8,-1,-4,-6,-14,-10,-7,-15,-3,0.256836,-0.780273,0.981445,31.6875,17.375,-42.25,70,81,89,-4,-3,-11,-15,-8,-23,-9,-4,0.301758,-0.378418,1.04492,-24.125,34.8125,-27.8125,80,74,179
9,-4,-19,-8,-6,29,-14,48,4,0.208496,-0.773926,0.993652,19.5,26.5625,-32.125,70,81,89,-11,-12,-5,-2,1,6,0,-6,0.196289,-0.28418,1.03955,6.0625,55.375,-15.625,80,76,178
10,-1,-5,-10,-10,-27,-13,36,-1,0.115723,-0.681641,0.937012,-3.5625,38.625,-29.1875,71,81,87,-2,-2,-2,-12,-9,-12,-2,0,0.108398,-0.347656,1.07324,-5.9375,92.375,-18.75,80,79,177
11,2,2,8,9,-62,-5,53,3,0.0957031,-0.635742,0.861816,1.8125,40.375,-10.4375,71,82,86,-2,-24,-28,16,6,2,-1,-3,-0.00976562,-0.414551,1.08789,-14,142.812,-26,80,86,175
12,4,-1,-3,13,55,43,-59,5,0.163574,-0.673828,0.785645,19.9375,51.4375,17.4375,71,85,86,-14,4,13,-7,-31,-32,-25,-7,-0.197266,-0.411133,1.05908,-58.9375,170.688,-21.9375,79,95,173
13,-1,2,4,-6,-31,-9,-52,0,0.122559,-0.67627,0.753418,12.9375,16.625,17.5625,72,86,86,0,3,6,-3,7,-9,-1,0,-0.231934,-0.547852,1.04883,-98.6875,204.438,-36.5,77,102,171
14,-6,-4,-7,9,47,-25,54,-5,0.0913086,-0.425293,0.829102,-16.4375,-19.6875,6.5625,72,85,86,-8,1,3,10,-1,15,7,9,-0.439453,-0.61377,1.01758,-71.8125,205.312,30.1875,74,113,168
15,-4,-4,-2,-1,21,12,43,-4,-0.0361328,-0.583496,0.847168,2.6875,-12.6875,-30.4375,71,85,86,-5,1,6,7,7,7,-3,-4,-0.602051,-0.692871,0.814453,-88.75,216.625,55.375,71,121,166
16,1,0,-5,-19,-77,2,26,3,-0.0361328,-0.526367,0.787598,-0.1875,-12.1875,-22.25,72,84,86,12,2,-1,-3,2,0,-1,-3,-0.86084,-0.679199,0.753906,-62,195.375,98.5,67,133,163
17,6,4,5,6,34,50,-70,2,0.0664062,-0.652832,0.803711,1.5,10.25,-2.875,71,84,86,-1,47,6,-1,-2,4,21,11,-0.644043,-0.596191,0.648926,-36.5,163.25,142.062,66,142,162
18,0,0,-3,3,9,22,28,5,0.112305,-0.648438,0.830078,1.5,1.8125,-3.625,71,84,85,-10,-1,-2,-1,0,-10,-2,-3,-0.514648,-0.423828,0.418457,-17.9375,104.938,164.25,66,154,163
