Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,0.507324,-0.273438,0.827148,3.0625,-0.375,-1.875,81,58,96,0,0,0,0,0,0,0,0,0.133301,-0.23877,0.956543,-10.25,34.5,-2.625,81,81,2
2,0,0,0,0,0,0,0,0,0.521484,-0.257324,0.838867,3.25,-1.5,-1.125,81,58,96,0,0,0,0,0,0,0,0,0.148438,-0.316406,0.992676,-8.5625,38.1875,-3.8125,81,82,1
3,-4,-2,-12,-2,-3,-1,2,-11,0.522461,-0.191406,0.848145,14.4375,-4.0625,-2,82,58,95,-10,-9,5,21,-14,-40,0,3,0.0854492,-0.209473,1.07764,-9.5625,46.5625,-12.5,81,85,1
4,1,-2,-2,-1,-1,-3,-3,5,0.544434,-0.205566,0.82373,1.8125,-3.6875,1.4375,82,58,96,63,14,-10,-40,-12,-21,-10,2,0.0390625,-0.335449,1.23047,-12.625,95.4375,1.25,81,88,0
5,0,-2,0,-1,0,-2,1,-2,0.521973,-0.222656,0.827637,-6.75,-3.125,3.375,82,58,96,-19,-4,-6,7,13,15,-3,-5,-0.342285,-0.401855,1.28027,-5.0625,220,31.0625,81,98,179
6,-5,-1,-1,0,-1,-1,-4,-11,0.535156,-0.259766,0.828125,-5.875,-1.875,1.8125,82,58,96,11,-16,2,5,-21,-38,-1,-9,-0.663574,-0.340332,1.14551,17,319.312,63.4375,81,110,179
7,2,-5,-6,-2,-2,-1,-8,6,0.524414,-0.286621,0.799316,-2,0,0.0625,81,58,96,-35,-11,-13,3,-3,-18,-39,-6,-0.998047,-0.169434,0.89209,1.0625,340,133.375,82,132,179
8,0,-1,-1,-1,-2,0,0,10,0.555176,-0.269043,0.82373,3.75,1.8125,-1.3125,81,58,96,48,29,42,-2,4,30,10,0,-0.956543,-0.274414,0.714844,21.6875,324.062,146.125,83,146,1
9,-3,-3,0,-1,-1,-2,-7,-40,0.536621,-0.216309,0.825684,7.5625,3.3125,-1.6875,82,58,96,-7,-9,-11,10,-2,20,12,-2,-0.664062,-0.180176,0.473145,44.3125,265.688,108.562,91,164,8
10,-1,0,-1,-1,-2,-1,2,-1,0.505371,-0.224121,0.852539,0.875,2.8125,-1.875,82,58,96,40,8,-12,-11,4,24,20,13,-0.578613,-0.0649414,0.230469,7.5625,105.5,59.9375,111,172,27
11,1,0,-1,-1,0,-1,5,4,0.519043,-0.22168,0.833008,1.3125,0.75,-0.3125,82,58,96,-4,-5,-7,-6,-6,5,8,3,-0.570312,-0.019043,0.239746,-14.3125,15.8125,40.1875,116,171,33
12,1,-2,0,-2,0,-1,1,12,0.520996,-0.228027,0.848145,-0.125,1.125,-1.8125,82,58,96,-21,-21,-14,-9,-13,-10,-4,-2,-0.618652,0.0649414,0.199707,11.4375,-1.5625,17.75,117,170,33
13,-3,0,-1,0,-1,-3,-2,-8,0.526855,-0.213867,0.834961,0.1875,-0.0625,-0.9375,82,58,96,7,21,-9,-19,1,23,18,9,-0.823242,0.0629883,0.164062,3.9375,-22,3.0625,115,169,31
14,-2,0,0,-2,-1,-2,-4,-3,0.536621,-0.232422,0.83252,-2.375,-0.625,0.25,82,58,96,0,6,9,2,-11,-15,-6,1,-0.976562,0.0224609,0.180664,-4.3125,-27.8125,-18.25,109,169,25
15,1,-1,-2,-1,-1,0,1,7,0.526367,-0.226562,0.82959,-0.125,-0.375,0.625,82,58,96,-3,-7,5,1,1,11,6,3,-1.10889,0.130859,0.130859,-7.375,-15.625,-17.4375,106,169,23
16,-2,-2,-1,0,0,-3,6,1,0.53125,-0.230957,0.843262,-2.9375,-0.5625,0.875,82,58,96,-7,-19,5,4,4,-13,7,-25,-1.15479,0.154297,0.178223,-6.6875,7.0625,3.5625,106,169,23
17,-1,-1,-1,-1,-1,-2,-8,9,0.540039,-0.210449,0.841797,-0.6875,0.5625,1.0625,82,58,96,-2,-3,-11,-5,-4,-31,-62,-13,-1.0498,0.134766,0.167969,-7.5625,8.3125,16.5,109,169,26
18,-1,1,-2,-2,-2,-3,-4,-6,0.511719,-0.230957,0.819336,-3.5625,1.875,0.75,82,58,96,3,5,7,2,-4,-1,0,3,-0.928711,0.148926,0.186035,-9.25,0.125,15.6875,110,168,27
19,6,2,-1,0,0,1,4,1,0.543457,-0.273438,0.82959,-7.0625,-0.0625,1.875,81,58,96,-7,-24,-1,-1,0,-1,-4,-1,-0.811523,0.146973,0.210938,-1.8125,-1.25,2.375,110,168,27
20,0,1,0,0,0,0,1,-13,0.519043,-0.225098,0.835938,6.25,0.125,-1.3125,82,58,96,6,27,30,10,5,2,22,11,-0.816895,0.190918,0.232422,22.125,-30.625,-3.3125,108,167,25
21,-1,-1,-1,-2,-1,-2,0,0,0.516113,-0.21875,0.842285,-1.625,1.4375,-1.9375,82,58,96,-7,13,-11,-4,3,5,11,-9,-0.845215,0.17627,0.343262,14.0625,-105.125,20.5625,105,162,21
22,-6,0,1,-2,-1,0,9,-15,0.533203,-0.245605,0.841797,-4.1875,1.3125,0.0625,82,58,96,-13,21,-8,1,4,46,-29,-13,-0.896973,0.130371,0.469727,27.6875,-121.188,18.9375,103,157,19
23,-4,-2,-1,-2,-2,-2,4,-4,0.524414,-0.238281,0.820312,-1.1875,-0.375,0.75,81,58,96,67,22,17,14,26,74,92,27,-0.993164,0.252441,0.442871,-3.375,-166.75,-4.125,100,149,15
