Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.112793,0.00292969,1.16406,-27.1875,135.438,15.1875,90,77,79,0,0,0,0,0,0,0,0,0.366211,-0.150391,0.984375,-1.125,-1,1.25,85,69,46
2,0,0,0,0,0,0,0,0,0.0405273,-0.161133,1.21436,-19.75,141.125,-6.5625,90,80,79,0,0,0,0,0,0,0,0,0.42334,-0.115723,1.02734,9.6875,-6.25,2.1875,85,69,46
3,-10,-6,-6,-14,-24,5,0,0,0.043457,-0.209473,0.998047,-123.5,77.1875,-13.5625,86,87,77,2,-5,-33,-3,-3,-4,-3,0,0.459961,-0.0527344,1.00293,21.5625,6.4375,-1.875,85,69,46
4,-16,-34,-8,-7,55,18,4,-4,0.015625,-0.121582,0.96875,-84.6875,48.4375,-57.5625,83,90,76,2,-4,40,19,10,3,3,7,0.475098,-0.130859,1.02588,-20.4375,62.6875,-24.9375,85,71,45
5,-13,-15,1,-1,-5,-2,-3,-2,0.0683594,-0.193848,0.901367,-93.6875,49.1875,-38.0625,81,92,74,1,-4,15,18,5,8,0,-7,0.415527,-0.132324,1.09961,-29.625,80.25,-20.375,85,72,45
6,-5,-4,17,17,-16,-21,-10,-4,-0.109863,-0.209473,0.840332,-66.4375,40.0625,-29.75,79,93,73,5,8,4,5,11,1,-10,-5,0.171875,-0.24707,1.20312,6.3125,145.688,-5,85,81,44
7,-6,0,0,21,-7,8,6,-1,-0.123535,-0.261719,0.835449,-35.6875,35.375,-11.375,78,95,73,-15,-2,-8,-4,0,4,-5,4,-0.0561523,-0.0649414,1.19189,7.25,183.312,-8.125,85,88,43
8,8,38,3,-4,7,5,-42,-17,-0.154297,-0.30957,0.828125,-39.25,26.375,-5.5625,77,96,72,-12,-1,-2,3,8,2,-28,-7,-0.210449,-0.174316,1.1792,45.4375,202,-0.5625,86,100,42
9,-6,-35,-22,-35,-44,-21,8,-4,-0.232422,-0.416504,0.80957,-19.0625,20.0625,1.25,77,97,72,-8,-14,-1,4,4,2,7,7,-0.367676,-0.0200195,1.07666,64.625,186.375,36.5,87,108,42
10,-13,-15,3,22,25,27,-6,-6,-0.198242,-0.411621,0.84375,-5.1875,11.4375,7.75,76,98,72,25,12,-30,-7,-8,4,8,7,-0.518555,-0.12793,0.958984,78.1875,171.812,61.3125,90,118,43
