Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,0.29248,0.421387,0.88623,-4.8125,-0.9375,1,102,72,103,0,0,0,0,0,0,0,0,0.288086,-0.242188,0.95166,-0.0625,-0.375,-0.3125,82,73,2
2,0,0,0,0,0,0,0,0,0.299316,0.396973,0.887207,-6.375,-2.25,1.0625,102,72,103,0,0,0,0,0,0,0,0,0.280273,-0.254883,0.971191,2.1875,0.6875,-0.8125,82,73,2
3,-2,0,-1,0,-1,-2,1,-1,0.300781,0.364258,0.868164,-5.3125,-1.0625,1.25,101,72,104,-1,-1,3,1,9,-7,-4,-11,0.294434,-0.191895,0.996094,-0.8125,-0.8125,-2.4375,82,73,2
4,-1,-1,-2,-1,-2,-1,-1,0,0.302246,0.391602,0.875977,3.5625,1.5,0.9375,101,72,104,-22,2,-4,-2,-9,-6,-1,2,0.433594,-0.207031,0.969238,-35.375,7.875,17.5625,82,73,3
5,-1,-2,-1,-1,-1,-1,-1,-1,0.310547,0.379883,0.886719,2.6875,-0.125,-1,101,72,104,32,1,-11,-15,-19,-36,-18,3,0.458984,-0.219238,0.969238,-50.5625,33.0625,19.3125,81,74,3
6,-1,-3,0,0,-2,0,-1,0,0.30127,0.410645,0.881348,1.8125,0.8125,-1.375,102,72,104,2,-33,8,6,3,27,7,-6,0.0820312,-0.326172,1.15088,29.1875,95.625,46.625,81,80,3
7,-1,-2,-2,-2,-2,-1,-1,-2,0.291504,0.387695,0.889648,-2.5625,0.125,0.3125,101,72,104,2,1,-36,-47,-25,-24,-3,4,-0.208496,-0.402832,1.20801,22.6875,183.438,84.25,82,90,4
8,0,-3,-1,-2,-2,-1,-1,-1,0.29834,0.406738,0.880859,1.6875,-0.25,0.3125,102,72,104,4,-5,-7,-4,-13,-9,3,5,-0.354004,-0.228027,1.22998,51.75,225.812,106.625,83,99,5
9,-1,1,-1,0,-2,0,-1,-4,0.303711,0.402832,0.880371,-0.4375,-0.25,-0.1875,102,72,104,-35,-4,-30,6,5,-3,4,0,-0.600098,-0.0141602,1.04785,82.1875,276.25,158,86,117,7
10,-2,-1,0,-1,-1,-1,0,-1,0.290039,0.385742,0.87793,1.375,1.1875,-1,102,72,104,15,77,88,20,8,-1,-1,2,-0.580566,-0.0449219,0.935059,71.875,273.875,136.438,89,128,10
11,1,0,-2,0,-2,-1,0,0,0.296875,0.403809,0.881836,3.125,0.4375,-1.3125,102,72,103,-9,53,-25,-44,-10,-10,-5,-13,-0.6875,-0.0170898,0.603027,62.4375,225.938,101.5,95,142,16
12,0,-1,0,-1,-1,-1,0,-1,0.303711,0.402832,0.891602,0.5,-0.0625,0.1875,102,72,103,0,-17,16,7,3,6,-1,-5,-0.586426,-0.050293,0.472656,61.875,144.25,59.625,99,148,20
13,-1,-1,-1,0,0,-3,0,-1,0.295898,0.412109,0.879883,-6.8125,-1.9375,2.4375,102,72,103,-5,13,-25,-10,-4,-13,-28,3,-0.503418,0.097168,0.442871,19.8125,55.875,9.25,103,151,24
14,-3,-1,-2,-2,0,-2,0,-1,0.289062,0.387207,0.905273,-8,-2.75,2.6875,101,72,104,-12,17,3,7,4,39,20,8,-0.837891,0.0883789,0.445312,15.125,-0.0625,-3.5625,104,152,23
15,-2,-3,-3,-2,-1,0,0,-2,0.302246,0.397461,0.875488,-5.875,-4.875,2.4375,101,72,104,-1,-7,-16,-5,-11,3,-1,3,-0.892578,0.134277,0.432129,-11.6875,7.5625,32.6875,104,152,24
16,1,1,-1,-3,1,-2,-1,0,0.318359,0.379395,0.865723,-3.75,-1.625,1,101,72,104,-3,1,-11,6,4,22,14,-2,-0.880859,0.214355,0.433105,-18.5,8.125,21,105,151,25
17,-1,0,-2,0,-3,0,0,-1,0.313477,0.406738,0.885742,-0.875,0.875,1,101,72,104,0,6,-2,-2,-1,-3,-6,-4,-0.833496,0.227539,0.452637,-9.625,2.3125,3.0625,105,151,25
18,-1,0,-1,-1,-1,0,-2,-1,0.31543,0.34375,0.884766,-3.0625,-3,-0.1875,101,72,104,-2,15,-11,-7,-2,-7,-2,-2,-0.756836,0.233887,0.47998,-0.875,-2.375,-2.375,104,151,25
19,-1,-2,-2,-1,-1,-2,-2,1,0.324219,0.387207,0.869141,2.0625,-2.625,-0.25,101,72,104,0,-38,9,4,5,3,-1,-9,-0.765625,0.194824,0.487793,21.4375,-7.4375,-19.0625,104,150,24
20,-1,-2,-1,-1,-1,-1,-1,-1,0.313477,0.401367,0.875,-4.375,-0.25,2.6875,101,71,104,-1,-8,-21,-29,-4,-7,-3,-3,-0.83252,0.243652,0.477539,35,5.3125,-53.9375,103,151,23
21,-1,-1,-2,-1,-1,0,0,-3,0.306152,0.35498,0.882812,4.375,1.1875,0.5,101,72,104,-1,25,28,2,1,-7,-5,-4,-1.0625,0.17334,0.464844,21.125,36.875,-50.25,101,154,20
22,-2,1,0,-1,-1,-1,-1,-1,0.304199,0.385254,0.887695,2.4375,1.625,-1.0625,101,72,104,0,-23,-32,-27,-8,-5,-2,-1,-1.18018,0.180664,0.362305,21.5,64.4375,-32.5625,101,157,20
23,-1,0,-3,-1,0,1,-1,1,0.302734,0.388184,0.886719,1.875,1.125,-1.125,101,72,104,-1,43,83,18,7,3,-2,1,-1.08008,0.137695,0.263672,33.25,75.5625,-4.3125,103,161,21
24,-2,-2,-1,-1,0,0,-1,0,0.305664,0.384766,0.882812,1.0625,0.125,-1,101,72,104,-2,9,6,0,-4,6,9,0,-1.05273,0.126465,0.192871,16.75,68.125,27.9375,108,164,25
25,-1,-1,0,0,1,0,-1,-1,0.299316,0.384766,0.890137,0.5,0.4375,-0.5625,101,72,104,4,1,-14,0,3,33,5,-5,-0.951172,0.262695,0.174316,-20.8125,-0.8125,8.75,116,161,35
26,-1,-1,-3,1,-2,-1,0,0,0.306641,0.379883,0.879883,4.5,1.125,-0.9375,101,72,104,-3,-19,0,-4,2,-16,-15,-4,-0.943848,0.200195,0.226562,-29.8125,-18.125,26.4375,115,160,35
27,-2,-1,0,-1,-1,-1,-1,-3,0.30127,0.385742,0.879883,4.25,2.1875,-1.4375,101,72,104,3,16,-1,4,15,46,4,1,-0.912109,0.223145,0.253418,-27.1875,-16.8125,24.9375,115,159,35
28,-1,-2,0,0,-2,-3,-3,-2,0.302246,0.399902,0.871582,8.1875,1.75,-2.125,102,72,104,0,8,0,-6,-1,49,31,13,-0.916016,0.291016,0.269043,-16.5,-7.0625,13.9375,114,158,35
29,0,0,1,-2,0,2,-3,0,0.307617,0.416504,0.87793,5.375,1.6875,-2.9375,102,72,103,-6,-21,15,-6,-5,-7,22,4,-0.916504,0.293945,0.277832,-11.5,-5.75,-2.875,114,157,34
30,-1,-1,0,-1,0,0,0,-1,0.289551,0.421387,0.889648,-2.8125,1.0625,0,102,72,103,2,-3,-7,-2,-7,-18,-15,-6,-0.943848,0.309082,0.291016,-6.375,0.375,-1.75,113,157,34
31,-2,-1,-2,-1,-3,-3,-1,-1,0.291992,0.396484,0.914551,-6.875,-3.125,0.3125,102,72,103,-4,-24,-51,-15,-2,-3,-5,-3,-0.845215,0.300781,0.355957,5.6875,-8.4375,-4.125,113,157,34
32,-2,0,-1,-1,-1,-1,0,-2,0.278809,0.367676,0.862793,-13.8125,-5.375,3.5625,101,72,103,3,-50,-76,-3,-5,-13,-9,-15,-0.777344,0.222656,0.311523,29.8125,-9.1875,-17.125,112,157,33
33,0,-1,0,-2,-1,-3,-1,-4,0.293457,0.390625,0.880859,4.625,-0.5625,0.0625,101,72,103,-4,-21,-18,8,5,8,-1,-1,-0.651367,0.0888672,0.233887,-9.875,-63.75,-32.875,109,156,29
34,-1,-1,-2,0,-2,-2,-2,-2,0.299316,0.405762,0.856934,1.875,-1.625,1.75,101,72,103,-5,17,-8,-4,-4,-4,-1,2,-0.506348,0.000488281,0.313477,-35.5,-139.25,-52.8125,102,152,22
35,-1,-3,-2,0,0,-2,-1,-1,0.288574,0.34668,0.918457,-0.9375,5.4375,1.125,101,72,104,3,5,-5,-3,-2,-8,3,47,-0.592773,-0.0581055,0.44043,-73.6875,-181.875,-63.125,96,146,17
36,-3,-2,-2,-2,-2,0,0,-1,0.251953,0.359375,0.931152,4.3125,-1.625,2.25,101,72,104,18,4,-2,0,-1,-2,5,25,-0.672852,-0.10498,0.741699,-96.3125,-266.562,-92.5625,90,133,12
37,0,-3,0,0,0,-2,-1,-2,0.296387,0.490234,0.820312,2.9375,-5.1875,-4.5625,102,72,103,-10,-5,4,-13,3,9,-4,-13,-1.1709,-0.135254,1.10693,-84.3125,-317.5,-169.5,86,120,9
38,-2,-2,0,0,0,0,-1,-1,0.363281,0.37793,0.862305,19.1875,5.4375,2.9375,101,72,103,26,-6,0,13,0,-6,-1,4,-0.647461,0.0634766,1.43359,-81.3125,-367.312,-126.312,83,97,6
39,-2,-1,0,-1,-2,-1,0,0,0.244629,0.473633,0.907227,-9.3125,9.5,1.25,102,72,104,29,-18,-6,-11,-7,-5,2,7,-0.378418,0.0405273,0.812988,-192.062,-265.188,-56.75,79,86,6
40,0,-1,-1,-1,-1,-1,0,-2,0.263184,0.334961,0.888672,8.625,-1.4375,-0.4375,101,72,104,52,7,5,6,3,12,-2,-1,0.575684,-0.56543,1.21045,137.125,-150.188,-100.688,80,73,6
41,-2,0,-2,0,0,-3,-2,-2,0.304199,0.367676,0.858398,2.5,-0.625,-5.375,101,72,104,-44,0,-1,5,1,1,-2,-3,0.414062,-0.0380859,1.32861,-87.75,-69.875,17.9375,80,69,6
42,0,-1,-1,0,0,-2,0,-2,0.311523,0.432617,0.871582,9.625,2.0625,-2.625,102,72,103,-16,3,-3,-2,0,1,-1,-2,0.288086,-0.406738,0.842773,165.188,26.625,35.75,81,71,7
43,-1,0,-2,-2,-2,-2,-1,-1,0.288086,0.410156,0.891602,4.8125,5.5625,-2.875,102,72,103,-3,-1,-2,-2,-3,0,-2,1,0.201172,0.0722656,0.759766,82.4375,9.4375,3.4375,83,71,7
44,-2,-3,-1,0,-2,-1,-1,-2,0.303223,0.421387,0.864258,5.75,2.0625,-0.75,102,73,103,-6,-8,2,0,1,-1,-1,0,0.277344,-0.379395,0.779785,-28.4375,-27.9375,-13.9375,82,71,7
45,0,0,-2,-1,-1,0,-2,-1,0.265137,0.409668,0.891602,6.25,3.1875,-1.0625,102,73,103,6,5,1,-1,0,1,2,0,0.580078,-0.294922,1.08398,1.8125,-1.375,1.5625,82,69,7
46,-1,0,-1,0,-1,0,-2,0,0.277832,0.439453,0.893066,1.875,-1.0625,0.75,102,73,103,-3,-1,0,0,-1,0,0,1,0.312012,-0.141113,0.998535,35,23.8125,-2.4375,83,70,6
47,0,0,-1,-2,0,-1,0,-1,0.285156,0.444824,0.871094,-2.5625,-3.4375,1.5625,102,73,103,0,2,-2,-1,0,-1,-2,-2,0.216309,0.000488281,0.975098,7.3125,7,-13.0625,84,70,6
48,-2,-1,-2,-1,-1,0,-2,-3,0.303711,0.416992,0.867676,-7.875,-3.5,0.875,102,73,103,-10,-1,-1,-1,0,-1,0,-3,0.268066,-0.172852,0.980957,3.1875,-6.625,-1,84,70,6
49,-2,-2,-1,-1,1,-2,-1,0,0.289062,0.405273,0.870605,-2.875,-0.6875,2,102,72,103,1,-3,-3,-4,-2,-2,-1,-2,0.327148,-0.202637,0.96875,9.1875,-5.9375,2.1875,84,70,6
50,0,-2,0,-2,0,-1,0,-1,0.291992,0.405762,0.88623,-0.8125,0.125,0.625,102,72,103,-2,-1,-1,-1,-1,-1,-1,-1,0.328613,-0.154785,0.962402,11.4375,-2.5,-1.75,84,70,6
