Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.496094,-0.378906,0.806152,-1.375,1,-0.9375,77,119,145,0,0,0,0,0,0,0,0,-0.424316,0.317383,0.894531,-1.4375,3.625,1.3125,100,115,58
2,0,0,0,0,0,0,0,0,-0.496094,-0.378906,0.806152,-1.375,1,-0.9375,77,119,145,0,0,0,0,0,0,0,0,-0.410156,0.315918,0.90332,-1.625,6.0625,1.6875,100,115,58
3,0,-1,-2,-1,0,0,0,0,-0.51123,-0.397461,0.804199,0.1875,4.25,-2.125,77,119,145,-2,-3,-5,-5,0,7,-5,1,-0.507812,0.513672,1.11084,-24.875,-23.9375,6.875,99,115,58
4,-1,-1,-3,0,0,0,-3,-1,-0.510742,-0.393555,0.787109,-0.1875,3.1875,-0.75,76,119,145,1,-1,-15,-6,-5,-47,2,-4,-0.558594,0.508301,1.25977,-112.625,-95.8125,39.1875,98,111,58
5,-2,-2,-1,0,-2,0,2,-2,-0.522949,-0.405273,0.78125,-2.4375,-1.6875,0.0625,76,119,145,-6,2,14,3,3,24,16,1,-0.344727,0.185059,1.40283,-42.1875,-179.25,78,96,101,59
6,-1,-2,0,0,-1,-1,-2,-2,-0.499512,-0.409668,0.801758,-0.375,-4.1875,0.375,76,119,145,-3,6,-10,-1,-5,-35,4,-3,-0.0581055,0.353516,1.18604,-21.375,-244.062,121.688,95,87,61
7,-2,0,-1,-2,-3,-1,-3,-1,-0.491699,-0.374512,0.811035,2.125,-1.3125,1.625,76,119,145,-2,-2,-4,1,-3,-27,-5,-1,0.0751953,0.312988,1.05469,-67.6875,-265.25,127.812,94,76,62
8,0,0,-1,-1,-1,-2,-1,-3,-0.513672,-0.387207,0.81543,1.6875,0,1.6875,77,119,145,1,0,6,2,0,26,-10,3,0.301758,0.121582,0.802734,-80,-280.312,143,90,59,66
9,-3,-2,0,-1,0,0,-1,-1,-0.510254,-0.378418,0.799316,0.625,-0.0625,1.0625,77,119,145,-1,7,0,2,0,-18,-12,2,0.527344,-0.00732422,0.504395,-28.5,-252.688,157.125,85,43,72
10,0,-2,-2,-1,-1,0,-2,0,-0.512695,-0.38916,0.802734,2.0625,-1.625,0.6875,77,119,145,8,1,1,-3,-18,-41,7,3,0.503418,-0.0253906,0.37207,-15.5,-215.938,156.188,80,36,79
11,1,0,-2,-1,-1,-1,-2,0,-0.500977,-0.371582,0.804688,2,-2.125,-0.125,77,119,145,-1,-8,-3,-2,1,111,-26,-3,0.500977,-0.175293,0.243164,-23.5,-178.125,142.125,73,32,86
12,-2,-1,-1,-1,0,-2,0,0,-0.489746,-0.386719,0.810059,0.375,-0.4375,-0.3125,77,119,145,-4,9,6,-2,-5,6,7,1,0.578125,-0.426758,0.221191,32.0625,-98.0625,102.188,65,31,96
13,-1,0,1,-2,-2,1,-2,0,-0.496094,-0.385254,0.800781,0.5625,0.5625,0.25,77,119,145,-1,-2,-7,0,0,-11,-1,-4,0.670898,-0.449707,0.236816,55.75,-39.6875,58.375,62,33,101
