Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.513672,-0.629883,0.805176,-13,-6.5,14,70,117,136,0,0,0,0,0,0,0,0,-0.335449,0.550781,0.786133,-1.3125,0.4375,-0.3125,107,109,69
2,0,0,0,0,0,0,0,0,-0.519531,-0.588867,0.828125,-6,-14.125,13.75,70,117,137,0,0,0,0,0,0,0,0,-0.331055,0.548828,0.791016,-1.875,0.4375,-0.4375,107,109,69
3,1,7,-1,1,2,-2,1,-1,-0.245605,-0.895996,1.14648,-14.1875,-89.3125,-16.125,70,112,138,1,0,-1,-3,-1,1,-1,-1,-0.332031,0.558594,0.803711,-2.0625,1.75,-0.625,107,109,69
4,-7,-7,-2,3,1,-9,0,1,-0.163574,-0.687988,1.21631,-12.1875,-134,-62.0625,71,104,139,0,0,-1,-7,-1,-1,1,-3,-0.327148,0.580078,0.824219,-1.6875,6.9375,-0.1875,107,109,70
5,-4,-2,-11,-8,-5,-6,-3,-6,-0.143555,-0.827148,1.11328,-2.3125,-163.375,-76.125,71,97,140,0,1,0,0,0,-2,0,-1,-0.335938,0.530273,0.819336,-15.9375,6.125,-0.1875,107,109,70
6,-5,0,-4,-1,0,-2,-2,-8,-0.0791016,-0.753906,0.839355,17.6875,-161.938,-76.3125,72,87,141,-3,-4,-5,-6,-5,-4,-3,-3,-0.292969,0.609375,0.850586,0.9375,13.4375,19.875,107,109,70
7,-3,-3,1,1,-1,3,3,-2,-0.0473633,-0.632812,0.629395,55.1875,-120.812,-65.75,73,78,141,-1,10,4,1,3,1,3,2,-0.230469,0.713379,0.958008,-64.1875,-7,27.25,106,108,71
8,1,-1,0,-3,3,7,9,14,-0.00537109,-0.424805,0.501465,45.6875,-77.875,-39.125,74,72,142,4,12,21,-4,21,13,3,1,-0.292969,0.479004,1.23535,-112.438,-54.125,40.25,103,105,71
9,0,2,-7,-7,-2,3,3,3,0.0410156,-0.437012,0.50293,12,-49.625,-32.625,74,70,142,6,6,5,17,5,9,3,5,-0.119141,0.492188,1.33203,-7.25,-98.1875,69.5625,102,100,71
10,7,8,-5,-4,-2,-1,-1,-1,0.0942383,-0.424316,0.566895,14.4375,-33.25,-25.5625,74,69,142,4,5,6,2,-8,3,7,2,0.0151367,0.706543,1.22363,-6,-159.312,104,102,90,72
11,2,7,8,4,1,1,1,7,0.328125,-0.388672,0.692383,12.0625,-8.75,-18.25,75,68,142,4,9,3,-8,7,19,11,4,0.134277,0.640137,1.18311,-55.8125,-180.062,121.688,101,82,73
12,0,-23,-41,-15,1,9,10,8,0.364746,-0.430664,0.76416,-9.1875,5.75,-12,75,67,141,-4,-12,-6,-5,-2,-65,-2,-4,0.320312,0.4375,1.06787,-72.5625,-197,128.875,99,68,74
13,-6,-11,1,2,-2,-2,-4,-8,0.366211,-0.443848,0.808105,-4.3125,7.5625,-8.1875,75,67,141,1,4,0,-4,-4,12,2,1,0.383301,0.387207,0.938965,-60.5,-191.062,121.875,97,60,75
14,-2,5,5,0,0,2,2,-2,0.370117,-0.437988,0.850098,1.75,4.875,-2,75,68,141,6,9,6,3,2,1,-4,0,0.38623,0.203125,0.67041,-53.125,-159,85.0625,94,48,78
15,10,21,21,6,2,8,1,0,0.366699,-0.441895,0.850098,-5.875,3.375,-3.375,75,68,141,2,0,-4,-1,1,21,12,1,0.311035,0.133301,0.553223,-26,-120,67.8125,92,43,79
16,-2,16,13,1,-2,-5,-1,-2,0.36377,-0.48877,0.842285,-5.1875,-3.75,-0.1875,75,68,140,-3,-5,-6,-5,-2,-7,-5,-3,0.242676,0.0888672,0.44873,-30.625,-86.0625,48.8125,91,40,80
17,-1,3,1,-3,-7,-14,-5,-5,0.356445,-0.491699,0.840332,-7.0625,-8.875,-5.3125,75,67,141,-5,4,5,0,-1,-6,-15,-8,0.325195,-0.128906,0.330078,-12.8125,-29.5,16,88,36,82
18,-3,-11,-26,-10,1,4,2,1,0.386719,-0.489746,0.83252,-7.25,-8.25,-12.8125,74,67,140,0,3,2,0,3,-9,0,2,0.430176,-0.104492,0.27002,9.1875,-2.0625,3.1875,88,36,83
