Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.332031,-0.759766,0.57373,-1.4375,3.0625,0.3125,62,109,105,0,0,0,0,0,0,0,0,-0.524902,0.42627,0.841309,2.9375,4.75,0.625,103,118,130
2,0,0,0,0,0,0,0,0,-0.328613,-0.827637,0.55957,-6.5,3.25,-0.1875,62,109,105,0,0,0,0,0,0,0,0,-0.546875,0.405762,0.818848,3,-16.75,10.0625,103,117,130
3,2,1,0,-1,0,0,-1,0,-0.371582,-0.794434,0.532227,-3.5625,1.4375,1.125,62,110,104,-8,-13,-3,-6,-60,-8,-2,-4,-0.57666,0.527344,1.04004,2.8125,-52,38.0625,103,115,130
4,-1,1,2,0,1,1,0,0,-0.354492,-0.8125,0.528809,-4.75,0.0625,-0.3125,62,110,104,3,15,11,11,31,-12,-5,-3,-0.528809,0.549316,1.10303,58.5,-88.9375,82.625,104,111,130
5,-1,-2,0,1,-1,1,-1,-1,-0.355469,-0.766113,0.561035,0.9375,-3.8125,0.5,62,110,105,5,-1,4,-1,28,24,18,14,-0.296875,0.872559,1.0249,-63.125,-139.188,118.688,104,104,131
6,-2,-2,0,0,1,-2,0,-1,-0.352051,-0.782227,0.566895,-3.9375,-1.8125,-0.25,62,110,105,-5,-7,-2,-4,-14,8,-1,-2,-0.269531,0.462891,1.07568,-89.4375,-180.938,138.312,101,92,132
7,-2,-1,0,0,-2,-1,-3,0,-0.349609,-0.799805,0.55127,0.9375,2.1875,-0.625,62,110,105,11,4,-9,-18,-33,-44,-14,2,0.0351562,0.391602,0.905273,-23.1875,-205.625,181.5,99,78,135
8,-1,1,-3,0,1,-1,-2,0,-0.348633,-0.793457,0.544922,2.125,2.9375,-0.1875,62,110,105,19,5,-2,-1,-20,-60,-12,12,0.308594,0.278809,0.671875,-40.4375,-196.562,203.625,97,63,139
9,-2,-2,-1,0,0,-2,-2,-1,-0.354492,-0.788574,0.544434,0.4375,0.5,-0.75,62,110,105,-3,2,7,14,34,0,8,-1,0.441895,0.0942383,0.583984,-62.5625,-176,193.5,94,54,142
10,0,2,1,-3,-1,0,1,2,-0.349609,-0.787109,0.556152,0.9375,-2.5625,-1.125,62,109,105,6,2,3,2,4,15,3,1,0.550293,-0.13916,0.500488,-22.0625,-131.812,161.562,89,44,149
11,-1,-2,-1,0,1,-1,-1,-1,-0.338867,-0.792969,0.564453,-0.1875,-1,-0.75,62,109,105,0,1,1,0,2,3,-4,-2,0.626953,-0.23291,0.435547,18.375,-96.25,133.125,86,40,153
12,0,2,2,0,-2,-1,-1,-1,-0.349121,-0.802246,0.554688,0.5625,0.5625,1.25,62,109,105,9,2,0,4,-13,21,-1,9,0.682129,-0.279785,0.450195,15.0625,-38.4375,69.75,82,38,158
13,-1,-2,-2,-2,-4,0,-2,-3,-0.34668,-0.786133,0.548828,1.125,0.6875,0.8125,62,109,105,-3,0,2,0,7,2,-1,-4,0.68457,-0.272949,0.478027,12.25,-12,30,81,38,160
14,0,-2,-2,-1,-1,-1,-1,-3,-0.355469,-0.774414,0.553711,0.25,0.1875,0.9375,62,110,105,-2,-8,-7,-15,-19,-10,2,-2,0.758301,-0.286133,0.512207,17.3125,5.8125,-18.9375,81,38,160
15,0,-1,1,-1,-2,0,-2,-1,-0.36084,-0.788574,0.554688,-2,-0.8125,0.125,62,110,105,-12,-12,-6,1,3,4,-4,-13,0.755859,-0.275879,0.533691,-10.8125,32.5625,-58.875,82,38,158
16,-2,-3,-2,-1,-1,-2,-1,-3,-0.348145,-0.789062,0.552246,-0.5625,-1.1875,-0.75,62,110,105,1,-1,0,3,3,-1,-1,-3,0.753418,-0.229004,0.57666,-14.125,54.0625,-81.625,84,39,156
17,0,-3,0,1,0,-2,0,-1,-0.341309,-0.783203,0.563477,0.1875,-0.5,-0.125,62,109,105,0,-4,-2,-4,0,10,3,2,0.749512,-0.144043,0.638184,-6.5625,66.5625,-92.0625,86,41,153
18,-2,0,-1,0,1,-1,-2,-1,-0.348633,-0.787109,0.556152,-1.5625,1.125,0,62,109,105,-2,-1,-2,-4,-8,-11,-6,-2,0.690918,0.0273438,0.753906,9.0625,57.875,-81,89,45,149
