Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.0966797,-0.0273438,1.01367,2.625,-0.5625,-0.6875,89,94,87,0,0,0,0,0,0,0,0,-0.164062,-0.0878906,1.03369,12,9.1875,0.6875,87,97,75
2,0,0,0,0,0,0,0,0,-0.0883789,-0.0317383,1.01953,1.0625,0,-0.5,89,94,87,0,0,0,0,0,0,0,0,-0.146973,-0.109375,1.05225,5.6875,16.1875,4.3125,87,98,75
3,3,2,2,0,1,3,6,-13,-0.0864258,-0.0175781,1.01562,4,0.875,1.1875,89,94,87,-6,-9,-10,3,-11,-25,-5,-5,-0.225586,-0.151367,1.06104,-2.0625,-0.875,8.4375,87,99,75
4,-4,-1,-2,0,-1,-3,-1,8,-0.0844727,-0.0253906,1.01562,0.75,1.4375,1.5,89,94,87,-2,-5,-2,21,-1,-7,1,0,-0.275391,0.059082,1.1001,18.4375,-66.75,30.0625,88,97,76
5,3,3,1,1,1,0,1,-4,-0.0913086,-0.0239258,1.0166,0.0625,2.5625,3,89,94,87,0,-1,-1,-5,-5,-3,1,0,-0.230469,0.0976562,1.1084,42.25,-82.3125,76.125,89,95,77
6,-2,-3,-3,-3,-1,-1,-3,11,-0.0883789,-0.0239258,1.01074,2.75,2.625,3.5625,89,94,87,4,4,2,8,4,-3,-4,17,0.158203,0.125,1.1416,62.75,-130.75,104.875,91,86,80
7,1,-2,0,-2,-1,0,0,10,-0.0825195,0.0126953,1.01465,3.6875,1.4375,1.875,89,95,87,3,2,2,21,16,2,-1,-12,0.21875,0.149902,1.02686,42.5625,-145.812,123.562,91,80,83
8,4,0,1,-2,1,2,8,7,-0.0830078,-0.00244141,1.01855,-0.8125,0.0625,0.25,89,95,87,6,8,8,10,-21,-7,-2,-4,0.423828,0.0131836,0.971191,-17.0625,-161.312,133.75,91,70,86
9,0,0,-1,-1,-2,-2,1,7,-0.0849609,-0.0195312,1.01172,-0.4375,-0.4375,-0.5,89,95,87,-1,-7,-10,6,-10,-7,0,-4,0.558105,-0.112305,0.917969,-8.875,-158,110.188,89,60,90
10,-2,-2,-1,-1,-2,-2,-2,-5,-0.0864258,-0.0131836,1.02441,-1.1875,-0.8125,-1,89,95,87,-6,-5,-10,-11,-4,1,2,1,0.585938,-0.138672,0.8125,-21.4375,-144.75,92.9375,87,55,93
