Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,0.140625,-0.260254,0.973633,19,-47,-28.75,79,77,137,0,0,0,0,0,0,0,0,-0.112305,0.0371094,1.10791,1.375,0.375,3.1875,90,93,64
2,0,0,0,0,0,0,0,0,0.130859,-0.31543,0.999512,3.1875,-51.0625,-20.5,79,76,137,0,0,0,0,0,0,0,0,-0.166016,0.0537109,1.15576,6.9375,0.875,15.6875,90,93,64
3,-7,-17,22,13,7,8,-5,-19,0.242188,-0.46875,0.785156,10.25,-26.4375,-17.625,78,73,137,1,-8,-6,-4,3,-15,21,9,0.00683594,0.101562,1.11035,-27.6875,-21.25,75.625,90,92,66
4,0,-5,-40,-12,-2,4,1,-1,0.337402,-0.328613,0.818359,4,-29.4375,-2.1875,79,71,137,-4,0,1,3,-5,-15,1,5,0.0834961,0.0991211,1.05615,-55.4375,-14.75,88.8125,89,91,68
5,10,3,-30,10,12,6,-3,-2,0.319336,-0.34668,0.809082,9.0625,-18.5625,-0.5,79,70,137,23,14,4,3,24,65,21,23,-0.00488281,-0.182129,1.02979,-69.9375,-8.6875,70.3125,87,90,70
6,55,-51,8,24,15,7,-2,-28,0.183594,-0.291992,0.884766,12.625,-34.375,17.875,79,69,138,-19,-8,-7,-5,-17,-69,-15,-16,0.0102539,-0.168457,1.04004,-77,-31.5625,29.1875,85,89,72
7,-31,3,-21,-12,0,6,15,5,0.494141,-0.322754,0.820312,-7.625,-28.375,11.9375,79,68,138,11,4,0,0,0,-11,12,7,0.0166016,-0.243164,1.00488,-89.0625,-37.6875,10,83,88,72
8,-10,42,-12,-8,3,0,-2,20,0.291992,-0.303223,0.843262,8.1875,-15.9375,24.25,79,67,139,-15,-6,-15,21,-7,30,19,6,-0.012207,-0.25293,0.985352,-68.1875,-19.8125,-8.625,81,87,72
9,-10,22,44,3,0,-2,-8,-14,0.338867,-0.281738,0.836426,11.3125,-21.9375,36.25,79,67,140,-1,-1,-3,-25,6,29,-12,-3,-0.0112305,-0.349121,0.950684,-44.3125,-25.3125,-12.1875,80,86,72
10,-5,-4,-5,2,3,-2,-4,13,0.467285,-0.365723,0.822266,-24.875,-8.25,48.875,78,67,141,-10,-7,-3,3,0,11,-9,-5,0.0473633,-0.419434,0.836426,-13.75,-0.6875,-65.5625,79,85,71
