Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.891602,-0.226562,0.860352,15.9375,-36.0625,-82.6875,88,105,70,0,0,0,0,0,0,0,0,-0.291992,-0.0571289,1.20264,-39.9375,21.8125,14.6875,91,101,43
2,0,0,0,0,0,0,0,0,-0.507324,-0.00683594,1.04053,51.6875,-89.875,-133.562,89,102,67,7,23,44,-2,-4,3,-1,0,-0.397949,-0.198242,0.992188,-11.9375,44.5625,39.375,90,103,44
3,-66,-68,-2,-21,-19,-6,-73,-14,0.0673828,-0.249512,1.07422,-36.9375,-108.5,-164.125,87,95,63,9,1,-14,3,-2,-7,-3,2,-0.878906,-0.0986328,0.672852,-126.75,-22.625,89.25,88,105,46
4,12,-30,57,30,7,-23,54,-18,0.422363,-0.165527,0.891113,8.3125,-47.625,-131.562,87,89,59,-18,2,-8,9,1,-5,0,-8,-0.64502,-0.137695,0.994141,-90.8125,-55.375,154.188,87,104,49
5,-1,10,0,-36,-39,2,-31,-10,0.543945,0.0532227,0.831055,-33.125,60.3125,-68.3125,87,89,57,-11,-18,-29,-21,-9,0,-5,3,-0.209473,0.0532227,1.20215,9.25,-61.875,212.812,88,101,55
6,-15,10,-14,-33,-20,-7,-3,-12,-0.100586,0.0820312,0.942871,21.4375,88.0625,-15,87,94,56,2,-3,4,22,14,33,2,-20,0.341797,0.104492,1.03516,99.9375,-53.5,170.188,91,98,61
7,-6,-18,-31,-3,1,1,13,2,-0.197266,-0.20752,1.06104,-13.75,44.8125,-3.9375,86,98,55,-13,7,19,8,10,1,-4,-11,0.383789,-0.0244141,0.927734,-40.1875,-13.25,153.75,92,95,66
8,-20,-11,29,3,16,7,6,-26,-0.129395,-0.0449219,1.12109,-7.375,15,1.4375,86,99,55,32,-14,-17,3,-10,-3,-5,9,0.188477,-0.611816,1.08154,51.3125,21.0625,42.0625,92,94,67
9,3,28,25,22,14,-12,2,14,-0.130371,-0.11377,1.20703,-18.75,0.3125,4.25,86,99,55,23,8,6,-3,20,14,-8,0,-0.147949,0.138184,0.908691,57.125,41.625,-12.8125,93,96,67
10,-1,9,12,5,-8,-3,-7,10,-0.171387,-0.0966797,1.23877,5.5625,-4.3125,-2.5,86,98,55,-50,-6,1,0,7,5,2,1,-0.172852,0.101074,1.01953,1.0625,17.5625,-7.875,93,98,67
11,-8,-2,1,4,-23,9,2,1,-0.179199,-0.110352,1.28467,20.5,-25.125,-18.8125,87,97,55,-6,-3,-12,8,-14,-9,-2,16,-0.102539,0.119141,1.10303,-3.1875,5.875,3.3125,93,98,67
12,4,-3,-17,-19,-13,-13,1,-1,-0.0727539,-0.12207,1.31494,33.125,-59.375,-23.75,87,95,55,-10,11,-6,-7,-18,-10,-10,-18,-0.127441,0.0810547,1.18896,-6.25,1.75,6.625,93,98,67
13,4,0,28,-39,-43,-11,22,-16,0.140625,-0.0805664,1.26074,92.4375,-120.688,-37.25,89,89,54,-8,-18,0,9,-10,-2,5,-9,-0.197754,0.154297,1.22754,-16.9375,-25.75,17.75,92,97,67
14,-5,20,13,29,34,24,16,-11,0.286133,0.155273,1.09717,110.375,-142.875,-34.9375,91,83,53,-24,-13,-35,-23,-11,-2,-4,-9,-0.121094,0.162598,1.24463,-37.1875,-63,31.8125,92,95,68
15,-3,-7,-12,1,-6,-7,-9,3,0.387695,0.13916,0.907715,121.375,-168.938,-26.75,95,74,52,-5,17,1,9,1,-2,1,-15,-0.0239258,0.0825195,1.19727,-60.125,-104.5,38,91,91,68
16,-18,25,-4,9,4,8,1,-3,0.426758,0.290527,0.723633,136.188,-173.812,-30.75,98,67,50,-19,-19,-3,-24,-21,26,10,-2,0.239746,-0.0927734,1.03369,-85.625,-145.312,48.4375,88,83,70
17,-16,16,0,2,-1,6,-19,-12,0.490723,0.366699,0.455078,90.25,-147.688,-7.5,103,59,48,-18,-39,3,14,19,-50,-27,-25,0.351562,-0.250977,0.875977,-99.9375,-158.062,33.375,85,74,71
18,26,-30,-11,-7,-1,-8,-14,-5,0.51123,0.467285,0.286621,5.6875,-85.3125,51,105,52,46,28,27,-2,12,17,-65,-8,-9,0.448242,-0.338379,0.729004,-94,-133.375,27.8125,82,66,73
19,-42,51,18,7,0,-4,-5,6,0.513184,0.292969,0.388184,-46,-17.625,99.8125,103,49,48,5,-4,1,-5,-11,-1,14,-2,0.465332,-0.430664,0.657227,-88.3125,-117.875,4.75,79,61,74
20,16,-11,3,14,12,-13,-65,-2,0.451172,0.193359,0.526367,-19,72.75,144.125,99,48,53,7,-7,-1,-6,-6,-13,9,-7,0.442383,-0.427734,0.57666,-82.625,-88.1875,19.875,76,56,76
21,-4,-31,-11,5,4,24,10,-9,0.346191,0.194824,0.536621,-13.375,146.938,147.5,96,52,58,6,-9,-6,-12,-7,65,12,5,0.540527,-0.389648,0.580078,-82.9375,-82.125,12,75,55,77
22,7,25,4,3,-1,5,21,7,-0.0151367,0.117188,0.661621,13.5625,200.812,108.375,93,62,63,-14,2,-1,0,-3,-7,-3,-13,0.606934,-0.570312,0.557129,15.9375,-15.0625,-100.062,74,48,75
23,15,5,4,31,13,10,-21,3,-0.163086,0.0556641,0.771973,44.875,186.312,55.125,93,70,65,-6,-5,-8,-5,-1,-14,-7,-3,0.518066,-0.330566,0.583496,53.1875,38.8125,-111.125,77,47,73
24,-13,-3,-13,14,5,-14,-7,-7,-0.290039,0.169434,0.95166,42.375,156.375,-16.3125,94,80,66,-23,-10,-5,-4,-10,-38,-9,1,0.250488,-0.163574,0.654297,7.875,116.812,-125.688,82,50,67
25,9,5,44,29,28,5,15,2,-0.266113,0.0507812,1.08838,-12.25,129.688,-46.875,94,86,66,5,13,7,20,2,6,9,5,0.0986328,-0.139648,0.725586,-24.75,152,-95.25,84,57,61
26,15,-22,-12,-3,-8,-17,-18,13,-0.081543,-0.0610352,1.18945,-21.25,100.5,-61.125,93,93,65,17,4,0,-1,-4,-20,-12,-11,0.019043,-0.100098,0.689453,-17.625,155.375,-50.1875,85,63,59
