Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.226074,-0.155273,0.980469,-18.375,-3,-0.1875,85,101,138,0,0,0,0,0,0,0,0,-0.21582,0.0820312,1.104,13.375,26.25,3.125,93,102,60
2,0,0,0,0,0,0,0,0,-0.204102,-0.208984,0.978027,-10.75,-3.625,-1,85,101,138,0,0,0,0,0,0,0,0,-0.26416,0.0180664,1.10059,27.125,19.1875,18.125,94,103,60
3,2,-5,-3,1,-1,-2,-2,-3,-0.214844,-0.134766,1.00537,-4.5,-3.375,0.4375,85,101,138,4,14,16,19,13,1,-2,-4,-0.520996,0.35791,1.13135,11.375,-66,10.8125,95,103,61
4,-8,6,-24,-5,-4,1,-1,-3,-0.224609,-0.148926,0.981934,-8.5625,-1.4375,1.125,85,101,138,0,7,18,4,12,4,-2,-1,-0.192871,0.181641,1.27539,-2.4375,-108.75,40.5,95,99,61
5,-10,2,-10,0,0,9,1,-2,-0.193359,-0.200684,0.981934,-6.1875,-0.25,0.5,84,100,138,-1,-3,-8,-5,-8,2,-2,0,-0.0791016,0.307129,1.28711,17.4375,-147.125,54.1875,96,93,61
6,-15,-2,-11,-4,1,-1,-1,-3,-0.194336,-0.164062,0.984375,1.25,-0.8125,1,84,100,138,-5,-8,-5,5,-5,0,1,1,0.199707,0.274902,1.20068,-23.375,-181.562,81.125,95,82,62
7,11,3,14,-9,-3,-8,-2,1,-0.187988,-0.161621,0.996094,-0.0625,-1.375,0.375,84,100,138,-5,-13,1,-9,5,-1,1,6,0.400879,0.145508,1.06006,-64.8125,-206.438,96.875,93,69,64
8,-3,-8,7,-4,-3,-1,-2,-2,-0.19043,-0.177246,0.990234,-2.5,-0.9375,0.5625,84,100,138,1,6,9,0,-15,-2,-1,2,0.540527,0.097168,0.969238,-86.875,-214.125,96.6875,91,60,66
9,-5,0,5,6,-1,2,-2,-3,-0.181641,-0.186523,0.993652,1.5625,-0.125,0.3125,84,100,138,-3,0,2,3,-5,-3,-1,1,0.617188,-0.0581055,0.786621,-102.938,-198.688,92.0625,86,48,70
10,0,3,-23,-1,0,0,-1,-3,-0.189941,-0.169434,0.985352,2.9375,1.1875,0.0625,84,100,138,0,-4,-1,-3,6,-6,-13,-6,0.603516,-0.125488,0.616211,-107.688,-186.812,85.6875,81,41,73
