Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.256348,-0.508789,0.852539,0,0.1875,0.375,74,104,73,0,0,0,0,0,0,0,0,-0.0424805,-0.205566,1.02051,0.6875,0.625,0,84,92,70
2,0,0,0,0,0,0,0,0,-0.258789,-0.504395,0.851074,-0.125,0.4375,0.625,74,104,73,0,0,0,0,0,0,0,0,-0.0424805,-0.206543,1.01953,0.8125,0.1875,-0.4375,84,92,70
3,3,11,1,2,-2,-1,1,0,-0.250488,-0.509766,0.857422,-2.0625,0.0625,0.3125,74,104,73,-2,0,1,5,8,6,1,-1,-0.0405273,-0.199219,1.01758,0.75,-0.625,-0.5,84,92,70
4,-3,38,3,-3,0,-2,-1,0,-0.262695,-0.517578,0.851074,-1.125,0.4375,1.8125,74,104,73,-4,-1,2,8,-2,1,-4,-4,-0.0424805,-0.212891,1.03613,-2.25,1.375,1.5625,84,92,70
5,0,-2,-1,-3,-1,-1,-2,-1,-0.255371,-0.523438,0.853027,2.1875,-0.25,2.375,74,104,74,0,4,3,15,22,5,1,1,-0.0244141,-0.236816,1.06982,-5.8125,10.6875,7.8125,84,92,70
6,-2,-3,4,3,-1,-2,1,-1,-0.283203,-0.529297,0.859863,3,2.4375,4.5625,74,104,74,-3,9,4,10,6,2,7,-2,-0.109863,-0.0209961,1.03467,6.6875,4.375,10.75,84,93,71
7,-3,-3,-3,-3,0,1,-1,-3,-0.267578,-0.47998,0.835938,1.875,-0.875,1.1875,74,104,74,8,23,4,-5,0,4,-3,1,-0.17627,-0.26709,1.1123,-75.0625,-52.8125,28,83,92,71
8,7,6,-2,-6,-4,-4,-1,0,-0.277344,-0.489258,0.857422,9.5625,-2.0625,-0.75,75,105,74,24,5,-2,25,69,48,18,22,-0.0844727,-0.249512,1.18945,-32,-103.062,53.625,82,90,73
9,-1,-11,-2,3,-1,0,-1,-1,-0.265137,-0.481934,0.859375,7.1875,-3.0625,3.25,75,105,74,-28,-3,-2,-15,-55,-52,-17,-13,0.104492,-0.134766,1.05957,-40.375,-135.5,131.688,81,86,76
10,-1,3,-1,-2,-4,-2,0,-1,-0.274414,-0.473633,0.86377,2.125,-2,4.125,75,105,74,3,-70,-25,-7,31,68,19,1,0.271973,-0.334961,0.964355,-25.1875,-197.625,104.312,80,78,81
11,0,3,-1,1,-1,-1,-2,-1,-0.263184,-0.458984,0.861328,-0.125,0.0625,3.3125,75,105,74,-10,7,5,3,38,1,-9,-1,0.529785,-0.356445,0.833984,4.0625,-225.438,123.688,78,68,87
12,0,-13,-2,-4,1,-2,-1,0,-0.273438,-0.465332,0.864258,-4.6875,0.8125,-0.1875,75,105,74,18,72,19,-7,-18,-49,5,7,0.591309,-0.415039,0.659668,19.9375,-214.812,125.25,75,59,94
13,0,-10,-4,-4,1,-1,0,-2,-0.258789,-0.486328,0.85791,-6.6875,0.1875,-1.625,75,105,74,22,-34,-9,2,14,11,-19,6,0.597656,-0.47998,0.64502,22.625,-188.438,119,73,55,99
14,-12,25,4,0,-2,-3,-1,-3,-0.277344,-0.474609,0.855469,-6.375,-0.375,-0.1875,75,105,74,6,12,45,15,15,11,16,2,0.529785,-0.503906,0.604492,49.6875,-117.375,91.9375,70,51,105
15,0,-9,-3,0,1,-2,-2,-1,-0.255371,-0.509277,0.855469,-7.5,1.5625,-1.6875,74,105,74,1,4,-8,-21,-16,-16,2,-1,0.414062,-0.499512,0.62793,44,-79.4375,63.125,70,51,108
16,-3,-3,-4,-2,-2,1,0,-1,-0.276855,-0.541016,0.833008,-4.5,1.1875,3.125,74,105,74,-41,22,12,-9,-30,-16,-10,-2,0.422363,-0.521484,0.625,46,-11.1875,19.1875,70,51,110
17,-1,-6,-19,-9,-5,-3,-2,-1,-0.29541,-0.513672,0.844727,0.5,1,0.5,74,105,74,11,2,-1,-3,-29,-41,-4,17,0.55127,-0.543945,0.702148,15.1875,-2.5,-2.75,70,52,109
18,5,-36,0,5,2,1,0,0,-0.272949,-0.507812,0.836426,3.1875,-1.9375,-0.375,74,105,74,-33,-75,-35,-22,-44,-37,-18,-8,0.575195,-0.474609,0.648438,13.3125,-9.125,16.6875,71,52,110
19,-4,-5,-4,-5,-2,-1,-1,-2,-0.271973,-0.481934,0.852539,1.1875,-0.625,-1.0625,74,105,74,-4,-28,-22,-4,-28,6,2,32,0.619141,-0.574707,0.625488,7.5625,-14.125,13.8125,70,52,111
20,-1,1,0,-2,1,-2,0,-1,-0.261719,-0.507324,0.857422,-1.9375,0.125,-1,74,105,74,-23,-58,-36,-37,-41,-49,-17,36,0.530273,-0.603027,0.619629,8.1875,-2.5,16.25,70,52,111
21,-2,2,-1,-1,-1,-1,0,0,-0.28125,-0.501465,0.835938,-2.5,0.6875,-0.375,74,105,74,-42,14,14,-9,-71,-58,-38,-104,0.491211,-0.555664,0.637695,2.5625,11.375,4.3125,70,53,111
22,0,-5,0,0,0,1,-1,-3,-0.269043,-0.491211,0.859863,-0.4375,-2.5,-1.6875,74,105,74,31,3,-15,-38,-23,10,-22,-25,0.45166,-0.520996,0.678711,0.8125,14.8125,1.8125,70,54,111
23,-3,10,-3,-9,0,-2,-2,0,-0.267578,-0.510254,0.848145,-4.375,-1.25,-2.9375,74,105,74,-35,-22,-29,8,43,-5,10,-15,0.484863,-0.514648,0.675293,-5.5625,21.1875,-7.25,70,55,111
24,-4,-15,0,3,3,2,1,-3,-0.255859,-0.523926,0.845215,-1.1875,-0.625,-1.4375,74,104,74,5,5,7,6,25,25,53,17,0.470703,-0.525391,0.689941,-4.9375,39.4375,-23.1875,71,56,110
25,-2,-2,-1,-1,-3,-2,-3,-2,-0.267578,-0.52832,0.847656,0.8125,0,-1.3125,74,104,74,15,41,28,17,15,10,14,4,0.510254,-0.496094,0.716309,-8.875,39.4375,-33.1875,71,58,108
26,-3,-1,-1,-5,2,-1,0,-2,-0.266113,-0.52832,0.842773,6.0625,-1.5,1.0625,74,104,74,-31,-20,-33,-25,-51,-39,-26,-16,0.589844,-0.509277,0.75,-11.4375,38.9375,-37.5625,72,58,107
27,2,1,2,6,2,-1,-1,0,-0.257812,-0.505859,0.850098,9.1875,-1.4375,3.4375,74,104,74,-19,29,22,4,1,21,-14,-48,0.75,-0.487793,0.673828,-18.875,0.5,-38.5625,72,57,105
28,-1,1,-1,0,0,0,-2,-1,-0.266113,-0.470703,0.862305,4.3125,-2.5,2.5625,74,104,74,9,-34,14,-1,-29,-3,-12,7,0.841797,-0.514648,0.576172,-25.75,-29.5625,-44.125,72,54,105
29,-1,5,-2,-2,-1,0,-3,-2,-0.240234,-0.48584,0.861328,0.8125,-0.9375,0.75,75,104,74,-29,-24,-7,-5,-16,-1,-2,-11,0.859863,-0.45459,0.459473,-10.25,-61.4375,-12.875,71,50,105
30,-1,3,-3,-1,0,-2,-2,-1,-0.250488,-0.540039,0.855469,1.875,-0.5625,1.625,74,104,74,-6,0,-5,-5,2,2,3,-9,0.824219,-0.462891,0.421875,-0.1875,-77.4375,-4.6875,70,47,106
31,0,-2,-3,-4,-3,-3,-1,-1,-0.275391,-0.472656,0.875,-2.4375,2.3125,2.375,75,105,74,15,16,23,12,15,4,-6,-3,0.792969,-0.417969,0.459473,31.4375,-29,31.5,69,45,108
32,0,5,-2,-3,-1,-1,-2,-3,-0.265137,-0.476562,0.851562,-5.375,3.6875,0,75,105,74,-1,15,5,7,8,-35,-4,-1,0.663086,-0.412598,0.54248,44.375,-14.6875,40.1875,69,45,110
33,-2,2,-3,-5,-1,0,-1,-2,-0.300293,-0.482422,0.84082,-7.5,1.75,-1,74,105,74,4,-13,0,1,4,-42,-3,16,0.513672,-0.459961,0.668945,49.625,18.4375,32.4375,70,47,110
34,0,-5,-2,-2,-1,-1,-1,-2,-0.285645,-0.526367,0.836426,-10.75,-0.875,-4.5,74,105,74,1,-21,-25,-10,-3,0,-1,4,0.446289,-0.541504,0.73291,30.5,45.3125,12.1875,71,51,110
35,-1,10,3,0,0,-2,-1,-1,-0.265137,-0.54248,0.839844,-0.625,-3.25,-2.875,74,105,74,-10,4,0,-27,-20,-3,34,1,0.314941,-0.501953,0.754395,20.25,62.375,9.25,72,54,109
36,1,1,1,2,-2,0,-1,1,-0.257324,-0.529785,0.850586,0.5625,-1.5625,-4.9375,74,104,74,-1,-8,-6,-1,-5,-13,0,-18,0.4375,-0.499512,0.827148,7.25,73.125,4.6875,73,58,108
37,-1,-5,-3,0,-2,-2,-2,0,-0.260254,-0.53125,0.846191,2.5625,-1,-1.625,74,104,74,3,7,17,9,5,0,-5,-1,0.331055,-0.51123,0.818359,-10.4375,73.5625,-16.4375,74,62,107
38,1,-4,-4,-7,-3,0,-1,-1,-0.265137,-0.521973,0.850098,2.125,0.5,-1.8125,74,104,74,-3,17,0,1,-7,-4,4,7,0.445801,-0.479492,0.91748,-15.8125,53.75,-28.875,74,64,106
39,0,14,4,-1,-3,-3,0,-1,-0.266602,-0.526855,0.842773,3.5625,-1.3125,-0.4375,74,104,74,-7,-39,-8,-3,-5,0,-1,-4,0.435059,-0.46875,0.818848,-19.8125,7.3125,-46,74,64,104
