Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,0.294922,-0.795898,0.787598,63.375,-24.1875,-173.125,69,74,117,0,0,0,0,0,0,0,0,-0.147949,0.347656,0.939941,-0.25,0.375,-0.375,100,98,143
2,0,0,0,0,0,0,0,0,0.331055,-0.752441,0.772461,59.75,-25.5625,-172,70,72,116,0,0,0,0,0,0,0,0,-0.148926,0.350098,0.938477,0.0625,0.3125,-0.1875,100,98,143
3,-2,1,12,3,2,-1,-20,-30,0.398926,-0.472656,0.765137,99.9375,-33.25,-162.188,75,62,110,-5,-12,-12,6,18,2,-3,-3,-0.154785,0.349121,0.953613,-0.875,0.625,0.25,100,98,143
4,5,-4,-15,0,4,4,18,30,0.388184,-0.396484,0.717285,84.875,-36.875,-134.875,79,57,107,-5,-7,-4,7,44,13,0,-3,-0.1875,0.44043,0.971191,-37.4375,6.1875,1,99,98,144
5,2,2,-2,-4,-2,-2,0,6,0.437988,-0.293457,0.785645,67.1875,-39.8125,-99.75,82,53,103,1,-4,-6,-6,-21,0,-2,0,-0.116699,0.242676,0.979492,-57.1875,2.1875,11.75,98,98,144
6,7,-6,17,0,-3,3,32,65,0.42627,-0.165527,0.752441,56.5,-34,-78.125,85,51,101,18,6,7,4,-4,-9,-36,4,0.012207,0.317383,1.18311,-67.375,-7.375,65,97,97,145
7,-12,-14,-16,4,8,0,-6,-14,0.43457,-0.102051,0.729004,43.8125,-23,-43.4375,87,50,99,19,12,12,23,11,22,-23,-1,0.0341797,0.374512,1.17969,-31.125,-46.5,98.6875,97,93,147
8,-13,-3,3,1,8,-4,-26,-45,0.428223,-0.0556641,0.703613,38.375,-12.875,-20.1875,88,49,99,-25,-5,-1,-5,2,-9,15,-1,0.156738,0.265625,1.14844,-53.375,-74.6875,112.062,96,89,149
9,2,31,3,-16,-32,-10,-3,-25,0.42334,-0.0458984,0.693359,13.9375,-0.75,-8.375,89,50,99,-19,-24,1,-4,29,-33,-14,-2,0.206055,0.177246,1.13184,-45.6875,-88.875,117.688,95,85,151
10,2,-11,12,2,-2,0,-4,-4,0.42627,-0.0683594,0.703613,11.1875,7,-1.1875,89,50,99,-22,-6,-12,-13,-16,-17,-4,8,0.270996,0.13623,1.07178,-65.5,-105.438,114.812,93,78,154
11,-1,-2,-9,-2,0,-2,1,5,0.491211,-0.0141602,0.724121,9.4375,6.625,-1.0625,89,51,99,20,-11,-7,4,-11,12,2,-2,0.317871,0.0493164,0.977539,-63.1875,-102.312,111.188,90,71,157
12,-3,3,-6,-9,-3,-5,-15,-20,0.530273,-0.0117188,0.759277,1.4375,2.625,8.0625,89,52,99,6,8,-2,-5,-10,-42,-1,3,0.343262,-0.0439453,0.922852,-64.4375,-91.375,86.8125,87,66,161
13,-2,1,-5,-6,0,5,-7,-8,0.53125,0.0175781,0.814941,0.125,-2.25,15.125,89,52,99,4,0,4,-5,-1,-37,-8,5,0.361816,-0.103516,0.899414,-60.1875,-81.125,65.0625,85,63,162
14,-2,-18,-26,-8,8,2,6,12,0.450684,0.0136719,0.928223,1.125,-6.75,22.6875,89,52,100,-47,-46,-16,-21,-17,-2,1,-13,0.381348,-0.178223,0.810547,-43.4375,-63.1875,44.625,83,60,164
15,-3,-1,0,1,-7,2,-12,-16,0.408203,0.03125,1.0127,17.9375,-6.25,31.875,89,53,100,19,7,-1,-7,0,-3,9,12,0.379395,-0.182617,0.803711,-47.4375,-56.9375,24.5,81,58,165
16,-3,-7,-4,20,27,5,-1,-12,0.398438,-0.027832,1.05127,30,-16.25,61.25,88,53,102,62,-10,3,4,5,11,1,26,0.419434,-0.290039,0.77002,-24.9375,-39.5625,6.5625,80,56,166
17,2,-2,-4,-8,-7,-2,2,2,0.494141,0.00830078,1.00391,40.125,-25.0625,89.75,88,53,104,-128,-29,0,13,-4,-32,2,-35,0.394531,-0.260742,0.759277,-18.625,-33.4375,-1.6875,79,55,167
18,18,18,-14,-16,-31,-9,-1,12,0.573242,-0.161621,0.951172,50.6875,-24.8125,105.625,87,53,107,-44,-6,-3,-7,2,72,-7,-9,0.362793,-0.241211,0.727539,5.5625,-23.6875,-4.5625,79,55,167
19,3,25,46,38,3,10,3,1,0.663574,-0.199707,0.826172,80.5,-17.25,126.25,87,52,112,18,17,3,-3,-3,-13,2,-4,0.435059,-0.293945,0.731934,-3.625,-18.1875,-2.1875,79,54,167
20,-3,6,-22,2,21,6,6,-2,0.709961,-0.256348,0.727539,72.75,-12.1875,143,86,52,117,-28,-16,-3,-12,-1,-30,2,-1,0.487305,-0.290527,0.731445,3.5,-12.8125,2.6875,79,53,167
21,0,4,-13,-20,-29,-17,-5,-4,0.73877,-0.283203,0.658203,90.625,-12.375,156.062,85,53,121,76,13,3,9,4,6,-12,5,0.499023,-0.352539,0.727051,-0.25,-1.75,-0.625,79,53,167
22,-6,-27,-63,-66,-30,-9,-7,-3,0.688965,-0.304199,0.619141,55.6875,-9.8125,157.25,84,53,127,-28,-47,-16,-10,2,-2,-1,-7,0.489746,-0.363281,0.772949,-1.1875,2.9375,-5.3125,79,54,167
23,-12,-32,-8,13,27,0,-8,-10,0.69873,-0.419434,0.629395,47.6875,-18.4375,151.188,82,54,132,27,3,-2,-5,-11,-22,-9,1,0.412598,-0.437988,0.845703,-7.4375,2.125,-20.25,79,54,167
24,-1,1,3,7,24,8,-4,-3,0.662598,-0.422852,0.697754,30.125,-6.1875,130.5,81,56,136,18,12,9,1,-2,14,-6,2,0.35791,-0.474121,0.888184,-13.9375,-2.375,-35.75,79,55,166
25,1,-2,21,28,21,15,21,3,0.61377,-0.529785,0.692383,29.5625,-8.0625,113.062,79,57,140,-7,8,5,0,-3,1,5,2,0.438477,-0.441895,0.904785,-37.0625,-7.75,-71.4375,79,54,164
26,-3,11,15,-2,-38,-15,13,-7,0.536621,-0.437012,0.71582,21.875,-5,105.375,78,59,142,-37,-15,-24,-52,-6,-16,6,-6,0.549805,-0.458984,0.88623,-66.5625,-0.1875,-99.875,78,53,162
27,4,9,-7,-22,-16,-4,3,0,0.514648,-0.504883,0.693359,0.25,-4.4375,106.188,77,60,145,-8,14,26,24,5,4,3,-2,0.630859,-0.31543,0.84668,-75.3125,5.9375,-121.375,79,51,160
