Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.19873,-0.491211,0.868652,0.0625,-0.6875,0.3125,74,101,52,0,0,0,0,0,0,0,0,-0.641113,0.214844,0.767578,-0.5,-0.25,-0.0625,97,128,81
2,0,0,0,0,0,0,0,0,-0.200195,-0.48584,0.872559,0.625,-0.6875,-0.4375,74,101,52,0,0,0,0,0,0,0,0,-0.63916,0.205078,0.78125,-1.25,-0.3125,0,97,128,81
3,0,0,0,-1,-1,0,-2,0,-0.180176,-0.519531,0.871582,-3.875,1.5,0.0625,74,101,52,-7,-47,-28,-8,46,4,2,-4,-0.727539,-0.0688477,0.976562,53.0625,11.8125,21.375,98,128,81
4,0,0,0,-1,0,1,0,-1,-0.192383,-0.54541,0.856445,-3.5,3.3125,1.8125,74,101,52,4,-29,38,-4,-52,-6,-2,3,-0.815918,0.146973,0.769531,163.5,-7.0625,41.125,101,128,82
5,1,-1,-1,-1,-1,-1,-3,-3,-0.226562,-0.525391,0.854492,5.5625,0.75,2.25,74,101,52,7,29,19,5,6,-2,-1,0,-0.84082,0.469727,0.701172,84.1875,-58.8125,100.312,105,124,83
6,-1,0,-3,0,0,-3,-3,-1,-0.220703,-0.505371,0.864746,6.75,-2,0.125,74,101,52,-3,-4,-51,-7,-7,-2,-4,1,-0.54834,0.871582,0.780762,43.8125,-95.6875,172.312,109,114,86
7,-1,-2,-2,0,0,-2,-2,-2,-0.194824,-0.487793,0.874512,4.6875,-3.0625,0.375,75,101,52,-1,5,7,19,17,-6,-6,2,-0.35498,0.860352,0.796875,46.75,-105.562,202.062,110,106,88
8,1,2,-1,0,0,1,-3,-4,-0.184082,-0.473145,0.884766,1.3125,-0.25,-0.625,75,101,52,2,15,21,-19,-10,1,4,-5,0.0234375,0.871582,0.790527,26.625,-100.688,254,112,92,91
9,-2,-1,-3,-2,1,0,0,-3,-0.188965,-0.478516,0.885742,-3.5625,1.4375,-1.8125,75,101,52,0,-14,-38,-14,38,3,-8,3,0.231934,0.73877,0.755859,32.75,-87.1875,271.438,112,82,93
10,-2,-2,0,-2,-1,1,1,-1,-0.205566,-0.506348,0.857422,-6,0.625,-0.6875,75,101,52,3,5,26,46,-8,1,8,-2,0.344238,0.717285,0.615234,0.0625,-36.5,267.688,112,68,98
11,-1,-3,-1,-3,-2,-1,-3,-1,-0.206055,-0.51709,0.858887,-1.0625,-0.5,-1.3125,74,101,52,2,6,10,8,-10,-5,-10,-3,0.46582,0.412598,0.638184,-43.3125,-19.125,231.25,108,57,104
12,-2,-3,-1,-1,-1,-2,0,-2,-0.191406,-0.508301,0.874023,-3.375,0.75,0.125,74,101,52,-1,2,-1,-13,63,19,5,0,0.480469,0.341797,0.614258,-48.875,0.625,205.062,104,52,108
13,-1,-2,-1,1,-2,-2,-3,-1,-0.197266,-0.520996,0.861328,-2.25,0.6875,0.625,74,101,52,1,3,11,-12,44,5,4,0,0.470215,0.227051,0.598145,-44.75,11.1875,172.625,101,50,112
14,-2,-4,-2,0,-1,-1,-1,-1,-0.206055,-0.51416,0.861328,0.125,-0.125,-0.0625,74,101,52,-1,-1,-8,-35,16,13,-2,0,0.49707,0.0917969,0.606934,-34.875,17.4375,118.688,96,48,118
15,-1,-2,-1,0,-1,-2,0,-3,-0.205566,-0.51123,0.867676,1.4375,-1.1875,-0.3125,74,101,52,-3,-5,-2,13,11,0,10,-2,0.547363,-0.0654297,0.62793,-30.4375,15.625,73.75,92,48,121
16,0,-1,0,-2,-1,-1,-1,1,-0.193359,-0.504395,0.864746,2.5,-1.875,-0.0625,74,101,52,1,-6,-5,-37,-9,1,-8,0,0.547852,-0.0507812,0.66748,-10.25,13.375,40.125,91,48,123
17,-1,0,-1,0,0,1,-1,-3,-0.186035,-0.496094,0.882812,0.4375,0.625,0.3125,74,101,52,0,-3,-7,-3,19,-17,-16,-4,0.555176,-0.0307617,0.70166,7.1875,12.3125,19,90,49,124
18,-1,0,-2,-3,-3,0,0,1,-0.206055,-0.500977,0.860352,-1.875,0.5,1.0625,74,101,52,-3,-6,-15,-64,-73,-15,-11,0,0.564453,-0.000488281,0.753418,14.75,6.8125,8.8125,90,50,124
19,0,-1,-2,-1,-1,-3,-1,-2,-0.20166,-0.512695,0.87207,1.5,-1.0625,-0.6875,74,101,52,-6,-8,-13,22,41,7,-2,-9,0.624512,-0.0571289,0.825195,9.125,2.5625,12.125,90,50,125
20,-1,-2,-1,-2,0,-1,-2,-3,-0.193848,-0.503906,0.87793,0.6875,-0.8125,-0.25,74,101,52,-3,0,2,14,25,16,10,3,0.591797,-0.0859375,0.80957,-2.4375,-8.8125,-3.625,90,50,125
21,-1,-1,-2,-1,-2,-2,-4,-1,-0.193848,-0.502441,0.876465,0.3125,0.1875,-0.125,74,101,52,-5,3,2,-15,24,-6,-8,-4,0.514648,-0.0673828,0.789551,-13.5625,-14.9375,-13.8125,90,50,125
22,-1,-1,-1,-2,-3,-2,-1,-1,-0.189453,-0.500977,0.875488,0.5,0.9375,0.0625,74,101,52,-1,3,1,-8,-12,-6,-6,-16,0.497559,-0.127441,0.691406,-16.8125,-25.1875,-66.5625,90,49,123
23,-3,-4,-1,1,1,-3,-1,-2,-0.200195,-0.499023,0.871094,-0.5,1.4375,-0.625,74,101,52,3,1,-10,2,21,11,17,30,0.613281,-0.074707,0.681152,-20.5,-24.75,-120.562,92,48,120
24,1,0,-1,-1,-2,0,0,-1,-0.204102,-0.503418,0.868164,-4.4375,2.125,-1.5625,74,101,52,0,-8,0,-14,-16,-22,11,0,0.662109,0.145508,0.624512,-12.875,-10.3125,-186,96,48,114
25,-1,2,0,-1,1,-1,-4,-6,-0.19043,-0.51709,0.865723,-0.25,0.6875,-0.9375,74,101,52,1,0,-1,-18,-31,-22,3,1,0.875977,0.129883,0.612793,-119.188,23.9375,-214.75,98,52,106
26,0,-1,-1,1,1,1,1,1,-0.19043,-0.510742,0.874023,2.875,0.25,0.8125,74,101,52,-6,-2,2,9,24,40,1,-1,0.762207,0.108398,0.729492,-100.438,68.5625,-227.25,99,57,101
27,-3,-2,-1,0,-4,-2,0,0,-0.205566,-0.504883,0.873047,0.375,-1.125,1.375,74,101,52,-3,1,7,-17,-62,-39,2,-8,0.393066,0.269043,0.972656,10.1875,103.312,-238.062,100,67,95
28,-2,-2,-3,-1,0,-1,1,-1,-0.187012,-0.499512,0.87207,0.875,-0.9375,0.625,74,101,52,-4,-4,-27,-39,-2,-18,-6,-9,0.210449,0.498047,0.898926,-19.6875,98.25,-226.875,102,74,91
29,-1,-2,-3,-1,-2,0,-2,1,-0.199707,-0.507324,0.86377,-2.75,0.5,0.5,74,101,52,5,-1,2,-1,32,10,27,25,-0.0117188,0.643066,0.979492,-28.6875,91.4375,-187.812,102,81,88
30,-2,-1,-1,0,-2,-2,-4,-4,-0.208496,-0.510742,0.864746,-1.5625,-0.625,-1,74,101,52,-5,-14,-18,-8,-43,-13,-36,-9,-0.117188,0.599609,0.984863,-2.75,67.25,-133.938,102,89,85
31,0,4,-2,-1,0,0,0,-2,-0.191895,-0.508301,0.867676,-0.5625,-1.25,-1.8125,74,101,52,-3,6,16,-9,104,33,38,-7,-0.24707,0.570801,0.88916,-19.9375,51.875,-106,101,95,83
32,-1,2,-1,-1,-3,-1,-1,-1,-0.193359,-0.513672,0.86377,-1,0.1875,-1.125,74,101,52,3,-4,-5,-17,70,23,-29,-8,-0.339355,0.249023,0.953125,-16.875,38.0625,-92.875,101,98,81
33,-2,-2,0,2,2,-2,-2,0,-0.200684,-0.52002,0.864746,-1.4375,0.1875,-1.1875,74,101,52,-1,1,-6,-38,8,-5,16,1,-0.324707,0.433105,0.888672,16.625,12.375,-42.125,101,101,80
34,-1,-2,-1,-2,-1,-2,-2,-3,-0.196289,-0.516113,0.865723,0.25,-0.9375,-1.25,74,100,52,0,2,11,37,-48,18,12,-2,-0.285645,0.399414,0.883301,13.9375,1.75,-5.75,101,102,80
35,0,-2,-2,-4,-3,-1,-2,-2,-0.200195,-0.508301,0.868652,1.125,-1.875,-1.25,74,100,52,0,-4,-9,-23,-6,4,13,-1,-0.281738,0.432617,0.84082,-3.125,-1.0625,3.8125,101,102,80
36,-1,-2,0,0,-2,-1,-2,-2,-0.172363,-0.522461,0.869629,-0.25,-2.1875,-0.5,74,100,52,-1,2,7,10,-4,4,3,0,-0.300293,0.271484,0.765625,4.125,-0.1875,14.5,101,102,80
37,-3,-1,-3,-1,-3,0,-1,-2,-0.17627,-0.527344,0.867676,-0.625,1.875,1.3125,74,100,52,-4,-7,-4,22,68,3,-31,1,-0.401367,0.195312,0.569336,36.1875,1.5,32.5,102,103,80
38,-2,0,-1,-1,-1,-4,-3,-5,-0.209473,-0.516113,0.868164,1,2.4375,0.8125,74,100,52,-5,-1,1,-2,-66,-10,8,-3,-0.260254,0.570801,0.530762,17.25,31.6875,44,104,103,82
39,-2,1,-1,0,0,-2,0,-2,-0.209961,-0.514648,0.859375,2.3125,-1.1875,-1.75,74,101,52,-1,2,12,66,88,-1,0,0,-0.0429688,0.445312,0.878906,14.5,61.125,2.875,104,105,83
40,-2,-1,-2,-2,-2,-1,1,0,-0.17627,-0.494629,0.876465,6.4375,-2.5625,-0.25,74,100,52,-3,-9,-11,-4,-40,-15,1,-4,-0.183594,0.584961,0.983887,30.1875,84.9375,-32.9375,105,108,84
