Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.126953,-0.599609,0.821289,-0.9375,0.25,-0.375,71,97,44,0,0,0,0,0,0,0,0,-0.61084,0.404785,0.710938,1.3125,0.125,0,104,127,7
2,0,0,0,0,0,0,0,0,-0.126953,-0.599609,0.821289,-0.9375,0.25,-0.375,71,97,44,0,0,0,0,0,0,0,0,-0.61084,0.40625,0.712891,0.0625,-0.0625,-0.125,104,127,7
3,2,1,-1,0,0,1,3,11,-0.12207,-0.578613,0.822266,0.1875,-1,-1.0625,71,97,44,1,-2,-1,-1,-1,-3,2,-4,-0.611328,0.404297,0.714844,-0.875,0,0.125,104,127,7
4,-1,-2,-2,-1,1,-3,-4,0,-0.110352,-0.612793,0.822266,-1.4375,2.25,0.5625,71,97,44,0,1,3,3,0,-5,1,0,-0.609375,0.400879,0.70459,0.0625,-0.5625,0.4375,104,127,7
5,1,-3,-2,0,0,0,3,6,-0.112305,-0.623535,0.790039,2.125,8.5,6.5,71,97,44,-1,-1,7,5,-3,-2,-5,-6,-0.606934,0.40625,0.708984,-2.3125,-0.5625,0.5625,104,126,7
6,-1,-2,-1,-2,0,0,-4,-10,-0.158691,-0.664551,0.793457,12.625,7.6875,7.625,71,98,44,1,-3,-19,-38,-31,1,5,0,-0.631348,0.40625,0.734863,2.8125,-0.125,5,104,126,7
7,-1,-4,-1,0,0,-1,3,0,-0.177734,-0.574219,0.813965,12.5625,-2.6875,1.25,72,98,44,12,0,-66,-90,-39,-7,6,0,-0.807129,0.474121,0.972168,133.562,9.1875,41,107,126,8
8,1,-1,-2,0,-3,-1,2,-4,-0.14209,-0.579102,0.833984,-0.1875,-5.75,-3.25,72,98,44,5,7,3,30,8,1,2,0,-0.971191,0.975586,0.614258,89.3125,-42.375,111.125,110,123,10
9,-2,0,1,-2,0,0,-8,-3,-0.120605,-0.579102,0.830566,-0.9375,-0.0625,-2.25,72,98,44,9,6,17,1,10,-2,0,1,-0.626953,1.11377,0.914551,-5.0625,-99.125,218.688,112,112,12
10,-2,-1,2,-1,0,0,-3,-12,-0.132324,-0.573242,0.830078,0.5,0.4375,-1.25,72,97,44,1,0,1,-20,-38,-1,-21,0,-0.330566,1.02832,0.90918,-15.25,-118.125,276.188,112,101,15
11,-4,-2,-5,-2,-3,-2,-5,-4,-0.129883,-0.57666,0.82959,-1.75,-0.25,0.1875,72,97,44,2,8,-8,-28,-4,10,52,1,0.0410156,0.825195,0.70459,-41.0625,-109.188,321.625,111,83,19
12,0,-1,0,0,-1,-1,6,0,-0.133789,-0.586914,0.828125,-2.9375,0.375,0.75,72,97,44,1,5,9,9,-24,-12,-1,2,0.259766,0.375,0.607422,-95.625,-91.0625,296.375,107,67,24
13,-2,-2,2,0,0,-3,-2,-3,-0.148438,-0.591309,0.82666,-1.4375,1.375,1.125,72,98,44,-1,-3,-15,6,3,-8,-19,-6,0.354004,0.17627,0.5625,-102.812,-69.6875,258.938,103,59,28
