Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.621582,-0.78418,0.72168,-89.1875,-71.5625,-67.875,63,117,58,0,0,0,0,0,0,0,0,-0.540039,0.446289,0.746094,0.25,-0.1875,0.125,105,122,89
2,0,0,0,0,0,0,0,0,-0.538086,-0.850098,0.646484,-100.062,-86.8125,-83.0625,62,115,58,0,0,0,0,0,0,0,0,-0.537109,0.442871,0.741699,-0.25,-0.1875,-0.125,105,122,89
3,-1,-3,-4,-2,15,15,9,-13,-0.133789,-1.22461,0.409668,-61.375,-106.875,-213.938,58,96,59,0,2,-1,1,3,0,2,0,-0.537598,0.441406,0.754883,0.5625,-0.125,0,105,121,89
4,4,1,-1,3,7,13,-20,5,0.0610352,-1.13623,0.371094,-25.3125,-91.125,-257.938,57,85,58,0,2,4,13,1,-2,3,-2,-0.557129,0.433594,0.776367,3.9375,0.25,1.5,105,121,89
5,4,5,-1,-2,-7,-6,18,6,0.279785,-0.875,0.34668,7.9375,-67.9375,-270.375,57,69,57,0,6,12,27,4,-3,-1,-1,-0.706543,0.32666,0.923828,103.938,2.5625,30.75,107,121,89
6,-8,-1,9,10,4,3,-14,-2,0.396484,-0.706543,0.34375,30.5625,-44.4375,-253.375,59,59,55,2,-2,-3,0,-4,0,1,2,-0.648926,0.666504,0.816895,123.312,-92.3125,58.875,111,117,89
7,-6,-3,0,-6,-2,-5,-8,-16,0.48291,-0.494629,0.32666,31,-2.9375,-204.062,62,47,52,-1,-2,-4,-5,-1,-2,-2,-1,-0.621094,0.679688,0.618164,163.438,-121.438,89.9375,114,111,89
8,-3,-4,-2,-5,-4,-1,-2,-5,0.569336,-0.402344,0.342285,23.375,20.5,-160.562,65,42,48,-3,-9,-6,-4,-5,-5,-3,-4,-0.356445,1.02002,0.685547,37.375,-124.062,152.062,117,100,88
9,-2,-9,-5,-8,-15,-10,3,0,0.643555,-0.344238,0.428223,4.5625,41.25,-95.5,69,38,43,11,1,13,6,4,4,1,-1,-0.139648,0.943848,0.553711,-1.5,-128.938,188.75,117,91,88
10,8,0,-2,3,9,20,25,5,0.667969,-0.302246,0.462891,-2.8125,28.8125,-42.5,71,38,40,17,7,4,-1,-3,-8,-5,8,0.211914,0.80957,0.527344,9.875,-117.812,223.062,117,77,89
