Counter,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,AXL,AYL,AZL,GXL,GYL,GZL,ORL,OPL,OYL,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,AXR,AYR,AZR,GXR,GYR,GZR,ORR,OPR,OYR
1,0,0,0,0,0,0,0,0,-0.803711,-0.213379,0.654785,9.375,0.6875,-0.4375,81,139,126,0,0,0,0,0,0,0,0,-0.749023,-0.563965,0.924805,49.625,14.5,25.125,82,129,19
2,-1,-1,-3,1,-1,-1,-3,-6,-0.787598,-0.170898,0.62793,2.625,0.8125,3.125,81,139,126,0,0,0,0,0,0,0,0,-0.900879,-0.0810547,0.869141,83.6875,-47.3125,11.5,84,129,19
3,0,-2,-1,-3,-1,-2,3,4,-0.744629,-0.186523,0.594238,-7.625,0.0625,2.9375,81,139,126,8,-59,-8,-4,-3,1,3,-27,-0.70166,-0.155762,1.2627,-3.75,-193.875,10.6875,85,120,21
4,0,-1,-1,-1,-1,0,0,-1,-0.734375,-0.195312,0.612305,-4,-1.8125,-0.3125,81,139,126,-12,-42,-11,-7,-6,-10,-15,-32,-0.166016,-0.0898438,1.13037,-52.9375,-224.188,-0.875,85,106,22
5,0,-1,-1,-3,-2,-3,-1,4,-0.800293,-0.195801,0.667969,4.3125,-1.4375,0.3125,81,139,126,-10,-36,-13,0,8,13,12,36,0.0302734,-0.124023,0.889648,-38.625,-181.375,-4.3125,84,99,23
6,1,-1,-2,-2,-1,0,5,5,-0.800781,-0.166992,0.649414,-5.375,1.75,1.75,81,139,126,3,6,-7,0,-22,-14,1,18,0.00488281,0.0991211,0.900391,-13.3125,-114.188,30.8125,84,91,24
7,-1,-2,0,-1,-1,-1,1,0,-0.772461,-0.150879,0.614258,2.625,0.5625,3.625,81,139,126,6,19,13,10,-1,-9,-11,-6,-0.0541992,0.0922852,0.96582,15.9375,-94.0625,73.6875,84,88,25
8,-2,-2,0,-1,-1,-2,-2,-2,-0.736816,-0.127441,0.620605,0.875,-0.4375,2.125,82,139,126,1,0,-14,-7,-7,-48,-4,13,0.0864258,0.157715,0.854492,29.9375,-113.062,123.938,85,83,29
9,0,-1,-1,-1,-1,-2,-5,-6,-0.744141,-0.187012,0.650879,-5.25,-0.0625,-1.6875,81,139,126,9,9,2,-3,10,17,13,6,0.081543,-0.166504,0.890625,2.6875,-125.75,93.9375,85,76,33
10,-2,-1,-2,0,0,-1,-2,2,-0.756348,-0.214844,0.633301,-1.8125,0.25,-2.4375,81,139,126,3,17,11,15,25,28,1,2,0.0991211,-0.437012,0.873047,17.25,-108.188,68.0625,84,72,35
11,1,0,-1,-2,0,0,3,5,-0.748047,-0.214355,0.611328,-4.75,0,-4.625,81,139,126,2,17,6,13,-7,-1,-4,-15,0.0664062,-0.35498,0.694824,24.6875,-42.3125,32.3125,84,70,37
12,-1,-1,0,-1,-3,0,-2,-6,-0.779297,-0.210449,0.61084,-2.5,-2.6875,-6.6875,81,139,126,-5,-6,0,1,17,16,4,5,0.0180664,-0.451172,0.67334,-19.375,0.9375,-6.125,84,70,37
13,-2,1,-1,-2,-3,-1,-2,-4,-0.760254,-0.205566,0.620605,-8.3125,-3.375,-8.3125,80,138,126,-14,-26,-4,4,19,19,0,-1,-0.0463867,-0.449219,0.699219,13.6875,77.3125,-37.125,83,74,36
14,0,1,-2,-1,-1,-2,-3,-3,-0.738281,-0.233398,0.642578,-3.5625,-3.6875,-6.875,80,138,125,3,2,1,4,17,-3,-12,0,-0.043457,-0.408203,0.84082,25.1875,103.688,-75.375,84,78,35
15,-2,0,2,-1,0,-3,-3,-1,-0.76709,-0.23877,0.662598,0.3125,-2.625,-4.625,80,138,125,-1,1,4,4,6,11,2,0,-0.0263672,-0.371582,1.1167,75.1875,106.25,-133.75,86,83,31
16,-1,-1,-1,-1,-1,-1,-3,-2,-0.750977,-0.226074,0.638184,2,-1.1875,-1.375,80,138,125,-1,-2,0,8,14,4,13,5,-0.0830078,-0.231934,1.23486,140.875,78.8125,-176,89,86,27
17,-1,-1,-2,0,0,-1,-2,-4,-0.759277,-0.214355,0.638184,1.5,-1,0.4375,80,138,125,-4,-13,-8,-9,-17,-3,-7,-2,0.00244141,0.456543,1.27441,215.75,-3.6875,-200.875,95,89,21
18,0,-2,-2,-2,1,2,2,0,-0.73877,-0.229004,0.64502,-1.375,-0.0625,1.375,80,138,125,14,-46,-19,-1,17,6,-5,10,0.0761719,0.673828,1.27637,254.375,-117.688,-189.125,100,88,17
19,-1,0,0,-1,-1,-1,1,2,-0.754883,-0.210938,0.624023,-1.75,-0.8125,1.125,80,138,125,-3,-8,2,-1,-15,-14,8,38,-0.09375,1.32178,0.8125,107.812,-219.812,-114.812,107,82,10
20,-2,-1,-3,-2,0,-1,2,-1,-0.765625,-0.237305,0.617188,-3.5625,-1.375,-0.5,80,138,125,13,10,3,-3,-12,-24,-4,-21,0.244141,0.801758,0.540039,79.3125,-173.875,-18.75,110,74,5
21,-1,-2,-1,-1,-1,-1,-7,-6,-0.762695,-0.220215,0.626465,-1.1875,-2.875,-0.5,80,138,125,13,7,8,-11,-8,9,1,2,0.226562,0.833984,0.350586,-52.75,-95.5,14.875,111,68,3
22,-2,0,0,-2,-2,-1,-3,-5,-0.754395,-0.226562,0.63916,-4.125,-3.1875,-1,80,137,125,31,23,7,9,15,18,5,69,0.20166,0.661133,0.294922,-101.688,-32.625,23.4375,110,66,2
23,-1,1,0,0,-1,-1,0,1,-0.73291,-0.226562,0.650391,-4.375,-1.5,0.25,80,137,125,-8,12,-2,6,37,-9,14,-15,0.120605,0.739746,0.250488,-206.438,38.625,44.1875,105,66,3
24,-2,-1,-1,-2,-2,0,0,2,-0.720215,-0.243652,0.658203,0.3125,-0.375,1.625,80,137,125,2,-26,-56,-54,-30,-30,-13,24,0.19873,0.700195,0.242676,-254.188,62.6875,52.5625,102,67,4
25,-1,-1,1,-1,-2,-1,6,2,-0.729492,-0.247559,0.66748,4.3125,1.625,3.8125,80,137,125,11,-37,2,-27,-34,-11,-3,28,0.14209,0.325684,0.610352,-271.625,115.562,72.5,93,72,7
26,-3,-2,-3,-4,-2,-3,-2,-5,-0.74707,-0.204102,0.644531,2.625,4.1875,5.5625,80,137,126,9,-51,-11,6,14,11,8,35,0.0429688,-0.0175781,1.1377,-162.938,113.562,169,85,79,11
27,-2,-1,-1,-1,-2,0,-3,-2,-0.791504,-0.190918,0.621582,3.375,3.8125,3.6875,80,138,126,-20,-26,-3,-13,-2,6,0,-5,0.107422,0.201172,1.18213,-34.3125,71.1875,211.938,83,87,17
28,0,1,-3,0,-3,1,2,1,-0.76709,-0.168945,0.620117,1.4375,1.8125,2.125,80,138,126,11,5,5,16,12,3,-16,-32,0.0390625,-0.239746,1.34619,-50.1875,14.625,211.125,82,90,21
29,-2,-1,-1,-2,0,-1,8,2,-0.733887,-0.192871,0.621094,-4.375,1.25,0.8125,80,138,126,-28,-23,1,0,-13,-10,1,2,-0.0795898,-0.423828,1.35645,35,-61.9375,178.375,83,91,26
30,-4,-3,-1,-1,-1,-1,-2,-3,-0.716797,-0.233887,0.651367,-4.6875,1.1875,-0.625,80,138,126,9,-2,7,23,13,0,4,19,-0.226562,-0.433105,1.229,-0.1875,-95.875,151.25,83,89,30
31,0,1,0,1,-1,1,0,-10,-0.749512,-0.257324,0.644531,2.6875,2.1875,-2.625,80,138,126,8,13,10,0,-32,-29,-8,15,-0.159668,-0.600098,1.00439,62.5625,-105.688,70.375,83,84,33
32,-1,-5,-2,-2,-1,0,0,2,-0.767578,-0.237305,0.624023,5.1875,1.8125,-3.6875,80,138,126,0,5,1,-8,-21,-3,-6,-6,-0.160156,-0.40918,0.903809,41.75,-91.9375,34.4375,84,81,35
33,-2,-2,-4,-2,-1,-1,-1,-3,-0.78125,-0.220215,0.600586,1.3125,-0.3125,-4.8125,80,138,125,-2,0,-14,-30,-32,0,-5,3,-0.0742188,-0.555176,0.788086,67.9375,-51.3125,-5.9375,84,78,35
34,-1,-3,0,0,0,-1,-2,-4,-0.76123,-0.226074,0.608398,-4.25,-3,-5.125,80,138,125,4,0,4,14,-8,3,10,3,-0.119141,-0.285645,0.670898,98.3125,-12.4375,-26.5625,86,78,35
35,-1,-2,0,0,0,-2,3,0,-0.777344,-0.223633,0.632812,-4.9375,-4.375,-4.3125,79,138,125,-3,1,-2,-1,7,-6,-11,-4,-0.0878906,-0.28418,0.754883,115.25,28.125,-74.4375,89,79,33
36,1,1,-1,1,-2,-2,0,3,-0.727051,-0.242188,0.634766,-9.5,-3.875,-4.125,79,138,125,-1,-1,4,5,-19,-12,-2,2,-0.135742,0.00634766,0.80127,217.375,51.125,-108.125,95,83,30
37,-1,-1,-1,-1,-2,0,2,-2,-0.737305,-0.243652,0.659668,3.125,-2.875,-2.125,79,137,125,-3,-2,-4,4,1,12,9,-3,-0.200195,0.416992,0.895996,260.188,10.4375,-153.812,100,85,28
38,-2,0,-2,0,-2,-1,-2,3,-0.746582,-0.269043,0.655762,4.5,-0.5625,-0.75,79,137,125,-3,-14,-1,0,-18,13,2,-2,-0.108398,0.674316,0.938965,226.625,-67.5625,-194.625,105,87,24
39,-2,1,-2,-2,0,-1,-2,1,-0.73291,-0.227539,0.646973,6.1875,-0.1875,2.9375,79,137,125,9,6,5,-1,-6,0,1,15,0.120117,0.866211,1.04395,53.8125,-149.062,-198.938,108,88,17
40,2,0,-1,-1,-1,-2,-1,7,-0.753906,-0.251953,0.640137,3.5,1,2.375,79,137,125,11,25,6,-4,11,31,-5,27,-0.00634766,1.18555,0.835449,82.9375,-190.062,-131.875,111,86,10
41,-1,-1,-1,0,-1,0,-4,-6,-0.761719,-0.214844,0.62793,5,0.6875,2.25,80,137,125,-4,-10,-2,11,25,0,-5,-18,0.0883789,1.08203,0.693848,25.1875,-185.312,-64.9375,112,83,6
42,1,-2,0,0,-1,-1,2,-1,-0.768066,-0.220215,0.618164,2.8125,-0.9375,1.0625,80,137,125,4,14,6,1,-13,2,-6,-8,0.0966797,1.00977,0.364258,-29.375,-126.562,-8.6875,113,78,2
43,-1,-1,0,0,1,0,0,-3,-0.75293,-0.212891,0.651367,-2.25,-1.4375,2.1875,80,137,125,7,29,13,9,13,15,12,-1,0.121582,0.831543,0.27832,-50,-90.1875,11,112,75,1
44,-2,-1,-2,-2,-2,-1,-5,-5,-0.741211,-0.219727,0.651367,-1.5,-0.75,3.75,80,137,125,3,-10,-12,-6,-6,9,15,-13,0.0986328,0.845215,0.221191,-90.5,-33.8125,22.8125,111,73,0
45,-2,-1,-1,-2,-1,0,-1,5,-0.749023,-0.197266,0.661133,0,0.1875,4.9375,80,137,125,-21,7,-11,-38,-36,-40,-28,-14,0.0341797,0.728516,0.296875,-123.5,1.4375,34.6875,109,72,0
46,0,-1,-1,-2,-1,-1,1,2,-0.73877,-0.203613,0.643555,0.375,1.625,4.9375,80,138,126,8,-3,11,21,38,68,13,26,0.167969,0.664551,0.388672,-182.625,61.3125,58.5,104,72,2
47,-1,-2,-1,1,0,0,-1,-1,-0.757812,-0.215332,0.64209,4.375,2,5.6875,80,138,126,0,10,-2,-7,-5,-16,-3,-16,0.0834961,0.226562,0.664062,-195.938,122.438,69,97,77,5
48,-2,0,-2,1,-3,-1,-3,-4,-0.750977,-0.21875,0.641602,1.4375,3,6.25,81,138,126,3,6,-6,-8,-19,-13,-5,-36,0.131836,0.105469,0.799316,-153.062,156,99.375,93,82,7
49,-2,-2,0,-2,1,0,-7,-6,-0.756836,-0.186523,0.618652,0.8125,1.6875,3.8125,81,138,126,7,10,7,2,-7,9,6,22,-0.0253906,0.217285,0.918457,-53.875,196.312,110.812,91,92,11
50,-1,-1,-2,-1,0,-1,-4,-3,-0.750488,-0.188477,0.603027,-1,0,0.875,81,138,126,-4,2,-11,-22,-30,3,-1,-12,-0.149414,0.0878906,1.01855,-86.6875,199.812,81.75,90,100,13
