timestamp,roll,pitch,yaw
192491299680,0.193437,-1.32726,1.60233
192491322389,0.28586,-1.33059,1.54262
192491346041,0.364101,-1.33181,1.49156
192491368732,0.415131,-1.3315,1.46181
192491383527,0.442231,-1.33023,1.44668
192491404801,0.465526,-1.32815,1.43452
192491427937,0.46429,-1.32307,1.43612
192491475556,0.459477,-1.31489,1.43691
192491477742,0.419496,-1.3085,1.47143
192491482787,0.369866,-1.30069,1.50945
192491503759,0.30133,-1.29377,1.56532
192491525593,0.217587,-1.28178,1.61414
192491549600,0.132052,-1.27447,1.66973
192491595036,0.051986,-1.26839,1.72593
192491595624,-0.0105996,-1.26278,1.77495
192491610989,-0.0478151,-1.26116,1.81051
192491622961,-0.0623523,-1.26372,1.82909
192491645295,-0.0718549,-1.26996,1.84282
192491669251,-0.0678452,-1.27996,1.84757
192491690330,-0.0548329,-1.29224,1.84683
192491706818,-0.0266086,-1.30508,1.83412
192491729258,0.0101479,-1.31615,1.8141
192491758783,0.0435355,-1.32544,1.79612
192491766724,0.0732883,-1.33121,1.77994
192491789750,0.100982,-1.33309,1.76522
192491818546,0.126477,-1.32834,1.73989
192491826803,0.13321,-1.30893,1.70774
192491855292,0.0768507,-1.30009,1.73977
192491870338,0.00472072,-1.28617,1.79323
192491887524,-0.0472503,-1.26787,1.82975
192491909305,-0.0689282,-1.25287,1.85068
192491930345,-0.0651425,-1.24107,1.86008
192491946764,-0.0472362,-1.23229,1.86105
192491969245,-0.0251851,-1.22766,1.86044
192491990324,-0.00341342,-1.22516,1.86159
192492006762,0.0160483,-1.22403,1.86545
192492029224,0.0337473,-1.22213,1.86813
192492050496,0.0465546,-1.21892,1.87147
192492072837,0.0526198,-1.21599,1.87792
192492089338,0.0551116,-1.21266,1.88426
192492110296,0.0551395,-1.20996,1.89097
192492126805,0.054031,-1.20717,1.89738
192492149209,0.052622,-1.20412,1.90217
192492170299,0.0491269,-1.201,1.9047
192492186142,0.0424186,-1.19975,1.90508
192492209311,0.0327585,-1.20078,1.90293
192492230469,0.0243762,-1.20316,1.89716
192492246102,0.0183897,-1.20697,1.88852
192492269216,0.016306,-1.21254,1.87688
192492291777,0.0194058,-1.21877,1.86219
192492306211,0.0249768,-1.22561,1.84766
192492329275,0.0312822,-1.23269,1.83433
192492351722,0.0387548,-1.24029,1.82254
192492373282,0.0473751,-1.24696,1.81265
192492389253,0.0566619,-1.25226,1.80544
192492411769,0.0672061,-1.2558,1.79953
192492433676,0.0800726,-1.25864,1.79348
192492449237,0.0944311,-1.25986,1.78609
192492471749,0.11129,-1.2613,1.77503
192492492791,0.129756,-1.26102,1.75971
192492509211,0.152105,-1.25892,1.74354
192492531731,0.175147,-1.25374,1.72791
192492553360,0.201101,-1.24755,1.70866
192492575315,0.227272,-1.24242,1.68308
192492591201,0.226133,-1.23943,1.68131
192492621667,0.224202,-1.23553,1.68311
192492636733,0.23647,-1.23029,1.67462
192492651548,0.248726,-1.22348,1.66568
192492681787,0.256083,-1.21619,1.65744
192492695481,0.251839,-1.21056,1.65589
192492711063,0.240859,-1.20627,1.65794
192492734249,0.229969,-1.20305,1.65947
192492755533,0.220723,-1.20106,1.66135
