timestamp,x,y,z,w
176300231967,0.687805,-0.179749,-0.545776,-0.443542
176300233568,0.687622,-0.179749,-0.546143,-0.44342
176300245565,0.687805,-0.179016,-0.546692,-0.44281
176300268195,0.68811,-0.177368,-0.547241,-0.442261
176300292160,0.687988,-0.175903,-0.547302,-0.442993
176300305695,0.6875,-0.174805,-0.547241,-0.444153
176300326853,0.687134,-0.173706,-0.547119,-0.445312
176300349287,0.68689,-0.172607,-0.547058,-0.446289
176300367109,0.686646,-0.171692,-0.546997,-0.447021
176300386803,0.686218,-0.171448,-0.547119,-0.447693
176300409296,0.685547,-0.171753,-0.547119,-0.448547
176300425570,0.685181,-0.171997,-0.546814,-0.449463
176300446649,0.684692,-0.172546,-0.54657,-0.450256
176300469231,0.684143,-0.173401,-0.546448,-0.450867
176300485664,0.683716,-0.174194,-0.546143,-0.45166
176300509543,0.68335,-0.174866,-0.545593,-0.452576
176300529157,0.682922,-0.175842,-0.545227,-0.453308
176300545622,0.682556,-0.17688,-0.544861,-0.453796
176300574327,0.682556,-0.177612,-0.544617,-0.453796
176300589181,0.682678,-0.177917,-0.544373,-0.453796
176300605602,0.682861,-0.178223,-0.544128,-0.453796
176300626736,0.682983,-0.178589,-0.543762,-0.453857
176300649151,0.683044,-0.178955,-0.54364,-0.453796
176300665574,0.682983,-0.179321,-0.543701,-0.453674
176300686596,0.683044,-0.179321,-0.543762,-0.45343
176300709105,0.683228,-0.179016,-0.543945,-0.453064
176300725764,0.683472,-0.17865,-0.544373,-0.452393
176300746565,0.683716,-0.178223,-0.545044,-0.451416
176300769092,0.684021,-0.177551,-0.545593,-0.450439
176300787132,0.68457,-0.176575,-0.546143,-0.449402
176300806769,0.68512,-0.175537,-0.546631,-0.448364
176300829331,0.685669,-0.174622,-0.546997,-0.44751
176300847735,0.685974,-0.173767,-0.547363,-0.446777
176300866587,0.686401,-0.172974,-0.547607,-0.446228
176300889310,0.686768,-0.172241,-0.547852,-0.445557
176300907005,0.687195,-0.17157,-0.548035,-0.445007
176300926871,0.687439,-0.171082,-0.548218,-0.444641
176300949275,0.687439,-0.170837,-0.54834,-0.44458
176300967073,0.687256,-0.170898,-0.548279,-0.444824
176300986789,0.687134,-0.171021,-0.548218,-0.445007
176301009155,0.687134,-0.171204,-0.548096,-0.445129
176301027040,0.687195,-0.171387,-0.547852,-0.445251
176301046807,0.687073,-0.171692,-0.547668,-0.445618
176301069143,0.686707,-0.172241,-0.547546,-0.446106
176301087055,0.686218,-0.172913,-0.547424,-0.446716
176301106640,0.685913,-0.17334,-0.547302,-0.447266
176301129216,0.685669,-0.173767,-0.547119,-0.447632
176301147001,0.685547,-0.174072,-0.546936,-0.447937
176301166761,0.685303,-0.174377,-0.546936,-0.448181
176301189185,0.685059,-0.174805,-0.546997,-0.448303
176301207049,0.684937,-0.175049,-0.546997,-0.448425
176301226775,0.684875,-0.175049,-0.546997,-0.448425
176301249175,0.684692,-0.175293,-0.547119,-0.448547
176301267226,0.684387,-0.175598,-0.547119,-0.448853
176301286765,0.684082,-0.175964,-0.547302,-0.449036
176301309309,0.684021,-0.176147,-0.547546,-0.448669
176301327057,0.684143,-0.17572,-0.548035,-0.447998
176301348074,0.68396,-0.175415,-0.54834,-0.448059
176301369144,0.683655,-0.175537,-0.548645,-0.44812
176301387027,0.682983,-0.17572,-0.548889,-0.448792
176301408063,0.682678,-0.176208,-0.548767,-0.449219
176301429302,0.682617,-0.176453,-0.548706,-0.449219
176301447048,0.682617,-0.176514,-0.548462,-0.449585
176301468163,0.682312,-0.176636,-0.548096,-0.450378
176301489287,0.681641,-0.177124,-0.547852,-0.451599
176301507017,0.680786,-0.177185,-0.547974,-0.452637
176301528114,0.680176,-0.176331,-0.548218,-0.453613
176301549239,0.679443,-0.174683,-0.548462,-0.455078
176301567033,0.678101,-0.172302,-0.548401,-0.458008
176301588097,0.675415,-0.169678,-0.548096,-0.463257
176301616696,0.671753,-0.165833,-0.547791,-0.470337
176301631734,0.665527,-0.161194,-0.547974,-0.480469
176301649538,0.657715,-0.156372,-0.54834,-0.49231
176301669198,0.648621,-0.150513,-0.548096,-0.506287
176301691709,0.638489,-0.1427,-0.547913,-0.521362
176301709545,0.627258,-0.13269,-0.548889,-0.536438
176301729133,0.615601,-0.120728,-0.550842,-0.550537
176301751759,0.604675,-0.105103,-0.552612,-0.563904
176301769507,0.593811,-0.0864258,-0.553955,-0.577148
176301789230,0.581421,-0.0654907,-0.555664,-0.590698
176301811769,0.567322,-0.0432129,-0.558105,-0.604004
176301829738,0.551819,-0.0192871,-0.561096,-0.616699
176301849289,0.535645,0.00714111,-0.563354,-0.629089
176301871603,0.51886,0.0362549,-0.564819,-0.640747
176301897054,0.500671,0.0669556,-0.565491,-0.652039
