timestamp,x,y,z
192491299680,116.938,-26.5625,-30.75
192491322389,98.25,-16.875,-28
192491346041,78,-7.9375,-21.8125
192491368732,61.25,1.6875,-11.875
192491383527,34.1875,11.1875,-9
192491404801,28.875,18.875,-1.1875
192491427937,-3.6875,29,9.375
192491475556,-16.3125,34.625,0.6875
192491477742,-21.6875,40.125,17.375
192491482787,-37.875,43.5,18.0625
192491503759,-47.0625,44.9375,50.25
192491525593,-106.562,44.125,29.4375
192491549600,-90.0625,30,36.4375
192491595036,-72.5,22.6875,33.8125
192491595624,-41.875,15.4375,30.625
192491610989,-7.3125,1.9375,22.4375
192491622961,9.9375,-10.75,13.125
192491645295,10.75,-21.9375,9.8125
192491669251,25.0625,-30.6875,-0.6875
192491690330,35.5,-33.75,-4.25
192491706818,45.25,-30.5,-9.5
192491729258,49.0625,-23.8125,-8.5
192491758783,42.125,-14.25,-3.9375
192491766724,39.25,-4.1875,-4.5625
192491789750,36.125,9.75,1.6875
192491818546,-2.25,28.3125,-1.9375
192491826803,-74.9375,57.8125,-9.6875
192491855292,-75.5625,37.0625,26.1875
192491870338,-59.625,45.75,39.875
192491887524,-47,49.625,26.75
192491909305,-3.0625,40.5,12.875
192491930345,38.1875,34.0625,5.5625
192491946764,54.8125,26,-0.625
192491969245,61.8125,16,-2.25
192491990324,66.3125,8.9375,0.75
192492006762,65.75,6.75,4.3125
192492029224,57.1875,9.3125,4.375
192492050496,45.125,11.5625,5.4375
192492072837,33.75,12.625,6.8125
192492089338,24.6875,13.375,5.5
192492110296,18.4375,13,3.9375
192492126805,14.8125,13.0625,3.1875
192492149209,9.5625,13.3125,1.5
192492170299,-1.5,11.8125,-0.8125
192492186142,-17,6.4375,-4.375
192492209311,-30.9375,0,-8.1875
192492230469,-37.3125,-5.5625,-12.4375
192492246102,-37.6875,-11.125,-15.3125
192492269216,-34.75,-15.9375,-17.5
192492291777,-29,-19.875,-18.375
192492306211,-22.375,-22.125,-15.6875
192492329275,-17.5625,-23.125,-12.9375
192492351722,-11.25,-23.5,-10.25
192492373282,-2.25,-20.8125,-7.4375
192492389253,6.4375,-16.125,-4
192492411769,13.9375,-11.1875,-2.5
192492433676,18.8125,-7.6875,-2.375
192492449237,20.9375,-5.25,-2.1875
192492471749,15.5,-5.4375,-3.1875
192492492791,9,-2.1875,-5.875
192492509211,17.5,2.5,-7.875
192492531731,20.1875,11.3125,-4.6875
192492553360,16.125,14.75,-3.375
192492575315,-0.5625,12.6875,-9.0625
192492591201,-11.125,11.6875,3.8125
192492621667,-1.875,15.9375,2.3125
192492636733,9.8125,17.1875,-7.5
192492651548,8.625,20.4375,-4
192492681787,-4.625,21.5625,-4
192492695481,-18.75,18.9375,-0.25
192492711063,-26.5625,15.1875,0.1875
192492734249,-26.5,11.1875,-2.9375
192492755533,-20.3125,6.9375,-3.75
192492771099,-13.125,1.875,-7.5
192492794237,-9.9375,-4.625,-11.3125
192492816761,-10.1875,-10.25,-13.375
192492831064,-10.625,-15.6875,-13.5625
192492854238,-10.8125,-21.875,-12.625
192492877190,-12.375,-25.5,-11.75
192492905296,-13.8125,-28.3125,-12.625
192492914202,-11.125,-28.9375,-11.875
192492936759,-10.875,-27.4375,-9.9375
192492951032,-13.625,-24.8125,-6.8125
192492974185,-19.1875,-21,-1.8125
192492996742,-19.4375,-16.875,1.8125
192493017789,-13.8125,-12.0625,2.6875
192493034261,-3.75,-7.125,4.375
192493056669,1.375,-2.25,5.625
192493077774,2.25,2.3125,6.6875
192493094195,-1.1875,6.0625,6.8125
192493117117,-8,10.8125,6
192493137727,-17.1875,14.3125,4.625
192493154214,-23.5,18.0625,6.875
192493177381,-31.5625,25.3125,11.3125
192493205256,-56,43.1875,12.25
192493214142,-96.6875,63.125,15.4375
192493236732,-134,81.875,22.1875
192493257770,-135.812,102.875,33.6875
192493274706,-102.938,128,43.875
192493296688,-68.875,152.312,48.125
192493317805,-49.8125,169.188,55.5
192493334223,-44.3125,182.625,65.9375
192493356694,-40.375,195.562,76.375
192493377750,-30.8125,204.875,86.1875
192493394174,-21.375,214.688,96.9375
192493416715,-7.0625,224.25,104.875
192493437834,4.375,235.562,108.875
192493454233,13.25,247.625,112.188
192493482962,17.375,257.938,117.312
192493497844,17.9375,261.75,123.375
192493514206,20.1875,263.188,124.625
192493536705,18.125,256.875,123.125
192493557795,11.5,249.125,118.812
192493574208,2.75,240.562,116.938
192493596713,3,233.938,114.562
192493617798,11.6875,226.938,110.5
192493633557,19.5625,217.938,106.375
192493656723,17.0625,207.062,101.812
192493677945,2.75,192.938,94.25
192493693586,-3.5,180.312,87.875
192493716854,-1.4375,165.688,78.8125
192493737939,-5,152.75,67.375
192493744744,-9.875,142.75,57.3125
192493761059,-9.6875,138.312,48.6875
192493782268,-2.1875,134.188,43.75
192493808782,2.9375,124.375,37.5
192493821173,-3.5625,110.438,34.625
192493842095,-12.1875,89.3125,29.25
192493865984,-18.9375,60.9375,18.875
192493881207,-21.6875,40.5625,7.375
192493902045,-14.6875,27.8125,-0.375
192493924622,-4.0625,11.25,-2.4375
192493941081,-3.125,-3.375,-10.8125
192493962271,-11.125,-20.1875,-19.125
192493984737,-8.9375,-30.5625,-21.9375
192494001054,-0.0625,-32.5625,-20.6875
192494022145,0.5625,-30.25,-16.8125
192494044765,1.5625,-24.3125,-11.625
192494061035,3.6875,-18.75,-6.5
192494082090,5.1875,-12,-0.375
192494104763,9.375,-4.625,3.375
192494121028,8.25,0.9375,3.4375
192494142140,6.8125,2.5625,4.5625
192494173536,6.4375,3.9375,4.1875
192494179762,6.6875,5.625,2.6875
192494202119,7.25,5.8125,0
192494233395,4.75,4.1875,-1.3125
192494239593,5.5625,2.1875,-2.125
192494262263,2.8125,-1.875,-3.0625
192494293836,3.5625,-3.25,-2.3125
192494300966,4.125,-4.5625,-1.5
192494321986,0.25,-7.0625,-1.25
192494344544,-0.625,-8.625,-1.8125
192494359554,-1.875,-7.5,-0.6875
192494382086,1.0625,-5.625,-0.6875
192494404523,-1.875,-3.25,0.1875
192494419741,-3.8125,-4.625,0.9375
192494442043,-0.3125,-4.8125,-0.75
192494464582,0.125,-9.125,0.9375
192494481008,-3.75,-5.3125,-0.625
192494502006,-2.4375,-7,-2.3125
192494524544,-0.125,-5.4375,-0.75
192494540990,-1.0625,-2.625,0.375
192494562059,1.1875,-0.0625,1.1875
192494584569,3.125,-0.8125,1.4375
192494600977,2.5,-2.875,0.9375
192494621998,0.75,-1.375,1.3125
192494644566,-0.25,2.875,2.125
192494660938,2.25,2.9375,0
192494681959,-0.625,-1.6875,0.1875
192494704670,-3.5,-3.25,0.875
192494721641,0.5625,-0.8125,0.9375
192494742041,2.9375,-0.8125,1.4375
192494764696,-1.4375,-3.1875,1.875
192494787028,-2.25,-3.1875,1.5625
192494802082,-1.4375,-2.8125,1.25
192494824771,-0.25,-1.6875,1.5625
192494848581,-0.25,-0.125,1.75
192494862096,-1.9375,-1.0625,0
192494884531,-2.4375,-0.625,-0.125
192494902536,-0.625,0.25,0.8125
192494922005,-1.375,-2,0.8125
192494944570,-1.25,-5.1875,0.1875
192494962445,-1.125,-7.5,-1.25
192494981989,-4.875,-4.5625,0.0625
192495004727,-0.6875,-3.6875,-1.5625
192495022457,-0.5,-3.0625,-1.9375
192495042065,0.25,-2.6875,-0.75
192495064551,-3.3125,-2.1875,-0.125
192495082452,-1.3125,-1.4375,0
192495102018,0.9375,-0.75,0
