,roll,pitch,yaw
0,-54.01440351527091,-76.04611054447959,-78.15261523320034
1,-63.61264844145127,-76.23689394677791,-78.66841920455403
2,-68.80542054068498,-76.30689238689683,-79.1865641512091
3,-71.42085172842849,-76.289381827335,-79.58581713307733
4,-72.72397470314698,-76.21651339099755,-79.8608781791095
5,-73.8551549098205,-76.09764828506938,-80.15838413924445
6,-74.33322051443479,-75.80636046555446,-80.42261166868967
7,-74.947166492007,-75.3377699083631,-80.79221430580522
8,-74.27128781237253,-74.97119265652103,-80.91340364199326
9,-73.0479093106772,-74.52360527385918,-80.97215104586172
10,-70.21955086864249,-74.1277212609057,-80.85228984077428
11,-64.70765168939018,-73.44063340348545,-80.68573042695007
12,-52.74141975346273,-73.02208885608258,-80.27438252292106
13,-27.801989084659017,-72.67357993261415,-79.83115712770177
14,6.255493023091224,-72.35178674337179,-79.4829279336819
15,26.378157368174307,-72.25874119205109,-79.2001726046677
16,32.460649982474145,-72.40595443500517,-78.96262244136278
17,35.21708263452879,-72.76362751804932,-78.6161237
18,32.2458061674198,-73.33655811079673,-78.25378859694105
19,25.495563172389538,-74.04001254972485,-77.8589700814252
20,12.211061051940856,-74.77574432240466,-77.56860237063283
21,-4.4555448296290985,-75.4099930869584,-77.39907551837128
22,-17.712293763798897,-75.94227772970534,-77.28626160021275
23,-27.603176066028762,-76.27293641577413,-77.27832334748699
24,-35.6917701346515,-76.38006900841053,-77.46719546632913
25,-42.96697670262262,-76.10800971311107,-77.96561609767357
26,-47.603124715310486,-74.99606448788602,-78.91129131264917
27,-33.29304811914528,-74.4896474141514,-78.79389582633834
28,-2.472766404401325,-73.69258140445626,-78.74020336555358
29,25.38502601812556,-72.64384285004007,-78.96916339194962
30,36.94572094264315,-71.7845748782256,-79.32958715840672
31,37.41769271942161,-71.10818588177268,-79.80760057777168
32,30.562611235097226,-70.60493666825984,-80.314187719046
33,18.184765020087475,-70.33970755228967,-80.72488559128968
34,2.6299357413987163,-70.19626975896713,-81.06144235772791
35,-12.500973885139372,-70.1319521893693,-81.34545644388645
36,-25.642811776667244,-70.02257768595207,-81.63033243876183
37,-34.38882432624659,-69.8390581981297,-81.89212740528554
38,-38.51900257339088,-69.67129784739768,-82.07749699876558
39,-40.56046132774401,-69.48023831989956,-82.22247278945011
40,-41.17702107952778,-69.32561820845858,-82.32362961395695
41,-41.1648869883672,-69.16578421719147,-82.40816183632194
42,-40.975123467714276,-68.99074883942993,-82.48904374046852
43,-39.45667970094193,-68.81239790973449,-82.53210693984724
44,-35.391041881279776,-68.74075194789589,-82.48138921303087
45,-28.3033291602936,-68.79971894078744,-82.32449800860789
46,-21.3158513342022,-68.93578187276758,-82.13864217495328
47,-15.883160078456834,-69.15434827623466,-81.93243658732298
48,-13.615258487148136,-69.47359335956533,-81.71902824533497
49,-15.449509680890776,-69.8300410140885,-81.533879467519
50,-18.8155367537657,-70.22236242505497,-81.35352817916247
51,-22.22377826771973,-70.62806450816886,-81.16916391299372
52,-25.84947761480092,-71.06353210924118,-80.98473355304101
53,-29.689973557424718,-71.44554942751698,-80.83184991519265
54,-33.553014686760484,-71.74926030856057,-80.73838335121876
55,-37.72856914881932,-71.95231448056948,-80.71608404762328
56,-42.40905580057705,-72.11473212797765,-80.75728200430389
57,-47.089782216806185,-72.18485862953747,-80.85230128162745
58,-51.70357668335824,-72.26690844401806,-80.96908013504074
59,-56.05816737018336,-72.25096433861226,-81.1387688858803
60,-60.63746133469826,-72.130534479052,-81.41443108757744
61,-64.83439788821369,-71.83441066488926,-81.79517177992432
62,-68.6359690227758,-71.47934002120411,-82.2134083932773
63,-71.48301751824003,-71.18550297238389,-82.55117049763476
64,-71.66374831305284,-71.01383438182168,-82.62504534598848
65,-71.8959231188678,-70.7906107764888,-82.72725645969899
66,-73.34952998118952,-70.49037489037418,-82.98155326180368
67,-74.75860292250624,-70.10045061135861,-83.25981677230124
68,-75.76223007621358,-69.68257931519489,-83.49822516516319
69,-75.90115554637082,-69.36004928771646,-83.59530159876734
70,-75.50179068204307,-69.11453640854614,-83.59999450936871
71,-74.98047693357148,-68.92978454334157,-83.57703503431615
72,-74.44566679987349,-68.81580841348965,-83.54141845395853
73,-74.21716983921426,-68.75586684850663,-83.52287754666231
74,-74.19898365752807,-68.82629226637546,-83.48568828662714
75,-74.13607184184715,-69.0241923139684,-83.40247818607479
76,-74.00759649479339,-69.3354367941913,-83.27234708176879
77,-73.7433965068509,-69.77583450455373,-83.08510617824034
78,-73.38473089658608,-70.26963826867167,-82.85608794710096
79,-72.97072190734369,-70.8014006503011,-82.59118833801259
80,-72.71457830505697,-71.33078951968085,-82.33620663192389
81,-72.57610280924783,-71.83288509346416,-82.08641368803417
82,-72.3864569134879,-72.28971458300617,-81.84197386541925
83,-71.84081842018604,-72.67233633956792,-81.57794924210599
84,-71.11058077076075,-72.96565617612534,-81.33451945295364
85,-70.3763087928649,-73.16898985462701,-81.14256935305866
86,-69.94734021257165,-73.2804457101499,-81.04214882471607
87,-69.69833692059679,-73.28251699330293,-81.0205972296459
88,-69.53430415740564,-73.23120025387041,-81.0479769924677
89,-69.31605922529445,-73.10063553947452,-81.10047093335804
90,-69.1233600849643,-72.87891038320895,-81.1952416993146
91,-68.70925144500595,-72.59290431688135,-81.29304871242717
92,-67.99366902366756,-72.2361530422364,-81.40634407238643
93,-66.86560196489859,-71.71878498244116,-81.55359244758327
94,-65.25377745990707,-70.83799687877752,-81.82600564336971
95,-61.23943418816457,-69.5234903223676,-82.16029555928405
96,-43.28245256528479,-67.91637654429852,-82.365851003085
97,19.48454950345867,-65.83368928208132,-82.64353394454695
98,63.3200185647093,-63.17240924609813,-83.10862027138316
99,76.21707310159682,-59.98439986799552,-83.72155268997109
100,82.0127420802789,-56.440496019860376,-84.3483954096002
101,85.27165564719077,-52.58746848938159,-84.92311915414096
102,87.22291609678254,-48.43186010939357,-85.45285013297938
103,88.39508315989914,-44.027801747867315,-85.95102248126788
104,89.111361755358,-39.37640855922682,-86.42610395698068
105,89.5378248021299,-34.4987370651688,-86.90058927882089
106,89.7865372249115,-29.38743944290552,-87.37939284277554
107,89.92136668507274,-24.032578003649558,-87.85732763912353
108,89.9830365564007,-18.44793457241288,-88.31219299682982
109,89.99984349859785,-12.752428981604732,-88.72048218826998
110,89.99477370618929,-7.022813174692166,-89.08317839362482
111,89.98444264176244,-1.4036969842461178,-89.3851355500728
112,89.97803268626703,4.050244118778507,-89.62002970189829
113,89.97871308452751,9.314160812111934,-89.79095232803995
114,89.98611622784786,14.419428656724772,-89.91131477831449
115,89.9962898474526,19.371896037039356,-89.98335219128279
116,89.99926776420158,24.124995696406188,-89.99758205174497
117,89.97958392153929,28.659811018497543,-89.94868481138346
118,89.92539977372041,32.86258463555009,-89.85130660846815
119,89.8236948656386,36.78382722398417,-89.71352106876066
120,89.65483007608553,40.3835934156351,-89.53510686404495
121,89.41459500209208,43.67553552071426,-89.33183282607125
122,89.10304118303284,46.72038286705657,-89.11312399292888
123,88.69808835205419,49.63755193625592,-88.87013530540953
124,88.1207676563181,52.45558031554411,-88.5751848225156
125,87.33602062415522,55.08341652858213,-88.23565112466152
126,86.41014404348411,57.44703746338589,-87.89092464940538
127,85.38091969657346,59.557764683559476,-87.55279162475166
128,84.68650970544283,61.05359279993193,-87.32723491707014
129,84.50237932941297,61.96584244691842,-87.2347936863351
130,84.47077250767832,62.6715412905471,-87.17948276725387
131,83.96565663692368,63.52007268428039,-87.01386102074107
132,83.90355393705575,63.878942828479175,-86.96924566975629
133,84.47380390610346,63.74110550632191,-87.09313957607829
134,85.14000588820046,63.31417649599204,-87.27187992415203
135,85.62358562772768,62.808629869247106,-87.4203814033482
136,85.99761024375576,62.31444022889016,-87.54646345168007
137,86.2341924804187,61.941435752262734,-87.63197035936803
138,86.35493365210839,61.69133961645111,-87.67845293244892
139,86.33699455997987,61.592914195052636,-87.67642727472061
140,86.1847469260586,61.668293527594955,-87.6256893577373
141,85.99669047319112,61.86265943643088,-87.559368731143
142,85.77210021905891,62.09926727463841,-87.48323386107803
143,85.55404701618322,62.344655425272805,-87.41005313043779
144,85.34633684440152,62.59416251617324,-87.33944610292473
145,85.16217656245935,62.837344915703184,-87.27387553920026
146,85.04055016131328,63.026088207450684,-87.22816593733853
147,84.9362393158507,63.19714934591344,-87.18723894953808
148,84.92934769347085,63.276553222862795,-87.17767184852927
149,84.90700257191602,63.3083711097305,-87.16713089558952
150,84.85881895843646,63.35397157016376,-87.1502743340411
151,84.88069498154958,63.32432121019082,-87.15674419882326
152,84.94682086909314,63.28433674186157,-87.17551802429004
153,85.02481156521542,63.23446001634234,-87.19891283243014
154,85.05389444013738,63.21600637011585,-87.20589251283052
155,85.08696196406125,63.26026952145451,-87.2122287037475
156,85.12886741623532,63.276557932822165,-87.2236764281644
157,85.16487272707795,63.25645184975168,-87.23372648350328
158,85.14055439163405,63.21137478600118,-87.23209236258384
159,85.27985140866961,63.177757206072094,-87.27069597618747
160,85.35038507480617,63.146279065069734,-87.29116115543037
161,85.36687172500157,63.13343359570694,-87.29647915385418
162,85.35730890987921,63.15949896528711,-87.29271930911666
163,85.29436090641033,63.246235083542075,-87.27100390667457
164,85.17844237957057,63.348187560660314,-87.23390135307525
165,85.06779431587357,63.42807352731141,-87.20045319744932
166,85.00054736977611,63.484981325525744,-87.18078339939974
167,84.9502735097649,63.60062337174778,-87.16036165578198
168,84.85595970416882,63.77510355126189,-87.1233375571177
169,84.81277334570625,63.872231852682994,-87.10581570737409
170,84.84764833230454,63.88125645424635,-87.11600863375187
171,84.8426755045772,63.90331078214471,-87.1133661136601
172,84.74854104944075,63.97802361857103,-87.08494347024536
173,84.70953073796842,63.98896225611687,-87.07626515054505
174,84.71408032412607,64.01617175358508,-87.07758170246761
175,84.72185868140531,64.01265653758868,-87.0808770929946
176,84.66993005104655,64.04575703798498,-87.06704189463433
177,84.59938424477221,64.11735965185203,-87.0462323167166
178,84.61032352272666,64.16885696008433,-87.04636244455655
179,84.64098415767477,64.20075198093112,-87.05157134845423
180,84.6436962533357,64.20511168593124,-87.0515117635615
181,84.6411846412442,64.24614428347746,-87.04939443726782
182,84.65983399106358,64.20051575922047,-87.05805499626135
183,84.75493918742553,64.15087750027385,-87.08494865888078
184,84.77904847723468,64.06387582700249,-87.10057069530272
185,84.86792552757022,64.0456687924074,-87.12282150734917
186,84.93597641008436,64.01317404978013,-87.14117156696594
187,84.91652053271338,64.01380015246656,-87.13571908579195
188,84.95383244617516,64.04344226753061,-87.14486063225549
189,84.97542616239717,64.05848555769144,-87.14946503739031
190,84.96927920036526,64.0683913009549,-87.14699075928725
191,84.92248302531955,64.11135670897842,-87.13226834408349
192,84.88294244902158,64.18028040540929,-87.11642511032655
193,84.8084664368135,64.29957890779791,-87.08873622550938
194,84.67635602098987,64.44316244978567,-87.04518637365716
195,84.5799969384085,64.5383435099908,-87.01564297024663
196,84.51991879059187,64.62964660215957,-86.99399681098473
197,84.45339014588393,64.73024203688225,-86.97037109297378
198,84.39867847053631,64.81182740894678,-86.95102101190302
199,84.34289741190875,64.86245571049001,-86.93450541216772
200,84.32681505195785,64.87149002447433,-86.9310336662613
201,84.31848858263552,64.88992133166101,-86.92826507405582
202,84.36747586803091,64.89470867332857,-86.93729673817265
203,84.39113651296894,64.89959411889859,-86.942183749454
204,84.42530153178534,64.89742684845363,-86.95048960780275
205,84.48794607270182,64.85689520568869,-86.9692450381731
206,84.59003175061518,64.81257833960251,-87.00116112933986
207,84.6104718541163,64.8236120164298,-87.00591646498464
208,84.55785510967664,64.75190763245432,-86.99962551512505
209,84.62217075105588,64.57974866095816,-87.02898865269273
210,84.8528484503027,64.41486192210922,-87.09882471091257
211,84.92132323778229,64.42844551418932,-87.11361265574753
212,84.89044391917837,64.43242090819537,-87.10315465635088
213,84.82801878597071,64.47222480566975,-87.0851453584952
214,84.91046462463122,64.42465612608162,-87.11217725474789
215,84.9634258070498,64.3715740665803,-87.1295796207436
216,85.00469835391253,64.32567184805897,-87.14348494988562
217,85.02990566961945,64.24918704704346,-87.15379760051034
218,85.09631145030117,64.15118441796476,-87.17502479093947
219,85.19746078393109,63.946209219791555,-87.21170256858865
220,85.36446587488315,63.59558909654139,-87.27325168276093
221,85.66128821776701,63.114568881579366,-87.37941833584078
222,86.02409305507071,62.56007637969926,-87.51056454230503
223,86.39107503663834,61.970987908988086,-87.6492882745912
224,86.8861198517052,61.12814603849761,-87.85017529783478
225,87.40242015931003,60.06518500363008,-88.08202413372693
226,87.86605702054933,58.84045943950511,-88.31133273486822
227,88.25932951716375,57.473678904191836,-88.52580437918638
228,88.59330479204891,55.971064241763365,-88.72594135558832
229,88.88588033634089,54.319319752955536,-88.91782747865987
230,89.15111622812809,52.518190953123,-89.10912529348228
231,89.38020286164117,50.55713503630074,-89.29247606571361
232,89.59148550441563,48.09273858673615,-89.48356556177367
233,89.76261107620785,45.20122719237043,-89.66231420427484
234,89.88420690153912,41.945328088306404,-89.81202092019609
235,89.95876709398469,38.33287469205746,-89.92251130082435
236,89.99385065265714,34.39744634532878,-89.98641178395874
237,89.99906345162833,30.10728442586053,-89.99752193520979
238,89.98561857919306,25.57407542025997,-89.95359721471627
239,89.96408156657509,20.908299127163623,-89.85603857698908
240,89.94362418896506,16.173787759445496,-89.71315440204141
241,89.92979735381174,11.450787363953129,-89.53302889361429
242,89.92399146609574,6.664274336862835,-89.30665131658913
243,89.92483344460032,1.913918020037602,-89.01663388365327
244,89.93464405421243,-2.7023059244859593,-88.70649944874344
245,89.95346039073229,-7.070558453223291,-88.43736618511477
246,89.97451495176404,-11.285250494182659,-88.17466847877915
247,89.99161644030741,-15.549926546386548,-87.85218083969666
248,89.99987132042558,-19.75479782962258,-87.50930640419435
249,89.9929076506404,-23.709348972991638,-87.21149405940581
250,89.96328997975479,-27.21324369071121,-86.97972812276313
251,89.90427302705292,-30.468139112172338,-86.76307411440473
252,89.80670633608665,-33.684539148190716,-86.51546407974354
253,89.65295356511072,-36.94001531042386,-86.24042592546357
254,89.40883267950613,-40.25309086208646,-85.96125292260253
255,89.0331447949344,-43.52654881684696,-85.68749943686278
256,88.46241095712094,-46.78442133600381,-85.40251212094735
257,87.59046418046782,-50.07500647177337,-85.0742979311005
258,86.23549426552195,-53.29524254103171,-84.71360648111143
259,84.06486072663753,-56.35255013136483,-84.32655648220089
260,80.30419748966823,-59.208532896773555,-83.91601783357912
261,72.40780752304005,-61.89414554270525,-83.48472545917285
262,49.2414814810853,-64.30355358790655,-83.06391184556927
263,-15.508511582525456,-66.32493628647933,-82.68211990200851
264,-47.91248431141663,-67.46133734429047,-82.47249680121267
265,-49.344563457089215,-68.35160476402977,-82.1142543866669
266,-47.17333089546899,-68.87291550665368,-81.85023534615448
267,-46.06679174781833,-69.35684728650813,-81.60438561991799
268,-44.232214315562366,-69.70535011240807,-81.41838403276128
269,-40.030128023831615,-69.87492496231933,-81.28752666024015
270,-32.71418351281668,-69.88034605385562,-81.22305439615096
271,-25.323070580507178,-69.75300331635192,-81.2273441871514
272,-20.441375204828283,-69.59325536921712,-81.27364583057025
273,-16.899897722291907,-69.41804726727874,-81.33629378323602
274,-14.986140600269865,-69.17642947074539,-81.43974419324317
275,-13.535411308653735,-68.85585641033576,-81.58027066383539
276,-10.488722222011823,-68.49521883990631,-81.72903978966106
277,-3.624585642346316,-68.11550894910982,-81.85512118701853
278,4.508615319779921,-67.75601024476333,-81.96205305291852
279,14.312573327432018,-67.37230782428749,-82.07107300242656
280,26.746059825028876,-66.92877766885223,-82.17543576560477
281,38.549615314621285,-66.44642522445044,-82.27581401522787
282,48.05881958871553,-65.96418363206388,-82.36790329602539
283,54.97619471749764,-65.52306221910818,-82.43388959005144
284,59.9441900219125,-65.20647173551309,-82.45520698814782
285,63.59568836115459,-64.9362256450039,-82.4559700575199
286,66.22522888190247,-64.78588876119484,-82.41642704467117
287,68.2100278534674,-64.75109664519849,-82.33600730755569
288,69.65266317433228,-64.80779860960465,-82.22741501252679
289,70.8077467680416,-64.93733015938197,-82.08174079290268
290,71.75696102794342,-65.17879225296639,-81.89573100074887
291,72.47977009938644,-65.52822646361052,-81.66212988558044
292,72.88382950975759,-65.91632646288501,-81.41315367286872
293,73.0062755054703,-66.35167959476064,-81.15384812396977
294,72.90575919495176,-66.7993722129716,-80.90950936933436
295,72.78896816629342,-67.24951151288516,-80.66665376312153
296,72.47648603448746,-67.70168205551929,-80.4306867422993
