timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1573315326524485,-15,-16,-6,-7,-2,0,-3,-18
1573315326524485,9,11,9,0,0,2,-7,-21
1573315326525400,-23,-19,-16,11,14,5,2,-3
1573315326525400,26,13,8,-1,-6,-6,-4,6
1573315326526377,-2,13,1,-5,-4,-5,-1,22
1573315326526377,11,7,7,7,9,14,5,6
1573315326526377,-3,2,-1,-19,-23,-9,-11,-19
1573315326526377,34,-1,0,5,-2,0,7,-1
1573315326539063,-4,-1,5,10,14,9,7,21
1573315326539063,6,0,-2,-3,-10,-9,1,11
1573315326544918,-1,3,0,-5,-2,3,-1,4
1573315326544918,-13,-5,-5,-2,-1,7,-2,-29
1573315326553703,-11,-3,0,-3,-2,-5,-4,-12
1573315326553703,-8,-2,-2,-3,8,6,-4,-2
1573315326567368,-27,-9,-11,0,11,19,16,19
1573315326567368,2,4,-2,-4,-27,-38,-19,-28
1573315326576151,-13,0,1,1,-5,9,2,-3
1573315326576151,17,-15,-13,-6,1,-7,-17,-35
1573315326582049,-4,3,8,0,-7,-6,0,-2
1573315326582049,-7,-5,-7,-6,8,11,1,9
1573315326598601,-32,-3,2,-2,-3,-7,3,-8
1573315326598601,18,5,-2,1,-12,-11,-7,-15
1573315326604456,10,1,13,-3,10,10,1,-1
1573315326604456,2,-12,-34,9,-8,5,5,10
1573315326621047,17,-7,-2,-4,6,-6,-11,-33
1573315326621047,-4,-6,-1,-6,-4,-4,-4,-2
1573315326626904,-5,1,-5,-4,-4,-1,1,-20
1573315326626904,-43,6,17,0,15,9,-3,-5
1573315326636664,10,2,-4,-11,-22,-8,3,20
1573315326636664,-2,-8,-18,-3,-16,-17,10,31
1573315326642520,-7,-14,5,5,1,-6,2,44
1573315326642520,-3,0,7,9,11,5,-5,-19
1573315326659114,20,21,2,1,27,10,-10,-2
1573315326659114,-52,-21,0,-13,-7,-6,-3,0
1573315326664968,18,14,3,10,-3,-11,-2,15
1573315326664968,-35,-20,-12,-23,-13,-1,6,21
1573315326679607,10,0,0,6,21,11,2,6
1573315326679607,-1,4,-2,6,-5,-11,-4,-12
1573315326687415,13,11,9,-6,2,8,0,-13
1573315326687415,-16,-8,6,11,-3,-3,2,-17
1573315326697176,9,7,-10,-7,-4,0,-10,-17
1573315326697176,-25,-13,4,-6,-2,-2,5,6
1573315326702056,-12,38,15,17,8,-7,-5,-11
1573315326702056,14,-44,-33,-9,6,8,7,12
1573315326718648,-30,-23,0,-9,-11,9,22,-9
1573315326718648,8,14,-15,0,-4,-7,-23,-20
1573315326726033,-36,-22,1,2,10,0,-5,-29
1573315326726033,44,41,24,15,14,17,14,48
1573315326734819,-4,-11,0,4,6,-10,-5,-2
1573315326734819,-36,0,-4,-15,5,13,5,-49
1573315326747505,22,-7,-8,-3,7,18,0,-22
1573315326747505,3,17,13,-5,-18,-26,-3,12
1573315326756289,23,-2,13,18,15,20,-8,-17
1573315326756289,7,8,-18,-1,-15,-21,13,49
1573315326762145,65,-13,-28,-14,-21,-20,-6,47
1573315326762145,-55,-9,10,17,16,3,-5,-37
1573315326780689,43,75,43,11,11,13,8,32
1573315326780689,-48,-42,-9,23,19,27,13,-1
1573315326784593,-51,-44,-19,-23,-11,-24,-8,-78
1573315326784593,45,14,-31,-8,-17,8,-18,-31
1573315326793377,51,14,48,24,7,-9,-2,15
1573315326793377,70,91,60,15,-2,15,5,10
1573315326807042,-3,-51,-40,-14,-8,-3,23,-12
1573315326807042,1,-39,-4,-18,-2,13,-14,-7
1573315326817777,3,28,-38,2,2,-17,-8,-17
