timestamp,x,y,z
1573315376301832,-30.0625,136.063,-84
1573315376323302,-27.6875,144.375,-83.1875
1573315376339898,-32.75,134.313,-81.625
1573315376353568,-33.625,134.875,-68.8125
1573315376376986,-24.5625,126.75,-59.4375
1573315376392601,-17.125,95,-44.875
1573315376415050,2,74.8125,-43.1875
1573315376435545,17.8125,68,-39.1875
1573315376452134,14.1875,58.1875,-35.4375
1573315376474584,-6.9375,47.6875,-30.75
1573315376495081,-20.0625,34.75,-16.0625
1573315376511673,-15.5625,24.5,-8.1875
1573315376535097,-1.4375,19.0625,-8.375
1573315376555598,10.9375,13.5,-5.625
1573315376572220,8.4375,4.25,-1.375
1573315376594667,-5.6875,-0.125,-0.625
1573315376615162,-12.3125,7.125,-5.125
1573315376648345,-5,9.375,-6.625
1573315376686407,-8.0625,16.1875,-7.0625
1573315376687383,-2.25,29.875,-9.3125
1573315376693239,0.5625,35.625,-7.3125
1573315376712758,-3,44.0625,-9
1573315376735208,-6.5,50.25,-13.375
1573315376750823,-8.3125,60.4375,-17
1573315376772295,-4.9375,70.875,-19.8125
1573315376800598,-5.875,78.9375,-17.75
1573315376811335,-7,86.25,-19.8125
1573315376832808,-7.625,93.125,-26.25
1573315376855257,-7.3125,98.75,-30.3125
1573315376870872,-7,102.813,-30.9375
1573315376892404,-2.9375,107.375,-26.25
1573315376914853,-8.5,105.688,-28.75
1573315376931384,-9.625,102.563,-32.3125
1573315376953066,-6.25,98.3125,-31.5625
1573315376975557,0.6875,94.3125,-29.25
1573315376991183,-6.875,86.9375,-27.6875
1573315377012433,-9.6875,82.9375,-30.875
1573315377035210,-10.9375,75.625,-24.3125
1573315377051432,-8,63.25,-19.5
1573315377072962,-7.8125,54.5,-17.25
1573315377094373,-9.125,44.75,-14.125
1573315377110966,-9.25,36.75,-9.25
1573315377132731,-7.4375,32.375,-6.5625
1573315377155171,-6.9375,23.75,-5.3125
1573315377171481,-7.375,17.875,-3.375
1573315377192958,-4.25,10.25,-1.375
1573315377215405,-3.0625,4.3125,-0.6875
1573315377231045,-0.375,-0.0625,-0.625
1573315377252675,-1,-5.5625,1.1875
1573315377274937,-3.25,-11.625,3.8125
1573315377291527,1.875,-13.375,4.4375
1573315377312023,1.3125,-13.1875,10.25
1573315377334470,0.6875,-18.9375,5.9375
1573315377351146,-0.4375,-17.3125,1.4375
1573315377372607,3.9375,-12.1875,-1.1875
1573315377402839,-0.5625,-16.4375,4.25
1573315377411578,-7.3125,-21.6875,21.9375
1573315377432121,-3.4375,-18.6875,17.5625
1573315377454520,5.625,-12,-1.5
1573315377471109,-4.1875,-9,2.6875
1573315377493557,-9.5,-7.5625,3.1875
1573315377516006,0.75,-4.1875,-1.3125
1573315377532597,3.0625,1.0625,-3.6875
1573315377554069,-5.5,7.0625,-3.9375
1573315377575541,-4.3125,8.75,-3.3125
1573315377591157,1.1875,6.125,-0.8125
1573315377613605,0.125,4.1875,0.8125
1573315377663381,-0.625,3.625,1.5625
1573315377664357,0.8125,2.875,0.625
1573315377674117,-0.0625,1.5625,1.5625
1573315377696565,-1.5,0.0625,2
1573315377711205,-2.3125,0.1875,1.5625
1573315377741461,-3.3125,1.4375,1.6875
1573315377755124,-4.3125,0.75,1.5
1573315377771717,-5.8125,-0.4375,3.6875
1573315377794165,-7.875,-2.125,5.3125
1573315377814662,-8.6875,-6.5,9.375
1573315377832230,-8.375,-12.8125,13.625
1573315377853701,-2.75,-22.8125,18.5
1573315377875173,1.8125,-36.875,23.25
1573315377890789,9.6875,-63.625,32.9375
1573315377913237,16.625,-99.75,44
1573315377934708,28.6875,-132.813,63.625
1573315377951301,31.0625,-135.188,63.625
1573315377973748,24.875,-133.438,64.25
1573315377995220,20,-124.938,63.8125
1573315378019621,12.4375,-97.1875,50.25
1573315378035236,14.9375,-71.8125,30.4375
1573315378054758,11,-48.5625,18.5
1573315378071348,-0.3125,-25.25,6.375
1573315378093797,-6.625,-6.4375,-2.625
1573315378115271,-6.0625,5.375,-8.875
1573315378130887,-2.75,11.1875,-9
1573315378153338,-3.6875,10.875,-5.375
1573315378176757,-2.0625,8.9375,-3.4375
1573315378191397,-0.875,6.9375,0.1875
1573315378213849,-0.5625,3.75,4.0625
1573315378235320,-0.5,2.0625,5.8125
1573315378250953,-0.75,0.9375,6.25
1573315378273447,-1.875,-0.375,5.6875
1573315378295914,-2.3125,-2.1875,5.75
1573315378310560,-4.375,-5.8125,6.25
1573315378333006,-6.625,-11.5,6.8125
1573315378355403,-11.9375,-19.8125,9
1573315378370991,-16.125,-31.5,12.375
1573315378393430,-14.75,-45,18.5625
1573315378416851,-11.75,-58.375,23.9375
1573315378430526,-4.4375,-72,34.875
1573315378453053,2.8125,-89.0625,49.4375
1573315378475414,6.1875,-111.875,57.9375
1573315378490061,6.25,-133.5,62.625
1573315378513477,10.4375,-156.375,77.625
1573315378535946,3.6875,-170.375,82.75
1573315378551543,-4.8125,-169.625,65.375
1573315378573036,4.75,-168.188,62
1573315378595465,16.0625,-170,68.0625
1573315378612052,22.6875,-169.438,63.3125
1573315378657923,29.125,-160.875,61
1573315378657923,29.3125,-150.563,62.375
1573315378673539,22.25,-130.438,60.125
1573315378695987,10.8125,-107.25,62.9375
1573315378726243,9.9375,-107.75,56.5625
1573315378745769,14.625,-88.6875,40.25
1573315378754553,16.9375,-69.375,30.5625
1573315378775048,11.5,-44.3125,24.375
1573315378791637,-9.4375,-50,28.75
1573315378813108,-4.5625,-46.0625,24.375
1573315378835562,7.8125,-37.25,16.625
1573315378852148,17.125,-27.75,9.75
1573315378873646,11.9375,-20.5,5.9375
1573315378918517,1.4375,-17.1875,4.75
1573315378919493,-5.9375,-16.875,4.5
1573315378934202,-9.6875,-21.1875,6.0625
1573315378955608,-6.9375,-26.9375,6.5
1573315378986837,-0.6875,-21.5625,10
1573315379001475,3.9375,-22.5,8.8125
1573315379015144,1.8125,-9,4.375
1573315379031729,-13.3125,-26.75,4.375
1573315379053528,-25.3125,3.0625,-0.6875
1573315379076058,-12.6875,7.8125,-3.75
1573315379092243,-0.9375,11.375,-2.1875
1573315379112993,-6.1875,1.1875,2.5
1573315379136182,-9.1875,-9.1875,7.5
1573315379151827,-9,-13.375,11.5625
1573315379173257,-5.125,-11.0625,11.375
1573315379195699,-3.0625,-6.375,9.375
1573315379212293,1.25,-3.9375,5.75
1573315379232907,8.75,-1.625,2.3125
1573315379257187,14.4375,-0.6875,2.25
1573315379271831,21.625,-3.75,4.1875
1573315379293499,19.8125,-4.8125,3.3125
