timestamp,x,y,z
1573315972569028,-17.5,103.25,-50.375
1573315972591473,-14.5,101.125,-50.3125
1573315972613919,-13.5,97,-48.3125
1573315972628559,-14.0625,91.875,-45.25
1573315972651986,-16.0625,84.375,-42.5
1573315972674434,-14.0625,74.125,-38
1573315972689073,-15.4375,64.4375,-34.375
1573315972711520,-11.25,55.1875,-29.0625
1573315972733968,-6.3125,46.6875,-25.625
1573315972748608,-3.25,38.375,-22
1573315972772032,-2.6875,28.3125,-17.4375
1573315972794480,-3.0625,20.625,-15.3125
1573315972814976,-3.6875,17.5,-13.125
1573315972832807,-5.875,15.875,-12.625
1573315972856230,-12.375,18.9375,-16.3125
1573315972876727,-20.3125,28.8125,-17.625
1573315972891370,-28.375,43.4375,-24.3125
1573315972913814,-31.3125,59.25,-28.25
1573315972935288,-29.4375,75.4375,-24.3125
1573315972951883,-26.625,88.5625,-19.5625
1573315972974329,-21.875,100.625,-14.5
1573315972995800,-19.1875,111.813,-11.8125
1573315973011414,-22.5,123.563,-16.4375
1573315973033861,-26.875,129,-14.125
1573315973055337,-25.1875,129.375,-11.1875
1573315973071928,-22.0625,128.813,-2.125
1573315973094376,-26.3125,129.625,9.5
1573315973114872,-36.9375,134.625,14.75
1573315973131462,-42.125,136.688,22.0625
1573315973153912,-38.4375,134.563,24.125
1573315973175385,-35.9375,131.5,22.9375
1573315973191974,-31.75,129.125,21.375
1573315973214421,-30.875,124.125,18.125
1573315973242726,-32.6875,117.688,16.9375
1573315973251651,-35.8125,106.563,12.5625
1573315973274175,-34,91.8125,6.0625
1573315973295696,-29.75,75.75,3.0625
1573315973312023,-21.625,60.875,1.1875
1573315973334470,-17.8125,52.4375,-0.375
1573315973362912,-15.9375,41.8125,0
1573315973379370,-10.9375,33.9375,0.1875
1573315973394185,-11.4375,26.5,-2.875
1573315973415515,-7.5625,17.8125,-1.1875
1573315973431095,-5.1875,8.1875,5.125
1573315973454517,-8,1.1875,7.0625
1573315973475014,-11,-4.375,5.25
1573315973491687,-8.125,-6.0625,2.875
1573315973514053,-1.5,-6.4375,3
1573315973536693,3.3125,-7.875,2.375
1573315973552120,5.0625,-14.1875,3.375
1573315973574567,5.3125,-25.125,5.6875
1573315973597020,3,-34.875,4.8125
1573315973611654,1.4375,-39.8125,7.4375
1573315973618488,6.9375,-44.8125,7.875
1573315973642887,22.125,-51.3125,4.625
1573315973662407,38.1875,-54.0625,1.0625
1573315973678998,45.625,-58.4375,-4.4375
1573315973699492,48.875,-72.1875,-10.5625
1573315973721942,47.25,-80.3125,-11.1875
1573315973738532,43.375,-73.875,-9.5
