timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1573315978148460,-10,-4,5,2,0,-2,2,2
1573315978148460,5,6,-1,-6,-1,-2,-4,-9
1573315978163099,8,7,3,0,0,0,0,3
1573315978163099,-3,-14,-20,-6,-4,-2,-3,-4
1573315978169930,9,7,8,4,1,0,-1,-1
1573315978169930,-10,-9,1,9,4,2,-1,-1
1573315978185545,2,2,3,-1,-1,0,0,0
1573315978185545,8,6,5,-1,-1,-2,-1,5
1573315978187498,-2,-4,-8,-8,-3,0,1,-3
1573315978187498,-1,-2,-7,-3,-3,-1,0,-1
1573315978200188,-13,0,6,3,1,0,-1,1
1573315978200188,-4,-6,2,3,0,-2,0,3
1573315978208972,17,6,-6,-3,0,0,1,9
1573315978208972,9,-3,2,-4,-4,-3,0,2
1573315978222638,4,-5,-6,-6,-1,-1,1,5
1573315978222638,-8,0,5,3,2,-1,-2,-4
1573315978237275,-7,-1,-3,-1,-1,0,-1,-5
1573315978237275,-5,3,9,6,2,1,-3,-8
1573315978253867,14,4,-3,-2,-2,1,-1,5
1573315978253867,-7,-5,2,2,0,-2,-2,-1
1573315978254843,3,9,-3,-1,-3,-1,-1,-6
1573315978254843,-5,-16,-17,-12,-9,-4,1,1
1573315978268507,-18,0,6,2,3,-3,-1,-6
1573315978268507,11,6,7,4,3,4,2,2
1573315978270459,-5,-4,-2,2,1,-1,-1,0
1573315978270459,6,6,5,2,0,0,-1,5
1573315978283146,15,-5,-6,-8,-6,-1,0,4
1573315978283146,-6,2,1,1,2,0,0,0
1573315978289977,18,17,5,-1,3,2,2,8
1573315978289977,15,4,2,-4,-2,0,-1,0
1573315978305593,-6,1,4,3,-1,-1,0,-3
1573315978305593,1,-13,-5,-4,-3,-1,-1,-12
1573315978307545,2,-1,-2,-2,-1,0,4,22
1573315978307545,1,-4,-4,4,3,1,0,-1
1573315978328040,1,1,-5,-1,-2,-1,-1,-4
1573315978328040,-5,5,-2,0,-2,-2,0,-2
1573315978329993,5,-4,-1,1,-1,0,-1,-8
1573315978329993,-7,-1,4,-4,-4,0,2,4
1573315978342689,-6,1,1,0,1,1,-1,-1
1573315978342689,2,9,16,4,3,-1,1,5
1573315978349516,-21,-20,-16,0,2,-1,-5,-12
1573315978349516,-5,3,-2,-1,-2,0,-1,0
1573315978366109,-19,-8,-9,-5,-3,-2,-2,-9
1573315978366109,20,11,6,1,2,-2,-2,0
1573315978368059,2,2,3,-4,-4,-1,0,0
1573315978368059,-21,-10,-2,4,4,-1,-4,-5
1573315978396361,-10,7,2,-1,-1,0,-1,-1
1573315978396361,-6,-4,0,0,-2,0,0,1
1573315978397338,-1,-3,-1,-3,-2,-1,0,-1
1573315978397338,4,-2,-3,-2,-5,-4,-2,-3
1573315978403197,3,1,8,1,1,1,1,4
1573315978403197,-1,7,2,6,2,0,-2,1
1573315978410026,3,3,0,-4,-2,-1,-1,-1
1573315978410026,-1,4,6,-1,-1,-2,0,-2
1573315978425641,-11,-26,0,4,2,-1,-2,-5
1573315978425641,6,13,-12,-8,-5,-3,-3,0
1573315978427593,-8,-10,-2,-4,0,1,-2,-3
1573315978427593,6,10,-8,-1,0,0,-2,-1
1573315978448089,3,1,9,1,0,0,0,-1
1573315978448089,1,-8,-10,3,1,2,1,3
1573315978450041,0,-2,7,2,2,-1,1,-1
