timestamp,Pitch,Roll,Yaw
1573316057797756,-0.072905,0.65337,-1.49649
1573316057814351,-0.0400181,0.649244,-1.49527
1573316057836801,-0.00969336,0.644825,-1.49281
1573316057857297,0.0194907,0.639108,-1.49002
1573316057881694,0.0466607,0.635841,-1.4868
1573316057896336,0.0707902,0.634918,-1.48448
1573316057917805,0.0910318,0.634289,-1.48399
1573316057932966,0.107693,0.634439,-1.48315
1573316057956392,0.121386,0.634389,-1.48178
1573316057977862,0.133178,0.632896,-1.48031
1573316057993480,0.143562,0.630609,-1.47894
1573316058016903,0.152073,0.628994,-1.47757
1573316058039353,0.15823,0.627491,-1.47671
1573316058053016,0.162294,0.626342,-1.47683
1573316058076444,0.165068,0.625708,-1.47723
1573316058098891,0.1665,0.623866,-1.47808
1573316058114503,0.166892,0.620353,-1.4783
1573316058136966,0.167894,0.615967,-1.47623
1573316058159411,0.175292,0.606677,-1.47483
1573316058173075,0.193489,0.590837,-1.47416
1573316058196503,0.218655,0.572315,-1.47026
1573316058218950,0.246756,0.552729,-1.4608
1573316058233419,0.277119,0.536197,-1.44736
1573316058256797,0.310348,0.522107,-1.43132
1573316058279249,0.34549,0.511699,-1.41496
1573316058299837,0.384364,0.500877,-1.39606
1573316058316340,0.42464,0.490684,-1.374
1573316058338848,0.465376,0.483563,-1.34864
1573316058360632,0.506922,0.480358,-1.32014
1573316058375921,0.548328,0.479763,-1.2883
1573316058399345,0.589636,0.480256,-1.25605
1573316058420147,0.631266,0.483192,-1.22263
1573316058436665,0.672873,0.489058,-1.18877
1573316058458884,0.712771,0.499205,-1.15501
1573316058480528,0.750688,0.51352,-1.12085
1573316058496950,0.786353,0.528322,-1.08724
1573316058519397,0.818891,0.542307,-1.05359
1573316058539892,0.848944,0.556888,-1.02108
1573316058556481,0.876747,0.570626,-0.992276
1573316058578933,0.900722,0.587555,-0.964698
1573316058600503,0.922936,0.60805,-0.937971
1573316058616016,0.942026,0.623788,-0.916256
1573316058639442,0.956683,0.636019,-0.896957
1573316058659937,0.97048,0.644512,-0.882735
1573316058676528,0.982498,0.652244,-0.870027
1573316058698976,0.991374,0.660637,-0.857993
