timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1573316482730554,4,17,5,1,0,-4,-2,-1
1573316482730554,-6,5,4,3,4,3,1,4
1573316482731531,-3,-2,0,4,1,1,-1,-2
1573316482731531,-10,-9,1,-4,-7,2,0,2
1573316482753977,15,4,-4,-1,3,-1,-2,-1
1573316482753977,10,0,2,1,-2,1,-1,2
1573316482753977,-6,-8,-10,1,1,1,1,-2
1573316482753977,-9,5,7,5,3,-2,-2,4
1573316482767644,-3,-2,10,-1,-2,-1,-1,-17
1573316482767644,-2,9,-5,0,-2,1,0,6
1573316482768617,-9,-4,3,-1,-3,-1,0,1
1573316482768617,-5,-17,-21,-8,-5,-2,-2,2
1573316482790089,-12,3,2,1,1,1,-1,-10
1573316482790089,-1,-2,9,2,0,-1,-2,-4
1573316482792041,14,8,1,2,-2,-2,-2,0
1573316482792041,3,7,8,11,4,0,-1,7
1573316482813513,0,-13,-7,-7,-4,2,2,-1
1573316482813513,5,22,3,-5,-3,-2,-1,-4
1573316482814488,-13,-12,-6,2,-1,-1,-5,-2
1573316482814488,-15,-2,-3,-2,3,-2,-1,-6
1573316482828152,1,-2,2,-2,-3,-1,3,3
1573316482828152,-17,-9,-11,-3,-2,-2,-4,-15
1573316482828152,23,7,7,0,2,0,2,16
1573316482828152,-17,-3,-1,-2,-5,-1,-5,-14
1573316482850603,16,4,5,2,3,1,4,19
1573316482850603,-3,-6,-2,-3,-1,-2,-3,-7
1573316482850603,-21,-5,-7,-5,-1,2,0,-9
1573316482850603,9,5,6,-2,1,-2,1,-3
1573316482873049,-19,-8,-1,2,1,0,-1,4
1573316482873049,11,7,5,7,2,2,0,3
1573316482874024,5,-2,4,-2,-2,0,-1,0
1573316482874024,7,1,-20,-9,-6,-3,-1,-2
1573316482887688,14,6,5,5,1,2,1,4
1573316482887688,-19,-3,-1,-2,1,-1,2,0
1573316482888665,-1,-8,-4,0,0,-3,-1,-3
1573316482888665,0,7,7,-5,-2,0,-2,-3
1573316482910137,-6,5,1,4,0,-1,-2,1
1573316482910137,-3,-14,-20,-7,-5,-4,0,-2
1573316482911114,4,6,12,10,4,2,-2,3
1573316482911114,0,-1,1,-3,-2,-1,2,0
1573316482933562,-5,8,2,0,-5,-4,-2,-4
1573316482933562,6,3,16,-6,0,0,0,4
1573316482934537,-8,2,-11,-11,-4,-2,-1,-7
1573316482934537,-2,-19,-20,-1,1,-3,-2,1
1573316482949178,-2,-4,2,-8,-2,2,-1,-4
1573316482949178,3,-2,-2,9,-4,-3,0,6
1573316482950153,8,14,17,12,3,2,-1,-2
1573316482950153,-10,8,9,0,1,0,-1,0
1573316482970650,-8,-17,-20,-8,-4,-4,-2,-2
1573316482970650,16,-11,-4,-4,-2,-3,-2,2
1573316482970650,16,-1,-4,-3,-3,-2,1,5
1573316482970650,8,16,19,9,5,1,3,3
1573316482993097,2,0,-5,-1,-2,-3,-1,-2
1573316482993097,-7,-1,-5,-6,-1,1,1,-1
1573316482994072,-4,-2,-11,6,0,-6,-3,-4
1573316482994072,3,-8,-10,-11,-1,0,0,0
1573316483007738,-1,1,2,4,-1,1,-1,-1
1573316483007738,-3,-15,-12,3,4,4,-1,-2
1573316483016520,-8,0,0,-3,-7,-3,0,-2
1573316483016520,2,14,13,7,2,0,-1,-1
1573316483031161,-11,-33,-21,-1,1,0,1,-1
1573316483031161,4,17,16,-3,2,-2,-3,0
1573316483033113,-7,-9,-15,-8,-4,1,3,0
1573316483033113,13,6,0,3,7,2,-2,3
1573316483053608,-14,-4,17,22,5,-1,1,1
1573316483053608,-2,-16,-16,-13,-1,-1,-4,-4
1573316483054450,-4,7,16,7,3,2,-1,0
1573316483054450,14,1,-9,-4,-8,-4,-1,2
1573316483067122,1,21,12,-12,-1,1,2,0
1573316483067122,-1,4,-5,-7,-1,2,2,-1
1573316483074930,5,27,44,-4,-3,-1,0,4
1573316483074930,-17,-23,-12,7,1,4,1,-2
1573316483090550,7,-23,-57,4,-4,-3,4,2
1573316483090550,1,17,29,27,10,3,9,13
1573316483091524,-4,-3,-30,-28,-4,-4,-20,-20
1573316483091524,18,14,10,-8,-4,-2,9,5
1573316483113969,-49,-45,2,-8,-7,-7,-24,-21
1573316483113969,9,11,1,-2,-3,-5,1,1
1573316483113969,12,20,-1,12,4,2,5,5
1573316483113969,-3,-11,5,6,4,-2,-3,-2
1573316483126657,11,3,-19,-10,-7,1,10,7
1573316483126657,-15,-26,-11,1,-10,-2,-3,-5
1573316483135444,14,31,32,12,16,5,2,7
1573316483135444,-14,-23,-19,-1,1,2,-1,-1
1573316483150081,8,18,3,-3,-4,-2,2,-1
1573316483150081,7,8,13,11,8,5,-1,1
1573316483151057,-2,-20,-17,-14,-14,-3,3,-1
1573316483151057,-12,-20,-20,-6,0,-3,0,-3
1573316483173438,21,38,37,5,9,2,-2,6
1573316483173438,-4,-8,-27,0,-6,1,-1,-1
1573316483174413,3,-15,-18,-6,-3,-3,-1,-2
1573316483174413,1,18,20,7,6,1,-2,-2
1573316483187099,18,22,1,-5,-2,1,4,5
1573316483187099,-6,11,4,-5,-7,-7,-8,-15
1573316483194909,-29,-35,3,9,0,-1,-6,-6
1573316483194909,-40,-43,-4,-5,-4,1,-3,-3
1573316483210528,18,-2,-30,-14,-3,1,1,1
1573316483210528,3,17,4,-4,2,0,2,4
1573316483211500,4,6,3,6,2,0,3,-1
1573316483211500,28,45,26,12,2,1,-1,4
1573316483233948,-16,10,15,10,7,4,4,4
1573316483233948,3,-16,-24,-7,-7,-4,-5,-7
1573316483233948,4,-4,0,-5,-5,-2,4,4
1573316483233948,3,-5,-16,-3,3,0,-3,-1
1573316483247613,3,10,6,-13,-4,-1,0,-2
1573316483247613,-5,-14,-2,-10,-1,1,-2,0
1573316483263232,-25,-18,1,2,-7,-2,2,-3
1573316483263232,20,20,14,-3,1,-2,1,3
1573316483270061,-40,-56,-8,13,4,-3,-8,-9
1573316483270061,9,25,5,4,5,1,0,4
1573316483271037,34,22,6,1,5,3,5,6
1573316483271037,-51,-23,-20,-8,-12,-5,-7,-15
1573316483293487,-17,-30,5,2,-1,-3,-3,-9
1573316483293487,28,27,6,-9,-3,0,4,10
1573316483294460,16,30,0,-6,5,-1,-1,4
1573316483294460,-15,-24,-10,3,-2,-2,-5,-12
1573316483307153,3,-7,10,8,-3,-1,0,3
1573316483307153,-2,19,-6,6,4,1,-1,1
1573316483315933,-46,-46,-11,-5,0,1,1,-2
1573316483315933,33,19,7,-6,-10,-5,-2,5
1573316483330575,13,16,6,-2,-1,0,0,4
1573316483330575,-12,-32,-21,-14,-10,-1,2,0
1573316483331548,-11,22,25,20,10,-1,-5,-5
1573316483331548,11,27,1,-9,-3,0,-1,2
1573316483353020,-11,-37,-17,1,-4,-3,-3,-6
1573316483353020,36,34,14,3,9,2,-2,4
1573316483353996,-19,-26,-9,0,-13,-4,1,3
