timestamp,x,y,z
1573316521377045,-13.5625,62.4375,-22.4375
1573316521399489,-9.625,55,-20.625
1573316521424867,-2.75,48.4375,-19.375
1573316521436579,-0.25,42.5,-18.125
1573316521460004,-1.3125,37,-15.0625
1573316521477568,-5.5625,32.0625,-13.125
1573316521497088,-7.5625,27.75,-11.375
1573316521519536,-5.9375,23.625,-9.75
1573316521537104,-2.8125,20.3125,-9.375
1573316521558577,-1.4375,17.5,-9.3125
1573316521581023,-0.8125,15.8125,-7.625
1573316521597614,-1.3125,16.25,-7
1573316521617139,-1.1875,18.375,-7.0625
1573316521639471,0.0625,22.25,-6
1573316521657037,0.125,28.0625,-5.5625
1573316521676555,-2.25,32.0625,-7.5625
1573316521699004,-5.8125,38.9375,-10.125
1573316521717547,-11.8125,49.3125,-12.25
1573316521739995,-12.125,59.0625,-12.75
1573316521759515,-13.375,67.75,-14.3125
1573316521777083,-14.375,81,-14.9375
1573316521796602,-10.0625,93.4375,-9.5625
1573316521819561,-6.75,105.75,-5.5625
1573316521838104,-6,115.688,-2
1573316521858600,-6.5625,122.125,-0.75
1573316521879096,-3.4375,126.938,-3.1875
1573316521897640,-7.9375,134.438,-2.5625
1573316521917160,-2.9375,137.875,1.3125
1573316521944025,-2.25,139.375,-1.5
1573316521958664,-1.5625,140.688,0.5625
1573316521978184,-2.0625,143.75,6.125
1573316521999660,-2.375,143,11.0625
1573316522017224,-5.0625,140.125,16.375
1573316522038696,-3.4375,139.375,18.75
1573316522059192,-1.8125,136.5,20.625
1573316522077736,-4.4375,130.875,20.3125
1573316522098246,-8.125,121.688,19.125
1573316522119704,-9.3125,114.625,20.6875
1573316522137275,-4.375,103.875,23.625
1573316522158744,-6.125,94.1875,22.0625
1573316522179245,-13.8125,82.25,18.375
1573316522197784,-11.125,67.9375,17.1875
1573316522218279,-9.25,51.5625,16.125
1573316522239753,-7.875,36.875,15.0625
1573316522257319,-7.75,27.3125,10.5625
1573316522279771,-7.6875,16.8125,6.8125
1573316522299294,-5.5625,5.125,1.3125
1573316522317831,1.5625,-8.375,-3.75
1573316522340279,9.1875,-21.75,-7.8125
1573316522359803,11.5625,-30.4375,-11.9375
1573316522377367,9.5625,-40.4375,-16.3125
1573316522399815,2.625,-50.875,-21.0625
1573316522419336,6.1875,-60,-25.0625
1573316522437880,12.625,-66.1875,-25.375
1573316522460327,12.6875,-67.6875,-23.25
1573316522479847,4.6875,-62.125,-21.375
1573316522497414,1.5625,-50.3125,-18.4375
1573316522519863,2.25,-36.1875,-13.5625
1573316522539382,2.375,-20.5625,-4.875
1573316522556953,-2.75,-2.75,2.6875
1573316522579399,-7.1875,12.8125,6.25
1573316522599894,-8.875,26,11
1573316522617462,-9,34.125,15.1875
1573316522639912,-10,39.5625,17.1875
1573316522659431,-11.8125,44.4375,17.6875
1573316522676998,-15.1875,47.5625,16.5625
1573316522699447,-17.1875,52.125,17.9375
1573316522719943,-19.6875,53.6875,18.5
1573316522736539,-21.5625,51.9375,17.0625
1573316522758982,-19.875,47.75,16.1875
1573316522780454,-18.5625,41.5,16.3125
1573316522796069,-16.3125,35.5,14.25
1573316522819494,-14.9375,22.875,7.625
1573316522839990,-5.625,3.3125,-2.4375
1573316522857559,9.9375,-16.4375,-12.4375
1573316522879030,17.375,-29.625,-16.8125
1573316522900502,16.625,-37.875,-19.625
1573316522916118,19.375,-42.4375,-20.75
1573316522938566,16.0625,-46,-21.6875
1573316522960038,12.125,-49.5625,-21.75
1573316522976629,14.875,-50.6875,-21.375
1573316522999078,19,-46.875,-18
1573316523020549,16.75,-38.4375,-14.0625
1573316523036165,11.1875,-26.3125,-9.0625
1573316523058613,6.375,-13.75,-4.1875
1573316523080086,4.375,0.1875,3.4375
1573316523096678,-0.625,14.5,7.875
1573316523120101,-7.3125,28.8125,11.3125
1573316523140598,-12.25,39.625,14.375
1573316523164022,-14.5,47.1875,16.8125
1573316523178667,-16.6875,52.0625,18.75
1573316523207947,-20.5,53.5625,20.4375
1573316523215748,-24.8125,52.625,21.625
1573316523246980,-27.875,50.3125,23.1875
1573316523261626,-22,42.8125,23.5625
1573316523276263,-20.4375,33.875,24.25
1573316523298708,-21.5625,16.5625,13
1573316523321156,-5.6875,-6.625,-2.6875
1573316523335799,13.8125,-24.3125,-12.0625
1573316523359221,18.25,-33.5625,-17.25
1573316523381672,19.625,-36.375,-22.5625
1573316523396309,23.75,-39.4375,-24
1573316523418758,22.1875,-44.875,-26.3125
1573316523441205,19.1875,-53.625,-34.375
1573316523455844,22.0625,-58.6875,-37.5625
1573316523479268,25.0625,-60.5,-38.6875
1573316523501718,19.75,-56.75,-37.6875
1573316523524167,14.0625,-50.5625,-34.375
1573316523539781,13,-42.8125,-27.4375
1573316523561252,12.625,-32.75,-19.875
1573316523582725,12.6875,-20.5625,-12.0625
1573316523606149,8.375,-7.1875,-5.6875
1573316523622741,1,6.875,1.75
1573316523642260,-6.1875,18.4375,8.125
1573316523658852,-7.5625,27.375,14.3125
1573316523681300,-9.125,32.9375,17.5
1573316523702772,-11.9375,36.9375,21.1875
1573316523719364,-17,40.9375,24.625
1573316523741812,-20.3125,42.8125,24.9375
1573316523762308,-17.1875,44.0625,24.1875
1573316523778899,-18.1875,45.375,26.0625
1573316523803300,-22.8125,43.9375,27.5
1573316523822820,-21.625,41.4375,27.625
1573316523840388,-16.9375,36.8125,25.375
1573316523862837,-17.25,33.9375,24.75
1573316523883337,-23.5,25.25,17.875
1573316523899924,-15.0625,10.25,3.9375
1573316523922372,0.125,-4.5,-4.6875
1573316523942872,3.625,-12,-7
1573316523959461,0.4375,-14.8125,-7.5
1573316523981908,4.75,-16.0625,-7.625
1573316524003383,9.625,-19,-7.5
1573316524018997,8.3125,-22.875,-7.625
1573316524042419,7.5,-28.8125,-9.5
1573316524062941,7.375,-38.1875,-9.75
1573316524079510,7.0625,-53.0625,-9.4375
1573316524101956,7.0625,-74.5625,-11
1573316524122451,2.5,-93.8125,-12.625
1573316524138068,4.125,-114.75,-12.5625
1573316524161496,9.3125,-138.125,-11.6875
1573316524183941,13.625,-163.063,-9.375
1573316524198580,16.8125,-178.625,-3.8125
1573316524222003,22.0625,-195.125,10.875
1573316524244451,16.6875,-219.125,25.25
1573316524258117,6.1875,-220.5,20.75
1573316524281539,0.25,-218.125,27.4375
1573316524303990,7.1875,-223.688,39.8125
1573316524318627,11.3125,-220.688,33.3125
1573316524341078,19.4375,-213.375,23.9375
1573316524364501,33.875,-217.625,30.375
1573316524378163,35.875,-208.938,40.3125
1573316524401587,10.0625,-197,45.75
