timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1573316860195902,-28,-10,-6,-3,-2,0,-2,-14
1573316860195902,6,4,1,2,0,0,1,4
1573316860196878,-7,1,5,1,0,-1,-3,-5
1573316860196878,5,4,-1,-3,-2,-1,0,-8
1573316860211518,14,-6,0,4,2,0,2,9
1573316860211518,0,2,0,-4,-2,-1,-2,1
1573316860218349,-2,-4,-7,-6,-4,-1,0,4
1573316860218349,-22,3,4,1,-1,-1,-2,-9
1573316860232993,17,0,-2,-2,-1,-3,-1,5
1573316860232993,1,-3,0,0,-1,-2,1,5
1573316860240797,-6,3,1,0,-2,-1,-1,-14
1573316860240797,1,2,-3,-1,-1,0,-2,8
1573316860255437,12,-8,-3,2,-1,3,-1,10
1573316860255437,-9,4,2,-1,-2,0,-1,-8
1573316860256414,-2,7,3,2,2,-1,2,-2
1573316860256414,9,4,8,2,1,2,5,11
1573316860270078,19,-5,-4,-4,-3,1,0,12
1573316860270078,-7,-5,-6,-3,-3,0,-3,-5
1573316860277885,3,-6,0,-1,-1,3,1,3
1573316860277885,-8,0,-3,0,0,0,-1,-3
1573316860292524,11,8,9,6,2,0,-2,5
1573316860292524,-6,-1,-3,-3,-2,-1,-1,-6
1573316860301308,7,-4,-8,-5,-3,-1,-2,-1
1573316860301308,7,-1,-7,-6,-3,0,0,6
1573316860314972,-16,3,5,2,4,-1,-1,-7
1573316860314972,11,-2,-1,-1,0,0,1,2
1573316860323756,9,0,0,0,-1,-2,-1,12
1573316860323756,-21,-9,-2,-6,-5,-1,7,-10
1573316860330587,17,1,-3,-3,-2,-4,-3,0
1573316860330587,-8,8,5,6,1,1,-1,-3
1573316860338396,1,-7,-6,-2,1,0,-1,-6
1573316860338396,-10,-4,-4,-3,-2,0,2,-5
1573316860353035,10,9,7,2,0,0,1,0
1573316860353035,-15,3,2,-4,-4,-2,-4,-4
1573316860360846,8,-4,-4,-1,0,-1,-1,2
1573316860360846,-1,5,2,2,2,1,-5,-2
1573316860384268,-13,-1,-1,-1,-2,1,1,-5
1573316860384268,4,-7,-7,-2,-1,0,-1,-1
1573316860385247,-2,-3,1,0,-4,-2,-3,-4
1573316860385247,5,5,2,1,2,-1,-3,4
1573316860390125,-8,3,1,-2,1,2,1,-2
1573316860390125,-11,-13,-4,-2,-2,-2,-1,-8
1573316860397932,-13,-2,-4,1,0,-1,1,-5
1573316860397932,19,-5,-2,0,0,0,2,5
1573316860412574,-20,5,1,-3,-1,-1,-1,-13
1573316860412574,-1,1,-2,-1,0,1,0,-2
1573316860421358,6,5,4,1,2,1,-1,-8
1573316860421358,1,3,-2,-3,-2,-1,0,0
1573316860435021,-8,-24,-9,1,0,-2,-3,-3
1573316860435021,5,7,9,4,0,-1,0,1
1573316860443454,0,-8,-8,0,-1,0,-1,1
1573316860443454,-7,12,12,0,1,0,0,-3
1573316860450311,13,-11,-18,-6,-2,-1,3,19
1573316860450311,1,6,-3,-6,-3,-3,-1,-3
1573316860458099,-6,3,14,3,1,-1,-2,-2
1573316860458099,14,7,-4,2,0,0,-3,4
1573316860472735,0,-4,-3,-3,-4,0,1,0
1573316860472735,1,-7,-2,2,0,0,-1,1
1573316860480544,18,3,-5,-3,-2,0,2,8
1573316860480544,-20,1,-6,-7,-6,-4,-3,-5
1573316860495182,-10,-2,7,3,1,-2,-3,-8
1573316860495182,7,11,-4,-2,1,0,-2,-7
1573316860502991,-2,14,18,-4,0,2,2,3
1573316860502991,2,-16,-11,8,6,1,-1,-3
1573316860518606,-26,-11,-9,-5,-5,-2,-3,-19
1573316860518606,0,-4,-1,-3,-7,-8,-2,5
1573316860519582,-8,-2,-5,-5,-6,-4,-3,-2
1573316860519582,8,11,11,2,0,0,1,6
1573316860532271,14,3,-2,3,17,6,2,4
1573316860532271,-12,-5,6,1,3,6,3,-3
1573316860540917,-8,-6,-20,0,-3,-5,-1,-4
1573316860540917,-8,-3,7,0,-16,-7,-2,-4
1573316860555555,-4,-16,-7,-6,-7,-5,-2,-3
1573316860555555,19,8,1,6,7,5,3,10
1573316860563362,0,8,-6,4,18,6,0,1
1573316860563362,-7,-14,-3,0,9,4,-1,-2
1573316860578977,13,12,9,6,-22,-16,-4,2
1573316860578977,-4,-5,-5,-12,-14,-4,-1,6
1573316860579953,-12,20,17,4,3,2,-2,-5
1573316860579953,12,-13,-10,-3,8,5,7,8
1573316860592646,-13,14,6,-4,-1,-5,-2,-4
1573316860592646,4,-23,-2,7,-3,-3,-1,1
1573316860602401,-19,-26,-21,-4,-1,4,-1,-9
1573316860602401,10,15,0,-1,1,-2,-4,0
1573316860615089,10,9,3,-4,3,5,6,8
1573316860615089,3,4,-3,1,4,1,-2,2
1573316860623886,9,-13,-1,3,-3,1,-2,4
1573316860623886,5,1,1,-1,3,3,5,2
1573316860637600,4,11,10,3,1,0,1,4
1573316860637600,13,10,-4,-2,4,2,-1,0
1573316860646898,-7,-6,8,13,12,6,1,-2
1573316860646898,14,-5,-2,-3,-28,-21,-3,4
1573316860652754,-35,-22,-8,-10,-36,-23,-15,-21
1573316860652754,-5,8,2,2,35,19,3,9
1573316860661544,30,16,1,4,-1,-2,7,15
1573316860661544,-21,5,2,-8,1,2,-3,-16
1573316860675200,6,-2,-2,-2,3,7,1,0
1573316860675200,4,4,-5,3,-5,-8,-5,-1
1573316860683984,-15,-14,4,1,25,11,-2,-4
1573316860683984,23,44,11,2,-4,0,2,11
1573316860697647,-24,-36,3,9,-2,-4,1,2
1573316860697647,-32,-9,-18,-14,-6,2,-9,-38
1573316860706430,19,-11,6,-3,-16,-10,0,22
1573316860706430,-18,-18,-13,-2,11,6,-3,-17
1573316860712287,22,26,1,4,1,-2,1,6
