timestamp,x,y,z
1573316860181263,-22.6875,74.6875,-55.125
1573316860210540,-21.6875,70.8125,-53.9375
1573316860219325,-20.4375,68.125,-50.5625
1573316860241774,-20.5625,64.125,-46.6875
1573316860263246,-19.5,57.5,-38.875
1573316860278860,-14.25,48.4375,-30.875
1573316860302285,-8,38.6875,-28.25
1573316860323756,-4.6875,33.1875,-26.75
1573316860339372,-3.9375,31.6875,-21.5
1573316860361824,-6.375,27.375,-15.3125
1573316860385247,-8,19.5,-10.3125
1573316860405741,-5.1875,12.25,-5.125
1573316860421358,-1.125,7.6875,-4.4375
1573316860444430,0.8125,4.1875,-4.5625
1573316860459072,-1.125,2.0625,-3.5625
1573316860487375,-3.6875,1,-3.25
1573316860503967,-6.5,1.5,-5.25
1573316860525438,-8.75,6.375,-8.5
1573316860541891,-13.5,15.125,-12.9375
1573316860564339,-16,25.125,-18.75
1573316860580933,-23,35.75,-28.3125
1573316860600454,-27.25,47.75,-32.3125
1573316860623886,-33.8125,58.5625,-34.3125
1573316860645920,-40.125,72.625,-38.75
1573316860660563,-42.5625,90.25,-38.0625
1573316860683007,-41,97.8125,-40.625
1573316860705455,-41.4375,104.875,-45.75
1573316860721070,-39.1875,113.813,-41.3125
1573316860743518,-31.5,123.188,-34.0625
1573316860765967,-29.0625,122.063,-42.125
1573316860780607,-24.5,119.813,-55.4375
1573316860803055,-31.5625,115.25,-50.875
1573316860825502,-35.3125,108.688,-39.1875
1573316860841118,-31.8125,103.063,-31.5
1573316860863566,-24.0625,94.5625,-29.6875
1573316860886014,-10.875,84.1875,-23.875
1573316860900654,-4.5625,76.25,-16.875
1573316860923104,-9,67.0625,-12.875
1573316860945550,-12.625,57.8125,-7.3125
1573316860961167,-6.9375,47.1875,-1.75
1573316860983614,-2.4375,38.0625,1.3125
1573316861006063,-3.625,29.875,3.375
1573316861020703,-7.25,20.875,2.5625
1573316861050957,-9.625,15.1875,0.625
1573316861065600,-6.875,9.9375,0.625
1573316861082190,-0.8125,4.0625,2.6875
1573316861103662,9.6875,-0.0625,9.4375
1573316861126110,19.6875,-5.75,13.125
1573316861140749,42.5625,-13,19.875
1573316861163199,66.25,-24.75,33.125
1573316861185646,76.9375,-38.5625,36.25
1573316861201263,81.9375,-44.625,26.3125
1573316861223710,56.125,-35.9375,11.25
1573316861246159,-0.875,-19.6875,7.6875
1573316861260798,-68.9375,-13.25,4.0625
1573316861283245,-58.125,-19.875,-2.4375
1573316861305693,-9.625,-19.6875,5.6875
1573316861321310,0.125,-10.875,0.875
1573316861343758,-28.9375,-5.9375,-9
1573316861366206,-49.125,-3.75,-10.375
1573316861380846,-45.125,-2.25,-8.875
1573316861403294,-29.5,-2.5,-10.75
1573316861425741,-13.9375,-3.625,-9.4375
1573316861440381,-7.625,-4.8125,-4.75
1573316861463805,-8.5625,-2.75,-3.625
1573316861493086,-11.125,-1.1875,-3.4375
1573316861502846,-8.8125,-1.375,-5.25
1573316861531149,-11.1875,0.9375,-5.1875
1573316861538957,-15.5,1.0625,-4.125
1573316861563357,-13.4375,-2.3125,-4.25
1573316861590685,-6.25,-6.0625,-3.3125
1573316861599470,4.9375,-11.8125,0.875
1573316861621917,18.3125,-7.1875,12.375
1573316861643389,20.8125,-4.8125,23.8125
1573316861665837,59.625,-19.5,38.5
1573316861682428,90.875,-34.125,35.6875
1573316861702925,109.438,-39.0625,9.625
1573316861725373,74.25,-21.4375,-4.6875
1573316861741975,-31.75,1.0625,16.375
1573316861763438,-104.938,0.125,6.125
1573316861793693,-81.9375,-10.9375,-3.1875
1573316861803453,-9,-11.875,3.875
1573316861822973,24.125,-4.125,2.75
1573316861845422,0.9375,2.3125,-4.8125
1573316861863965,-36.25,8.875,-13.5625
1573316861883484,-54.875,11.625,-15.9375
1573316861905941,-49.75,10.6875,-14.0625
1573316861922525,-26.625,6.4375,-12.375
1573316861943022,-7.0625,2.5625,-13.4375
1573316861965469,-12.5625,2.625,-12.3125
1573316861982060,-30.1875,2.1875,-8
1573316862003533,-34.1875,-2.3125,-6
1573316862026956,-20.0625,-6.0625,-7.0625
1573316862042576,2.625,-7.4375,-10.4375
1573316862070878,18.3125,-11.8125,-12.4375
1573316862085516,21.375,-9.25,-7.3125
1573316862109919,12.5,-2.0625,-7.125
1573316862130413,35.375,-5.6875,-3.0625
1573316862146028,71.3125,-15.3125,15.4375
1573316862162619,88.75,-22.375,27.1875
1573316862190949,84.875,-27.625,10.125
1573316862205568,62.8125,-26.875,-9.3125
1573316862222157,23.625,-13.25,-7.8125
1573316862243629,-29.875,0.3125,-1.5
1573316862266075,-63.375,0.5,-7.5
1573316862281691,-45.6875,-3,-2.625
1573316862303164,0.8125,-5.4375,1.25
1573316862325615,28.0625,-4.625,-1.25
1573316862350013,6.875,4.1875,-0.25
1573316862363675,-37.0625,8.25,-1.3125
1573316862386148,-52.6875,2.75,-3.5625
1573316862402716,-34.0625,-1.9375,-0.9375
1573316862425163,-8.75,-1.6875,7.3125
1573316862445660,6.9375,-5.4375,8.25
1573316862468107,9.625,-10.75,5.75
1573316862484699,0.5625,-10.875,10.4375
1573316862506175,-9.375,-11.8125,15.25
1573316862521787,-11.75,-16.5625,15
1573316862545212,-5.4375,-21.375,17.125
1573316862565711,5.375,-26.9375,21.8125
1573316862581331,12.5,-34.6875,27.6875
1573316862605723,14.625,-44.9375,34.6875
1573316862626221,17.5,-58.5,42.75
1573316862641855,21.9375,-76.4375,49.375
1573316862665261,27.4375,-95.1875,54.8125
1573316862685759,33.6875,-112.063,65.125
1573316862702347,35.3125,-126,77.375
1573316862725774,41.375,-143.375,84.3125
1573316862746268,51.5,-162.75,90.5625
1573316862761883,62.0625,-177.688,91.875
1573316862784336,76.625,-183.25,88.625
1573316862805802,91,-181.188,89.4375
1573316862821425,84.375,-173.063,97.75
1573316862844846,72.375,-163.625,105.188
1573316862866321,45.625,-155.875,106.375
1573316862881931,4.8125,-147.25,98.6875
1573316862904378,-14.25,-134.313,88.8125
1573316862925851,-2.375,-121.813,84.1875
1573316862941470,30.3125,-108.063,75.625
1573316862964892,66.3125,-90.6875,54.125
1573316862985387,68.125,-64.125,41.3125
1573316863001978,44.1875,-44.75,37.5625
1573316863024425,16.375,-38.9375,29.3125
1573316863045901,-8.1875,-31.375,18.875
1573316863091770,-13.625,-9.1875,6.1875
1573316863092746,3.125,10.8125,-13.8125
1573316863107388,7.875,18.8125,-14
1573316863151311,1.125,14.125,-10.8125
1573316863152285,-11.125,5.4375,-4.625
1573316863166924,-18.0625,-1.9375,7.875
