timestamp,x,y,z
1573316851699197,-0.0405273,0.54541,0.634277
1573316851720669,-0.0498047,0.554199,0.637695
1573316851743120,-0.059082,0.558105,0.649902
1573316851759712,-0.0654297,0.553711,0.662109
1573316851782161,-0.0795898,0.556641,0.666504
1573316851802654,-0.104492,0.560059,0.657715
1573316851819246,-0.115723,0.561035,0.661621
1573316851843182,-0.117676,0.550293,0.659668
1573316851862493,-0.120605,0.551758,0.664063
1573316851884940,-0.117676,0.558105,0.681152
1573316851902509,-0.122559,0.557129,0.684082
1573316851923983,-0.134277,0.567383,0.693848
1573316851939598,-0.144043,0.571777,0.689453
1573316851962047,-0.143066,0.580078,0.708496
1573316851982878,-0.136719,0.583984,0.729004
1573316851999469,-0.132324,0.583496,0.737793
1573316852021918,-0.143555,0.574707,0.748047
1573316852042415,-0.134277,0.590332,0.758789
1573316852059007,-0.168457,0.600586,0.759277
1573316852081453,-0.214355,0.591309,0.758789
1573316852102928,-0.274414,0.580078,0.732422
1573316852119519,-0.330078,0.573242,0.719727
1573316852141965,-0.358887,0.52832,0.709961
1573316852162467,-0.408203,0.478027,0.709961
1573316852179053,-0.435059,0.439453,0.687988
1573316852202478,-0.460938,0.416504,0.698242
1573316852222974,-0.554688,0.433105,0.658203
1573316852239567,-0.542969,0.400879,0.63916
1573316852262014,-0.54834,0.351563,0.609863
1573316852282514,-0.60498,0.348633,0.559082
1573316852299103,-0.598145,0.374512,0.55957
1573316852323501,-0.569336,0.378418,0.541504
1573316852343021,-0.586914,0.398438,0.537598
1573316852360588,-0.641602,0.363281,0.513672
1573316852382060,-0.599121,0.333008,0.520508
1573316852411341,-0.612793,0.303223,0.525879
1573316852419148,-0.624512,0.322754,0.512207
1573316852447456,-0.67041,0.317871,0.487793
1573316852463069,-0.675293,0.330566,0.506836
1573316852480636,-0.636719,0.35791,0.5
1573316852503086,-0.660156,0.345703,0.481934
1573316852522607,-0.695801,0.288574,0.471191
1573316852539197,-0.684082,0.260742,0.491211
1573316852561644,-0.702148,0.308105,0.489746
1573316852590928,-0.691406,0.336914,0.47998
1573316852599714,-0.697754,0.327637,0.468262
1573316852621182,-0.709961,0.324219,0.472168
1573316852642652,-0.727539,0.324707,0.479004
1573316852659244,-0.76123,0.318359,0.477051
1573316852681692,-0.717285,0.263184,0.454102
1573316852703168,-0.69043,0.163086,0.432617
1573316852719760,-0.716797,0.185059,0.412598
1573316852755873,-0.720703,0.291016,0.438477
1573316852764654,-0.708984,0.441406,0.559082
1573316852779292,-0.652832,0.589844,0.506348
1573316852802716,-0.683105,0.660645,0.46875
1573316852824188,-0.741699,0.48291,0.452637
1573316852845660,-0.769531,0.335938,0.47998
1573316852861276,-0.738281,0.39209,0.537109
1573316852883729,-0.662598,0.522461,0.45166
1573316852913979,-0.670898,0.479492,0.431641
1573316852920813,-0.715332,0.366211,0.469238
1573316852943265,-0.731445,0.308594,0.514648
1573316852965709,-0.720703,0.338867,0.523926
1573316852988158,-0.713379,0.353516,0.501953
1573316853003775,-0.71582,0.342773,0.509766
1573316853026222,-0.697754,0.333008,0.526367
1573316853040859,-0.695801,0.339355,0.53125
1573316853063308,-0.700684,0.345215,0.52832
1573316853079899,-0.696777,0.311035,0.525879
1573316853108203,-0.686523,0.288086,0.53418
1573316853123827,-0.682617,0.30957,0.538086
1573316853139441,-0.706055,0.357422,0.57666
1573316853160910,-0.730469,0.326172,0.556152
1573316853191164,-0.636719,0.174316,0.472656
1573316853205804,-0.630371,0.125488,0.522949
1573316853220443,-0.694336,0.202637,0.532715
1573316853243867,-0.712402,0.373535,0.509766
1573316853266316,-0.672852,0.48584,0.509766
1573316853280958,-0.603027,0.585449,0.595215
1573316853303403,-0.613281,0.620605,0.550293
1573316853325850,-0.691895,0.550293,0.492676
1573316853340491,-0.707031,0.33252,0.488281
1573316853362938,-0.685547,0.207031,0.525879
1573316853385386,-0.694824,0.35791,0.539063
1573316853401003,-0.670898,0.554199,0.508789
1573316853423451,-0.659668,0.546387,0.509766
1573316853445897,-0.686035,0.40625,0.524902
1573316853468346,-0.658203,0.287598,0.541992
1573316853483012,-0.645508,0.256836,0.587402
1573316853508364,-0.681152,0.304199,0.562988
1573316853521051,-0.697754,0.331055,0.545898
1573316853552282,-0.681152,0.318848,0.556152
1573316853565947,-0.666016,0.314941,0.569336
1573316853588394,-0.675781,0.308594,0.565918
1573316853603039,-0.665527,0.29834,0.570801
1573316853625484,-0.651367,0.290039,0.581055
1573316853641098,-0.670898,0.32373,0.614258
1573316853663546,-0.683594,0.332031,0.602051
1573316853680138,-0.65625,0.262207,0.584961
1573316853701620,-0.617188,0.125,0.577148
1573316853723090,-0.630859,0.097168,0.51416
1573316853747488,-0.67041,0.208496,0.48584
1573316853761145,-0.699707,0.410156,0.552246
1573316853783618,-0.648926,0.625488,0.58252
1573316853799212,-0.489258,0.747559,0.581055
1573316853820686,-0.570801,0.733887,0.552734
1573316853843136,-0.705566,0.473145,0.45752
1573316853859724,-0.697266,0.179199,0.51416
1573316853882171,-0.650391,0.0888672,0.592773
1573316853903642,-0.581055,0.395996,0.580078
1573316853919257,-0.605469,0.640137,0.547363
1573316853942684,-0.663574,0.571289,0.512695
1573316853963178,-0.658203,0.345703,0.528809
1573316853978795,-0.62793,0.202637,0.596191
1573316854003196,-0.639648,0.197266,0.609375
1573316854024668,-0.640137,0.289063,0.58252
1573316854039306,-0.637695,0.353027,0.55957
1573316854062733,-0.625488,0.362793,0.55957
1573316854083225,-0.625,0.365234,0.568848
1573316854098842,-0.60791,0.35498,0.576172
1573316854122265,-0.599609,0.35791,0.570801
1573316854143743,-0.603027,0.356934,0.551758
1573316854159355,-0.592773,0.36084,0.54248
1573316854182779,-0.594238,0.367188,0.541992
1573316854203276,-0.581543,0.375,0.532715
1573316854218889,-0.566406,0.38623,0.507324
1573316854242318,-0.598145,0.402344,0.512695
1573316854263786,-0.514648,0.397949,0.551758
1573316854279401,-0.438965,0.383301,0.529785
1573316854303802,-0.441895,0.414551,0.51123
1573316854323321,-0.483398,0.401367,0.498535
1573316854338936,-0.512695,0.409668,0.5
1573316854362360,-0.477539,0.456543,0.537598
1573316854383846,-0.379395,0.458496,0.571289
1573316854399450,-0.302734,0.470215,0.541504
1573316854421897,-0.253418,0.524902,0.585449
1573316854443375,-0.0878906,0.55127,0.647461
1573316854458984,0.0898438,0.530273,0.59375
1573316854482408,0.134766,0.635254,0.592773
1573316854502904,0.169922,0.727539,0.645508
1573316854519496,0.353516,0.661133,0.679688
1573316854542923,0.628906,0.648926,0.688965
1573316854563424,0.634766,0.728027,0.659668
1573316854580010,0.47168,0.720703,0.624023
1573316854602457,0.392578,0.674805,0.646973
1573316854622953,0.470703,0.625977,0.620117
1573316854639544,0.537598,0.628906,0.58252
1573316854661998,0.503906,0.665039,0.574219
1573316854683466,0.466309,0.708496,0.59375
1573316854699080,0.486328,0.708496,0.602051
