timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1573316916169018,-2,9,5,5,4,4,2,-5
1573316916169018,-16,-4,-1,-2,-2,0,-1,-3
1573316916184632,1,-8,-4,-1,0,-2,-4,-2
1573316916184632,2,-3,1,1,-1,-4,-1,0
1573316916185613,5,-4,-3,-4,-1,0,4,21
1573316916185613,9,1,2,0,0,-1,-4,-5
1573316916198297,-14,4,1,1,0,2,2,-4
1573316916198297,8,-6,-4,-1,0,2,1,7
1573316916206105,-6,1,-2,-6,-5,-1,0,-7
1573316916206105,-11,7,11,9,3,-2,0,-5
1573316916219768,7,1,-3,0,0,2,4,12
1573316916219768,1,-9,-7,2,-1,0,-3,-4
1573316916228555,12,0,1,-6,-2,-2,2,9
1573316916228555,-5,-10,-8,-4,-1,1,1,0
1573316916244171,28,13,7,0,-1,-3,-1,-6
1573316916244171,-3,7,2,1,-1,-1,0,-1
1573316916245144,-14,-2,-3,1,0,2,-1,1
1573316916245144,4,-2,-4,-3,-2,-2,3,-9
1573316916257837,14,1,1,1,1,0,-7,9
1573316916257837,-9,-6,0,-3,-1,0,0,-2
1573316916266617,9,3,6,4,0,-4,-9,-12
1573316916266617,-1,0,-4,-1,0,1,0,1
1573316916280282,-11,-9,-7,-4,-4,-1,-2,-6
1573316916280282,-1,2,3,-1,-1,-1,-4,-7
1573316916305656,-16,2,0,6,2,1,-3,-10
1573316916305656,19,-1,-1,2,-1,-2,-4,-6
1573316916306632,-1,0,-3,-3,-1,1,5,9
1573316916306632,-6,5,1,-2,-2,1,-1,1
1573316916309561,4,-18,-10,-5,-1,1,2,-1
1573316916309561,-15,4,7,3,2,1,-2,-4
1573316916317368,-9,6,5,-1,0,1,1,-2
1573316916317368,-11,-18,-13,0,-2,0,-5,-10
1573316916326153,5,-2,-1,-3,-2,0,1,0
1573316916326153,7,-4,-6,-4,-3,-2,0,15
1573316916339819,0,17,20,4,-1,0,-1,0
1573316916339819,-8,-5,-3,4,3,-1,-2,-12
1573316916348602,-11,-11,-7,-4,-1,0,3,9
1573316916348602,13,2,-5,-3,0,0,-9,9
1573316916363243,9,-2,-7,-7,-6,-3,9,14
1573316916363243,-3,-2,7,5,0,-1,-2,-1
1573316916377905,1,0,2,4,4,-2,-2,-5
1573316916377905,-6,-1,-6,-5,-3,-1,0,-9
1573316916378860,-32,-11,-4,-4,-2,-2,2,-2
1573316916378860,9,18,13,4,1,0,-3,-3
1573316916386665,1,-5,-7,0,-1,-1,-3,-1
1573316916386665,-22,-1,-3,-5,-3,-1,0,-2
1573316916400331,-14,-8,-1,3,2,-1,-5,-19
1573316916400331,-9,-1,-2,0,0,-1,2,-2
1573316916409093,31,15,6,0,-2,-1,4,19
1573316916409093,6,-5,0,3,0,0,3,7
1573316916422735,7,11,6,-4,-2,0,-3,-10
1573316916422735,7,-26,-12,3,0,-1,0,11
1573316916429567,10,11,-3,-4,-3,0,0,-2
1573316916429567,-26,-17,-8,-3,0,-2,-5,-14
1573316916437382,21,-3,0,2,-2,-2,-3,13
1573316916437382,6,13,7,1,-1,-2,0,3
1573316916446165,2,11,-1,-5,0,3,4,-1
1573316916446165,20,3,3,-1,-4,1,4,10
1573316916460802,-12,-11,-1,6,3,0,-1,-6
1573316916460802,-5,9,3,-2,-2,0,-1,-3
1573316916468610,-8,-11,-2,5,-1,-1,2,-4
1573316916468610,15,7,2,-5,-4,-1,1,7
1573316916483247,-3,-7,-10,-7,-2,1,-1,-3
1573316916483247,4,0,8,2,1,1,-2,7
1573316916490080,5,11,4,1,-1,-3,-1,-3
1573316916490080,4,-15,-16,-4,1,2,2,-1
1573316916506677,0,-19,-17,-1,-1,-2,-5,-4
1573316916506677,-10,-3,-5,-4,0,-1,-4,-15
1573316916507647,-5,8,10,4,2,0,-2,5
1573316916507647,7,6,6,2,0,0,1,-1
1573316916519932,6,9,-1,-1,3,1,4,5
1573316916519932,-9,4,-3,-2,-3,-2,0,3
1573316916536522,0,-6,-6,-1,0,-2,-3,-1
1573316916536522,6,6,0,3,4,0,1,3
1573316916543354,-2,4,12,2,0,1,-2,1
1573316916543354,1,-11,-14,-8,-6,-1,2,0
1573316916550187,-8,-3,-8,-5,-1,-1,-3,-11
1573316916550187,-10,-10,17,19,3,-2,-1,-5
1573316916581423,-22,-3,-4,-9,-5,-2,-5,-22
1573316916581423,11,10,4,-1,4,0,1,1
1573316916583369,3,6,9,3,2,2,-3,2
1573316916583369,0,17,2,-6,-3,-5,-3,3
1573316916584345,-8,-4,-13,-2,-6,-5,-2,-6
1573316916584345,5,-4,1,5,1,-1,-1,1
1573316916589228,-9,3,0,-9,-6,-3,0,0
1573316916589228,-7,-16,1,6,6,4,-4,-9
1573316916602893,7,-2,-10,-3,-1,2,3,8
1573316916602893,-9,-5,0,-1,-4,0,0,0
1573316916617531,11,2,6,1,5,0,-2,4
1573316916617531,-3,11,-5,-7,-5,-2,0,-3
1573316916656570,20,26,23,5,2,1,2,9
1573316916656570,-22,-19,-17,-7,-1,1,-3,-8
1573316916659498,-6,2,-1,0,3,5,-1,-4
1573316916659498,-14,-26,-3,-1,10,1,0,-4
1573316916672186,12,10,-5,-1,-24,-11,-5,3
1573316916672186,23,21,15,3,4,3,4,8
1573316916674137,-18,-22,-19,-12,-11,-5,-4,-7
1573316916674137,-3,9,4,-8,-9,-5,1,6
1573316916678048,-11,-8,-2,6,25,16,1,-8
1573316916678048,-5,-4,-1,1,16,1,0,6
1573316916679018,6,34,2,-3,-32,-21,-5,-3
1573316916679018,0,-16,-20,-8,11,20,7,3
1573316916685853,-11,3,16,4,-15,-21,-7,-9
1573316916685853,-4,-11,-1,-4,-8,-2,-2,-4
1573316916687805,8,-14,-1,7,21,10,4,4
1573316916687805,-13,18,2,-7,-17,-13,-9,-12
1573316916699516,2,-5,-15,-9,7,11,3,9
1573316916699516,5,2,2,4,15,6,4,11
1573316916709274,-7,-6,7,5,4,0,-3,-6
1573316916709274,6,-2,10,4,-12,-7,1,-4
1573316916723451,-3,5,9,0,9,-1,-1,-6
1573316916723451,-6,-30,-20,-3,0,4,-3,-4
1573316916730283,-3,-7,1,6,34,23,11,21
1573316916730283,6,29,5,2,-5,-7,-8,1
1573316916745899,-9,-28,-13,-11,-43,-41,-8,-10
1573316916745899,18,36,17,-10,-37,-17,-1,1
1573316916747851,-7,-39,-14,0,7,12,3,-3
1573316916747851,9,-6,-7,12,54,35,6,-3
1573316916759587,3,-8,-4,7,25,7,-1,7
1573316916759587,6,13,2,-17,-74,-43,-9,6
1573316916776161,-38,-3,0,-9,-14,-10,-10,-12
1573316916776161,26,16,-3,-10,-27,-2,18,65
1573316916782990,-42,-12,9,24,94,49,-22,-95
1573316916782990,4,13,3,5,-18,-20,-4,3
1573316916789821,13,-23,-13,-21,-29,-4,-6,2
1573316916789821,5,2,1,1,22,2,0,-2
1573316916822027,-12,8,-1,-7,-58,-28,0,15
1573316916822027,30,18,13,11,42,31,18,14
1573316916823003,-30,-27,-19,8,47,4,-11,-30
1573316916823003,-23,-4,-1,-5,-47,-20,-14,-28
1573316916823980,30,5,14,-4,10,12,11,30
1573316916823980,-6,-11,-8,-1,19,6,-3,-9
1573316916828859,28,16,9,13,41,8,14,36
1573316916828859,-5,-8,-2,3,-26,-13,-11,-23
1573316916859136,5,13,15,1,-39,-16,-2,9
1573316916859136,11,2,-7,-14,-25,-4,0,15
1573316916860094,12,8,-6,0,6,5,4,0
1573316916860094,-20,-18,5,12,34,10,-1,-7
1573316916865951,18,6,-2,12,58,5,7,29
1573316916865951,-11,-5,6,-8,-48,-13,-23,-70
1573316916867902,-2,28,24,-1,-38,-6,-4,-10
1573316916867902,14,-33,-29,-15,-3,-9,3,9
1573316916879614,32,15,12,5,-4,7,8,18
1573316916879614,-19,-11,-7,14,72,21,6,18
1573316916889372,-20,5,4,-3,-13,-10,-1,-1
1573316916889372,9,17,4,-2,-22,-7,-2,-2
1573316916903035,-11,-18,-15,-12,-8,6,7,14
1573316916903035,-1,9,-5,2,1,-5,-4,-6
1573316916909866,-9,-16,20,14,-12,-10,-3,-10
1573316916909866,25,14,9,15,69,20,4,15
1573316916933291,-23,0,-34,-26,-78,-30,-9,-16
1573316916933291,-14,-5,7,-8,-12,5,3,11
1573316916935243,-52,-9,0,-7,-20,-14,-25,-76
1573316916935243,28,6,8,6,17,8,7,10
1573316916940122,27,13,-6,4,21,5,1,4
1573316916940122,-18,-15,-7,-4,-3,1,-2,-10
1573316916948906,42,5,4,2,-3,0,12,39
1573316916948906,-45,-7,-17,-10,-7,2,-7,-27
1573316916962572,7,3,13,5,-2,-5,-2,5
1573316916962572,4,-9,-10,2,22,16,11,18
1573316916977217,31,13,7,6,19,7,16,23
1573316916977217,-21,-6,7,-8,-41,-10,-3,-11
1573316916993806,17,-4,-3,-6,-2,2,1,4
1573316916993806,-23,0,-6,11,28,-8,-12,-9
1573316916995763,8,19,2,0,16,7,0,12
1573316916995763,-23,-22,1,-8,-38,-13,-4,-23
1573316916999660,29,5,8,1,-3,5,6,20
1573316916999660,9,-2,4,3,11,3,4,9
1573316917016251,-24,9,-5,0,12,-2,-13,-13
