timestamp,x,y,z
1573316976259658,-12.375,74.9375,-48.125
1573316976274303,-10.125,66.9375,-47.3125
1573316976288937,-14.4375,58.625,-39.875
1573316976318217,-10.75,65.625,-39.4375
1573316976332856,-17,58.125,-34.75
1573316976349450,-11.9375,51.125,-36.875
1573316976377754,-6.875,52.6875,-36.3125
1573316976400200,-6.3125,50.125,-32.125
1573316976408986,-7.5625,43.5,-27.6875
1573316976431432,-4.625,34.875,-23.6875
1573316976452906,-3.875,26.75,-22.1875
1573316976469502,-7.375,22.8125,-20.5
1573316976491947,-8.125,24.0625,-14.875
1573316976519871,-3.0625,22.4375,-13.0625
1573316976535490,-1.8125,12.375,-12
1573316976552078,-8.5625,12.6875,-8.5625
1573316976572580,-3.3125,9.25,-5.3125
1573316976589166,-5.375,7.375,-4.5
1573316976611614,1.5625,1.875,-3.4375
1573316976633100,4.125,1.6875,-3.8125
1573316976649680,-0.0625,0.5625,-2.5625
1573316976672128,-2.1875,1.25,-2.375
1573316976695550,-8.25,4.1875,-6.375
1573316976708245,-13.0625,9.8125,-7.1875
1573316976729720,-17.0625,17,-14.625
1573316976746309,-22.3125,28.9375,-17.125
1573316976768756,-25.5625,31.75,-22.875
1573316976789252,-28.3125,45.625,-22.9375
1573316976805849,-26.3125,53.3125,-29.5
1573316976828805,-23.5,59.625,-31.0625
1573316976849301,-19.875,71.25,-36
1573316976865893,-26.875,84.6875,-32
1573316976888340,-35.375,89,-33.125
1573316976909813,-40.125,89,-37.1875
1573316976932262,-38.75,92.125,-40.125
1573316976955686,-29.125,96.375,-36.625
1573316976972278,-18.4375,93.125,-39.1875
1573316976984970,-18.125,91.25,-40.5625
1573316977008388,-30.4375,94.875,-33
1573316977029861,-34.875,91.625,-27.75
1573316977045477,-24.375,82.1875,-24
1573316977067923,-9.3125,75.375,-20.625
1573316977090396,-9.5625,71.0625,-15
1573316977105990,-15.6875,64.3125,-10.1875
1573316977127460,-14.6875,56.0625,-6.5625
1573316977149910,-7.9375,47.3125,-1.9375
1573316977165526,-3.875,39.0625,1.5625
1573316977187997,-8.1875,31.9375,3.1875
1573316977210423,-9.3125,24.9375,4.4375
1573316977232868,-4.125,18.625,5.3125
1573316977247516,5.875,11.3125,4.3125
1573316977269957,14.9375,3.9375,4.8125
1573316977285577,18.4375,-0.5625,8.4375
1573316977308996,19.0625,-5.5625,19.625
1573316977330467,27.375,-12.875,31.875
1573316977353899,42.625,-22.8125,38.6875
1573316977367558,61.8125,-30.8125,34.125
1573316977391957,59.8125,-30.6875,26.6875
1573316977406601,36.875,-20.9375,16.625
1573316977428067,-10.0625,-8.5,11.5
1573316977450516,-45.25,-3.125,12.125
1573316977467108,-31.9375,-7.25,5.3125
1573316977487603,6.0625,-10.6875,4.4375
1573316977512004,15.8125,-8.125,7
1573316977526643,-14.6875,-3.1875,1.5625
1573316977549094,-50.5,2.875,-2.125
1573316977570565,-48.6875,3.6875,-6.875
1573316977587156,-20.6875,0.8125,-16.875
1573316977607658,1.8125,-1.3125,-18.25
1573316977630101,-3.75,0.3125,-13.375
1573316977646691,-19.375,-0.4375,-13.875
1573316977668163,-20.0625,-4.1875,-18.5
1573316977690636,-11.875,-3.375,-17.375
1573316977707205,-10.0625,-2.5,-14.3125
1573316977727700,-10.75,-5.125,-14.6875
1573316977750151,-9.5,-9.1875,-13.375
1573316977774549,-2.125,-10.8125,-10.5
1573316977788211,7.6875,-9.875,-9.125
1573316977810659,14.375,-9.8125,-7.125
1573316977826275,20.0625,-10.1875,-2.0625
1573316977847749,25.6875,-12.375,7.4375
1573316977870195,34.75,-14.5,14.875
1573316977886787,46.375,-17.0625,19.25
1573316977907289,55.25,-16.6875,17.0625
1573316977930707,47.25,-11.375,14
1573316977946323,22.3125,-4.25,11.25
1573316977967795,-14.5,2.5625,13
1573316977990243,-38.125,4.9375,14.625
1573316978006834,-29.5,0.6875,11.1875
1573316978027331,-6.5,-4.125,8.625
1573316978050758,-3.25,-2.875,6.1875
1573316978066370,-26.8125,4.125,-2.375
1573316978087868,-48.9375,6.1875,-7
1573316978110291,-43.625,3.1875,-9.3125
1573316978125906,-24.8125,0.25,-9.375
1573316978147379,-12.6875,-1.1875,-5.9375
1573316978169826,-6.1875,-4.3125,-5.4375
1573316978186418,-4.0625,-7.625,-8.0625
1573316978207893,-6.5,-6.5,-7.125
1573316978230339,-14.75,-4.0625,-6.375
1573316978245954,-17.8125,-5.9375,-6.875
1573316978269378,-8.4375,-9.8125,-6.1875
1573316978289873,8.0625,-13.625,-4.5625
1573316978306467,21.9375,-11.75,1.375
1573316978336722,29.3125,-9.3125,7.1875
1573316978350390,40.5625,-12.375,12.125
1573316978366001,60.5625,-21.8125,16.6875
1573316978389432,77,-23.6875,13.75
1573316978409928,74.625,-21.625,1.4375
1573316978426515,51.5625,-9,-7.4375
1573316978448967,-2.9375,7.25,3.6875
1573316978470435,-55.125,10.125,4.875
1573316978486049,-32.75,4.1875,-7.0625
1573316978509475,16,0.8125,-3.875
1573316978537781,24.9375,4.375,3.3125
1573316978545591,-12.4375,5.375,2.25
1573316978569009,-54.3125,6.8125,0
1573316978590483,-57.125,5.8125,-1.625
1573316978606098,-31.8125,0.875,-7
1573316978636356,-4.5,-2,-12.875
1573316978650028,2.0625,-3.5625,-8.5625
1573316978665633,-4.3125,-3.125,-7.1875
1573316978689062,-18.375,-2,-8.375
1573316978710530,-25.6875,-1.4375,-5.3125
1573316978726146,-18.75,-4.625,-2.0625
1573316978749568,-4.875,-9.1875,-1.6875
1573316978777881,4.875,-11.4375,-1.25
1573316978786659,4.125,-11.1875,2.4375
1573316978809108,-2.5625,-12.25,5.6875
1573316978830577,-4.625,-16,7.1875
1573316978846193,-0.8125,-19.3125,10.5
1573316978869619,4.3125,-22.875,13.75
1573316978890113,6.25,-29.1875,19.1875
1573316978905728,7.875,-37.5,23.875
1573316978929153,7.3125,-44.8125,27.5
1573316978950625,6.625,-52.4375,32.5
1573316978966242,9.125,-64,39.5
1573316978988688,17.125,-75.5,47.5
1573316979017975,30.375,-89,54.125
1573316979025782,47.6875,-102.188,59
1573316979048226,50.5,-112.188,66.4375
1573316979070673,36.6875,-118.875,73.125
1573316979086288,22.4375,-124.125,79
1573316979108737,23.75,-130.75,76.3125
1573316979130232,31.375,-133.813,72.375
1573316979145825,35.5,-136.5,74.375
1573316979175104,33.0625,-141.938,70.5
1573316979191696,35.25,-146.063,66.4375
1573316979206337,40.5625,-141.875,69.125
1573316979228784,42.625,-133.188,67.3125
1573316979252210,41.625,-123.125,59.5625
