timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1573315661493487,-2,-4,-5,-4,-6,-3,-3,-13
1573315661493487,8,-1,1,-4,-2,-2,-2,6
1573315661514962,-3,-3,0,2,1,1,-1,0
1573315661514962,5,5,-3,-3,-3,0,1,-3
1573315661515937,3,2,2,2,-2,-1,-1,2
1573315661515937,-3,1,0,-2,-2,-2,0,0
1573315661528624,19,2,1,2,1,-2,-1,4
1573315661528624,-1,-4,4,1,-1,-2,-3,0
1573315661537404,-15,-3,-11,-12,-8,-2,0,-7
1573315661537404,4,-3,6,9,6,-2,-2,7
1573315661552056,-17,3,-3,2,-1,-1,-2,1
1573315661552056,1,1,-1,-5,-2,0,0,-3
1573315661553998,-1,-1,2,-3,-5,-1,-1,-4
1573315661553998,-4,-9,-6,-8,-2,1,2,12
1573315661574498,4,10,1,3,3,-1,-3,-1
1573315661574498,17,-14,-2,-1,0,-3,-1,2
1573315661576448,-42,-15,-12,-4,-4,-4,-1,-11
1573315661576448,25,0,-4,-8,-7,-2,-4,-10
1573315661588168,6,7,6,-2,2,0,1,4
1573315661588168,0,1,-6,10,6,-1,-2,7
1573315661596941,12,-1,3,0,3,0,0,10
1573315661596941,12,0,-5,-5,-5,-1,0,2
1573315661612597,-21,-2,1,-3,-5,-1,0,-4
1573315661612597,-3,-1,5,-3,-5,0,-2,-8
1573315661614514,16,-4,-13,-1,-8,-3,-1,8
1573315661614514,-30,-8,8,1,4,-1,-3,-10
1573315661635041,8,8,-4,2,-3,-4,-2,-4
1573315661635041,-10,-23,-29,-5,0,0,2,-3
1573315661635981,19,9,13,4,0,-1,-3,7
1573315661635981,27,4,-2,-6,-6,0,2,6
1573315661648668,-40,-5,11,8,4,-1,0,-8
1573315661648668,-17,0,2,-3,-1,2,0,2
1573315661657455,18,6,-6,-2,0,1,3,1
1573315661657455,22,-2,-5,-4,1,-2,-2,7
1573315661672095,-18,-9,7,0,1,1,-1,-9
1573315661672095,2,18,0,-2,-2,-2,-2,4
1573315661674046,-13,-21,-2,-1,-3,-1,-4,-4
1573315661674046,-3,3,-5,0,0,-2,2,2
1573315661695516,4,-2,2,5,4,1,-1,0
1573315661695516,-1,8,13,0,-5,0,0,-2
1573315661696493,2,1,-1,-1,0,0,3,1
1573315661696493,-1,-3,-7,-1,-2,-2,2,1
1573315661708204,-16,-5,3,-6,-6,-1,-15,-13
1573315661708204,0,2,-13,-3,-1,1,2,-1
1573315661716989,6,-19,-15,-3,3,1,8,16
1573315661716989,-17,4,8,2,-2,-1,-12,-21
1573315661732605,2,1,-7,-12,-1,-1,12,21
1573315661732605,9,11,32,0,-5,-4,-13,-20
1573315661733580,-15,1,-1,14,9,1,-3,-10
1573315661733580,-3,-3,-20,-8,1,-1,-8,-2
1573315661755052,27,16,15,5,4,7,21,28
1573315661755052,-16,-28,-9,-4,-1,6,9,-2
1573315661756028,-3,10,-1,-2,-6,-6,-5,-6
1573315661756028,7,2,8,9,1,2,-4,3
1573315661768341,-4,-27,-12,-5,-5,-8,-14,-14
1573315661768341,19,28,-7,-4,-2,-3,-2,11
1573315661777124,-1,9,21,6,3,4,4,-2
1573315661777124,-10,1,2,5,9,3,5,0
1573315661791765,3,-8,-13,3,-6,0,7,16
1573315661791765,-5,-8,6,1,-1,5,6,4
1573315661794693,-14,-16,-20,-7,-1,-10,-3,-6
1573315661794693,9,9,10,-4,-2,1,-5,-3
1573315661815188,6,-1,5,3,5,4,-1,-2
1573315661815188,3,3,5,0,0,-3,8,18
1573315661818116,7,9,-22,-10,-5,-2,-10,-9
1573315661818116,1,8,18,13,4,8,16,16
1573315661828854,1,-26,-34,-7,-3,-7,-6,1
1573315661828854,-20,-14,4,-9,-9,-10,-23,-20
1573315661838612,1,-7,4,1,1,-1,-11,1
1573315661838612,3,15,19,-7,-9,-8,8,2
1573315661853253,-6,-25,-12,0,5,11,12,0
1573315661853253,5,7,-26,0,0,-8,-2,2
1573315661857157,-7,-6,-5,-3,-3,2,-6,-7
1573315661857157,12,0,-2,-4,5,13,6,5
1573315661874616,21,29,42,16,12,1,17,21
1573315661874616,-18,-1,-7,-7,-20,-24,-15,-35
1573315661876568,-6,-21,6,-7,-7,-6,-1,11
1573315661876568,8,31,7,1,-1,-3,2,14
1573315661889257,-14,-11,1,2,3,2,-9,-26
1573315661889257,13,5,1,5,10,9,-1,3
1573315661897063,6,-12,7,8,2,1,-3,-5
1573315661897063,-4,10,-7,-5,-9,-2,6,5
1573315661911707,-8,1,-12,-8,-6,-5,-6,-2
1573315661911707,13,12,11,-8,-5,-3,-7,-4
1573315661918558,5,-8,5,-1,-2,2,6,7
1573315661918558,-14,-11,27,18,9,4,-8,-8
1573315661935126,4,-5,-10,-5,-6,-7,1,-2
1573315661935126,7,44,7,3,3,3,6,6
1573315661936105,22,3,-12,-9,-1,5,14,2
1573315661936105,-36,-39,-3,4,0,-6,-28,-23
1573315661957573,9,-8,0,10,7,8,5,9
1573315661957573,6,0,22,-1,1,1,-8,1
1573315661958550,26,35,-6,3,5,4,6,4
1573315661958550,-8,-14,-31,-12,-8,-10,-10,-9
1573315661972219,3,29,34,-1,2,7,21,16
1573315661972219,-9,-51,-15,1,5,1,-3,-1
1573315661978069,-37,-54,-28,12,-7,-6,2,-5
1573315661978069,-21,-2,-1,-11,0,-1,-10,8
1573315661994663,11,60,-47,-25,-14,-17,-34,-39
1573315661994663,39,-4,23,22,13,17,34,36
1573315661996616,-19,35,2,-19,-12,-4,3,-9
1573315661996616,-7,-45,11,17,6,5,4,-10
1573315662017113,36,67,-14,-1,-3,1,-1,10
1573315662017113,-24,-34,-14,-7,1,-5,-18,-16
1573315662019064,47,38,36,8,3,7,14,-5
1573315662019064,-41,-68,-31,-16,-8,-6,-15,-25
1573315662031755,19,16,13,7,-2,-6,-11,-15
1573315662031755,-20,26,-11,-3,2,-1,-11,-6
1573315662038606,-65,-72,14,0,2,-1,11,-46
1573315662038606,61,120,35,3,1,0,-4,-12
1573315662055176,78,-21,-26,0,-2,0,-11,8
1573315662055176,-98,-107,-35,-6,-7,-2,4,-29
1573315662056154,58,96,3,1,-5,-10,-23,-13
1573315662056154,48,81,-2,-10,0,-4,14,5
1573315662084986,-61,-36,1,-4,-9,-4,6,17
1573315662084986,45,62,18,-3,1,10,2,-37
1573315662085957,-41,-45,21,5,1,-1,-19,-6
1573315662085957,-17,-43,-30,11,3,-4,15,14
1573315662091820,-22,-9,14,9,0,-3,-24,-9
1573315662091820,35,37,-2,-8,-2,3,26,34
1573315662098652,-23,-12,-3,-1,3,1,3,37
1573315662098652,27,16,2,-7,-14,-8,0,0
1573315662115249,-88,-108,2,-1,-1,-4,-12,-52
1573315662115249,-8,64,3,1,-2,-2,14,36
1573315662116221,19,-19,-11,-2,-4,-3,-14,4
1573315662116221,2,-7,0,5,3,7,24,27
1573315662137697,30,25,11,-7,2,-1,-18,5
1573315662137697,-12,-41,12,2,-1,2,-1,-5
1573315662138670,33,34,2,4,1,-2,5,39
1573315662138670,-17,-39,-4,-4,7,0,-24,-32
1573315662151368,-18,40,-4,-7,-5,1,9,-9
1573315662151368,45,11,1,3,0,-1,6,16
1573315662166156,-25,-28,5,8,8,9,8,-13
1573315662166156,-6,27,-2,-14,-15,-15,-26,-48
1573315662174779,13,12,-7,5,0,2,15,5
1573315662174779,-5,2,1,5,1,-2,-38,24
1573315662176728,9,4,4,-5,0,2,14,1
1573315662176728,-10,-21,-1,1,-1,1,4,8
1573315662205034,41,47,9,-2,5,6,7,4
1573315662205034,-59,-42,-5,-3,-7,-7,0,-2
1573315662206009,2,8,-22,-2,0,0,0,-9
1573315662206009,3,13,3,6,1,2,-10,13
1573315662211866,-13,-24,1,-2,-2,0,0,8
1573315662211866,10,-45,-7,0,1,3,3,-16
1573315662218697,15,42,7,-4,2,4,-8,-18
1573315662218697,-28,-56,-21,-7,-2,-2,11,10
1573315662235291,12,11,9,9,2,0,-9,-12
1573315662235291,19,27,8,0,-2,-4,6,13
1573315662236265,-22,-13,-5,4,0,-1,-7,-2
1573315662236265,21,-2,-2,-7,-3,4,13,11
1573315662257739,-16,-16,3,-2,-2,-3,-15,-5
1573315662257739,0,5,-11,-6,-3,-1,-2,-4
1573315662258712,15,15,4,-2,1,-2,17,17
1573315662258712,-16,3,2,6,2,1,-10,-1
1573315662271407,19,4,3,-4,-2,-1,4,12
1573315662271407,4,18,-17,0,-1,0,2,-15
1573315662280185,-5,-17,3,-1,-2,-1,-4,5
1573315662280185,-1,-7,3,2,1,2,8,13
1573315662294944,-7,-4,-4,2,1,3,5,-2
1573315662294944,19,14,2,-4,1,4,9,-1
1573315662300940,-14,5,11,-3,-2,-12,-31,-15
1573315662300940,-1,-11,-14,2,3,5,9,10
1573315662317498,-4,-12,-8,-1,-3,-1,6,12
1573315662317498,5,-3,3,0,8,7,8,-10
1573315662319223,9,15,2,-1,-2,0,3,6
1573315662319223,-1,-5,-5,-2,-1,3,-1,1
1573315662331141,-11,-13,-3,-1,14,8,-2,-11
1573315662331141,13,9,8,7,14,18,16,18
1573315662339724,-7,-1,-2,2,8,8,-22,-18
1573315662339724,7,5,0,-6,-30,-45,4,10
1573315662355343,-5,0,2,1,37,59,18,6
1573315662355343,-7,-9,5,12,-14,-36,0,-12
1573315662356317,2,-1,-11,-9,14,32,4,11
1573315662356317,0,0,3,6,-16,-34,-2,-14
1573315662377793,-1,2,0,-13,-60,-72,-16,-30
1573315662377793,15,4,-1,3,39,78,20,40
1573315662378762,4,10,7,-3,-50,-79,-1,-22
1573315662378762,-4,1,5,-13,-51,-16,-25,33
1573315662391449,-3,-8,0,22,79,73,79,4
1573315662391449,-12,-8,-8,-4,0,-17,-56,13
1573315662400238,13,12,-5,-2,34,70,-65,-57
1573315662400238,4,11,12,22,60,34,39,44
1573315662414874,-26,-29,-30,-34,-60,-34,-36,-65
1573315662414874,-4,-6,7,2,-27,-42,-5,-1
1573315662416824,-9,-4,-10,-6,4,-3,28,-4
1573315662416824,28,26,21,21,8,30,4,7
1573315662445163,0,5,6,3,34,20,21,-21
1573315662445163,5,-1,-3,-10,-11,-22,16,72
1573315662446103,15,3,5,16,21,13,51,31
1573315662446103,-10,-19,-20,-14,6,-22,-69,-12
1573315662450988,2,-1,-1,-12,-40,-14,25,45
1573315662450988,4,23,11,-17,-13,-3,4,-39
1573315662459765,-27,-46,-17,16,-17,-14,15,22
1573315662459765,7,2,-6,0,32,33,42,51
1573315662474406,-11,-6,1,7,23,-5,-54,-40
1573315662474406,4,24,20,14,35,50,-31,-27
1573315662476356,4,1,-15,-48,-82,-83,-6,5
1573315662476356,1,-15,-31,-3,11,8,37,-14
1573315662497918,-15,-2,3,-1,11,21,-66,-6
1573315662497918,5,-1,5,9,6,16,45,4
1573315662498807,1,12,12,4,9,-18,0,5
1573315662498807,3,11,1,-17,-29,-19,-41,-30
1573315662511567,10,-1,7,4,-14,-16,33,44
1573315662511567,-11,-26,-23,0,8,6,0,0
1573315662520281,0,-3,-2,5,13,25,-14,-45
1573315662520281,-2,3,0,-10,-21,-21,9,-13
1573315662535202,13,10,9,17,38,21,12,35
1573315662535202,-6,-3,-1,-7,-31,-2,-50,-79
1573315662535896,-7,-6,0,0,-9,-22,-2,22
1573315662535896,-6,-4,7,6,-2,-3,37,1
1573315662557636,8,6,3,0,-9,-5,-17,27
1573315662557636,-4,-8,-10,0,-2,-13,14,-6
1573315662559317,6,8,9,-6,1,16,6,13
1573315662559317,-3,10,4,1,19,21,-12,-27
1573315662572194,-18,-23,-2,15,-4,-8,10,1
1573315662572194,11,1,-12,-15,-23,-32,-1,6
1573315662579981,-5,22,8,10,19,18,-3,4
1573315662579981,-1,-41,-11,11,15,18,13,7
1573315662594648,-10,-2,-21,-6,-21,-25,-11,-3
1573315662594648,4,5,8,5,8,3,-2,3
1573315662596409,-6,35,27,-1,8,12,4,-5
1573315662596409,43,1,-22,-8,-3,1,7,4
1573315662617878,-15,-26,12,-7,-12,-14,-25,-23
1573315662617878,10,-18,-38,-14,-2,-2,15,22
1573315662618855,-52,38,61,13,6,4,-26,-49
1573315662618855,42,19,14,4,-6,0,9,27
1573315662630567,-81,-94,-35,-15,-11,-10,-7,-10
1573315662630567,3,-41,-63,-15,-3,-8,14,-11
1573315662640326,7,22,12,-3,5,12,12,28
1573315662640326,-17,-25,-12,-3,-12,-16,-23,-18
1573315662654967,66,98,42,5,-4,2,14,17
1573315662654967,-14,-12,20,11,14,2,12,11
1573315662655941,-23,-26,-35,-13,-20,-10,-6,-9
1573315662655941,20,45,31,9,12,8,-7,-7
1573315662677413,-4,49,22,-5,-6,-2,18,24
1573315662677413,-33,-72,-26,8,-3,-6,-6,-9
1573315662678388,30,-17,-23,2,18,11,4,20
1573315662678388,2,63,35,-5,5,5,8,-22
1573315662692052,-9,-10,-11,8,-14,-14,-2,-12
1573315662692052,40,60,25,4,2,4,-9,3
1573315662703764,12,-25,-13,2,6,6,11,27
1573315662703764,-15,-10,-11,-6,-3,2,-14,-16
1573315662722308,42,39,27,10,8,6,13,21
1573315662722308,-9,25,23,5,-1,-5,-12,-2
1573315662724260,-9,-66,-40,-12,-5,-2,9,-3
1573315662724260,8,29,6,-3,-7,-5,-5,0
1573315662736948,-10,-13,0,-2,3,4,4,10
1573315662736948,-23,-29,-21,5,-4,-5,-4,-15
1573315662738900,-7,3,-6,-10,-9,-3,-4,0
1573315662738900,-57,-20,-8,2,7,7,5,6
1573315662750612,48,20,3,-1,-1,1,7,17
1573315662750612,24,62,33,6,3,4,7,15
1573315662759398,-35,-76,-35,-4,-3,-5,-1,-10
1573315662759398,-47,-36,-10,-11,-3,1,-9,-10
1573315662774036,19,-3,-9,1,1,-1,6,16
1573315662774036,29,58,19,0,-3,-4,-5,-1
1573315662781844,4,2,17,8,0,-5,10,6
1573315662781844,-4,-13,0,1,3,6,10,2
1573315662805268,6,0,-18,-11,-5,-4,-13,-5
1573315662805268,-12,-34,-2,-6,-4,-1,2,7
1573315662806244,26,43,20,6,6,4,-10,-13
1573315662806244,4,-35,-27,-1,-6,-2,7,17
1573315662811124,0,9,0,3,1,-2,-8,-16
1573315662811124,-24,-12,2,-11,-10,-7,-6,-7
1573315662819908,-12,1,8,4,1,2,-8,-9
1573315662819908,0,10,3,6,4,-1,7,1
1573315662842356,-6,3,7,3,4,6,10,-4
1573315662842356,6,-12,-16,-3,0,-1,-15,-9
1573315662844308,13,5,6,0,-3,-3,15,37
1573315662844308,17,3,1,0,-2,-3,-18,-18
1573315662856996,-37,-9,-9,1,4,0,0,-13
1573315662856996,10,22,28,0,0,-1,3,-2
1573315662858948,3,-2,-27,-6,-3,1,3,-3
1573315662858948,-8,-25,-14,0,1,0,-13,-16
1573315662870662,12,-6,1,-2,1,-6,-22,-12
1573315662870662,5,-2,10,1,-8,-1,9,24
1573315662880421,12,10,-14,-3,1,-4,-35,-22
1573315662880421,0,5,14,4,1,-2,9,0
1573315662894084,-9,-24,-18,-7,12,16,-11,-5
1573315662894084,-15,8,6,2,2,0,17,-3
1573315662901891,15,-20,-1,0,-10,-9,6,18
1573315662901891,5,18,1,-1,8,15,-2,-4
1573315662918484,-10,-6,-5,-4,-10,-18,6,-3
1573315662918484,-8,-11,-3,5,19,19,-4,1
1573315662918484,2,11,7,4,9,11,3,7
1573315662918484,-5,-1,-2,-3,-4,1,-6,-6
1573315662931173,-5,-14,-7,-4,-21,-31,7,-5
1573315662931173,-5,0,0,6,10,11,-11,-11
1573315662939956,8,13,4,-7,-8,-22,-1,4
1573315662939956,2,-3,2,-3,-14,-16,-7,8
1573315662954596,6,2,-1,3,22,55,15,28
1573315662954596,-7,-18,-10,2,39,27,9,-12
1573315662956548,3,11,7,-4,-62,-79,-31,-12
1573315662956548,7,10,7,9,55,93,54,9
1573315662978996,-10,-13,-5,-6,-30,-83,-68,-35
1573315662978996,3,0,-4,0,26,66,20,16
1573315662979972,0,-3,-4,-8,-26,-50,0,4
1573315662979972,-10,-5,3,-6,-3,-42,-28,-18
1573315663000468,14,13,10,18,72,97,56,30
1573315663000468,-14,-16,-11,-14,-58,-68,-28,-19
1573315663001444,-6,-3,-5,-2,-6,-3,-9,-19
1573315663001444,10,10,6,3,-8,-37,14,19
1573315663015107,4,1,6,-1,0,30,16,-6
1573315663015107,-15,-9,-15,-19,10,-21,-87,-79
1573315663016084,12,9,8,23,45,96,73,33
1573315663016084,-9,-1,4,-3,-60,-98,-40,-7
1573315663037556,1,-4,-14,-19,-34,-21,12,18
1573315663037556,1,10,13,6,-3,30,28,31
1573315663039508,-2,0,11,20,60,-11,-19,-39
1573315663039508,10,0,-7,-11,12,77,17,-9
1573315663060004,1,-3,-4,-3,-2,-34,-11,44
1573315663060004,13,6,2,-5,-16,-25,54,56
1573315663061956,-6,2,3,14,14,77,-6,-47
1573315663061956,4,1,5,3,8,-15,-50,-35
1573315663073668,-12,-2,-8,-9,-42,-36,18,35
1573315663073668,-4,-4,-2,-5,11,2,-41,-73
1573315663080500,12,11,14,19,45,39,34,44
1573315663080500,-11,-4,-4,-2,8,10,5,-12
1573315663098068,-1,-3,-6,-1,2,35,3,-31
1573315663098068,13,12,10,8,29,-7,19,18
1573315663100020,-1,12,1,-18,-52,-19,1,44
1573315663100020,-21,-44,-29,-3,-8,-29,-39,-39
1573315663121492,17,10,11,29,62,58,48,31
1573315663121492,-4,-7,-6,-7,-15,44,8,-33
1573315663122468,26,33,9,-17,-14,-30,-92,-18
1573315663122468,-5,22,33,17,27,31,68,31
1573315663134180,-5,-49,-67,-11,-71,-73,-34,-31
1573315663134180,10,11,8,8,34,-23,0,6
1573315663141988,-20,-22,-14,-8,17,17,31,20
1573315663141988,2,19,6,-14,-6,12,8,9
1573315663157604,1,13,24,6,10,10,-37,-23
1573315663157604,-11,-10,-8,-5,-56,-59,-4,6
1573315663158579,-6,-11,-13,-15,-7,4,24,-21
1573315663158579,4,-5,-4,7,16,3,-5,29
1573315663180052,-10,3,8,-5,-11,-14,-41,-41
1573315663180052,8,-4,-7,-1,-12,0,21,54
1573315663181034,-6,-4,6,7,26,15,9,9
1573315663181034,-4,-6,-6,-1,-31,-21,-24,-41
1573315663196644,2,3,10,-3,18,15,34,7
1573315663196644,-3,0,2,-4,6,10,-26,-19
1573315663203475,0,-9,-11,-4,-19,-44,-26,-11
1573315663203475,-1,8,6,7,9,9,4,-1
1573315663217140,-7,-11,-13,-6,-4,-2,31,13
1573315663217140,0,5,12,12,-7,-16,-19,-10
1573315663219092,-8,-8,-4,-5,-2,5,13,-4
1573315663219092,11,9,9,-15,-22,-10,-22,3
1573315663239588,3,0,-2,-4,15,-4,0,1
1573315663239588,-13,-7,6,10,1,11,-1,-27
1573315663241540,13,11,16,6,9,11,-3,13
1573315663241540,-11,-2,-24,-16,-15,-17,8,29
1573315663253251,4,14,30,8,8,6,-9,-7
1573315663253251,-8,-41,-34,-4,6,4,5,3
1573315663263012,-4,8,-22,-12,-19,-10,-10,-12
1573315663263012,2,19,52,10,-9,-22,9,-10
1573315663277651,-17,19,6,-11,-11,-9,-17,-4
1573315663277651,24,-9,3,-1,-9,-12,-3,7
1573315663279603,1,-60,-51,-1,6,-2,5,1
1573315663279603,-15,-10,-35,-4,6,12,-19,-30
1573315663300099,-20,6,9,-5,-2,1,19,6
1573315663300099,5,46,31,2,0,-8,0,26
1573315663301075,-1,9,12,1,8,15,11,1
1573315663301075,-36,-55,-22,0,-5,-4,-6,7
1573315663313769,28,10,-5,-1,0,-1,-5,4
1573315663313769,0,7,2,-7,-1,4,5,-3
1573315663322552,-7,21,14,3,-4,-3,-7,-13
1573315663322552,11,-21,-29,-5,2,2,9,14
1573315663337199,19,42,35,11,5,-2,-5,13
1573315663337199,14,-49,-52,-2,0,4,13,18
1573315663339141,-41,-26,5,-5,-7,-9,-7,-26
1573315663339141,12,23,7,2,7,2,10,38
1573315663359663,24,-12,-10,4,4,3,-9,-3
1573315663359663,-4,10,-2,-9,-6,-1,13,-1
1573315663361592,25,37,24,-5,-3,-9,-4,20
1573315663361592,-6,-18,-4,19,16,11,1,-14
1573315663374364,-25,-27,-5,-6,-1,-3,-3,-4
1573315663374364,-3,15,10,0,-1,1,7,0
1573315663381156,-4,-9,-5,-1,3,-1,3,1
1573315663381156,19,24,13,2,3,5,8,2
1573315663397767,7,7,2,-3,-4,-7,-8,-24
1573315663397767,-29,-17,-7,3,0,1,4,-1
1573315663398681,38,11,-15,-11,-6,1,-24,7
1573315663398681,-25,-52,-15,-9,-3,-1,-5,-9
1573315663420222,-11,0,12,4,5,2,5,-6
1573315663420222,-14,12,0,2,-1,1,0,3
1573315663421133,4,10,4,1,-4,-2,-1,-12
1573315663421133,14,16,7,3,4,4,8,4
1573315663434797,-28,-29,-21,-13,-10,-7,3,36
1573315663434797,2,18,18,-2,-2,-1,-12,-19
1573315663441628,-8,6,6,12,5,4,19,14
1573315663441628,-3,-8,-14,-8,2,-2,-10,-3
1573315663457322,8,-1,2,-4,-1,3,4,10
1573315663457322,14,9,-1,-2,-11,-10,-19,-13
1573315663459191,-18,-35,-7,4,1,0,11,9
1573315663459191,-6,12,3,-7,-2,-1,-5,-19
1573315663488474,9,6,1,4,3,1,4,-8
1573315663488474,0,-11,-11,-2,9,6,-1,11
1573315663490422,-5,-5,11,4,-2,-1,10,-6
1573315663490422,30,35,8,1,-6,-3,-1,10
1573315663493349,-1,-8,-1,4,4,2,-5,-8
1573315663493349,-19,-9,-3,-9,-8,-3,-2,-25
1573315663502135,-6,4,-6,0,7,2,-2,10
1573315663502135,7,-8,1,2,1,3,6,5
1573315663516805,-1,-1,-12,-1,-4,-1,-5,-8
1573315663516805,14,17,1,1,7,5,18,38
1573315663518725,-17,-19,7,-4,-9,-8,-22,-20
1573315663518725,2,8,2,-3,-1,-1,12,11
1573315663540285,9,-3,-3,5,3,1,-3,-7
1573315663540285,-11,-2,2,-2,-3,-2,5,32
1573315663541172,-2,3,-2,-2,0,1,8,2
1573315663541172,-20,-14,-11,-7,-8,-4,-5,-10
1573315663562830,3,4,1,4,2,2,6,-5
1573315663562830,3,6,9,0,-3,-5,-4,-2
1573315663563621,1,-4,-6,0,-2,3,1,-2
1573315663563621,-12,2,7,4,1,0,0,3
1573315663577485,8,7,-5,-1,1,4,3,2
1573315663577485,-2,-4,1,1,0,-5,-22,-13
1573315663579235,1,-2,-8,-5,6,7,14,8
1573315663579235,13,5,8,-2,-17,-5,-1,2
1573315663600015,-12,-1,1,-1,-2,-7,-14,-10
1573315663600015,6,-3,1,1,-3,-2,0,1
1573315663601683,5,-3,-5,1,2,3,0,4
1573315663601683,7,7,5,5,9,7,6,10
1573315663613650,-3,-2,-3,-2,-3,-2,-6,-8
1573315663613650,-2,-8,-1,0,-4,-2,-3,-11
1573315663622228,0,8,-2,-2,1,1,1,4
1573315663622228,1,2,-2,3,4,5,6,-8
1573315663637829,-5,-12,0,-3,-5,-5,-6,-5
1573315663637829,-4,-1,1,1,1,0,3,-2
1573315663638774,2,3,3,2,-2,-3,-3,-2
1573315663638774,1,-4,-8,-3,-1,1,-9,-7
1573315663660310,-6,-1,-1,-1,0,1,3,3
1573315663660310,7,5,-4,-2,-3,-4,-2,-4
1573315663661221,1,-3,5,1,-1,0,3,4
1573315663661221,-6,-4,-2,-2,2,1,-7,-8
1573315663673907,7,4,-2,-1,0,0,12,15
1573315663673907,-2,-3,-1,0,-2,-2,-4,-5
1573315663682692,-2,0,-3,0,-2,-5,-3,-8
1573315663682692,1,-1,-1,0,0,-4,-6,2
1573315663697335,0,-1,-3,-3,-3,0,9,8
1573315663697335,-10,-7,-3,-3,-3,-1,7,-1
1573315663699283,8,6,3,2,2,-2,-7,10
1573315663699283,12,3,4,4,4,3,8,-13
1573315663727586,-7,-4,-4,-3,-3,-3,-12,-17
