timestamp,x,y,z
1573315772010460,-19.625,79.9375,-48.8125
1573315772035832,-17.6875,77.875,-46.0625
1573315772047543,-17.5,74.9375,-44.4375
1573315772070974,-14.375,70.25,-40.0625
1573315772093418,-11.1875,62.625,-35.0625
1573315772108139,-7.3125,52.1875,-30.25
1573315772130506,-2.125,42.6875,-25.75
1573315772152951,2.375,34.875,-20.5
1573315772167590,3.5,28.375,-16.25
1573315772191018,2.5,23.4375,-12.75
1573315772216392,1.1875,18.625,-7.9375
1573315772228128,2,13.625,-4.9375
1573315772250575,4.1875,9.125,-4.125
1573315772273005,6.5625,5.9375,-4.6875
1573315772287611,4.875,5.5625,-4.375
1573315772310081,-0.375,7.25,-4.9375
1573315772334458,-2.8125,10.8125,-7
1573315772348122,-2.0625,14.25,-10.25
1573315772370572,-1.5625,18.25,-13.0625
1573315772393020,-4.5625,31.375,-12.9375
1573315772415464,-9.6875,48.125,-16.625
1573315772430103,-8,60.375,-19.875
1573315772454507,-9.75,69.8125,-21.5
1573315772468192,-12.125,86.9375,-29.4375
1573315772490618,-19.625,101.938,-30.75
1573315772513065,-20.6875,112.188,-33.0625
1573315772527728,-14.375,122.375,-43.25
1573315772551131,-13.875,131.188,-43.5
1573315772576039,-16.3125,136.5,-42
1573315772587749,-16.6875,135.25,-43.375
1573315772613125,-11.9375,133.438,-44.8125
1573315772632650,-3.4375,124.375,-44
1573315772649245,0,113.875,-45.1875
1573315772670712,-4.4375,103.813,-43.3125
1573315772693161,-10.625,96.0625,-40.75
1573315772709751,-10,86.5,-41
1573315772733173,-2.0625,74.25,-36.25
1573315772752694,2.875,61.0625,-31.8125
1573315772769286,3.6875,49.4375,-29.0625
1573315772790758,0.75,40.8125,-25.9375
1573315772813206,-0.9375,32.4375,-20.875
1573315772829798,0.1875,23.125,-18.0625
1573315772851270,2.625,13.0625,-12.875
1573315772873719,1.4375,8.125,-9.125
1573315772893237,0.4375,7.125,-5.5
1573315772910810,-0.125,4.375,-2.6875
1573315772933259,-2,0.125,-2.0625
1573315772949848,2.625,-10.625,-1.3125
1573315772972297,18.9375,-17.1875,1.9375
1573315772992791,32.5,-10.5625,-1.875
1573315773009381,28.5625,-1.375,-19.625
1573315773030859,9.3125,11.3125,-29.625
1573315773053329,-5.375,22.25,-5.25
1573315773069897,-4.1875,8.375,12.1875
1573315773090482,-15,-6.5,49.9375
1573315773112928,2.5,-23.375,68.625
1573315773131383,0.75,-30.875,34.5625
1573315773150903,-12.0625,-28.8125,0.1875
1573315773173350,-28.8125,-23.75,-3.6875
1573315773190916,-21.5,-19.8125,0.9375
1573315773210443,-14.375,-17.9375,2.75
1573315773232891,-14.375,-13.5625,7.8125
1573315773250457,-13.75,-4.125,8.625
1573315773270950,-19.375,1.9375,5.0625
1573315773296324,-15.625,4.0625,-1.1875
1573315773310964,-9.3125,4.1875,-3.8125
1573315773330491,-7.4375,4.3125,4.0625
1573315773352942,-5.25,4.75,3
1573315773370504,-4.0625,8.5,-12.1875
1573315773390998,-3.3125,7.4375,-25.625
1573315773413446,-0.125,5.75,-24.25
1573315773431016,2.25,4,-9.3125
1573315773450612,4.125,2.125,0.0625
1573315773473054,6.0625,-0.75,2.375
1573315773490552,7.9375,-2.0625,4.1875
1573315773511055,9.375,-0.6875,6.1875
1573315773533496,7.125,-0.625,2.4375
1573315773551062,5.75,-0.9375,-7.6875
1573315773570586,8.375,-1.9375,-27.375
1573315773593053,24.8125,-0.25,-51.25
1573315773610601,28.625,20.375,-46.875
1573315773632069,10.125,24.375,-18.3125
1573315773653565,7.1875,9.0625,0.25
1573315773671111,-5.625,8.125,35.3125
1573315773691604,-0.5625,-2.8125,66.8125
1573315773720884,1.3125,-12.9375,40.375
1573315773738452,-9.4375,-20.625,5.8125
1573315773752116,-15,-20.5625,-8.875
1573315773775540,-13.5,-23.9375,-5.625
1573315773791158,-9.6875,-23.9375,1.25
1573315773811658,-13.875,-16.9375,7.875
1573315773833124,-21.5625,-9.75,20.8125
1573315773851668,-23,-3.5,25.375
1573315773872164,-22.375,2.3125,20.25
1573315773892659,-16.1875,6.625,10
1573315773913156,-10.0625,13.0625,6.875
1573315773931699,-7.3125,16.1875,-7.1875
1573315773954150,-7.75,14.625,-24.9375
