timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.56941E+15,1,1,0,0,2,1,2,10
1.56941E+15,-1,-2,-2,-1,-1,-1,-2,2
1.56941E+15,-2,2,1,1,-1,-1,-1,-2
1.56941E+15,-2,-1,0,1,0,0,3,-2
1.56941E+15,2,-2,0,-2,-2,-4,-11,-1
1.56941E+15,0,0,0,-1,-1,1,0,3
1.56941E+15,-2,1,-2,-1,0,-1,1,-2
1.56941E+15,0,-2,-2,0,-1,0,3,4
1.56941E+15,0,-1,-1,0,-1,-1,2,-5
1.56941E+15,0,-2,0,-1,0,-1,0,0
1.56941E+15,-1,-2,0,1,-1,0,-3,1
1.56941E+15,0,-2,-1,-1,1,0,-3,3
1.56941E+15,-2,0,0,1,-1,-1,1,-6
1.56941E+15,4,1,0,-1,-1,0,-2,1
1.56941E+15,0,-1,-1,0,-1,1,0,-2
1.56941E+15,1,-1,0,-1,-2,-3,-1,0
1.56941E+15,-3,-1,1,1,-1,-1,-1,-12
1.56941E+15,0,-1,-2,-1,-3,-2,-2,6
1.56941E+15,-2,0,0,-2,0,-1,0,-7
1.56941E+15,0,0,0,0,-2,1,-2,3
1.56941E+15,1,0,-1,0,1,0,-1,1
1.56941E+15,-2,0,0,0,-2,-1,1,-2
1.56941E+15,0,-3,-3,0,0,1,0,5
1.56941E+15,-1,-1,-2,-2,-1,0,1,2
1.56941E+15,-3,-1,0,-1,-1,-1,0,-6
1.56941E+15,1,1,0,-1,-1,0,0,5
1.56941E+15,-3,-1,0,-1,0,-2,-1,0
1.56941E+15,3,1,0,0,0,-6,-15,4
1.56941E+15,1,0,0,0,-1,0,0,-1
1.56941E+15,2,0,-2,0,-1,1,1,1
1.56941E+15,-1,0,1,0,-1,-2,0,-5
1.56941E+15,0,-1,0,-1,0,1,3,4
1.56941E+15,-1,-3,1,-1,-1,-1,-2,-4
1.56941E+15,1,0,0,-1,-1,-2,-3,1
1.56941E+15,-1,1,-1,-2,-1,-1,0,-3
1.56941E+15,-3,-2,-1,0,-1,2,2,0
1.56941E+15,-3,-1,-3,0,-3,-1,-2,-9
1.56941E+15,-1,-1,-1,0,0,1,1,-1
1.56941E+15,-1,-1,-2,-1,-1,-1,1,8
