timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1570595642799115,0,0,-4,-2,0,-5,17,13
1570595642799115,0,7,1,0,0,-2,30,13
1570595642814184,-4,-2,-1,2,-2,-9,29,-21
1570595642814184,7,4,-2,3,-1,-8,-5,-20
1570595642815707,-10,-2,9,2,0,0,-10,-18
1570595642815707,-7,-3,-3,0,-3,-2,1,-17
1570595642827853,-12,-3,1,-3,-2,-3,12,-12
1570595642827853,-2,0,-2,-3,-4,-10,10,-7
1570595642836475,2,0,-2,-2,-1,1,-3,-2
1570595642836475,3,-7,1,0,1,-1,-10,10
1570595642850317,-3,-27,1,0,0,-2,-12,-2
1570595642850317,-11,-112,2,0,1,-20,-4,-9
1570595642858688,-7,-126,-1,-4,0,-3,-9,-30
1570595642858688,-85,-21,0,-5,-2,1,-13,-18
1570595642874262,-121,95,0,-59,-111,11,-22,-17
1570595642874262,-128,127,0,-68,-118,-8,1,-33
1570595642876237,-128,127,-6,-30,83,-32,6,-32
1570595642876237,-54,-63,-6,66,116,-13,13,31
1570595642886991,93,-126,16,127,127,22,15,65
1570595642886991,121,-128,13,113,-47,34,6,59
1570595642896710,127,-128,-6,72,34,31,-2,38
1570595642896710,127,-28,-13,16,82,13,-12,4
1570595642910802,107,-5,-32,-3,127,7,-4,4
1570595642910802,75,67,-29,-27,127,6,-8,-1
1570595642919160,3,102,-30,-43,114,-1,-1,-3
1570595642919160,-57,113,-15,-59,4,-2,11,-12
1570595642933799,-108,103,-4,-51,-100,-14,12,-47
1570595642933799,-123,56,4,-37,-87,-19,2,-44
1570595642935750,-128,114,25,-13,-128,-13,-1,-41
1570595642935750,-116,16,48,-9,-128,-15,-18,-29
1570595642947462,-126,10,49,-9,-128,-16,-6,-59
1570595642947462,-109,-66,70,-14,-108,-25,-2,-77
1570595642956247,54,-117,106,-64,83,-56,-9,-105
1570595642956247,127,-90,126,-65,90,-69,-10,-116
1570595642970345,127,-81,127,-59,120,-98,-17,-48
1570595642970345,89,4,126,20,-36,-126,2,47
1570595642979043,101,-92,126,83,-128,-110,1,119
1570595642979043,96,-7,91,14,-111,-128,13,102
1570595642994603,-22,-8,73,118,-72,-114,24,104
1570595642994603,-87,102,-51,78,10,-15,6,-42
1570595642996262,-128,42,-110,-86,-128,57,-12,-115
1570595642996262,-128,127,-128,-100,6,60,-12,-121
1570595643006998,-128,46,-128,-128,-115,119,-19,-77
1570595643006998,-31,-68,-111,-45,56,116,-11,21
1570595643016758,-7,24,-108,83,96,110,12,59
1570595643016758,39,-58,-97,127,93,26,49,84
1570595643030423,93,-86,-84,127,127,-74,38,51
1570595643030423,-39,-54,-56,112,-8,-120,115,64
1570595643039206,10,76,-53,98,93,-120,118,57
1570595643039206,-25,62,-37,3,0,-97,73,56
1570595643053320,33,79,-33,-69,-47,-122,-86,34
1570595643053320,78,-20,-26,-128,-108,91,-125,28
1570595643060138,32,-47,-14,-126,-128,70,-62,24
1570595643060138,11,-24,-10,-72,95,28,32,25
1570595643067517,16,25,-6,-77,-87,-3,88,8
1570595643067517,49,-52,-3,-83,115,-15,68,-105
1570595643076500,-9,43,94,-51,-6,10,55,45
1570595643076500,43,42,42,-46,-128,-46,36,-117
1570595643089959,-71,83,4,-48,-73,-70,58,-99
1570595643089959,96,-14,10,-34,-27,-128,39,-5
1570595643098742,-37,127,-29,-69,34,-63,34,-55
1570595643098742,50,16,-24,-90,-19,-107,11,88
1570595643113802,36,54,37,81,72,120,21,-88
1570595643113802,-15,99,41,108,90,-110,127,-115
1570595643120215,-76,-128,-101,-52,-30,16,-102,-100
1570595643120215,62,-128,79,127,28,68,93,97
1570595643128286,-19,-17,-128,103,-88,68,-84,-6
1570595643128286,109,114,19,54,-99,8,-103,-67
1570595643136806,88,21,5,49,-63,49,-105,-122
1570595643136806,-128,127,115,-27,-27,2,-22,-48
1570595643150549,81,64,102,-82,114,114,127,-87
1570595643150549,-128,-98,7,-125,127,127,-14,-123
1570595643159255,-74,-35,-14,-112,127,-24,109,-53
1570595643159255,-87,-57,-93,-128,105,-7,55,16
1570595643165109,2,-128,111,-128,87,-128,127,44
1570595643165109,43,-80,3,-110,31,-128,17,-73
1570595643180198,110,16,-81,-37,0,-128,-66,83
1570595643180198,-28,32,68,-12,-88,-74,-128,92
1570595643187990,-128,53,-28,12,-75,-3,-128,88
1570595643187990,79,127,127,62,-51,10,-51,123
1570595643196342,-111,114,127,74,-56,27,43,103
1570595643196342,127,127,97,85,-75,50,49,-23
1570595643210044,1,80,51,55,-2,10,71,97
1570595643210044,29,33,-9,8,-27,54,89,127
1570595643218790,-46,-89,122,79,-15,80,120,69
1570595643218790,97,-128,-36,23,-92,100,103,-98
1570595643225094,-110,-128,-70,11,-57,-40,0,43
1570595643225094,-8,-118,61,52,-30,-41,-26,127
1570595643240698,-75,-114,102,33,-40,-75,-81,76
1570595643240698,-128,-128,100,12,-31,-128,-128,-66
1570595643247095,-28,5,24,17,-82,-108,-128,-128
1570595643247095,-32,114,-111,18,62,105,-128,-128
1570595643256854,35,40,-119,5,66,85,-94,-120
1570595643256854,19,-65,-102,28,83,127,87,61
1570595643269986,113,49,-67,31,71,97,93,80
