timestamp,x,y,z
1.56941E+15,1.0625,-0.125,-0.6875
1.56941E+15,0.4375,-0.0625,-0.25
1.56941E+15,0.25,0.0625,0.625
1.56941E+15,-0.1875,0.0625,0.4375
1.56941E+15,-0.6875,0,-0.375
1.56941E+15,-0.625,0.0625,-0.4375
1.56941E+15,0.0625,0.0625,-0.1875
1.56941E+15,0.5,-0.0625,0
1.56941E+15,1.4375,0,0
1.56941E+15,2.625,0.125,0.5625
1.56941E+15,2.625,0,1.0625
1.56941E+15,1.9375,-0.25,0.0625
1.56941E+15,0.3125,-0.3125,-0.4375
1.56941E+15,1.1875,-0.3125,-0.1875
1.56941E+15,1.9375,-0.3125,-0.125
1.56941E+15,1.25,-0.25,-0.5625
1.56941E+15,2.8125,0.3125,-0.1875
1.56941E+15,14.3125,2.375,2.25
1.56941E+15,38.1875,8.25,-1.125
1.56941E+15,28.4375,12.8125,-16.5
1.56941E+15,15.9375,33.1875,-24.5625
1.56941E+15,20.9375,72.8125,-51.75
1.56941E+15,-8.1875,108.875,-95.4375
1.56941E+15,-18.125,151.5,-127.688
1.56941E+15,-25.875,181.063,-158.938
1.56941E+15,-58.25,210.875,-160.75
1.56941E+15,-89.25,258.813,-158.125
1.56941E+15,-136.188,270.688,-141.25
1.56941E+15,-208.063,274.563,-132.25
1.56941E+15,-215.813,314.938,-126.75
1.56941E+15,-172.188,311.938,-67.3125
1.56941E+15,-108.375,298.875,-41.5625
1.56941E+15,-32.25,285.563,-34.8125
1.56941E+15,13.3125,263.938,-26.9375
1.56941E+15,12.9375,234.188,-24.3125
1.56941E+15,-17.875,209.313,-15.875
1.56941E+15,-65,174.125,2.125
1.56941E+15,-69.125,145.938,15.625
1.56941E+15,-68.125,121,13.3125
1.56941E+15,-39.5,88.8125,2.1875
1.56941E+15,-8.25,59,-2.5
1.56941E+15,-0.125,36.375,-2.375
1.56941E+15,-8.625,22.875,-4.875
1.56941E+15,-17.1875,6,-5.3125
1.56941E+15,-16.3125,-5.5,-2.5625
1.56941E+15,-6.5625,-13.8125,4.5
1.56941E+15,-9.1875,-10.8125,8.3125
1.56941E+15,-14.4375,-5.0625,10.5625
1.56941E+15,-11.1875,-1.625,10.25
1.56941E+15,-8.3125,1.0625,12.0625
1.56941E+15,-11,2.875,10.875
1.56941E+15,-14.375,3.8125,6.5625
1.56941E+15,-11.5625,1.25,2
1.56941E+15,1.0625,-5.1875,-2.3125
1.56941E+15,6.1875,-11.375,-1.4375
1.56941E+15,3.9375,-16,0.4375
1.56941E+15,3.9375,-20.0625,0.4375
1.56941E+15,8.6875,-25.8125,-1.1875
1.56941E+15,18.75,-33.125,-3.875
1.56941E+15,24.625,-37.5625,-4.375
1.56941E+15,26,-39.9375,-7.5625
1.56941E+15,21.75,-49.625,-13.25
1.56941E+15,31.125,-58.125,-22
1.56941E+15,37,-70,-19.125
1.56941E+15,43.5625,-74.8125,-13.625
1.56941E+15,49.6875,-79.1875,-21.4375
1.56941E+15,50.5625,-88.3125,-28.625
1.56941E+15,52.4375,-83.9375,-19.0625
1.56941E+15,48.875,-76.9375,-12.0625
1.56941E+15,28.1875,-82.75,-17.1875
1.56941E+15,24.0625,-81.4375,-22.75
1.56941E+15,12.5625,-78.0625,-12.0625
1.56941E+15,8.125,-77.3125,-6.375
1.56941E+15,15.6875,-76.3125,-12.25
1.56941E+15,11.9375,-75,-19.4375
1.56941E+15,7.75,-78.125,-24.3125
1.56941E+15,13.625,-79.6875,-16.1875
1.56941E+15,14.25,-76,-8.25
1.56941E+15,11.875,-72.0625,-12.4375
1.56941E+15,7.5,-71.75,-20.625
1.56941E+15,-5.5,-62.125,-9.8125
1.56941E+15,1.3125,-50.1875,-3.5625
1.56941E+15,7.1875,-49.375,-8.25
1.56941E+15,10.25,-48,-12.0625
1.56941E+15,16.0625,-33.5625,-12.375
1.56941E+15,4.6875,-19.1875,-11.875
1.56941E+15,-11.0625,-14.4375,-9.625
1.56941E+15,-11.75,-14.125,-9.4375
1.56941E+15,-4.5,-10.0625,-8.875
1.56941E+15,4.125,-3.625,-5.9375
1.56941E+15,7.4375,-3.4375,-3.25
1.56941E+15,0.8125,-4.0625,-1.25
1.56941E+15,0.8125,-0.875,-2.375
1.56941E+15,2.3125,0.375,-2.9375
1.56941E+15,0.5625,-0.0625,0.4375
1.56941E+15,3.375,-1.75,2.1875
1.56941E+15,1.0625,-3,-0.4375
1.56941E+15,-3.375,-3.125,1.25
1.56941E+15,-3.375,-4.25,3.875
1.56941E+15,-2.4375,-5.125,8.375
1.56941E+15,5.1875,-9.8125,13.0625
1.56941E+15,14.125,-17.25,17.1875
1.56941E+15,15.3125,-23.5625,23.3125
1.56941E+15,3.75,-32.4375,31.6875
1.56941E+15,-11.25,-48.0625,43.4375
1.56941E+15,-0.6875,-69.125,46.3125
1.56941E+15,42.125,-92.25,40.625
1.56941E+15,93,-115.875,39.5625
1.56941E+15,142.25,-135.75,43.5625
1.56941E+15,169,-139.938,52.5625
1.56941E+15,144,-124.563,62.0625
1.56941E+15,105.938,-115.75,81
1.56941E+15,64.375,-127.938,103.313
1.56941E+15,29.1875,-140.438,120
1.56941E+15,17.5625,-141.375,125.813
1.56941E+15,14.375,-134.188,120.125
1.56941E+15,22.4375,-129.438,112.875
1.56941E+15,50.0625,-124.188,100.688
1.56941E+15,64.875,-113.438,95.9375
1.56941E+15,35.5,-113.688,80.375
1.56941E+15,-28.6875,-136.75,65.4375
1.56941E+15,-100.688,-147.813,84.5625
1.56941E+15,-215.5,-95.75,122.875
1.56941E+15,-79.875,59.25,-6
1.56941E+15,121.875,111.688,-63.5625
1.56941E+15,107.875,79.3125,29.3125
1.56941E+15,211.375,67.9375,103.5
1.56941E+15,158.75,-9.875,29.1875
1.56941E+15,56.3125,-48.875,7.9375
1.56941E+15,-28.9375,-7.1875,27.75
1.56941E+15,-23.9375,11.4375,2.875
1.56941E+15,3.0625,6.25,-19.3125
1.56941E+15,-5.0625,14.625,-3.125
1.56941E+15,-6.125,2.5,17
1.56941E+15,4.1875,-5.5,6.9375
1.56941E+15,-0.75,-5.75,-2.375
1.56941E+15,-12.25,-2.25,1.1875
1.56941E+15,-7.25,1.6875,0.3125
1.56941E+15,2.625,2.9375,-8.5625
1.56941E+15,8,0.4375,-8.5625
1.56941E+15,1.375,-3,0.25
1.56941E+15,-4.75,-3.125,5.625
1.56941E+15,-5.0625,0,3.1875
1.56941E+15,0.375,2.5625,-1.3125
1.56941E+15,6.6875,1.625,-2.9375
1.56941E+15,4.1875,-1.1875,-0.125
1.56941E+15,-0.4375,-2.3125,1.1875
1.56941E+15,-0.6875,-1.4375,-2
1.56941E+15,1.4375,-0.3125,-5
1.56941E+15,0.5625,0.4375,-3.0625
1.56941E+15,-0.5,-0.25,0.25
1.56941E+15,-1.375,-1,1.25
1.56941E+15,-0.5,-0.9375,0.1875
1.56941E+15,0.5,-0.5,-0.875
1.56941E+15,0.4375,-0.0625,-1
1.56941E+15,-0.625,-0.1875,-0.1875
1.56941E+15,-0.6875,-0.6875,0.75
1.56941E+15,0.75,-0.875,0.25
1.56941E+15,1.1875,-0.75,-0.5625
1.56941E+15,0.5,-0.875,-0.5625
1.56941E+15,-0.4375,-0.9375,-0.6875
1.56941E+15,-0.6875,-0.8125,-0.875
1.56941E+15,-0.3125,-0.5625,-0.875
1.56941E+15,0,-0.5625,0.125
1.56941E+15,-1.0625,-0.4375,0.25
1.56941E+15,-2.0625,-0.3125,-0.125
1.56941E+15,-2.1875,-0.4375,-0.3125
1.56941E+15,-1.1875,-0.4375,0.125
1.56941E+15,0.125,-0.0625,0.1875
1.56941E+15,0.125,-0.125,-0.125
1.56941E+15,-1.5,-0.1875,-0.375
1.56941E+15,-2.375,-0.3125,-0.375
1.56941E+15,-0.8125,-0.5625,-0.375
1.56941E+15,-0.4375,-0.25,-0.75
1.56941E+15,-1.1875,-0.4375,-0.25
1.56941E+15,-1.5625,0,0.0625
1.56941E+15,-1.625,0.0625,0.125
1.56941E+15,-1,-0.125,0.0625
1.56941E+15,-0.6875,-0.125,-0.1875
1.56941E+15,-0.125,-0.3125,-0.25
1.56941E+15,-0.0625,-0.25,-0.125
1.56941E+15,0.5625,-0.375,0.1875
1.56941E+15,1.375,-0.375,0.25
1.56941E+15,2.125,-0.375,0.125
1.56941E+15,1.1875,-0.4375,0.25
1.56941E+15,0.5625,-0.4375,0.3125
1.56941E+15,1,-0.4375,-0.3125
1.56941E+15,1.5,-0.375,-0.5
1.56941E+15,1.5625,-0.3125,-0.3125
1.56941E+15,0.9375,-0.1875,0
1.56941E+15,0.6875,-0.3125,0.125
1.56941E+15,0.0625,-0.4375,-0.1875
1.56941E+15,-0.1875,-0.4375,-0.375
1.56941E+15,0.4375,-0.25,-0.3125
1.56941E+15,0.6875,-0.0625,-0.125
1.56941E+15,0,-0.125,0.0625
1.56941E+15,-1.1875,-0.125,-0.375
1.56941E+15,-1.125,-0.125,-0.1875
1.56941E+15,-0.6875,-0.125,-0.125
1.56941E+15,0.125,-0.0625,-0.25
1.56941E+15,-0.3125,-0.125,-0.1875
