timestamp,x,y,z
1570595615558996,-33,204.875,-104.375
1570595615581444,-22.875,212.063,-112.313
1570595615602917,-5.8125,216.125,-119.063
1570595615619509,-12.1875,222.625,-122.25
1570595615641956,-27.25,226.938,-116.625
1570595615664404,-38.75,223,-109.063
1570595615679044,-42.4375,212.5,-96.5625
1570595615701492,-44.6875,207.625,-80
1570595615724916,-51,205.813,-76.5625
1570595615739559,-63.75,189.938,-63.0625
1570595615762003,-71,171.938,-45.8125
1570595615784820,-63.4375,155.063,-43.875
1570595615799093,-58.875,134.063,-35.75
1570595615821565,-48.25,106.25,-18.875
1570595615844964,-43.3125,70.9375,-3.5
1570595615866644,-18.375,47.625,-4.375
1570595615881388,-4.375,27.9375,-12.875
1570595615904836,-4.3125,14.375,-10.9375
1570595615918532,1.5,4.8125,-5.5625
1570595615941067,13.5625,1.9375,0.125
1570595615955678,23.25,-9.125,1.75
1570595615978117,36.375,-19.125,4.9375
1570595616001589,41,-25.25,-7.125
1570595616015950,58.5,-31.25,-22.3125
1570595616037661,80.9375,-31.6875,-36.75
1570595616061102,94.4375,-22.5625,-43.8125
1570595616075734,97,-21.125,-34.9375
1570595616097985,86.0625,-27.25,-24.625
1570595616121610,87.875,-31,-21.4375
1570595616135190,89.375,-41,-21.25
1570595616157698,88.125,-41.125,-11.125
1570595616181088,79.9375,-51.75,1.8125
1570595616195347,63.625,-71.8125,12.8125
1570595616217796,52.6875,-83.375,17.875
1570595616241542,55.3125,-96.1875,18.75
1570595616255315,54.6875,-93.0625,32.0625
1570595616277732,34.75,-79.25,35.3125
1570595616301100,-2.75,-73.9375,39.25
1570595616315762,-6.0625,-92.625,42.4375
1570595616337844,30.75,-99.75,40.1875
1570595616361588,56.8125,-76.3125,28.8125
1570595616375361,37.5625,-52.8125,27.625
1570595616397692,10.5,-38.8125,31.9375
1570595616421229,18.8125,-37.8125,19.75
1570595616435819,34.4375,-23.375,11.25
1570595616458332,28.4375,-5.25,7.5
1570595616481316,8.5625,8.0625,2.5625
1570595616495406,-1.75,14.125,2.1875
1570595616517897,3.125,13.0625,1.125
1570595616540850,6.25,7.75,-0.8125
1570595616555491,-5.1875,1.3125,-3.25
1570595616577938,-7.875,-6.625,3.0625
1570595616600857,-2.125,-20.1875,6.6875
1570595616615373,15,-30.0625,7.875
1570595616637907,13.5625,-41.75,18.3125
1570595616661279,7,-50.875,27.6875
1570595616675976,6.0625,-55,39.8125
1570595616698435,13.6875,-64.3125,57.9375
1570595616721600,3.1875,-75.5625,75.4375
1570595616735502,-13.5,-80.0625,91.3125
1570595616757583,-8.625,-78.6875,93.3125
