timestamp,Pitch,Roll,Yaw
1573325599989079,0.0252746,0.995373,-0.715148
1573325600011715,0.0926501,0.989162,-0.700614
1573325600032999,0.16082,0.984556,-0.683455
1573325600049266,0.231606,0.980795,-0.665611
1573325600071714,0.30461,0.980304,-0.64922
1573325600100336,0.374738,0.982974,-0.631618
1573325600116068,0.444288,0.98763,-0.612151
1573325600130988,0.512722,0.990554,-0.591467
1573325600152895,0.57669,0.995319,-0.572011
1573325600168878,0.63853,1.00703,-0.551571
1573325600191002,0.694736,1.01905,-0.526674
1573325600212627,0.743973,1.02932,-0.501075
1573325600228985,0.789175,1.03776,-0.479453
1573325600251711,0.83101,1.04713,-0.457468
1573325600272375,0.869248,1.05673,-0.436389
1573325600289175,0.899898,1.06868,-0.415449
1573325600311673,0.926679,1.07645,-0.392877
1573325600332282,0.953671,1.08242,-0.373182
1573325600348901,0.976118,1.09223,-0.355217
1573325600371400,0.99364,1.1009,-0.340015
1573325600394313,1.00632,1.10836,-0.325784
1573325600408953,1.01594,1.11126,-0.313655
1573325600431687,1.02312,1.11409,-0.303273
1573325600452807,1.03061,1.11477,-0.296951
1573325600469192,1.03525,1.11471,-0.291847
1573325600491515,1.04035,1.11477,-0.288504
1573325600512198,1.04599,1.11549,-0.284759
1573325600529254,1.04961,1.11774,-0.280222
1573325600551479,1.05153,1.11894,-0.276755
1573325600572567,1.05234,1.12147,-0.271181
1573325600588766,1.05378,1.12695,-0.262768
1573325600611511,1.05382,1.13103,-0.256395
1573325600632006,1.05239,1.12896,-0.254298
1573325600648624,1.05089,1.12661,-0.252054
1573325600671047,1.04867,1.12447,-0.249298
1573325600693658,1.05023,1.1229,-0.248652
1573325600710089,1.05146,1.11936,-0.249606
1573325600731558,1.05324,1.10308,-0.261324
1573325600754007,1.05669,1.10119,-0.265466
1573325600768760,1.06044,1.09059,-0.273895
1573325600791334,1.06513,1.08455,-0.280556
1573325600813728,1.06626,1.08717,-0.279419
1573325600828368,1.06724,1.09162,-0.275509
1573325600858624,1.06961,1.09197,-0.272288
1573325600874239,1.07569,1.0906,-0.27159
1573325600888522,1.08194,1.09282,-0.269996
1573325600911056,1.08674,1.09824,-0.266031
1573325600933784,1.08954,1.10207,-0.261644
1573325600948062,1.09044,1.1057,-0.256481
1573325600971481,1.09249,1.11136,-0.247686
1573325600994005,1.09592,1.11916,-0.239199
1573325601008569,1.09832,1.1279,-0.229248
1573325601031245,1.09454,1.13667,-0.213292
1573325601053471,1.08756,1.14675,-0.194255
1573325601074937,1.07861,1.16145,-0.174197
1573325601091091,1.06496,1.1802,-0.152667
1573325601113599,1.04583,1.20014,-0.132369
1573325601135010,1.01093,1.20791,-0.120958
1573325601151679,0.969336,1.20199,-0.116748
1573325601174050,0.93218,1.19566,-0.114167
1573325601194602,0.901273,1.197,-0.110674
1573325601211294,0.87401,1.19815,-0.108588
1573325601241398,0.853768,1.19609,-0.108207
1573325601255060,0.836578,1.19468,-0.105766
1573325601271650,0.824318,1.197,-0.102986
1573325601294098,0.815692,1.20095,-0.100513
1573325601314596,0.80948,1.20399,-0.0965021
1573325601331189,0.803854,1.20405,-0.0932029
1573325601353643,0.798787,1.20294,-0.091243
1573325601375194,0.794757,1.2061,-0.0896766
1573325601391078,0.791645,1.21248,-0.0876748
1573325601414493,0.789093,1.21739,-0.0860505
1573325601435227,0.786863,1.21959,-0.0852527
1573325601451590,0.78413,1.21992,-0.0868625
1573325601474031,0.78054,1.21904,-0.0907348
1573325601502191,0.775427,1.21738,-0.0977639
1573325601510781,0.768084,1.21407,-0.108875
1573325601534206,0.757402,1.20751,-0.124768
1573325601554740,0.743188,1.19849,-0.146101
1573325601570318,0.723798,1.18625,-0.172346
1573325601593740,0.700167,1.17391,-0.203013
1573325601615303,0.669462,1.16018,-0.238911
1573325601630904,0.633979,1.14679,-0.277031
1573325601653730,0.593554,1.13387,-0.314743
1573325601677676,0.549964,1.1195,-0.351431
1573325601691001,0.500243,1.10912,-0.387205
1573325601714142,0.445187,1.10102,-0.42254
1573325601736071,0.393345,1.09471,-0.458701
1573325601750710,0.339317,1.09387,-0.490702
1573325601774167,0.281423,1.09589,-0.519741
1573325601796345,0.22683,1.09242,-0.549182
1573325601810985,0.176031,1.08758,-0.574877
1573325601833432,0.124283,1.08633,-0.596008
1573325601855881,0.0731457,1.09001,-0.619863
1573325601877471,0.0242248,1.10352,-0.644623
1573325601893682,-0.0187099,1.11656,-0.665004
1573325601916691,-0.0589967,1.12312,-0.680738
1573325601937605,-0.0923266,1.12246,-0.696175
1573325601954195,-0.120662,1.12249,-0.713115
1573325601976761,-0.146353,1.12642,-0.728427
1573325601997465,-0.170215,1.1299,-0.740945
1573325602014027,-0.191729,1.13031,-0.752728
1573325602036482,-0.212927,1.12896,-0.764823
1573325602057950,-0.233059,1.12983,-0.77781
1573325602073792,-0.2517,1.13563,-0.788854
1573325602096660,-0.26692,1.14058,-0.798058
1573325602117584,-0.277827,1.14332,-0.805737
1573325602133709,-0.280952,1.14597,-0.809991
1573325602156263,-0.278961,1.14804,-0.812249
1573325602177815,-0.281017,1.14796,-0.813305
1573325602194220,-0.28461,1.14813,-0.813051
1573325602216666,-0.288639,1.15224,-0.813633
1573325602244973,-0.294183,1.16005,-0.814942
1573325602254140,-0.300426,1.16937,-0.815595
1573325602276209,-0.305478,1.17555,-0.815701
1573325602297390,-0.307588,1.17964,-0.816593
1573325602313930,-0.308596,1.18164,-0.817859
1573325602336432,-0.310383,1.18414,-0.819402
1573325602357887,-0.31346,1.18869,-0.821213
1573325602381277,-0.315536,1.19356,-0.822792
1573325602396586,-0.315862,1.19978,-0.824501
1573325602417950,-0.316765,1.20626,-0.826107
1573325602433565,-0.31899,1.21223,-0.827402
1573325602456009,-0.321471,1.21701,-0.828514
1573325602477650,-0.323914,1.22064,-0.829561
1573325602494038,-0.326377,1.22318,-0.830184
1573325602516426,-0.328456,1.22544,-0.830679
1573325602537844,-0.328772,1.22569,-0.830867
1573325602553777,-0.330149,1.22624,-0.831181
1573325602577051,-0.331642,1.22562,-0.831849
1573325602599039,-0.33286,1.22414,-0.832386
1573325602614653,-0.334219,1.22296,-0.833015
1573325602636357,-0.335648,1.22298,-0.833456
1573325602658805,-0.336654,1.22303,-0.833749
1573325602674185,-0.33737,1.22163,-0.833643
1573325602696635,-0.338538,1.21965,-0.833439
1573325602719246,-0.340047,1.21815,-0.833542
1573325602733959,-0.341399,1.21788,-0.833778
1573325602756168,-0.342573,1.21904,-0.834247
1573325602780988,-0.343481,1.22129,-0.834678
1573325602801204,-0.344311,1.22366,-0.835124
1573325602816782,-0.345386,1.22563,-0.835409
1573325602839231,-0.345601,1.22579,-0.835493
1573325602852897,-0.346317,1.2258,-0.835719
1573325602876318,-0.346532,1.22597,-0.835804
1573325602898804,-0.346716,1.22627,-0.83592
1573325602913513,-0.346977,1.22645,-0.836025
1573325602936845,-0.34724,1.22636,-0.836181
1573325602959280,-0.347872,1.22617,-0.836401
1573325602973110,-0.348134,1.22635,-0.836507
