timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1573325608935727,3,17,14,-3,-8,62,11,1
1573325608935727,15,9,8,11,91,3,13,6
1573325608950881,10,21,10,2,-63,-72,-8,4
1573325608950881,-17,-10,-8,17,33,21,3,-4
1573325608956740,3,-13,-1,1,0,-8,-12,3
1573325608956740,0,-8,-17,-5,0,-6,-4,0
1573325608973369,8,-13,-2,-1,37,108,36,8
1573325608973369,-32,-2,-2,-11,-6,-59,-25,-5
1573325608974737,33,43,10,8,13,7,-2,1
1573325608974737,-17,-29,-16,-39,-39,-24,-17,-9
1573325608987041,-7,13,1,26,19,52,1,-2
1573325608987041,20,-3,12,-8,-5,-16,5,-1
1573325608995782,-7,-10,7,1,21,18,2,-2
1573325608995782,-11,19,-10,4,17,16,6,2
1573325609011057,-2,-12,-14,-12,-22,-35,-6,-2
1573325609011057,0,-7,16,1,7,29,4,-1
1573325609012248,-17,-27,-23,-14,-26,-25,-6,-7
1573325609012248,11,30,6,2,-11,-7,-3,-1
1573325609033504,21,8,21,9,28,28,22,7
1573325609033504,-3,1,-6,-8,8,-48,-32,-8
1573325609034543,-9,-51,-11,-5,-20,53,20,5
1573325609034543,-13,-24,-10,-10,8,-52,-7,0
1573325609046741,-9,15,0,5,22,33,-12,-3
1573325609046741,-1,-24,2,-1,-45,-39,15,-2
1573325609055526,13,18,8,1,-15,-6,5,6
1573325609055526,14,25,9,8,11,36,15,4
1573325609070102,-12,-7,11,1,-15,-63,-16,-4
1573325609070102,11,20,-5,-3,-8,58,11,6
1573325609072119,-48,-31,-11,-3,-3,-72,5,-5
1573325609072119,67,-3,-16,-4,-22,-6,-11,10
1573325609092611,-4,48,10,1,9,-8,-8,-7
1573325609092611,-10,5,-1,0,58,31,2,-3
1573325609094626,-4,-17,-5,-5,-59,7,-9,-9
1573325609094626,-24,0,0,-2,13,44,0,-7
1573325609106272,-5,-29,-14,-8,-25,-73,-14,-2
1573325609106272,11,7,-1,2,9,26,8,3
1573325609116031,-4,-10,6,0,4,23,7,-2
1573325609116031,0,18,5,2,-2,24,14,-2
1573325609129697,-10,-21,-7,0,-2,6,-33,-1
1573325609129697,1,6,-2,-5,-29,-22,-44,-7
1573325609136763,19,42,-3,-4,-26,26,-4,6
1573325609136763,-9,-41,2,-7,25,-76,-3,2
1573325609153256,-17,-13,-4,0,-9,47,2,-8
1573325609153256,7,-4,-5,-3,63,16,20,3
1573325609154233,-6,5,1,2,-50,-15,-3,-2
1573325609154233,0,10,7,3,-5,14,-13,-2
1573325609167277,0,-2,-2,-6,-14,-22,3,0
1573325609167277,-13,-6,-5,-4,34,-20,7,-3
1573325609181853,36,8,-1,1,-12,12,8,6
1573325609181853,-8,16,4,1,-13,-14,2,-4
1573325609189974,3,-9,-2,-1,0,-27,7,-2
1573325609189974,-18,2,5,1,-7,43,14,24
1573325609196505,25,10,-1,2,63,5,-23,2
1573325609196505,-14,-21,-8,-2,-52,-35,-9,-8
1573325609213133,13,27,8,0,-41,21,26,17
1573325609213133,-24,-59,-8,-9,-19,-30,-45,-44
1573325609214110,10,52,7,-3,16,-6,-1,-28
1573325609214110,3,7,0,5,18,4,-4,20
1573325609226513,-26,-33,-3,-1,21,5,5,-18
1573325609226513,35,36,0,-6,-17,35,24,20
1573325609235265,-25,-26,-1,5,4,-33,-14,-13
1573325609235265,5,2,1,3,10,25,-4,0
1573325609249953,-7,-1,6,5,21,3,4,-8
1573325609249953,9,9,9,4,-46,-13,3,-13
1573325609256787,-8,-17,-9,-7,14,13,4,18
1573325609256787,-16,10,-7,-7,17,11,-6,-21
1573325609273196,12,-10,-3,-2,2,-18,2,9
1573325609273196,-8,11,0,-8,20,-11,-32,-2
1573325609274172,24,7,-2,2,0,8,11,3
1573325609274172,-21,-18,-3,-3,-16,10,4,1
1573325609295511,17,20,1,1,4,-7,-12,-1
1573325609295511,-8,-4,-1,0,15,19,26,9
1573325609296733,2,5,-1,2,2,-8,4,7
1573325609296733,3,-9,-2,-1,19,33,1,-4
1573325609309862,-8,4,0,-3,-11,-32,-12,4
1573325609309862,0,-8,-6,-4,-2,-3,13,-7
1573325609316472,3,0,5,4,7,11,3,7
1573325609316472,13,23,8,4,2,0,1,1
1573325609333197,-8,-43,-7,-4,-3,39,31,-1
1573325609333197,-4,15,3,-1,-5,-6,-29,-1
1573325609334139,-9,-11,3,3,1,-1,-7,-2
1573325609334139,-11,25,-5,-5,-8,-18,-2,0
1573325609355459,12,14,1,-6,-8,-3,-4,0
1573325609355459,-5,-39,4,15,37,11,14,0
1573325609357410,16,-5,-3,-1,-13,1,7,7
1573325609357410,-15,-4,2,2,20,2,-3,-5
1573325609370497,11,30,4,-3,-55,-16,-11,3
1573325609370497,8,4,-14,-9,-6,8,8,3
1573325609376391,-5,-1,12,4,9,-1,-7,-2
1573325609376391,-7,-5,0,-1,-17,-10,2,-3
1573325609393153,-3,-7,-10,-1,36,-3,-3,-2
1573325609393153,-4,-8,0,-3,-46,-23,0,0
1573325609394942,-17,0,5,7,-7,4,20,2
1573325609394942,15,7,-5,-2,4,-8,-11,-1
1573325609415569,-14,-36,-5,0,0,-7,-15,1
1573325609415569,37,16,-7,-3,4,8,15,3
1573325609417519,-12,10,-2,-3,16,2,-1,-3
1573325609417519,-3,-15,0,0,-5,8,7,-1
1573325609429649,-13,-2,3,3,12,10,-9,-2
1573325609429649,11,23,1,1,13,11,7,3
1573325609436366,-3,10,-4,-9,-43,-24,-11,-6
1573325609436366,-3,-36,-9,1,0,-8,-2,1
1573325609452735,-4,-3,-2,-2,-8,-2,-1,0
1573325609452735,1,8,6,-4,1,-2,1,1
