timestamp,x,y,z
1573325693475748,-22.625,120.813,-108.25
1573325693497345,0.625,126.75,-113.813
1573325693514469,-1.125,134.438,-121.625
1573325693536258,-11.4375,140.125,-130.875
1573325693556975,-11.25,144.875,-136
1573325693573416,-4.125,152,-128.563
1573325693596442,1.4375,155.5,-131.438
1573325693617655,0.375,158.188,-135.813
1573325693632767,3.5,160.75,-131.688
1573325693657922,-6.8125,161.375,-122.563
1573325693676987,-13.625,160.875,-115.5
1573325693693581,-11.5,156.688,-108.938
1573325693717117,-5.5625,146.938,-104.875
1573325693739034,1.9375,139,-104.375
1573325693753229,-1.0625,135.375,-103.5
1573325693776266,-4.9375,124.75,-91.875
1573325693798317,-9.625,111.938,-78.0625
1573325693820058,-18.8125,100.75,-69.5
1573325693836441,-15.4375,89.5,-57.3125
1573325693858437,-13.9375,77,-52.9375
1573325693872973,-12.6875,52.0625,-27.4375
1573325693896240,-13,32.25,-5.625
1573325693918471,-21.375,28,-20.625
1573325693933106,-15.125,21.1875,-14.625
1573325693956295,-8.4375,4.3125,5.125
1573325693979001,-14.6875,-8.25,0.9375
1573325694000218,-16.75,-8.75,-4.3125
1573325694016645,-15.6875,-5.75,0.75
1573325694039097,-10.5625,-9.125,5.5625
1573325694059601,-13,-16.1875,13.375
1573325694076250,-20.3125,-16.1875,21.125
1573325694098700,-20.375,-7.6875,9.75
1573325694120307,-12.375,-3.375,-5.25
1573325694135881,-9.9375,-9.8125,-6.625
1573325694158687,-3.4375,0.4375,-3.1875
1573325694180134,-12.25,1.4375,-2.125
1573325694196604,-6.5,6.125,0.75
1573325694219191,-7.9375,1.75,-0.1875
1573325694239678,2.5,1.6875,1.125
1573325694256063,1.6875,3.6875,1.5
1573325694278511,-2.125,6.1875,-3
1573325694300008,-1.1875,7.125,-2.625
1573325694316733,-2.4375,8.3125,-1.25
1573325694346050,-6.125,8.125,4.4375
1573325694359753,-11.125,10.25,11.75
1573325694376119,-9.5,10.625,15.9375
1573325694398572,-4.75,10.75,20.4375
1573325694420175,-6.875,6.125,30.3125
1573325694435751,-10.1875,0.75,43.9375
1573325694459069,-10.5625,-15.1875,62.875
1573325694479685,-7.625,-29.1875,89.5625
1573325694496160,-16.6875,-40.0625,97.375
1573325694518605,-20.5,-47.8125,95.9375
1573325694540077,-19.0625,-50.75,100.063
1573325694556300,-14.9375,-49.75,85.0625
1573325694578747,0.9375,-39.4375,66.375
1573325694599245,15.9375,-25.1875,52.125
1573325694614859,16.3125,-16.1875,36.5
1573325694638499,4.125,-8.25,20.6875
1573325694661347,-9.6875,1.3125,10.4375
1573325694675010,-14.5625,5.375,4.1875
1573325694698574,-10.0625,5.5625,-2.25
1573325694728690,1.0625,4.8125,-2.6875
1573325694736498,7.625,4.75,-4.3125
1573325694758544,8.4375,4.9375,-3.75
1573325694781107,3.4375,1.6875,0.8125
1573325694795861,-0.125,-0.8125,0.5625
1573325694819020,0.1875,-1.125,2.9375
1573325694841469,7.0625,-4.5625,4.625
1573325694855513,15.6875,-8.1875,5.8125
1573325694878556,18.5625,-15.8125,11.9375
1573325694901980,2.1875,-29.125,17.125
1573325694922485,-10.3125,-45.6875,24.5625
1573325694939200,15.8125,-69.25,30.3125
1573325694961516,39.5625,-94,35.3125
1573325694982307,26.75,-103.125,44.3125
1573325694998605,6.5625,-111,61.5
1573325695021172,-11.5,-131.688,74.5625
1573325695042524,-6.125,-152.5,86.625
1573325695059226,21.4375,-168.688,105.25
1573325695081386,48.125,-178.938,111.625
1573325695102173,61.5,-180.563,115.813
1573325695118761,45.25,-169.75,123.813
1573325695141243,16.4375,-158.25,116.688
1573325695162156,4.9375,-142.063,88.6875
1573325695178647,-15.8125,-130.25,99.9375
1573325695206904,-33.1875,-146.313,109.188
1573325695222596,8.875,-159.25,106.563
1573325695239335,51.125,-145.25,91.125
1573325695261249,41.625,-122.625,88.3125
1573325695282928,11.6875,-117.625,83.625
1573325695299039,-11.625,-113.188,73
1573325695322585,-14.1875,-101.313,68.3125
1573325695342006,-38.375,-88.625,59.0625
1573325695358732,-43.125,-82.0625,55.4375
1573325695381237,-23.125,-77,49.375
1573325695402653,27.0625,-72.4375,37.75
1573325695419244,60.75,-60.6875,37.5625
1573325695441241,41.5625,-35,1.625
1573325695462516,22.3125,-1.8125,5.5625
1573325695478973,21.875,6.25,-11.6875
1573325695501418,17.4375,4.0625,-1.375
1573325695521951,38.1875,-3.75,2.375
1573325695538504,49.4375,-4.5,6.625
1573325695561863,51.9375,0.9375,13.5625
1573325695582365,61.125,0.9375,14.25
1573325695597978,55.6875,0.3125,10
1573325695621405,36.625,0.5,5.0625
1573325695643888,9.4375,-0.9375,3.5625
1573325695658091,-8.875,-2.625,1.8125
1573325695681513,-14.5625,-2.375,-3
1573325695704006,-12.3125,0.9375,-3.8125
1573325695718602,-5,1.5,-3.25
1573325695741069,-2.75,-0.375,-1.5625
1573325695765046,-6.9375,-0.6875,-1.25
1573325695777760,-10.0625,-1.1875,-2.5625
1573325695802134,-13.125,-1.125,-1.0625
1573325695823604,-14.1875,-2,-0.625
1573325695838245,-11.1875,-1.5625,-0.9375
1573325695867534,-4.25,-0.125,-0.25
1573325695884225,4.9375,-1.4375,-0.4375
1573325695897787,4.125,-1.6875,0.3125
1573325695921208,1.25,-0.9375,0
1573325695943742,0.6875,-0.25,0.75
1573325695965120,2.5625,0,1.375
1573325695980877,5.25,1.1875,0.375
1573325696003081,5.4375,1.3125,1.375
1573325696024553,6.6875,0.125,1.0625
1573325696041146,3.8125,0.5625,0.25
1573325696063663,-0.625,1.25,-0.25
1573325696084230,-1.625,0.875,-0.8125
1573325696100992,-0.375,-1,0.625
1573325696123330,1.75,-0.5,0
1573325696144671,0.4375,0.5,-0.25
1573325696161288,-1.1875,-2.75,0.6875
1573325696183791,-2.125,-5.5625,1.3125
1573325696204396,-0.3125,-3,0.25
1573325696220843,-1.625,-0.125,-0.0625
1573325696243252,0.6875,0.375,0.5
1573325696265203,1.3125,-1.0625,1
1573325696281319,1.8125,-1.75,0.75
1573325696304062,0.625,0.5625,0.25
1573325696324255,1.625,0.4375,0.3125
1573325696341050,3.25,-0.875,0.3125
1573325696363886,0.25,-0.625,0.5625
1573325696392457,-2.75,0.6875,-0.0625
1573325696401176,-0.75,1.5,0.125
1573325696423556,5.25,-0.75,0.125
1573325696445063,3.5,-0.25,0.25
1573325696461133,-1.875,1.625,-0.75
