timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1573323788559583,-9,3,-9,-20,24,-3,-4,-10
1573323788559583,-75,-16,-12,7,-31,-9,-7,-4
1573323788567389,-13,1,1,-21,1,-2,-4,-1
1573323788567389,-10,-3,-4,-11,6,0,-3,4
1573323788576170,18,-6,-14,-9,-22,-4,-3,-10
1573323788576170,-16,-10,-10,-11,8,0,2,-20
1573323788589835,9,-7,-2,-9,-22,-9,-6,-24
1573323788589835,7,15,9,13,5,3,-3,-4
1573323788596667,30,2,2,-7,47,2,2,19
1573323788596667,-98,-10,1,6,24,-7,-4,3
1573323788613259,100,29,-5,-11,-65,-6,-4,17
1573323788613259,-44,-15,-2,-24,15,-4,-4,-25
1573323788615210,32,8,8,40,2,5,1,-7
1573323788615210,-3,-3,-8,-26,-16,5,4,-4
1573323788626946,-22,-8,-5,-7,39,1,0,53
1573323788626946,-32,12,5,20,44,-1,-3,5
1573323788635708,-12,-1,-3,-15,-50,-3,0,39
1573323788635708,57,8,17,5,-62,-1,2,24
1573323788650346,-9,-12,3,20,59,6,-1,-11
1573323788650346,30,9,-8,-12,-10,-2,1,4
1573323788657184,-7,-30,7,-9,-12,0,1,-30
1573323788657184,21,24,-10,7,18,3,5,-3
1573323788673770,-41,13,7,0,-1,-4,1,-18
1573323788673770,104,2,17,9,-13,4,-2,-16
1573323788675722,2,8,-10,6,-3,-2,-4,-15
1573323788675722,-98,1,0,-14,10,-9,-9,-22
1573323788696217,5,-21,0,0,0,3,1,-14
1573323788696217,-2,10,-10,-18,-26,-2,0,24
1573323788697193,-4,3,-5,21,24,1,4,22
1573323788697193,-24,-8,-3,-13,-12,1,-1,11
1573323788709881,18,10,9,14,15,-1,-6,-16
1573323788709881,-9,-4,-2,-8,-41,2,3,-17
1573323788718669,-33,-10,0,11,6,1,-4,6
1573323788718669,30,5,6,0,14,0,0,-1
1573323788733311,19,-1,-4,3,-11,2,3,1
1573323788733311,-8,-16,-13,-16,-22,-1,4,-14
1573323788735259,24,6,5,-12,-11,-5,1,-20
1573323788735259,20,10,11,18,15,1,-2,3
1573323788755753,-53,-22,-5,-17,-20,0,-3,9
1573323788755753,7,2,-3,-5,-1,-5,1,-16
1573323788757706,-11,-1,-5,3,23,6,-4,31
1573323788757706,-12,-9,4,41,47,12,4,-11
1573323788771369,79,13,2,3,-3,-2,0,11
1573323788771369,-68,3,1,-18,-3,-5,-7,-32
1573323788778205,12,2,9,4,6,1,4,0
1573323788778205,-61,-24,-9,-8,-10,-3,-3,-12
1573323788792841,10,7,-9,-2,0,0,-1,-5
1573323788792841,-21,-12,-7,4,9,-1,-1,-25
1573323788794795,-11,8,8,-6,-21,-2,3,27
1573323788794795,57,14,-3,-7,1,-1,-2,-31
1573323788816267,18,-3,16,14,11,-2,4,-36
1573323788816267,21,8,2,6,-4,0,0,6
1573323788817246,-11,3,3,0,7,1,1,17
1573323788817246,-2,-19,-22,-18,-35,-1,4,55
1573323788829931,-7,2,-6,15,3,-5,-2,38
1573323788829931,-9,3,12,5,12,0,-4,13
1573323788846525,1,-10,-9,-9,-23,-1,-4,12
1573323788846525,14,6,-7,-19,-25,0,4,17
1573323788854355,9,-1,-6,4,3,2,1,22
1573323788854355,9,6,18,30,28,1,-3,-13
1573323788855307,8,9,-6,-6,-6,-3,2,-1
1573323788855307,-27,-22,-11,-9,-5,-3,-3,-5
1573323788875804,-9,9,4,-2,-10,-5,-5,-3
1573323788875804,26,-8,-7,-5,-2,7,7,11
1573323788877756,18,5,3,7,25,-1,-1,-9
1573323788877756,-55,3,6,22,6,0,1,31
1573323788889490,-2,-25,-19,-23,-7,-4,-1,4
1573323788889490,10,7,-4,-11,3,4,-1,-18
1573323788898252,31,-2,6,25,-9,-2,1,4
1573323788898252,3,-9,-7,-6,-2,0,2,-20
1573323788913868,-22,-5,2,-7,3,-1,3,-6
1573323788913868,-10,14,11,9,13,-3,-6,-17
1573323788914844,22,8,-5,-10,-24,-5,-4,0
