timestamp,x,y,z
1573323798882148,-5.5625,198.563,-68.9375
1573323798902647,-8.25,205.438,-66.5625
1573323798918262,-1.6875,208.75,-63.125
1573323798941684,-0.5,212.25,-58.5625
1573323798963154,4.25,207.375,-53.8125
1573323798978770,7.6875,199.188,-49.8125
1573323799001217,12.25,188.938,-42.6875
1573323799022688,3.875,178.875,-32.75
1573323799046117,0.9375,166.375,-20.125
1573323799047088,-3.9375,159.5,-12.875
1573323799066613,-11.875,144.438,-10.1875
1573323799091011,-6.3125,133.125,-6.1875
1573323799107601,-0.75,121.875,-1.5
1573323799127256,-8.5625,106.5,1.375
1573323799149706,-14.4375,96.125,-0.25
1573323799166297,-17.6875,80.875,1.9375
1573323799186793,-15.5,67.9375,0.625
1573323799209246,-2.3125,55.0625,-3.25
1573323799225668,3.3125,47.625,-2.375
1573323799247161,-9.5,39.5625,-8.3125
1573323799269614,-10.5625,32.375,-12
1573323799286179,2.8125,13.6875,-12.6875
1573323799306687,16.4375,-5.1875,-11.875
1573323799329652,18.375,-17.0625,-8.9375
1573323799346237,3.0625,-15.75,-1.0625
1573323799366740,-0.5625,-11.9375,0.25
1573323799389188,1.5625,-5.5625,-3.25
1573323799413583,5.3125,-5.6875,-4.9375
1573323799426829,9.625,-8.25,-7.9375
1573323799452175,10,-11.375,-9.625
1573323799464875,13.625,-11.4375,-10
1573323799487551,15.875,-11.9375,-13.5
1573323799509915,18.9375,-12.625,-14.6875
1573323799526355,17.1875,-12.375,-14.8125
1573323799554832,16.625,-12,-14.3125
1573323799569301,16.8125,-17.4375,-14.1875
1573323799585891,24.25,-20.6875,-12.375
1573323799607362,31.0625,-19.1875,-8.875
1573323799629812,25.5,-19.1875,-8.5625
1573323799646400,19.1875,-25.6875,-6.375
1573323799666930,20.4375,-34.3125,0.4375
1573323799691296,13.375,-35.625,2.625
1573323799705936,19.25,-42.625,6.6875
1573323799727668,15.4375,-44.125,8.25
1573323799750136,19.75,-51.4375,3.25
1573323799765492,17.25,-54.125,0.125
1573323799787227,15.3125,-53.8125,-0.875
1573323799809973,10.75,-50.25,-0.25
1573323799826271,0.375,-43.375,1.625
1573323799847025,2.5625,-39.875,4.5
1573323799869430,6.3125,-41.25,9.875
1573323799887757,10.8125,-44.625,10.5
1573323799907279,14.75,-43.75,8.625
1573323799929947,6.8125,-34.375,10.5625
1573323799947295,-5.3125,-25.4375,11
1573323799967015,-11.4375,-25.25,8.3125
1573323799989270,-4.75,-27.75,7
1573323800007804,6.5625,-25.3125,5.6875
1573323800027360,5.6875,-21,6.875
1573323800049770,-5.5625,-18.875,11.9375
1573323800067338,-11.6875,-23.1875,13.625
1573323800086900,-9.5625,-29.6875,11.8125
1573323800111261,-9.625,-38.875,17
1573323800127850,-9.4375,-53.0625,16.4375
1573323800154201,-1.625,-62.6875,14.6875
1573323800169819,-3.625,-60.5625,18.625
1573323800187389,0.5,-57.9375,31.1875
1573323800214715,-4.25,-61.875,38.125
1573323800229353,3.875,-71.375,41.375
1573323800246921,14.8125,-89,44.75
1573323800267419,21.8125,-107.625,52
1573323800289868,31.625,-119.063,60.8125
1573323800307444,27.5,-121,73.6875
1573323800327038,22.8125,-124.688,79.8125
1573323800349404,8.625,-135.5,88.9375
1573323800366973,3.4375,-136.625,89.6875
1573323800387466,6.75,-137.125,88.0625
1573323800412841,16.375,-141.563,89.125
1573323800427482,20.75,-143.063,89.0625
1573323800447006,16.125,-132.5,85.5
1573323800469475,1.1875,-125,79.5625
1573323800487023,-14.125,-122.625,74.3125
1573323800507520,-15.5625,-119,70.375
