timestamp,x,y,z
1573324507457781,-13.9375,191.438,-83.25
1573324507480197,-20.5625,202.25,-84.9375
1573324507496791,-21.6875,207.25,-84.5625
1573324507517996,-10.6875,206.063,-87.875
1573324507534599,6,205.75,-81.4375
1573324507556940,18.8125,205.813,-71.0625
1573324507577769,13.1875,205.625,-67.75
1573324507594100,12.6875,193.438,-64
1573324507616414,6.1875,175.938,-44.5625
1573324507637712,-11.125,181,-52.3125
1573324507653921,0.1875,179.625,-55.375
1573324507677915,20.75,163.25,-62.4375
1573324507698155,18.25,155.75,-59.125
1573324507714590,-12.125,150.688,-30.875
1573324507738614,-36.75,142,-29.4375
1573324507758128,-34.6875,132.813,-15
1573324507774489,-28.9375,113.063,-2.4375
1573324507797567,-25.3125,92.625,0.4375
1573324507818242,-24.4375,78.375,3.3125
1573324507833579,-21.8125,62.8125,11.8125
1573324507857068,-25.9375,48.8125,7.5625
1573324507877725,-19.375,30.75,5.0625
1573324507894136,-10.5625,10.5,2.0625
1573324507916906,-4.5625,-7.8125,-8.25
1573324507939587,17.125,-21.8125,-8.3125
1573324507954125,27.75,-34.25,-0.8125
1573324507976798,19.125,-41.375,1.25
1573324507999686,13.125,-44.1875,-4.25
1573324508013416,17.25,-46.5625,-12.5625
1573324508037139,22.5,-50.4375,-10.5625
1573324508059628,22.8125,-54.0625,-0.9375
1573324508073290,20.6875,-54.25,2
1573324508096783,25.25,-47.0625,-0.5625
1573324508126971,22.8125,-38.8125,-3.75
1573324508140718,14.1875,-32.9375,2.3125
1573324508156876,6.25,-20.9375,-0.9375
1573324508179316,7.9375,-5.1875,-5.625
1573324508200797,7.1875,10.1875,-8.5
1573324508216456,-6.4375,24.6875,-5.6875
1573324508239834,-21.1875,34.3125,-1.625
1573324508260947,-23.5625,40.1875,7.0625
1573324508276553,-20.0625,44.0625,5.75
1573324508299468,-18.1875,46.875,7.375
1573324508320512,-24.6875,47.3125,13.25
1573324508337064,-32.625,43.5625,20.125
1573324508358974,-34.0625,38.5,18.375
1573324508380695,-29.25,35.9375,12.8125
1573324508396981,-23.0625,31.875,11.5625
1573324508419429,-20.1875,23.3125,10.8125
1573324508440898,-14.1875,12.4375,7.75
1573324508457083,-10.125,3.375,-3.25
1573324508479529,6.4375,-9.3125,-7.4375
1573324508501002,19.9375,-21.125,-5.5
1573324508516616,23.5,-30.125,-3
1573324508539180,22.8125,-35.125,-3.1875
1573324508560349,21.1875,-39,-6.75
1573324508576846,22.875,-45.4375,-6.4375
1573324508599292,23.1875,-52.25,-0.8125
1573324508619788,21.75,-56.1875,3.9375
1573324508636381,22.4375,-53.9375,-3.375
1573324508658834,25.5,-42.0625,-9.5
1573324508680395,21,-30.0625,-8.0625
1573324508697139,11.25,-21.625,-1.6875
1573324508720319,7.0625,-11.9375,0.125
1573324508740813,5.25,3.8125,-2.9375
1573324508756429,-2.25,16.8125,-1
1573324508778877,-12.5,28.0625,2.3125
1573324508800372,-17.875,37.5625,6.6875
1573324508815967,-20.125,44.0625,9.5625
1573324508839546,-21.6875,50.5625,8.25
1573324508860032,-24.8125,56.25,3.5
1573324508876477,-25.3125,56.8125,9.0625
1573324508898932,-26.0625,52.875,6.4375
1573324508921551,-21,49.4375,5.5625
1573324508936012,-18.9375,45.25,4.9375
1573324508959154,-17.875,37.5625,3.125
1573324508981710,-13.4375,23.6875,2.6875
1573324508996243,-10.0625,4.9375,0
1573324509019668,8.25,-18.5625,-2.5
1573324509042114,21.6875,-30.5625,-5
1573324509056522,24.375,-34.4375,-2.5
1573324509079457,20.9375,-40.0625,-5.9375
1573324509101321,25.3125,-41.1875,-7.5625
