timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1573324798479578,-5,-4,-7,9,11,0,1,-2
1573324798479578,-17,13,-12,-4,-3,-1,-4,-8
1573324798480552,-5,9,-7,-13,-12,-3,0,4
1573324798480552,-1,-50,-16,-11,1,-5,-6,-13
1573324798502105,-33,-13,2,3,-5,3,2,-1
1573324798502105,88,19,-2,1,-6,-1,2,8
1573324798502996,-20,17,5,1,0,-1,-2,-9
1573324798502996,-18,7,-2,5,1,4,6,-2
1573324798516661,-4,-1,-8,-7,-2,-3,-2,-4
1573324798516661,-22,-12,7,6,2,-2,2,8
1573324798517638,10,26,9,5,7,2,-3,-7
1573324798517638,18,8,-2,2,-3,-5,-4,-2
1573324798539669,-59,-50,-6,1,-7,1,0,1
1573324798539669,74,9,-7,-19,-40,-12,-6,1
1573324798540634,-11,16,7,9,39,6,8,10
1573324798540634,71,38,-17,-13,-7,-2,-7,-23
1573324798563886,15,7,9,5,9,3,4,5
1573324798563886,-22,-18,2,4,-3,1,3,-2
1573324798563886,39,18,-12,-10,-27,-5,-2,4
1573324798563886,-32,-10,8,0,1,2,3,11
1573324798577497,1,15,11,11,4,-2,-1,-6
1573324798577497,40,-4,7,1,4,0,-1,11
1573324798577497,-86,-28,-14,-9,-13,-6,-6,-22
1573324798577497,-49,-15,5,1,2,0,3,18
1573324798607975,-42,6,-6,-6,-24,-2,-2,-8
1573324798607975,0,8,-11,2,26,-3,-5,1
1573324798608953,7,-23,-12,-19,-29,-3,-4,0
1573324798608953,95,32,3,4,24,-7,-6,-6
1573324798622216,-53,-32,14,1,-1,1,4,11
1573324798622216,-3,4,-3,-7,-41,-3,-3,-12
1573324798623191,64,-23,-4,11,40,-2,-6,-4
1573324798623191,28,14,-2,-1,-4,0,3,11
1573324798637015,-24,-18,-1,7,10,0,0,3
1573324798637015,10,7,-4,-8,-26,-2,0,-6
1573324798637798,16,6,4,-2,-5,-1,1,-2
1573324798637798,-81,-40,1,-1,10,6,4,6
1573324798659867,53,1,-9,-4,7,-3,-4,-1
1573324798659867,26,10,-2,-2,7,-5,-9,-10
1573324798660912,-6,-37,-5,-5,-5,3,0,-5
1573324798660912,-8,37,9,4,-5,-2,-2,2
1573324798682581,15,-2,-6,-11,2,-4,3,2
1573324798682581,-74,-12,0,7,12,5,-3,2
