timestamp,x,y,z
1573325045433248,-26.8125,122.75,-96.1875
1573325045447208,-19.5625,131.5,-101.5
1573325045470385,-21.5625,139.938,-105.625
1573325045492871,-17.125,148.563,-105.938
1573325045513904,-16.8125,151.5,-111.75
1573325045530013,-9.125,151.438,-113
1573325045552633,-4.3125,150.438,-108.25
1573325045581735,-3.625,149.875,-103.875
1573325045590520,-9.0625,143.875,-101.438
1573325045613239,1.0625,135.438,-96.5625
1573325045633379,-12.25,132.563,-88.6875
1573325045650197,-19.125,130.5,-76.875
1573325045672709,-6.6875,119.25,-61.5
1573325045693833,-7,103.563,-47.1875
1573325045710651,-13.625,92.75,-44.0625
1573325045733154,-13.625,80.125,-37.9375
1573325045754256,-17.8125,63.1875,-23
1573325045772547,-21.0625,44.5625,-12.8125
1573325045800868,-19.9375,34.0625,-12.1875
1573325045813691,-12.375,23.75,-11.9375
1573325045830787,-10.3125,15.8125,-10.1875
1573325045853207,-16.625,10.1875,-10.875
1573325045874439,-24.875,1.9375,-14.5
1573325045889881,-17.875,-10.6875,-19.125
1573325045913022,-1.4375,-17.125,-22.875
1573325045935828,28.6875,-5.0625,-20.875
1573325045950784,1.5625,8.1875,-15.25
1573325045973260,10,1.8125,1.125
1573325045994328,78.4375,-17,5.3125
1573325046010593,127.688,-26.0625,8.0625
1573325046032788,113.063,-24.6875,8.1875
1573325046054266,57.5,-18,-3.5625
1573325046070562,-36.5,3.1875,6.1875
1573325046093012,-80.375,7,3
1573325046113514,-22.375,-16.25,-9.5
1573325046130160,48.8125,-22.5625,-0.3125
1573325046153174,41.0625,-8.6875,11.3125
1573325046181909,-18.125,2.125,4.5625
1573325046189642,-49.75,7.6875,3.5625
1573325046213063,-48.8125,9.1875,2.4375
1573325046235510,-34.5,5.375,1.3125
1573325046250150,-28.25,4.5625,-3
1573325046272949,-31.875,11.625,-5.75
1573325046295050,-46.9375,21.6875,-7.4375
1573325046309628,-60.875,19.25,-11.25
1573325046333353,-52.8125,10.0625,-16.375
1573325046355292,-46.375,2.875,-15.0625
1573325046376774,-28.75,4.3125,-17.3125
1573325046393359,-22.8125,8.125,-3.4375
1573325046415816,-17.9375,2.5,1.0625
1573325046430143,-3.3125,-4.9375,4.25
1573325046452856,12.75,-6.8125,-0.5625
1573325046475044,25.75,-5.625,3.75
1573325046496765,10.0625,-5,7.25
1573325046513198,21.4375,-10.625,9.3125
1573325046535648,33,-13.25,17.9375
1573325046556301,66.125,-21.0625,24
1573325046572734,92.5,-21.25,17.5
1573325046595640,75.5,-17.5,12.25
1573325046616250,56.125,-12.0625,11.875
1573325046632940,13.5,-7.9375,5.875
1573325046655527,-40.1875,5.25,7.625
1573325046675786,-55.875,1.75,1.8125
1573325046692673,-20.375,-8.75,-3.125
1573325046715361,3.5625,-5.5625,-0.4375
1573325046736583,-16.1875,7.0625,4.6875
1573325046753544,-47.9375,15.375,0.375
1573325046784407,-64.8125,16,-11.125
1573325046798078,-56.375,7.8125,-19.125
1573325046812887,-37.3125,4.5625,-24.75
1573325046835253,-24.8125,11.5625,-12.1875
1573325046857702,-37.0625,18.125,1.125
1573325046872343,-44.875,16.3125,-11.1875
1573325046895767,-40.625,8,-18.8125
1573325046916884,-29.625,5.625,-11.875
1573325046933112,-17.3125,4.1875,-2.125
1573325046955560,-9.4375,4.4375,3.375
1573325046976056,-5.25,2.5625,0.875
1573325046992647,11.125,-1.1875,-0.8125
1573325047015483,28.6875,-6.0625,-0.1875
1573325047043785,31.0625,-8.5,0.625
1573325047052570,43.625,-10.0625,12.625
1573325047075017,67.6875,-10.1875,20.25
1573325047096496,75.75,-13.1875,13.4375
1573325047112364,73.3125,-10.25,7.75
1573325047135601,63.125,-11.625,9.625
1573325047156098,56.625,-12.875,9.25
1573325047172687,29.375,-5.9375,5.875
1573325047195480,-30.1875,3.875,3
1573325047218558,-53.875,0.5,-2.6875
1573325047232223,-16.9375,-9.0625,-2.625
1573325047255646,13.125,-15.3125,-3.5625
1573325047278097,1.0625,-9.75,-5.0625
1573325047292804,-30.5625,0.0625,-4.8125
1573325047323372,-47.4375,2.1875,-9.6875
1573325047337961,-39.625,-1,-16
1573325047352151,-21.4375,-5.5625,-15
1573325047375581,-14.625,-4.5625,-12.5
1573325047398194,-22.4375,1,-8.6875
1573325047418517,-34.3125,-0.125,-10.5
1573325047435176,-27.75,-9.5625,-17.125
1573325047457911,-10.5,-15.375,-9
1573325047480876,5.9375,-12.8125,1.75
1573325047495634,12.3125,-12.5,5.1875
1573325047517868,7.5,-13.0625,3.3125
1573325047539240,1.9375,-15.0625,3.5
1573325047555307,5.5625,-16.9375,4.75
1573325047585245,9.0625,-18.0625,6.625
1573325047598772,9.125,-19.3125,7.9375
1573325047615683,7.125,-23.0625,10.4375
1573325047645543,7.8125,-28.8125,13.125
1573325047659139,13.0625,-38.5625,16.4375
1573325047675681,19.1875,-52.125,21.1875
1573325047698130,24.5,-66.8125,27.875
1573325047721595,29.75,-83.0625,36.625
1573325047735216,36.6875,-100,46.625
1573325047757665,48.4375,-116.25,57
1573325047779139,60,-131.438,69.3125
1573325047801588,64.0625,-146.438,88.9375
1573325047818175,55.8125,-157.875,109.063
1573325047838705,50.625,-160.188,108.25
1573325047856241,50.75,-155.563,101.5
1573325047878687,51.5,-148.375,113
1573325047899219,40.875,-137.75,118.438
1573325047915776,5.0625,-120.063,122.625
1573325047938224,-6.875,-96.625,118.375
1573325047958756,23.4375,-88.625,105.813
1573325047975314,76.4375,-82,91.5
1573325047997761,106.125,-82.25,93.25
1573325048018988,96.9375,-82.5,100
1573325048035037,66.375,-70.625,102.188
1573325048057914,64,-60,92.625
1573325048079386,75.5,-59.125,77.5625
1573325048095003,64.25,-55.0625,66
1573325048118226,42.4375,-50.8125,57.6875
1573325048140745,30.6875,-46.5,52.5625
1573325048155228,30.625,-44,44.5
1573325048162134,26.1875,-39.5625,37.25
1573325048183649,17.625,-34.3125,31.6875
1573325048206209,12.4375,-29.9375,27.6875
1573325048222588,13.875,-28,23.25
1573325048243084,13.625,-24.6875,22.75
1573325048265539,18.875,-21.75,22.6875
1573325048282216,20.6875,-19.625,21.6875
1573325048303814,29.1875,-17.1875,20.5
1573325048328972,49.8125,-7.625,8.0625
1573325048342704,41.0625,5.1875,0.25
1573325048363240,11.75,4,0.8125
1573325048385894,-3.4375,-2.625,-0.0625
1573325048402366,-1.5625,-3.3125,1.125
1573325048423122,14.125,-1.125,2.1875
