timestamp,Pitch,Roll,Yaw
1573325226248047,0.0931373,0.959805,-0.893397
1573325226264896,0.162833,0.955126,-0.869218
1573325226287688,0.234552,0.955876,-0.843796
1573325226308247,0.305534,0.960459,-0.816832
1573325226325080,0.375224,0.96744,-0.78899
1573325226347639,0.443634,0.975502,-0.758399
1573325226368358,0.509676,0.986204,-0.726014
1573325226385068,0.571615,0.996755,-0.692336
1573325226407234,0.628692,1.00756,-0.65829
1573325226428616,0.680973,1.01787,-0.625461
1573325226450979,0.72731,1.03247,-0.592424
1573325226467386,0.766043,1.04679,-0.562198
1573325226488373,0.800308,1.06186,-0.531906
1573325226504092,0.828277,1.07513,-0.504719
1573325226527710,0.85114,1.08422,-0.484712
1573325226547984,0.865737,1.09094,-0.470246
1573325226564297,0.874198,1.09257,-0.463596
1573325226587692,0.883331,1.08737,-0.460821
1573325226608440,0.892651,1.08826,-0.460054
1573325226624292,0.904989,1.09388,-0.455492
1573325226646969,0.919379,1.08821,-0.460169
1573325226670045,0.929127,1.10719,-0.467826
1573325226683710,0.932022,1.15231,-0.469058
1573325226707497,0.928821,1.202,-0.460308
1573325226730122,0.926285,1.23795,-0.450833
1573325226743881,0.924953,1.25695,-0.445398
1573325226767603,0.921483,1.26282,-0.429443
1573325226789649,0.925832,1.25527,-0.409099
1573325226803929,0.937097,1.24366,-0.401079
1573325226827323,0.942746,1.24545,-0.399075
1573325226849771,0.941604,1.252,-0.396362
1573325226871274,0.940261,1.25032,-0.389325
1573325226886919,0.943717,1.23639,-0.380235
1573325226909348,0.952886,1.21554,-0.376604
1573325226930863,0.963236,1.194,-0.38106
1573325226947409,0.97021,1.1793,-0.385551
1573325226969857,0.973536,1.16862,-0.385892
1573325226991333,0.977869,1.15214,-0.385795
1573325227007578,0.986808,1.13178,-0.388375
1573325227030428,0.994358,1.11059,-0.392797
1573325227050524,0.999204,1.0922,-0.39768
1573325227067115,1.00263,1.08312,-0.400752
1573325227089562,1.00478,1.09074,-0.401727
1573325227111101,1.00745,1.09756,-0.407486
1573325227127626,1.00919,1.10304,-0.418058
1573325227156908,1.00611,1.12175,-0.425175
1573325227170749,0.999276,1.15002,-0.426035
1573325227187226,0.991556,1.17354,-0.424683
1573325227209620,0.988385,1.19496,-0.423714
1573325227230907,0.988528,1.21627,-0.4221
1573325227247542,0.986624,1.23501,-0.421859
1573325227269935,0.978068,1.2528,-0.420606
1573325227290431,0.972259,1.25892,-0.411227
1573325227314389,0.972815,1.24329,-0.403142
1573325227330129,0.976433,1.22031,-0.407745
1573325227351477,0.977847,1.20689,-0.415412
1573325227367093,0.975198,1.20244,-0.414
1573325227389664,0.979957,1.19263,-0.407881
1573325227411210,0.992433,1.17904,-0.402838
1573325227427650,1.006,1.16142,-0.404201
1573325227450095,1.01505,1.14424,-0.406304
1573325227470590,1.02402,1.13346,-0.402399
1573325227487183,1.0333,1.12159,-0.39695
1573325227510167,1.0425,1.10465,-0.397228
1573325227530664,1.04806,1.08636,-0.398264
1573325227546391,1.05164,1.07028,-0.400258
1573325227569702,1.05431,1.05761,-0.402242
1573325227592151,1.05646,1.04993,-0.402684
1573325227606524,1.05697,1.04718,-0.404866
1573325227629981,1.05493,1.05616,-0.406441
1573325227652375,1.0515,1.07456,-0.406143
1573325227666943,1.05067,1.087,-0.41003
1573325227696222,1.04819,1.10301,-0.412327
1573325227711880,1.04261,1.13435,-0.406361
1573325227726520,1.03513,1.16974,-0.39675
1573325227757751,1.03046,1.19958,-0.38654
1573325227772390,1.02626,1.23209,-0.369157
1573325227787031,1.02168,1.26757,-0.350909
1573325227809584,1.01235,1.28545,-0.344948
1573325227832432,1.00401,1.28632,-0.334201
1573325227853433,1.00447,1.27354,-0.321871
1573325227869991,1.01088,1.27191,-0.316386
1573325227898296,1.01106,1.27835,-0.317714
1573325227912938,1.00653,1.28156,-0.314994
1573325227929695,1.0049,1.27034,-0.309539
1573325227960760,1.01048,1.25077,-0.305557
1573325227962712,1.02038,1.2305,-0.30727
1573325227980386,1.02967,1.218,-0.311385
1573325227994996,1.03746,1.21366,-0.309319
1573325228017991,1.0459,1.20423,-0.301232
1573325228040440,1.06065,1.18631,-0.298602
1573325228055078,1.07531,1.16402,-0.306076
1573325228077528,1.08383,1.15024,-0.314236
1573325228099740,1.08853,1.14975,-0.318772
1573325228115356,1.09313,1.15246,-0.325146
1573325228138043,1.09479,1.15206,-0.332399
1573325228160535,1.09578,1.14845,-0.34065
1573325228175885,1.09611,1.14476,-0.34873
1573325228198328,1.0945,1.13998,-0.356738
1573325228220623,1.09171,1.13174,-0.366848
1573325228235304,1.08879,1.12234,-0.379534
