timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1573325362546181,-1,2,5,10,-1,1,1,0
1573325362546181,-3,-4,-6,-5,22,1,-1,-1
1573325362547155,2,-7,-10,-8,-23,15,2,4
1573325362547155,-5,-4,-5,-9,-17,-29,-2,-2
1573325362560819,4,5,8,13,13,5,0,5
1573325362560819,-5,1,1,-6,-33,-12,-2,0
1573325362561448,1,1,0,-1,-17,6,0,-1
1573325362561448,2,4,2,8,63,17,1,1
1573325362583323,-4,0,0,4,51,14,5,-1
1573325362583323,-4,-8,-4,-8,-81,-19,4,-5
1573325362584244,-6,-1,0,0,-14,-1,-5,-6
1573325362584244,8,0,-5,-6,28,6,-10,4
1573325362605792,-1,2,3,9,12,-3,-4,-6
1573325362605792,6,0,-4,0,5,-15,-8,13
1573325362606808,-12,-7,-6,2,34,-24,0,-11
1573325362606808,5,2,1,-2,-33,28,7,9
1573325362620402,4,4,5,4,36,24,13,2
1573325362620402,1,0,-1,-10,-59,-30,-23,0
1573325362621314,-3,-1,-4,-7,-59,59,31,1
1573325362621314,2,-1,-2,-2,-1,-69,-44,-3
1573325362642786,-3,0,6,4,55,3,-10,0
1573325362642786,1,8,10,2,-20,-61,31,-2
1573325362644224,-1,-1,-2,-2,17,11,-15,-2
1573325362644224,-12,-15,-14,-6,-14,-83,43,4
1573325362665878,0,-7,-10,-8,35,65,-15,-3
1573325362665878,-11,-2,4,5,11,33,-16,-5
1573325362666824,2,4,4,5,-18,13,10,-1
1573325362666824,-7,2,2,-3,15,-5,11,-6
1573325362681104,3,-2,-4,-4,-24,50,32,6
1573325362681104,-5,-2,-3,6,70,-63,-46,-6
1573325362682138,-1,2,-1,-1,64,17,-5,-3
1573325362682138,-3,1,-1,0,-42,12,-8,1
1573325362702623,-1,-9,-12,-15,-120,-51,-6,-3
1573325362702623,0,7,4,-4,-8,45,13,-3
1573325362703645,12,11,14,12,21,-9,-5,3
1573325362703645,-20,-3,-1,1,26,24,-3,4
1573325362726047,-19,-10,-5,1,25,-34,-6,-14
1573325362726047,1,-6,-6,-1,35,26,12,5
1573325362727023,5,-1,-4,-1,-34,-40,-6,-3
1573325362727023,5,0,1,-2,11,46,18,0
1573325362740715,3,2,0,0,-26,-3,19,-25
1573325362740715,3,2,0,-3,-41,7,-16,38
1573325362741692,-1,-2,-2,-4,8,-11,-2,-5
1573325362741692,1,1,-1,-2,-11,27,2,-32
1573325362763379,-8,0,-3,-1,-1,-30,2,-54
1573325362763379,5,0,0,6,85,20,13,-10
1573325362764141,-3,1,-1,-8,-98,6,-20,-2
1573325362764141,-9,-2,0,-4,-2,-33,-7,-4
1573325362786592,-3,3,3,-1,31,50,-5,-21
1573325362786592,12,-3,-5,-2,-69,-49,15,53
1573325362787024,3,0,0,2,12,-43,-56,3
1573325362787024,8,7,11,9,10,2,11,-38
1573325362801075,18,5,4,5,-16,9,-14,89
1573325362801075,0,-2,-6,-2,26,26,-12,-4
1573325362801552,5,-4,-7,-5,22,14,28,8
1573325362801552,4,1,2,3,8,-22,-14,10
1573325362823381,-11,1,6,8,31,-15,-3,12
