timestamp,x,y,z
1573323344928970,-0.144531,0.505859,0.780762
1573323344945559,-0.149902,0.50293,0.764648
1573323344968005,-0.201172,0.501465,0.73877
1573323344989500,-0.373535,0.498047,0.688477
1573323345005098,-0.45459,0.507324,0.606445
1573323345028518,-0.436523,0.448242,0.629395
1573323345049013,-0.463867,0.42334,0.638672
1573323345064630,-0.526855,0.454102,0.532715
1573323345088053,-0.555176,0.45752,0.460938
1573323345109550,-0.560059,0.410645,0.501953
1573323345125142,-0.589844,0.366699,0.454102
1573323345148567,-0.60791,0.36377,0.400391
1573323345168980,-0.601563,0.352051,0.341797
1573323345184565,-0.624512,0.381348,0.310059
1573323345207981,-0.631348,0.395996,0.276855
1573323345229450,-0.623535,0.373535,0.255859
1573323345252880,-0.661133,0.37207,0.176758
1573323345267775,-0.685547,0.367676,0.146484
1573323345290227,-0.683594,0.44043,0.149902
1573323345304862,-0.674316,0.499023,0.165527
1573323345328287,-0.725098,0.626465,0.153809
1573323345350733,-0.868164,0.589355,0.0732422
1573323345372206,-1.04395,0.670898,0.0683594
1573323345387822,-0.628418,0.293457,0.391602
1573323345410272,-0.659668,-0.00390625,0.295898
1573323345431741,-1.05371,0.321777,0.0727539
1573323345448330,-0.905762,0.493164,0.197266
1573323345470781,-0.789063,0.365234,0.169434
1573323345491278,-0.879395,0.380371,0.138184
1573323345507870,-0.92041,0.454102,0.202637
1573323345530319,-0.937012,0.456543,0.203125
1573323345551809,-0.900879,0.406738,0.251465
1573323345568393,-0.905273,0.459473,0.246582
1573323345590829,-0.843262,0.509766,0.251953
1573323345611324,-0.833984,0.460449,0.279785
1573323345627923,-0.911133,0.418457,0.250488
1573323345650365,-0.882813,0.461426,0.249512
1573323345671835,-0.781738,0.45752,0.241699
1573323345688427,-0.790527,0.431641,0.231934
1573323345711850,-0.797852,0.372559,0.257813
1573323345731391,-0.819336,0.374023,0.223145
1573323345747961,-0.842773,0.419922,0.160156
1573323345770415,-0.805664,0.441895,0.139648
1573323345791971,-0.805664,0.441895,0.150391
1573323345808479,-0.788086,0.421387,0.133301
