timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1573323400818211,2,-5,6,7,7,1,-1,-1
1573323400818211,2,1,4,-4,-7,-2,-2,-1
1573323400834800,-10,4,17,18,10,2,1,3
1573323400834800,7,-1,-4,-10,7,4,2,4
1573323400836752,0,-8,-23,-2,-6,0,2,3
1573323400836752,9,7,3,3,-5,-2,2,4
1573323400848465,1,2,3,-7,4,-2,-5,2
1573323400848465,-7,7,1,-2,2,1,0,5
1573323400857247,-6,6,3,3,-2,-2,0,3
1573323400857247,-15,-15,8,-2,4,3,2,4
1573323400871888,18,-2,-14,-12,-8,-2,7,2
1573323400871888,1,-5,-5,6,4,-3,-16,-2
1573323400873840,17,8,2,-6,-2,0,-3,-5
1573323400873840,-9,9,-2,-2,-4,-1,0,-1
1573323400895314,7,-6,-6,0,0,1,5,1
1573323400895314,-4,1,3,-3,-3,0,0,-7
1573323400896291,-9,-1,-1,4,0,-3,-12,-7
1573323400896291,-3,-5,1,4,0,0,4,-4
1573323400908077,-10,-1,-3,-6,-1,-1,-1,0
1573323400908077,-1,1,1,-4,0,1,7,0
1573323400916857,-4,-3,-5,4,-1,-2,-6,1
1573323400916857,13,4,9,5,3,4,7,6
1573323400932404,17,3,-8,-8,-1,1,21,3
1573323400932404,-33,-2,3,1,-4,-5,-28,-4
1573323400933379,6,-6,-2,1,-5,1,3,2
1573323400933379,26,8,4,1,2,0,-9,1
1573323400954850,-13,-12,-6,-7,-4,-4,-2,-13
1573323400954850,-41,-6,-3,-3,1,4,25,0
1573323400955824,-13,5,-1,2,1,-6,-37,-3
1573323400955824,-2,5,-7,-2,-3,-2,4,-8
1573323400968512,49,-1,1,-3,-4,-2,-16,12
1573323400968512,33,12,11,3,6,1,-3,4
1573323400977296,-93,-27,-8,-2,-2,-1,5,-27
1573323400977296,-15,-6,-7,-3,-2,-2,0,-1
1573323400991935,-8,2,-3,-3,-2,-1,-1,-1
1573323400991935,25,-2,-1,-2,-2,-1,11,4
1573323400993887,33,7,4,4,3,3,15,12
1573323400993887,6,-2,0,0,1,-2,-6,-1
1573323401014387,-9,3,3,4,3,1,-2,4
1573323401014387,93,18,1,-1,1,2,2,20
1573323401016339,-74,-9,8,2,2,2,10,-5
1573323401016339,44,-15,-13,-8,-6,-7,-10,-20
1573323401028049,14,9,8,6,3,5,3,27
