timestamp,x,y,z
1573323529895379,-44.3125,191.375,-124.938
1573323529915874,-49.25,197.875,-128.688
1573323529932465,-31.0625,198.313,-127.438
1573323529954923,-12.5,197.938,-126.25
1573323529976390,-9,195.125,-123.25
1573323529992980,-6.8125,189.313,-118.5
1573323530015429,-7.875,186.188,-109.563
1573323530035922,-6.625,177.375,-101.313
1573323530052520,-8.75,163.375,-92.875
1573323530074967,-11.25,153,-83
1573323530095468,-2.6875,146.25,-74.0625
1573323530112059,-0.6875,138.188,-66.125
1573323530135481,-3.5625,123.75,-55.1875
1573323530155975,-3.5,108.938,-43.8125
1573323530171594,4.75,98.6875,-29.25
1573323530195025,14.0625,89.1875,-12.9375
1573323530216501,12.875,81.25,-4.5
1573323530232121,13.4375,74.25,2.4375
1573323530255613,14.25,64.5625,11.5625
1573323530276057,14.5,51.5625,21.0625
1573323530291671,25.8125,47.25,23.6875
1573323530315094,30.75,38,16.0625
1573323530335595,31.5625,14.1875,1.4375
1573323530352186,28.6875,6.875,-9.25
1573323530374635,8.75,1.25,-33.5625
1573323530397118,5.375,-1.375,-63.1875
1573323530411718,-0.6875,-5.25,-61.5
1573323530435152,-2.4375,23.4375,3.375
1573323530457593,15.5625,33.8125,50.3125
1573323530472249,17.75,16.75,5.625
1573323530494680,-15.8125,-4.5625,-7.75
1573323530517129,-25.0625,-8.5625,-2.8125
1573323530538597,-23.25,-7.875,-9.6875
1573323530555191,-22,-6.375,-10.4375
1573323530577638,-25.5625,-2.5625,-7
1573323530598139,-28.0625,1.875,-15.3125
1573323530622536,-26.9375,6.0625,-17.75
1573323530637181,-27,7.5,-7.5625
1573323530658646,-21.4375,10.5,1.4375
1573323530675239,-17.3125,12.4375,5
1573323530698661,-14.3125,14.375,0.125
1573323530719157,-9.6875,19.8125,-0.25
1573323530740653,-17.125,21.8125,3.1875
1573323530764057,-19.3125,19.1875,2.375
1573323530778718,-11.375,15.125,2.9375
1573323530795288,-6.5,12.625,6.4375
1573323530817734,-2.9375,14.375,9.375
1573323530839215,-1.625,13.25,12.5
1573323530854872,-1.9375,3.5,12.5625
1573323530877280,5.6875,-3.125,6.875
1573323530891911,12.625,-2.5625,3.875
1573323530915335,18.4375,-7.375,0.3125
1573323530937783,22.4375,-21.1875,-14.6875
1573323530958304,21.1875,-25.5625,-27.9375
1573323530974871,20.75,-17.3125,-30.8125
1573323530997323,17.125,-15.1875,-34.0625
1573323531018816,18,-2.3125,-34.4375
1573323531035384,13.3125,17.9375,-18.125
1573323531057832,-7.125,12.6875,-11.375
1573323531078324,-4.1875,20.125,13.6875
1573323531093942,6,23.875,50.0625
1573323531117364,7.8125,10.875,28.75
1573323531138852,-15.6875,-8.75,4.25
1573323531154455,-18.75,-19.9375,-11.9375
1573323531177878,-10.5,-16.625,-13.5
1573323531198374,-10.25,-7.875,-9.25
1573323531220820,-17.25,-6.3125,-6.625
1573323531237411,-22.375,-5.5,-7.3125
1573323531258889,-11.9375,-8.6875,-9.6875
1573323531274508,-2.9375,-4.9375,-5.25
1573323531297925,-4.625,-2.625,-5.125
1573323531318423,-6.6875,-3.875,-7.5625
1573323531335012,-6.5,-7.25,-7.125
1573323531357459,0.8125,-13.375,-5.5
1573323531379907,3.125,-22.3125,0.25
1573323531394549,3.0625,-25.625,5.4375
1573323531417975,0.6875,-24.375,10.5
1573323531440423,1.6875,-22.125,13.0625
1573323531460943,-0.8125,-21.9375,13.3125
1573323531477519,-4.125,-23.75,15.875
1573323531499964,-4.1875,-26.125,19.0625
1573323531521467,4,-32,19
1573323531538021,12.1875,-42.125,17.0625
1573323531560468,17.0625,-53.5625,17.9375
1573323531580963,18.75,-63.6875,20.625
1573323531597556,21.75,-75.5625,23.9375
1573323531620003,19.5625,-85.5,34.6875
1573323531641474,16.125,-97.9375,46.3125
1573323531657090,18.875,-117.313,53.0625
1573323531680515,18.5625,-137.125,63.0625
1573323531701010,11.375,-148.375,78
1573323531717602,5.5625,-158.438,82.25
1573323531740051,9.0625,-168.125,85.8125
1573323531760546,16.8125,-173.563,94.9375
1573323531777145,18.6875,-181.813,99.6875
1573323531800565,16.1875,-185.438,104.438
1573323531821063,18.25,-183.25,104.75
1573323531837663,23.375,-176.938,103.75
1573323531860110,14.75,-164.438,105.063
1573323531881582,0.75,-148.563,102.563
1573323531897194,-14.4375,-139.438,97.9375
1573323531919637,-21.3125,-141.688,87.6875
1573323531941114,-16.75,-148.313,76.75
1573323531957702,-8.5,-146.688,71.5625
1573323531980146,-1.3125,-131.813,68.5
1573323532000716,-1.9375,-111.875,69.375
1573323532017237,-18.125,-94.5625,67.5625
1573323532039712,-20.375,-87.4375,57
1573323532061244,-3.9375,-78.5,50.875
1573323532076772,2.8125,-60.9375,45.8125
1573323532100195,4.6875,-47.5,39.6875
1573323532121856,-3.9375,-40.375,31.625
1573323532137281,-11.6875,-36.8125,23.75
1573323532159729,-7.875,-35.3125,18.1875
1573323532181625,-7.0625,-31.3125,13
1573323532196835,-14.125,-25.4375,11.3125
1573323532220248,-22.875,-22.25,8.25
1573323532241719,-15.4375,-20.75,6.125
1573323532257334,1.0625,-20.4375,4.625
1573323532279791,14.8125,-15.625,1.0625
1573323532302288,22.4375,-9.875,-1.4375
1573323532316881,18.3125,-7.9375,-0.3125
1573323532340291,12.4375,-8.6875,0.9375
