timestamp,x,y,z,w
1570179532908712,0.331177,-0.318298,-0.335083,0.822632
1570179532933089,0.331177,-0.318237,-0.335083,0.822632
1570179532947611,0.331177,-0.318298,-0.335083,0.822632
1570179532969554,0.331177,-0.318298,-0.335083,0.822632
1570179532991575,0.33136,-0.318359,-0.334961,0.822571
1570179533006452,0.331604,-0.318481,-0.334839,0.822449
1570179533061307,0.33197,-0.318665,-0.334656,0.822327
1570179533063336,0.332336,-0.318848,-0.334351,0.822205
1570179533070280,0.332581,-0.319092,-0.334106,0.822144
1570179533083308,0.332825,-0.319214,-0.333862,0.822083
1570179533105224,0.332825,-0.319214,-0.333862,0.822083
1570179533126169,0.332825,-0.319214,-0.333862,0.822083
1570179533143151,0.332825,-0.319214,-0.333862,0.822083
1570179533185970,0.332825,-0.319214,-0.333862,0.822083
1570179533196941,0.332825,-0.319214,-0.333862,0.822083
1570179533203005,0.332642,-0.319214,-0.333801,0.822205
1570179533224905,0.332275,-0.319153,-0.333801,0.822388
1570179533246808,0.331787,-0.31897,-0.333984,0.822571
1570179533271207,0.331421,-0.318726,-0.334167,0.822754
1570179533285708,0.331055,-0.31842,-0.334351,0.822876
1570179533308646,0.330688,-0.318298,-0.334534,0.823059
1570179533330614,0.330322,-0.318115,-0.334595,0.823242
1570179533345545,0.330322,-0.318115,-0.334595,0.823242
1570179533368555,0.330322,-0.318115,-0.334595,0.823242
1570179533398701,0.330322,-0.318115,-0.334595,0.823181
1570179533405384,0.330627,-0.318359,-0.33429,0.82312
1570179533429320,0.331299,-0.318848,-0.33374,0.822876
1570179533451261,0.33197,-0.319336,-0.333374,0.822632
1570179533472206,0.33252,-0.319763,-0.333069,0.822327
1570179533488196,0.332825,-0.32019,-0.332886,0.822083
1570179533511101,0.333008,-0.320374,-0.333008,0.821899
1570179533532045,0.333008,-0.320374,-0.33313,0.821838
1570179533548037,0.33313,-0.320618,-0.33313,0.821777
1570179533571261,0.333191,-0.320984,-0.333008,0.821594
1570179533591889,0.333191,-0.321411,-0.332825,0.821472
