timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1570179696592982,0,-1,-2,0,0,-1,0,0
1570179696592982,0,-1,-3,-1,-1,-1,-2,-1
1570179696597970,-1,0,0,-1,-1,-1,-2,-2
1570179696597970,-1,-3,1,0,1,0,-1,-2
1570179696599965,-5,-1,-2,0,0,0,-1,-10
1570179696599965,2,0,0,-1,0,-1,1,4
1570179696600962,1,-1,-1,0,0,-1,1,1
1570179696600962,0,0,-1,-1,-3,-1,0,5
1570179696620962,-1,-1,1,0,-1,-2,-1,1
1570179696620962,-2,-2,-2,0,0,1,0,-2
1570179696624235,-1,0,-1,0,0,0,-1,-2
1570179696624235,0,0,-1,-1,-2,1,1,0
1570179696625922,0,-1,-1,-1,-1,-1,0,1
1570179696625922,6,2,3,1,-1,-2,-13,11
1570179696641145,2,-2,0,-1,-1,0,3,15
1570179696641145,-2,-2,0,-2,-1,0,-1,-6
1570179696649836,0,0,-1,0,-1,0,-3,0
1570179696649836,-2,-1,-1,-2,0,-1,3,-7
1570179696672808,-2,0,-2,-2,-2,-1,-2,-5
1570179696672808,0,0,0,-1,1,-1,-4,2
1570179696673775,-1,-1,-1,-3,0,1,3,4
1570179696673775,-4,-1,-2,-1,0,-1,1,-5
1570179696686734,2,-1,1,-1,1,0,3,-1
1570179696686734,-4,-1,0,0,-2,0,1,-1
1570179696687731,1,1,0,-1,-1,0,-1,-2
1570179696687731,-3,-2,-1,-2,-2,0,2,-8
1570179696733607,0,0,-1,1,1,0,0,-1
1570179696733607,2,1,-2,-1,0,0,0,6
1570179696734642,-3,-1,0,1,1,-1,-1,-1
1570179696734642,0,-1,-1,-1,0,-1,1,0
1570179696735641,0,-2,1,-1,-1,-1,-2,-3
1570179696735641,1,1,-1,-1,-2,0,1,-1
1570179696738593,-1,-1,-2,-1,-2,-1,-1,1
1570179696738593,0,0,1,1,-1,0,-1,-1
1570179696745575,1,-1,-1,-1,0,0,2,-1
1570179696745575,3,2,1,1,-1,-4,-16,7
1570179696754551,-1,-3,-3,-2,0,-2,-4,-12
1570179696754551,0,0,0,-1,-1,-2,0,0
1570179696761150,1,0,0,0,0,-2,-1,8
1570179696761150,-5,-1,-1,-1,-1,-2,2,-18
1570179696777490,-1,-1,-1,-1,-1,0,0,2
1570179696777490,-1,0,0,-2,-1,0,-2,-1
1570179696783541,-2,0,-4,-3,-2,0,3,5
1570179696783541,-1,-2,0,-1,0,-3,1,-2
1570179696806416,4,1,-1,-1,1,0,4,4
1570179696806416,-2,-2,-1,-1,-1,-2,0,-3
1570179696807410,-5,-1,-3,-1,-2,-2,2,-4
1570179696807410,-1,-2,-2,1,-1,1,2,4
1570179696821376,1,0,0,-1,-1,-1,-1,-1
1570179696821376,-1,1,0,2,1,-1,0,10
1570179696822423,0,-2,-1,-3,-1,2,4,-1
1570179696822423,-1,-2,2,0,-1,-1,1,-4
1570179696844311,-2,-1,0,1,-2,-2,2,1
1570179696844311,0,-1,-1,-3,-1,0,1,1
1570179696845309,5,0,2,1,-1,-1,-6,5
1570179696845309,1,-1,-2,-1,1,1,1,-8
1570179696867253,1,-2,-2,1,0,0,-4,4
1570179696867253,-3,-1,-2,-1,-1,0,1,-11
