timestamp,x,y,z
1570179696446377,-0.125,-0.125,-0.0625
1570179696453356,-0.1875,0,-0.8125
1570179696477615,-0.75,0.25,-1.125
1570179696499234,-0.625,0.125,-0.375
1570179696514197,-0.5625,-0.0625,0.4375
1570179696536175,0,-0.1875,0.75
1570179696560110,0,-0.125,0.5625
1570179696591044,0.1875,-0.125,0.3125
1570179696598995,0.25,-0.0625,0.125
1570179696622968,-0.0625,-0.125,-0.1875
1570179696634872,-0.3125,-0.0625,-0.375
1570179696656182,-0.875,0.1875,-0.25
1570179696674272,-1.4375,0.1875,-0.25
1570179696694715,-1.875,0.125,-0.0625
1570179696723957,-1.5625,0.1875,-0.25
1570179696735641,-1.1875,0.1875,-0.5
1570179696754551,-1.0625,0.1875,-0.4375
1570179696776522,-1.25,0.125,-0.375
1570179696791451,-1.25,0.3125,-0.1875
1570179696813415,-1.125,0.125,0.125
1570179696836333,-0.5625,0,0.3125
1570179696851292,-0.125,-0.125,0.25
1570179696873235,0.125,-0.125,-0.0625
1570179696896172,0.5,-0.1875,-0.3125
1570179696911136,0.625,-0.25,-0.3125
1570179696934071,0.375,-0.3125,-0.3125
1570179696956093,0.375,-0.3125,-0.25
1570179696971005,0.25,-0.25,-0.375
1570179696993913,0.1875,-0.25,-0.375
1570179697015852,0.375,-0.3125,-0.4375
1570179697030813,0.1875,-0.25,-0.625
1570179697053828,0.5,-0.3125,-0.5625
1570179697075753,0.6875,-0.3125,-0.5625
1570179697090689,0.625,-0.125,-0.5625
1570179697113592,0.5625,-0.0625,-0.4375
1570179697136530,0.5,-0.1875,-0.0625
1570179697151493,0.1875,-0.3125,0
1570179697173430,-0.3125,-0.125,-0.3125
1570179697196372,-0.4375,0.125,-0.1875
1570179697211416,-1.25,0.0625,-0.25
1570179697233310,-2,0.1875,-0.375
1570179697256246,-1.4375,-0.1875,-0.625
1570179697271250,-0.6875,-0.0625,-0.75
1570179697293230,-0.1875,0,-0.625
1570179697316088,-0.25,0,-0.375
1570179697331047,-0.5625,0,0.0625
1570179697353986,-1.125,0.0625,0.1875
1570179697375926,-1.4375,0.1875,-0.25
1570179697390886,-1.5,0.3125,-0.5
1570179697413827,-1.1875,0.4375,-0.625
1570179697436452,-1.375,0.5625,-0.75
1570179697451687,-1.5,0.5,-0.6875
1570179697473628,-1.75,0.5625,-1
1570179697504545,-2.875,0.875,-1.5
1570179697511527,-3.1875,1,-1.375
1570179697533589,-2.9375,0.8125,-1.0625
1570179697556444,-3.0625,0.5625,-0.75
1570179697571370,-2.875,0.75,-0.75
1570179697593308,-2.75,0.8125,-0.5625
1570179697616285,-2.375,0.8125,-0.3125
1570179697631505,-1.5,0.3125,0.1875
1570179697653149,-0.875,0.25,0.0625
1570179697676086,0.0625,0.125,0.125
1570179697691085,0.875,0.0625,0
1570179697714984,1.0625,-0.0625,0
1570179697736007,0.6875,0,-0.0625
1570179697753879,0.0625,0,-0.125
1570179697780846,-0.4375,0.125,-0.0625
1570179697795768,-0.3125,0.125,-0.125
1570179697813723,-0.1875,0.1875,-0.0625
1570179697840646,-0.3125,0.1875,0.125
1570179697855610,0,0.0625,0.3125
1570179697873558,0,-0.125,0.3125
1570179697895503,0.125,-0.0625,0.3125
1570179697916444,-0.125,-0.125,0.0625
1570179697934397,-0.625,-0.1875,0.1875
1570179697955342,0,-0.1875,0.375
1570179697976284,0.3125,-0.125,0.625
1570179697994239,0.125,-0.1875,0.6875
1570179698015184,-0.125,-0.25,0.625
1570179698036213,0.875,-0.5,1
1570179698054076,2.1875,-0.5,0.5625
1570179698075020,2.5625,-0.5,-0.0625
1570179698096001,2,-0.625,-0.0625
1570179698121897,1.6875,-0.5625,0.3125
