timestamp,x,y,z
1570179925353674,0.232422,0.618652,0.590332
1570179925377612,0.231445,0.607422,0.599609
1570179925392459,0.239746,0.623047,0.572266
1570179925413421,0.23584,0.641113,0.536133
1570179925437390,0.226074,0.653809,0.538086
1570179925458370,0.232422,0.661621,0.533203
1570179925503189,0.242188,0.668945,0.523438
1570179925514132,0.234863,0.673828,0.533691
1570179925516201,0.228027,0.665039,0.539551
1570179925534078,0.230957,0.653809,0.554688
1570179925550035,0.232422,0.647949,0.561035
1570179925566989,0.227539,0.638672,0.567383
1570179925588930,0.234375,0.639648,0.576172
1570179925640790,0.241699,0.63623,0.570313
1570179925642022,0.240723,0.639648,0.564453
1570179925648770,0.239746,0.643555,0.557129
1570179925668716,0.239258,0.651367,0.545898
1570179925685078,0.236816,0.657227,0.553711
1570179925715591,0.236816,0.651367,0.558105
1570179925736901,0.23584,0.646973,0.556641
1570179925752814,0.233887,0.644043,0.559082
1570179925775493,0.230469,0.643555,0.566406
1570179925796375,0.231445,0.647461,0.565918
1570179925812680,0.229492,0.645996,0.569824
1570179925835271,0.232422,0.646484,0.564941
1570179925856391,0.229492,0.641113,0.560059
1570179925873168,0.231445,0.642578,0.562012
1570179925895524,0.232422,0.638672,0.564941
1570179925916059,0.228516,0.642578,0.563965
1570179925933010,0.235352,0.643066,0.553711
1570179925955096,0.228027,0.644043,0.560059
1570179925976895,0.231934,0.646484,0.564453
1570179925992852,0.235352,0.647461,0.563965
1570179926015794,0.236328,0.644531,0.567383
1570179926036788,0.233887,0.643555,0.564453
1570179926052690,0.226074,0.641113,0.566406
1570179926075732,0.229004,0.641602,0.566895
1570179926096577,0.232422,0.638184,0.563965
1570179926112658,0.234375,0.637695,0.570313
1570179926135482,0.23877,0.640625,0.57959
1570179926157419,0.248047,0.638672,0.564941
1570179926173370,0.230957,0.647461,0.56543
1570179926195311,0.230469,0.643555,0.554199
1570179926225373,0.224609,0.643066,0.541016
1570179926233215,0.220215,0.661621,0.545898
1570179926261603,0.238281,0.662598,0.555176
1570179926278099,0.237793,0.650879,0.556641
1570179926292053,0.231934,0.645996,0.579102
1570179926315990,0.239746,0.63623,0.584473
1570179926337934,0.239258,0.632324,0.578613
1570179926351946,0.231445,0.644531,0.57959
1570179926375827,0.235352,0.641113,0.596191
1570179926397771,0.238281,0.633789,0.599609
1570179926418872,0.229492,0.628906,0.59668
1570179926435665,0.216309,0.647949,0.569824
1570179926457609,0.226563,0.684082,0.505371
1570179926478681,0.227539,0.736328,0.466309
1570179926503085,0.233887,0.733398,0.46582
1570179926518448,0.254883,0.6875,0.458008
1570179926540385,0.254395,0.669922,0.464355
1570179926555349,0.245605,0.65625,0.497559
1570179926578286,0.229004,0.65918,0.497559
1570179926599230,0.226074,0.689941,0.498535
1570179926623363,0.234375,0.69873,0.52002
1570179926637129,0.239258,0.688477,0.516113
1570179926660068,0.246582,0.682617,0.514648
1570179926683006,0.248535,0.648438,0.503418
1570179926697975,0.253906,0.638672,0.505859
1570179926719906,0.261719,0.67627,0.496582
1570179926742846,0.265137,0.691895,0.492676
1570179926756871,0.259766,0.717285,0.493652
1570179926780825,0.254883,0.743164,0.490723
1570179926802683,0.249512,0.762207,0.474121
1570179926823628,0.243652,0.769531,0.477051
1570179926840581,0.232422,0.754883,0.485352
1570179926862760,0.227051,0.722656,0.487793
1570179926884464,0.199219,0.708008,0.512695
1570179926900422,0.1875,0.688477,0.538086
1570179926923398,0.184082,0.67334,0.547363
1570179926937324,0.1875,0.650391,0.555176
1570179926960327,0.209961,0.644043,0.549805
1570179926983205,0.228516,0.647461,0.534668
1570179926997167,0.236328,0.648926,0.535645
1570179927020106,0.237305,0.655273,0.539551
1570179927043046,0.225586,0.645996,0.533203
1570179927057031,0.232422,0.647461,0.518066
1570179927064984,0.227539,0.665039,0.531738
1570179927085936,0.22998,0.685059,0.537598
1570179927108875,0.226563,0.703613,0.537109
1570179927124834,0.223633,0.705078,0.524414
1570179927145909,0.214355,0.708496,0.523926
1570179927168761,0.213379,0.70752,0.522949
1570179927184669,0.218262,0.704102,0.509766
1570179927205782,0.225586,0.702637,0.51416
1570179927228721,0.225098,0.689941,0.515625
1570179927244534,0.226563,0.683105,0.513672
1570179927265628,0.229004,0.680176,0.522949
1570179927296530,0.227051,0.666992,0.525391
1570179927304536,0.225586,0.67041,0.533203
1570179927326405,0.226563,0.669434,0.535156
1570179927348472,0.217773,0.67041,0.539551
1570179927365181,0.205566,0.674316,0.539063
1570179927386280,0.199219,0.677246,0.530762
1570179927408258,0.210938,0.684082,0.527832
1570179927425033,0.226074,0.687988,0.530273
1570179927446257,0.220215,0.692383,0.524414
1570179927468708,0.216797,0.689453,0.525391
1570179927485868,0.209961,0.689941,0.521484
1570179927505809,0.219238,0.688965,0.51709
1570179927528835,0.218262,0.680664,0.517578
1570179927546045,0.214355,0.684082,0.524902
1570179927565649,0.221191,0.678223,0.524902
1570179927588584,0.228516,0.677734,0.535156
1570179927610575,0.232422,0.675781,0.530762
1570179927625904,0.226074,0.677734,0.527832
1570179927648826,0.219238,0.683594,0.519531
1570179927670368,0.220703,0.687988,0.518066
1570179927685331,0.225098,0.68457,0.509277
1570179927708270,0.220703,0.683594,0.51123
1570179927726390,0.22168,0.684082,0.512207
1570179927746163,0.222168,0.680176,0.518555
1570179927768532,0.21875,0.671387,0.52832
1570179927786054,0.21875,0.674316,0.538574
1570179927806113,0.214844,0.671387,0.546875
1570179927828142,0.20752,0.663574,0.559082
1570179927845928,0.204102,0.65625,0.553223
1570179927865843,0.206055,0.658203,0.560547
1570179927890785,0.212891,0.67334,0.551758
1570179927905750,0.216797,0.671875,0.546387
1570179927925892,0.218262,0.67041,0.546387
1570179927948766,0.218262,0.671387,0.547852
1570179927966574,0.218262,0.668945,0.548828
1570179927985755,0.21875,0.664551,0.546387
1570179928008788,0.219727,0.664063,0.549316
1570179928026503,0.223633,0.656738,0.548828
1570179928045669,0.222168,0.658203,0.546875
1570179928068316,0.218262,0.662109,0.553223
1570179928086536,0.21582,0.660645,0.553223
1570179928106268,0.214844,0.664063,0.555176
1570179928128144,0.212891,0.665039,0.556152
1570179928146218,0.212402,0.663574,0.555176
1570179928169033,0.214844,0.657715,0.557129
1570179928188002,0.217285,0.661133,0.546387
1570179928205935,0.208984,0.664551,0.544434
1570179928226881,0.209961,0.666016,0.547852
1570179928247947,0.212891,0.661621,0.547852
1570179928266564,0.216797,0.668945,0.540039
1570179928287715,0.216797,0.664551,0.541992
1570179928308839,0.217285,0.665527,0.540039
1570179928326613,0.216797,0.67041,0.540527
1570179928347557,0.225098,0.672363,0.547852
1570179928368503,0.219238,0.670898,0.536133
1570179928386462,0.219238,0.673828,0.532227
1570179928407394,0.217285,0.67627,0.536133
1570179928428346,0.218262,0.67334,0.530762
1570179928446290,0.220703,0.67334,0.529297
1570179928467234,0.224121,0.67041,0.527344
1570179928488178,0.216797,0.66748,0.536621
1570179928506216,0.219238,0.665527,0.530762
1570179928529070,0.225586,0.671387,0.53418
1570179928548069,0.227051,0.671387,0.528809
1570179928565972,0.229492,0.675781,0.532227
1570179928588909,0.226563,0.672363,0.535645
1570179928607861,0.224121,0.669922,0.537598
1570179928625811,0.224121,0.672363,0.536133
1570179928649237,0.221191,0.677734,0.535156
1570179928668696,0.222656,0.680176,0.52832
1570179928686650,0.221191,0.677246,0.536133
1570179928709142,0.222168,0.67627,0.535645
1570179928728535,0.224609,0.671875,0.539063
1570179928747109,0.221191,0.675293,0.526855
1570179928768429,0.223633,0.677734,0.522949
1570179928788380,0.225586,0.671387,0.532227
1570179928806463,0.227051,0.672363,0.53125
1570179928828268,0.225098,0.672852,0.535645
1570179928848216,0.225098,0.675781,0.541016
1570179928866166,0.229492,0.674805,0.530762
1570179928889103,0.223633,0.67627,0.52832
1570179928908053,0.21875,0.675293,0.532715
1570179928926102,0.221191,0.675293,0.536621
1570179928948946,0.221191,0.672852,0.536621
1570179928967897,0.225586,0.671387,0.536621
1570179928985847,0.227051,0.666992,0.538086
1570179929008784,0.228027,0.67041,0.537109
1570179929027805,0.228027,0.672852,0.53125
1570179929045688,0.222656,0.669434,0.525391
1570179929068746,0.224609,0.674316,0.536621
1570179929091566,0.221191,0.672363,0.536133
1570179929110515,0.22168,0.677734,0.53418
1570179929128465,0.224121,0.674316,0.534668
1570179929149444,0.224609,0.671387,0.540039
1570179929166364,0.22168,0.672852,0.540527
1570179929188666,0.21875,0.671387,0.537109
1570179929209317,0.218262,0.668945,0.540039
1570179929226230,0.219238,0.668457,0.546387
1570179929249144,0.22168,0.663086,0.541992
1570179929277067,0.21875,0.666016,0.535156
1570179929286110,0.22168,0.666504,0.527344
1570179929309010,0.217285,0.669922,0.544434
1570179929329926,0.221191,0.665039,0.537598
1570179929345884,0.217285,0.670898,0.535645
1570179929368855,0.21875,0.665527,0.538086
1570179929389796,0.223633,0.666992,0.538086
1570179929405722,0.226563,0.664551,0.549805
1570179929428663,0.220215,0.666504,0.536621
1570179929451600,0.218262,0.665527,0.537109
1570179929466563,0.219238,0.668457,0.54541
1570179929488501,0.219727,0.666016,0.552734
1570179929511440,0.220215,0.666016,0.54248
1570179929526402,0.217285,0.666992,0.546387
1570179929554490,0.211426,0.666504,0.546875
1570179929577313,0.21875,0.66748,0.54248
1570179929591527,0.219727,0.667969,0.546875
1570179929608443,0.220215,0.662109,0.54541
1570179929630127,0.21582,0.664551,0.547363
1570179929651239,0.219238,0.664063,0.549316
1570179929668340,0.223145,0.658691,0.54541
1570179929690040,0.221191,0.66748,0.539551
1570179929711907,0.218262,0.66748,0.53418
1570179929727872,0.216797,0.670898,0.539551
1570179929750801,0.220215,0.670898,0.543945
1570179929764774,0.213867,0.667969,0.547363
1570179929787704,0.213867,0.665527,0.541504
1570179929810717,0.220215,0.665527,0.543457
1570179929831591,0.222656,0.661133,0.537598
1570179929847543,0.217285,0.66748,0.539063
1570179929870482,0.225098,0.661621,0.545898
1570179929885266,0.224609,0.663574,0.543945
1570179929908442,0.220215,0.668457,0.541992
1570179929930329,0.216797,0.666992,0.541504
1570179929951446,0.217773,0.666016,0.540527
1570179929968225,0.221191,0.668945,0.540039
1570179929990238,0.217773,0.66748,0.543457
1570179930011338,0.219238,0.66748,0.543457
1570179930028062,0.216797,0.662109,0.54834
