timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1570179925517230,-2,1,-1,-2,1,-3,-2,-1
1570179925517230,-1,0,1,-1,1,-1,-2,-2
1570179925518122,-8,-1,-2,-2,-2,-5,-2,-56
1570179925518122,0,1,0,-1,0,0,0,7
1570179925528140,-1,-2,-2,0,-2,0,3,3
1570179925528140,1,-3,-1,1,0,0,-1,0
1570179925529093,0,-2,-2,-2,-1,0,-2,0
1570179925529093,-3,-2,0,-1,1,-1,-4,-8
1570179925531109,0,-1,0,-1,0,0,5,-5
1570179925531109,-1,-1,-1,-1,0,-3,-1,1
1570179925534078,2,1,0,0,-2,-2,0,13
1570179925534078,-1,1,0,-3,-1,-2,2,12
1570179925541058,0,-1,1,-1,-2,1,-1,10
1570179925541058,-1,0,0,-1,-2,1,0,-2
1570179925556019,1,0,-1,0,2,0,0,9
1570179925556019,1,1,-1,-1,-2,-1,-4,2
1570179925565041,-2,-1,-1,-1,-1,0,1,-14
1570179925565041,-2,-2,0,0,-2,1,1,2
1570179925586935,2,0,1,1,-1,-1,-3,9
1570179925586935,0,-1,-1,0,0,1,5,-8
1570179925587936,2,-1,0,-1,-1,-1,-5,4
1570179925587936,-1,1,-2,-2,-1,0,-2,-1
1570179925600898,1,1,1,-1,0,0,-1,4
1570179925600898,-7,-5,-4,-3,-2,1,2,-4
1570179925642785,-1,-1,-2,-1,-1,0,0,-3
1570179925642785,2,2,0,0,0,0,2,5
1570179925642785,-1,-2,-2,-2,-1,0,0,-2
1570179925642785,-5,-2,1,-1,-1,-1,13,-21
1570179925646775,0,-2,-1,0,0,-1,-2,4
1570179925646775,1,-2,-3,-1,-1,-3,0,-4
1570179925647773,-1,0,1,0,-2,-1,-3,0
1570179925647773,-2,-1,-2,-1,0,-1,0,0
1570179925652792,0,1,0,-1,-1,0,0,0
1570179925652792,0,0,2,-2,0,-1,-1,-3
1570179925660737,0,-1,0,0,0,0,2,-2
1570179925660737,1,-2,-1,-1,-1,-1,-4,4
1570179925669999,0,-1,0,-1,0,-1,-1,-5
1570179925669999,3,1,1,-1,-1,-1,-2,4
1570179925683717,-2,1,0,-1,1,1,0,-1
1570179925683717,2,1,0,0,-1,-3,-8,5
1570179925690685,0,-2,0,0,-2,0,0,3
1570179925690685,-2,-2,-1,-1,0,2,0,-6
1570179925714622,-1,0,-2,-1,0,-2,-2,-1
1570179925714622,1,1,-1,-1,-1,0,1,4
1570179925716617,-5,-2,-2,-2,-2,-4,-4,-12
1570179925716617,-3,-2,-1,0,-1,-1,1,-16
1570179925728556,5,-1,-1,-1,0,-2,-8,15
1570179925728556,-1,0,-2,-1,-2,-2,-5,-7
1570179925737544,1,2,1,1,0,-2,0,2
1570179925737544,-2,-2,0,0,-3,-2,0,-4
1570179925751498,-2,-2,0,0,-1,0,2,-7
1570179925751498,0,-1,1,-1,0,-2,0,-1
1570179925753495,0,1,-1,0,-1,0,0,2
1570179925753495,1,0,0,-2,0,2,-2,4
1570179925774474,-1,1,-2,-2,1,0,2,-1
1570179925774474,0,-1,-1,-1,-2,2,-3,2
1570179925780418,-1,0,1,-1,0,1,1,-1
1570179925780418,1,1,0,-1,0,0,0,18
1570179925788401,1,-1,1,-1,-1,-1,-3,-2
1570179925788401,-2,0,-3,-2,-1,1,2,-1
1570179925797416,-1,0,-1,-1,1,0,-1,0
1570179925797416,-1,0,0,1,-1,-2,-2,-3
1570179925812334,-2,-1,-2,-1,-1,-1,1,-4
1570179925812334,7,1,1,2,0,-2,-12,30
1570179925813330,-1,-1,1,0,0,0,-2,-2
1570179925813330,1,-1,-3,-2,-2,-2,-3,-3
1570179925834380,0,0,-1,-1,-1,-2,-3,-2
1570179925834380,-1,-1,0,-2,0,1,2,-8
1570179925836268,-2,-2,-1,0,-1,-2,1,-3
1570179925836268,4,2,2,1,3,1,-1,12
1570179925848270,1,0,1,-1,-1,1,0,-3
1570179925848270,0,-1,-2,-1,0,0,3,0
1570179925863195,-1,-1,-2,-1,0,0,1,-1
1570179925863195,-3,-1,-1,-1,-1,-2,1,-7
1570179925872171,-2,2,-3,1,-2,-2,1,-1
1570179925872171,-2,0,0,0,0,0,-1,-2
1570179925874166,-3,-1,0,-1,-1,-1,-5,-13
1570179925874166,-1,-1,-2,0,0,0,-1,-2
1570179925894151,-2,-3,0,-2,-1,-2,-1,-6
1570179925894151,1,-1,-1,0,-2,-1,1,2
1570179925896109,1,-2,-4,-1,-1,0,1,1
1570179925896109,-2,-1,-1,1,0,0,-2,-4
1570179925908160,-5,-1,0,0,-3,0,6,-10
1570179925908160,1,-1,-2,1,1,-3,-6,-1
1570179925917052,0,-1,1,-2,-1,0,0,-6
1570179925917052,1,-1,-3,0,1,0,2,6
1570179925932076,0,-2,0,-2,1,2,2,4
1570179925932076,-2,-1,0,-1,-3,0,2,-6
1570179925934010,-1,-1,1,0,-1,0,0,5
1570179925934010,-1,-2,-2,-1,-2,-3,-4,-1
1570179925955096,-2,-2,0,0,0,0,1,-8
1570179925955096,-5,-3,-3,0,-3,0,6,-9
1570179925956648,5,1,-1,1,1,1,4,25
1570179925956648,-5,0,-1,0,-1,-1,1,-6
1570179925969195,2,-1,-1,1,-1,-1,-2,3
1570179925969195,0,-1,0,-1,-1,-1,1,0
1570179925976895,-1,-1,-1,-1,-1,-3,0,-6
1570179925976895,1,2,1,0,-1,-1,-1,-2
1570179925992852,2,-1,-2,0,1,-1,-3,7
1570179925992852,-2,-1,-1,0,1,0,-4,-5
1570179925993926,-1,-1,0,0,0,-1,-3,-2
1570179925993926,-2,-1,-1,-1,0,1,-3,2
1570179926014929,1,-1,-1,0,0,-1,-1,1
1570179926014929,2,2,1,0,2,-2,-3,-2
1570179926016423,1,-1,0,1,-2,-1,-2,-1
1570179926016423,-2,-4,0,0,-2,0,1,1
1570179926028811,-4,1,-2,-1,-1,1,8,-15
1570179926028811,0,0,-2,0,0,-2,-2,2
1570179926037732,-1,-1,0,-2,0,-1,-1,-1
1570179926037732,-2,-1,-1,-2,-2,-1,0,0
1570179926052357,0,0,1,0,-1,-1,-1,0
1570179926052357,-1,0,1,0,-1,0,3,6
1570179926053785,0,-1,-1,-1,-2,-2,1,-4
1570179926053785,0,-1,-2,-2,1,1,-2,1
1570179926074630,4,0,-1,0,1,-2,-6,22
1570179926074630,0,0,0,-1,-1,1,-1,-7
1570179926076627,1,-2,-3,-1,-1,0,0,8
1570179926076627,-1,0,1,-1,-2,-1,-2,-4
1570179926088595,1,0,-2,2,-3,-1,-8,0
1570179926088595,-3,0,0,0,-2,-1,-2,-4
