timestamp,x,y,z
1570179925353674,12.3125,-1.1875,1.875
1570179925377612,15,-2.375,1.8125
1570179925392459,17.4375,-3.125,0.625
1570179925413421,15.3125,-2.5625,-0.3125
1570179925437390,11.9375,-2.1875,-0.25
1570179925458370,9.125,-2.5625,0.5625
1570179925503189,6.125,-1.5,0.6875
1570179925514132,0.625,0.0625,0.0625
1570179925516201,-2.875,0.3125,0.625
1570179925534078,-4,0.1875,1.0625
1570179925550035,-4.625,0.5625,0.625
1570179925566989,-4.6875,0.875,0.6875
1570179925588930,-3.75,0.5,1.3125
1570179925640790,-1,0.375,1.5625
1570179925642022,1.25,0.4375,0.6875
1570179925648770,1.625,0.3125,-0.0625
1570179925668716,1,0.125,-0.375
1570179925685078,-0.4375,0.1875,-0.4375
1570179925715591,-1.5625,0.25,-0.75
1570179925736901,-2,0.25,-0.6875
1570179925752814,-1.4375,0.1875,-0.5
1570179925775493,0.25,-0.0625,-0.3125
1570179925796375,1.5,-0.1875,-0.3125
1570179925812680,1.9375,0.0625,0.0625
1570179925835271,1.9375,-0.125,0.5625
1570179925856391,1.5625,0.125,0.5625
1570179925873168,1.125,0.1875,0.4375
1570179925895524,0.8125,0.1875,0.4375
1570179925916059,0.4375,0.0625,0.375
1570179925933010,-0.4375,0.1875,0.3125
1570179925955096,-0.4375,0.25,0.625
1570179925976895,-1.75,0.3125,0.4375
1570179925992852,-2.5625,0.125,0.25
1570179926015794,-2.25,0.125,0
1570179926036788,-1.1875,0.5625,-0.375
1570179926052690,0.375,0.5625,0.375
1570179926075732,1.3125,0.25,1.625
1570179926096577,1.75,0.25,1.75
1570179926112658,1.6875,0.25,0.75
1570179926135482,3.1875,-0.5,0.8125
1570179926157419,4.9375,-0.5,0.5
1570179926173370,5,-0.25,-2.0625
1570179926195311,5.5625,-1.0625,-1.625
1570179926225373,3.8125,-1.125,-2.875
1570179926233215,0.125,-1.625,-2.5
1570179926261603,-3.5,-1.4375,-1.25
1570179926278099,-4.5,-0.1875,-0.5
1570179926292053,-3.375,0.5,1
1570179926315990,2.0625,0.75,2.3125
1570179926337934,5.75,1.375,1.375
1570179926351946,6.625,0.875,0.625
1570179926375827,8.9375,0.25,0.375
1570179926397771,12.25,-0.5,-0.1875
1570179926418872,20.9375,-2.375,-0.625
1570179926435665,28.875,-5.5625,-0.5
1570179926457609,29.875,-6.75,1.5
1570179926478681,25.875,-2.9375,4.875
1570179926503085,23.8125,0.4375,12.5
1570179926518448,25.0625,2.75,18.625
1570179926540385,21.75,5.0625,13.625
1570179926555349,31.8125,3.3125,10
1570179926578286,33.875,3.1875,6.125
1570179926599230,28.75,3.1875,5
1570179926623363,19.125,4.0625,3.375
1570179926637129,6.6875,6,2.25
1570179926660068,-7.1875,5.3125,2.125
1570179926683006,-7.9375,2.8125,-1.875
1570179926697975,-8.1875,1.5625,-6.9375
1570179926719906,-8.625,0.4375,-8.6875
1570179926742846,-8.5625,-0.8125,-10.8125
1570179926756871,-9.4375,-1.125,-12
1570179926780825,-9.75,-0.5625,-12.3125
1570179926802683,-11.625,0.1875,-13.6875
1570179926823628,-15.4375,1.4375,-13.8125
1570179926840581,-18.4375,3.75,-12.5
1570179926862760,-18.3125,6.375,-4.625
1570179926884464,-15.6875,7.3125,5.1875
1570179926900422,-7.6875,4.0625,9.8125
1570179926923398,1.8125,0.25,12.125
1570179926937324,10.0625,-1.0625,11.125
1570179926960327,11.75,-1.6875,8.6875
1570179926983205,10.1875,-1.75,6.375
1570179926997167,5.125,-0.8125,2.75
1570179927020106,-1,-0.875,-0.75
1570179927043046,-5.8125,-1.4375,-4.5
1570179927057031,-6.5625,-1.875,-5.9375
1570179927064984,-6.25,-1.5,-7.1875
1570179927085936,-5.8125,-1,-7.125
1570179927108875,-3.5625,-0.5,-6.6875
