timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1570180012176771,0,0,0,0,0,-1,0,-5
1570180012176771,0,1,-1,-1,-1,0,-2,0
1570180012177770,-1,0,0,0,1,-1,1,-4
1570180012177770,-3,0,-1,-1,-2,-1,-1,-4
1570180012198718,-1,0,-1,-1,-2,0,-3,-1
1570180012198718,-6,-1,-2,-1,-1,-1,-2,-8
1570180012198718,-6,-3,-1,-2,-1,0,-3,-8
1570180012198718,5,1,0,0,-1,0,2,7
1570180012200707,0,0,0,0,0,0,-1,0
1570180012200707,3,-1,0,-2,-1,0,0,3
1570180012203754,-1,-1,0,0,-2,-1,-2,-2
1570180012203754,-2,-1,-1,0,1,-1,-2,-4
1570180012204821,6,0,-1,-1,-2,-1,2,10
1570180012204821,1,-2,-1,0,-1,0,0,-3
1570180012214669,1,0,-2,-1,0,0,1,2
1570180012214669,-2,-1,0,-3,0,1,-2,0
1570180012226680,1,-1,-1,0,-1,-1,0,2
1570180012226680,-4,-1,-3,-1,-1,0,1,8
1570180012250578,2,0,-1,0,-1,0,1,1
1570180012250578,1,0,-1,1,1,-1,-1,3
1570180012253565,-6,-1,0,0,0,1,-2,-5
1570180012253565,2,0,1,0,1,-2,0,1
1570180012265543,3,0,-1,-2,-2,0,1,11
1570180012265543,-6,0,0,0,0,-2,-2,-10
1570180012267572,-1,-1,1,0,0,-1,1,2
1570180012267572,1,-2,0,0,0,-1,-1,-1
1570180012285479,3,1,0,0,-1,-2,-2,1
1570180012285479,-5,-1,-1,-1,-1,-1,1,-12
1570180012319501,-1,0,-1,1,-1,-1,-2,-3
1570180012319501,-4,0,-1,-1,0,-2,0,-5
1570180012320383,2,0,-2,0,1,0,-1,1
1570180012320383,-7,-3,-1,-1,1,0,-1,-5
1570180012323425,0,-2,0,0,-1,1,-2,1
1570180012323425,-1,0,-2,-1,0,-1,-1,0
1570180012324380,-1,0,0,-1,-3,-1,-1,-7
1570180012324380,0,0,-1,0,0,0,-2,3
1570180012339384,-2,-1,-1,0,-1,1,0,-4
1570180012339384,0,0,-1,0,-2,-1,0,-4
1570180012346317,2,-2,-1,-1,-1,-1,0,8
1570180012346317,2,1,-2,-2,-2,-1,-1,2
1570180012354343,-1,-2,-1,0,0,-1,0,-3
1570180012354343,8,1,-1,0,-1,0,1,16
1570180012361418,-6,-1,0,0,0,-1,-2,-10
1570180012361418,0,-1,1,0,-2,0,-1,-3
1570180012375237,0,0,0,-2,1,-1,0,7
1570180012375237,0,1,0,-2,0,-1,2,-5
1570180012392316,-7,0,0,-2,-2,0,-2,-13
1570180012392316,6,-1,0,-2,0,-2,2,15
1570180012398278,1,1,1,-2,-1,0,-1,-3
1570180012398278,-1,-2,-1,0,0,-1,-3,-1
1570180012414309,-9,-2,-1,-2,1,-1,-2,-5
1570180012414309,-1,-1,1,0,-2,-2,-2,-4
1570180012416129,-1,-2,0,-1,-1,-1,1,1
1570180012416129,-1,-1,0,0,-2,-1,-1,-5
1570180012428391,3,0,0,-2,-2,-2,0,4
1570180012428391,2,-1,-3,-1,-1,0,-1,2
1570180012443282,-3,-1,-1,-1,0,-2,-1,-4
1570180012443282,-2,-2,-1,-2,-1,0,-1,0
1570180012452035,0,1,1,0,3,0,2,6
1570180012452035,-2,-1,0,0,0,-1,0,-9
1570180012458021,1,1,-1,-2,0,-1,-1,-3
1570180012458021,-1,-1,0,1,1,0,0,-2
1570180012474975,2,1,1,-1,-2,1,0,2
1570180012474975,-2,0,0,0,0,0,0,-3
1570180012475969,-1,-2,-1,0,-1,0,-2,1
1570180012475969,-3,-2,-2,1,-1,1,-3,-23
1570180012487942,9,0,-3,-1,0,-1,4,18
1570180012487942,-3,1,-1,0,-1,1,-1,-6
1570180012496914,0,0,0,-2,-1,-2,-1,0
1570180012496914,-4,0,1,0,-1,-1,0,-4
1570180012512088,-1,-1,-1,-1,-1,-1,-1,-7
1570180012512088,-4,-2,0,0,-2,-2,-3,-2
1570180012513866,1,-1,0,-1,0,0,2,3
1570180012513866,3,-1,0,0,-1,0,1,5
1570180012534878,1,-2,-2,1,-2,0,-2,-4
1570180012534878,1,1,0,-1,-2,-1,0,3
1570180012535810,-3,0,-1,0,-2,0,-2,-6
1570180012535810,5,0,1,-1,-1,1,0,14
1570180012555761,-2,-2,0,1,1,1,-1,-3
1570180012555761,-1,-1,-1,0,-1,0,-1,-3
1570180012564738,2,0,0,-1,-1,-2,-1,1
1570180012564738,2,-1,-1,-2,-2,-1,1,5
1570180012571716,-1,-2,-1,0,0,0,0,8
1570180012571716,-1,-1,0,-1,1,0,0,1
1570180012573764,-3,-1,0,0,-1,0,-1,-9
1570180012573764,-2,-3,-2,0,-1,-2,-1,0
1570180012594700,-2,-1,-1,-1,-2,-1,-1,-1
1570180012594700,1,2,-1,-1,0,-1,1,1
1570180012595837,0,-2,-1,1,-1,-1,0,12
1570180012595837,-2,0,0,-3,0,1,0,-2
1570180012616592,2,-1,-2,-2,-1,0,0,-1
1570180012616592,5,0,0,0,0,-2,-2,2
1570180012618622,-6,0,-2,0,0,-3,-4,-10
1570180012618622,1,-1,-2,-1,-2,-2,-2,0
1570180012631597,1,-1,1,-1,0,0,-2,3
1570180012631597,-2,-2,-2,-2,0,-1,1,-4
1570180012633598,2,-1,-3,-1,-1,0,1,3
1570180012633598,-2,0,1,-1,0,1,-1,-1
1570180012654492,1,1,-1,0,-1,0,-1,2
1570180012654492,-4,-2,1,0,0,-1,-3,-10
1570180012656487,-5,0,0,0,-2,-1,0,-6
1570180012656487,-4,-1,0,-1,-1,0,0,-6
1570180012677428,3,-2,1,-1,-1,-2,-1,5
1570180012677428,0,1,0,0,-1,0,-1,2
1570180012678429,1,0,-1,-1,-1,-2,0,4
1570180012678429,-2,0,0,0,0,-1,-1,-3
1570180012691441,-6,-1,0,0,-1,-2,1,-4
1570180012691441,0,-1,-2,-1,-2,-2,-5,1
1570180012698420,2,-1,1,-2,-2,1,0,-1
1570180012698420,-2,0,0,1,-2,0,-1,3
1570180012714416,-2,0,0,0,0,-2,-2,-6
1570180012714416,1,-1,-1,-1,0,1,2,0
1570180012716325,0,-1,-3,1,0,1,0,-3
1570180012716325,0,0,1,-1,-1,0,-3,-6
1570180012737509,-1,0,-1,1,0,0,1,-1
1570180012737509,0,0,0,-1,-2,0,0,0
1570180012738271,-2,0,-1,-1,0,-1,-1,-2
1570180012738271,12,-3,-3,-4,-1,-2,2,20
1570180012751480,1,0,-1,-2,0,-2,-2,0
1570180012751480,1,0,0,2,0,-1,-1,-4
1570180012758734,1,0,-1,0,0,1,0,3
1570180012758734,-3,0,0,0,-1,-1,0,-4
1570180012775171,-3,0,-2,-1,-3,1,-2,-5
1570180012775171,3,0,-1,-1,0,0,0,6
1570180012777226,0,0,0,-1,-1,-1,-1,-2
1570180012777226,-4,0,0,-1,-2,-2,-1,-3
1570180012797281,1,-1,-1,-1,-5,-9,-3,-2
1570180012797281,-4,-3,-2,-2,1,16,5,-3
1570180012798710,0,-2,-1,-1,-1,1,-1,-2
1570180012798710,-3,1,2,1,1,0,1,-3
1570180012811410,-1,1,2,3,3,1,-2,-3
1570180012811410,-3,-1,-1,1,-6,-14,-3,-4
1570180012818203,-2,-1,-2,-4,-4,3,-1,-9
1570180012818203,-1,0,-4,-2,1,-2,0,1
1570180012835061,1,-1,-2,-1,0,4,-1,2
1570180012835061,-2,0,-1,-1,1,-4,-5,-6
1570180012836355,-1,-2,0,-1,-2,-7,-2,-5
1570180012836355,1,-1,-1,-1,-2,3,0,0
1570180012856995,1,0,-1,-2,-2,-3,-1,-1
1570180012856995,0,-1,1,0,0,-1,0,-1
1570180012858949,3,2,1,1,-2,-6,-2,3
1570180012858949,-3,2,2,0,3,13,3,-4
1570180012871912,-6,-4,-3,-3,3,-7,2,-4
1570180012871912,5,3,1,-1,-7,-4,1,3
1570180012878262,-4,-1,-1,0,1,-2,-3,-1
1570180012878262,1,-1,-1,1,-3,-6,-18,-1
1570180012894854,-2,0,-2,-5,-2,-2,5,-1
1570180012894854,-3,-3,-4,-2,3,10,6,2
1570180012895849,-1,1,2,1,1,-1,-1,-2
1570180012895849,4,3,0,0,0,-2,1,-2
1570180012916838,-2,-3,-2,-3,-2,0,-13,-3
1570180012916838,-1,1,2,1,1,0,9,11
1570180012918785,3,-2,1,0,-1,2,-26,6
1570180012918785,-1,3,0,-2,-3,-3,17,7
1570180012931890,8,-1,-5,-1,-1,2,1,8
1570180012931890,1,-3,0,0,-2,-4,-3,6
1570180012937790,-8,-3,0,0,1,4,6,2
1570180012937790,8,4,3,3,0,-1,4,-6
1570180012954726,6,4,3,3,2,6,23,12
1570180012954726,-4,-4,0,1,2,0,-21,3
1570180012955687,-6,-4,-3,-4,-6,-16,-30,-23
1570180012955687,-9,-3,-1,0,-3,-5,-5,-2
1570180012976681,3,0,1,1,-1,-4,-10,-6
1570180012976681,21,16,0,-2,-1,1,19,0
1570180012979122,-28,-11,3,3,3,1,11,-1
1570180012979122,24,12,-6,-7,0,18,4,-10
1570180012990756,2,-2,-2,-3,-4,0,8,0
1570180012990756,10,10,0,0,-1,-3,-5,0
1570180013007547,-15,-12,-2,1,1,-4,6,7
1570180013007547,-35,-22,-2,-3,-3,-9,-4,-10
1570180013014536,15,9,3,4,4,12,-1,-5
1570180013014536,-14,-5,1,0,-1,2,-6,-7
1570180013016531,16,11,-1,-1,-1,2,8,-6
1570180013016531,8,1,-3,-3,-2,-4,1,5
1570180013036601,36,8,-1,-1,-3,-6,-11,-4
1570180013036601,-87,-41,-5,-1,-3,-5,-4,-12
1570180013038463,16,13,1,0,0,1,7,2
1570180013038463,-35,-28,-3,-2,0,0,-6,-3
1570180013050871,28,18,4,0,0,-4,-4,1
1570180013050871,17,2,-2,-1,-2,0,2,-2
1570180013059410,11,2,1,0,-3,1,7,9
1570180013059410,-10,-3,0,3,3,10,-3,2
1570180013082454,-11,-4,-2,-3,-11,-19,-6,-6
1570180013082454,70,31,3,-2,1,0,5,16
1570180013083643,-51,-19,0,-1,1,-2,-1,3
1570180013083643,35,2,-14,-11,-14,-14,-10,-13
1570180013096313,-18,-4,6,5,5,15,5,2
1570180013096313,18,4,-2,-4,-3,-6,-6,-4
1570180013104434,27,17,2,1,0,1,6,13
1570180013104434,-9,-3,4,4,6,2,0,-1
1570180013110477,-35,-4,-4,-3,-1,0,-3,-9
1570180013110477,4,-7,-3,-1,0,-4,-3,-4
1570180013119934,9,-2,-2,-5,-11,0,1,-2
1570180013119934,-10,5,2,0,6,7,2,12
1570180013134301,1,-8,-4,-1,-1,-8,-3,-5
1570180013134301,-12,-2,3,3,8,8,3,0
1570180013136203,3,-2,-2,0,0,1,1,3
1570180013136203,21,17,5,1,-2,-3,0,8
1570180013157252,-24,-14,-3,-3,-2,-4,-4,1
1570180013157252,-7,-6,-4,-1,-1,2,12,-13
1570180013159091,12,6,1,-1,-1,0,-1,2
1570180013159091,-6,-2,-1,-1,-4,-8,-4,-7
1570180013171111,-6,-5,-1,1,2,4,-2,-1
1570180013171111,-12,-6,-3,0,-4,-2,1,1
1570180013179090,5,0,-3,-1,0,0,-2,-21
1570180013179090,11,3,4,2,2,-4,0,6
1570180013195047,-9,-5,-1,-1,-1,2,3,-3
1570180013195047,-3,1,-1,-2,-1,-3,-6,-13
1570180013196043,1,-1,-2,0,1,1,2,3
1570180013196043,1,-1,-2,0,0,-3,-1,4
1570180013217235,-2,1,0,-2,-2,-2,0,-1
1570180013217235,2,-1,-2,0,-1,-3,-4,-1
1570180013218982,-2,-4,-1,-1,2,1,0,4
1570180013218982,-5,-3,0,-1,-1,1,1,-4
1570180013231066,-7,-1,0,0,1,2,-3,0
1570180013231066,-2,-2,1,0,-1,-1,-1,4
1570180013239925,-3,-4,0,0,0,-1,-2,-17
1570180013239925,-4,5,-1,-2,-4,-4,-2,11
1570180013254890,4,-11,2,1,0,1,1,0
1570180013254890,23,17,1,-1,-1,-2,-1,6
1570180013255884,-20,-3,-5,-3,-1,-1,-4,-7
1570180013255884,-16,-9,0,1,1,0,3,-2
1570180013276041,-14,-2,-1,0,1,0,-1,-4
1570180013276041,-20,-12,0,2,-2,1,1,3
1570180013284865,12,4,1,-1,1,1,3,9
1570180013284865,18,4,1,1,1,0,-1,-1
1570180013299912,-44,-23,-4,-1,-2,-3,3,2
1570180013299912,34,21,3,0,2,4,1,3
1570180013300765,8,-4,-5,-3,-1,-5,-2,1
1570180013300765,9,9,-1,-3,-4,-1,-5,-1
1570180013322705,15,3,4,2,0,-5,-1,8
1570180013322705,16,1,-3,-4,-8,-5,-3,-8
1570180013323711,-26,-2,1,3,2,4,1,-6
1570180013323711,-21,-27,-7,-3,-3,-5,0,-1
1570180013335810,32,28,5,0,3,20,8,-17
1570180013335810,-25,-17,-2,0,-8,-36,-16,24
1570180013344722,25,7,0,0,2,-5,4,14
1570180013344722,-2,4,3,3,2,11,1,-6
1570180013359823,6,3,-3,-2,-1,2,1,-5
1570180013359823,-23,-14,-2,-2,1,2,0,-6
1570180013360612,10,1,-3,-4,-4,-7,-2,0
1570180013360612,2,-1,0,-1,1,-4,-1,5
1570180013381752,3,-1,-1,2,-3,-3,-4,8
1570180013381752,-4,6,-1,-2,1,8,2,-8
1570180013389528,-16,-21,-5,-1,-1,1,-2,6
1570180013389528,6,11,2,-1,0,4,2,-5
1570180013396626,22,24,-1,-5,-6,-12,-6,3
1570180013396626,-3,-17,-4,-2,1,3,-1,-8
1570180013403496,-2,1,3,1,1,3,2,0
1570180013403496,3,11,-3,-1,-2,-1,-3,-6
1570180013419447,7,-2,-1,-3,0,-3,-4,-1
1570180013419447,-1,2,-3,-3,0,2,1,1
1570180013421462,-4,-10,2,1,0,-2,0,0
1570180013421462,-7,-6,1,3,2,-6,-2,1
1570180013441387,-5,-3,-2,-1,2,7,0,4
1570180013441387,-7,4,0,-1,-1,-1,0,-6
1570180013449365,4,1,1,-2,-3,-1,8,-10
1570180013449365,3,3,4,0,0,-5,-12,3
1570180013456347,0,-3,-3,0,-1,-7,-12,14
1570180013456347,-6,-1,0,0,0,7,1,-1
1570180013464325,8,7,-3,0,-1,4,2,13
1570180013464325,-7,-9,-3,-4,-1,-6,1,-15
