timestamp,x,y,z,w
1570180096360080,0.368835,-0.226807,-0.227417,0.872192
1570180096376037,0.371948,-0.228149,-0.226929,0.870667
1570180096399303,0.376648,-0.230225,-0.226196,0.868286
1570180096420957,0.381531,-0.232605,-0.225342,0.865723
1570180096435949,0.385925,-0.235168,-0.224365,0.863342
1570180096459856,0.389648,-0.23761,-0.22345,0.861206
1570180096480763,0.392517,-0.239624,-0.2229,0.859558
1570180096536715,0.394592,-0.241028,-0.222534,0.858276
1570180096538654,0.395874,-0.241882,-0.222351,0.857483
1570180096541601,0.396545,-0.242371,-0.222412,0.856995
1570180096556610,0.396667,-0.242371,-0.222412,0.856995
1570180096580520,0.396545,-0.24231,-0.222412,0.857056
1570180096594461,0.396057,-0.242126,-0.22229,0.857361
1570180096638587,0.395447,-0.241943,-0.221924,0.857788
1570180096648314,0.395203,-0.242004,-0.221497,0.857971
1570180096654295,0.394897,-0.242004,-0.221619,0.858093
1570180096676405,0.39386,-0.241333,-0.222656,0.858459
1570180096699174,0.392212,-0.240295,-0.224121,0.859131
1570180096723113,0.390564,-0.239319,-0.22522,0.859863
1570180096737085,0.388977,-0.238403,-0.226135,0.860657
1570180096760021,0.387024,-0.237427,-0.226868,0.861572
1570180096782957,0.384949,-0.236328,-0.227356,0.862671
1570180096797097,0.383179,-0.235352,-0.227661,0.863647
1570180096819852,0.381653,-0.234497,-0.227722,0.864563
1570180096842978,0.380127,-0.233704,-0.227417,0.865479
1570180096863739,0.378357,-0.233032,-0.22699,0.866577
1570180096880692,0.376709,-0.232422,-0.226685,0.867554
1570180096902635,0.375427,-0.231689,-0.226624,0.868286
1570180096916593,0.374512,-0.231018,-0.226929,0.868835
1570180096940530,0.374084,-0.230469,-0.227417,0.869019
1570180096962553,0.374695,-0.230286,-0.227966,0.868652
1570180096977431,0.375977,-0.230408,-0.228699,0.867859
1570180097000387,0.377319,-0.230652,-0.229553,0.867004
1570180097023529,0.378784,-0.231079,-0.230225,0.866089
1570180097037275,0.380371,-0.23175,-0.230713,0.865051
1570180097060210,0.381653,-0.232666,-0.230835,0.864197
1570180097082150,0.382568,-0.233337,-0.230469,0.863708
1570180097104090,0.383301,-0.233948,-0.229553,0.863464
1570180097120049,0.383606,-0.234375,-0.228394,0.863586
1570180097142987,0.383484,-0.234436,-0.227417,0.863831
1570180097164103,0.383057,-0.234192,-0.226807,0.864258
1570180097179889,0.382446,-0.233887,-0.22644,0.864685
1570180097202828,0.381836,-0.233459,-0.22644,0.865112
1570180097223896,0.380981,-0.233032,-0.226685,0.86554
1570180097240727,0.380127,-0.232727,-0.227112,0.865845
1570180097262672,0.379761,-0.232605,-0.227356,0.865967
1570180097283610,0.3797,-0.232605,-0.228027,0.865845
1570180097306559,0.379883,-0.232605,-0.228577,0.865601
1570180097322509,0.380371,-0.232727,-0.229065,0.865234
1570180097343450,0.381042,-0.23291,-0.229431,0.864807
1570180097360408,0.381836,-0.232971,-0.229919,0.864258
1570180097382400,0.382263,-0.233093,-0.230225,0.864014
1570180097403290,0.382996,-0.233704,-0.229248,0.86377
1570180097420247,0.38446,-0.234375,-0.227966,0.863281
1570180097443186,0.385742,-0.235107,-0.226563,0.862915
1570180097471253,0.387207,-0.23584,-0.225525,0.862305
1570180097480088,0.388306,-0.236145,-0.225708,0.861633
1570180097503027,0.388489,-0.236389,-0.22644,0.861328
1570180097531463,0.388306,-0.236511,-0.227295,0.861145
1570180097539952,0.387878,-0.236633,-0.228027,0.861084
1570180097562868,0.388,-0.236877,-0.228455,0.86084
1570180097585612,0.389038,-0.237183,-0.228516,0.860291
1570180097599862,0.390442,-0.23761,-0.228516,0.859558
1570180097628878,0.391357,-0.237671,-0.228638,0.85907
1570180097645646,0.391113,-0.237122,-0.229004,0.859253
1570180097667592,0.389343,-0.236084,-0.22937,0.860229
1570180097688578,0.38678,-0.234741,-0.229736,0.861633
1570180097705487,0.383911,-0.233276,-0.22998,0.863281
1570180097727427,0.381714,-0.232056,-0.229797,0.864624
1570180097748614,0.380371,-0.23114,-0.229553,0.86554
1570180097765326,0.379761,-0.230591,-0.229553,0.865967
1570180097788265,0.379395,-0.230347,-0.229919,0.866028
1570180097808214,0.379395,-0.230347,-0.230408,0.865967
1570180097825257,0.379822,-0.23053,-0.230713,0.865601
1570180097848105,0.380554,-0.230835,-0.230896,0.865173
1570180097869048,0.381165,-0.231079,-0.231079,0.864807
1570180097885010,0.381226,-0.231079,-0.231079,0.864746
1570180097907942,0.381287,-0.23114,-0.231262,0.864685
1570180097928914,0.381348,-0.230957,-0.231445,0.864685
1570180097944926,0.381348,-0.230713,-0.231689,0.864685
1570180097967803,0.381653,-0.230408,-0.231934,0.864563
1570180097988772,0.381653,-0.230042,-0.232178,0.864563
1570180098004686,0.382996,-0.230042,-0.232178,0.863953
1570180098027316,0.38623,-0.230896,-0.232727,0.862183
1570180098050182,0.38916,-0.231934,-0.235107,0.859924
1570180098064826,0.390991,-0.232849,-0.238281,0.857971
1570180098087595,0.391846,-0.233704,-0.240417,0.85675
1570180098110288,0.393738,-0.234558,-0.241821,0.855225
1570180098124254,0.395264,-0.235046,-0.242493,0.854187
1570180098147932,0.395996,-0.235352,-0.242554,0.85376
1570180098170038,0.39624,-0.236023,-0.242004,0.853638
1570180098184195,0.396423,-0.236755,-0.24115,0.853577
1570180098208054,0.396667,-0.238037,-0.240479,0.853271
1570180098230522,0.396484,-0.239258,-0.240112,0.853149
1570180098244861,0.39563,-0.239685,-0.240173,0.853394
1570180098267876,0.394287,-0.239929,-0.240234,0.853943
1570180098289882,0.393677,-0.240295,-0.240417,0.854065
1570180098304420,0.393738,-0.240356,-0.240723,0.853943
1570180098327365,0.393738,-0.240295,-0.240784,0.853943
1570180098350297,0.393738,-0.240601,-0.240356,0.853943
1570180098364322,0.393372,-0.240906,-0.239807,0.854187
1570180098388198,0.392944,-0.240967,-0.239502,0.854492
1570180098416176,0.392273,-0.240845,-0.23938,0.854858
1570180098424100,0.391357,-0.240479,-0.239563,0.855347
1570180098448135,0.39032,-0.239868,-0.239929,0.855835
1570180098470972,0.388916,-0.239197,-0.240417,0.856567
1570180098484751,0.38739,-0.238403,-0.240845,0.857361
1570180098507876,0.385559,-0.237549,-0.241333,0.858276
1570180098529816,0.383667,-0.236572,-0.241882,0.859253
1570180098551074,0.381897,-0.235474,-0.242554,0.860168
1570180098567711,0.380127,-0.234497,-0.243103,0.861023
1570180098589771,0.37854,-0.233765,-0.24353,0.861816
1570180098610597,0.377136,-0.233093,-0.243835,0.862549
1570180098627623,0.375732,-0.232422,-0.244141,0.86322
1570180098650492,0.374207,-0.231689,-0.244324,0.864014
1570180098671435,0.372498,-0.231018,-0.244446,0.864868
1570180098687391,0.370911,-0.230286,-0.244568,0.865723
1570180098710330,0.369385,-0.229553,-0.24469,0.866577
1570180098731327,0.367737,-0.22876,-0.244812,0.867432
1570180098748229,0.366089,-0.227966,-0.244873,0.868347
1570180098770170,0.364502,-0.227234,-0.244995,0.869141
1570180098791318,0.363525,-0.226624,-0.245117,0.86969
1570180098807072,0.362976,-0.226257,-0.2453,0.869995
1570180098830010,0.362915,-0.226257,-0.2453,0.869995
1570180098850955,0.363037,-0.226196,-0.245422,0.869934
1570180098867909,0.363281,-0.226318,-0.245361,0.869812
1570180098889851,0.363831,-0.226563,-0.2453,0.869507
1570180098910794,0.364563,-0.226868,-0.245178,0.869141
1570180098927749,0.365112,-0.227234,-0.244934,0.868958
1570180098949860,0.365479,-0.227478,-0.244751,0.868774
1570180098972628,0.365479,-0.227478,-0.244751,0.868774
1570180098987632,0.365417,-0.227478,-0.244751,0.868774
1570180099009530,0.365417,-0.227478,-0.244751,0.868774
1570180099032469,0.365356,-0.227539,-0.244568,0.868835
1570180099047429,0.365601,-0.227783,-0.244385,0.868713
1570180099070373,0.365784,-0.228027,-0.244263,0.868591
1570180099092387,0.366028,-0.228149,-0.244263,0.868469
1570180099107268,0.366089,-0.228271,-0.244263,0.868408
1570180099130208,0.366089,-0.228271,-0.244263,0.868408
1570180099152233,0.366394,-0.228455,-0.244263,0.868286
1570180099158133,0.366638,-0.228638,-0.244141,0.868164
